Date,Close/Last,Volume,Open,High,Low
09/06/2024,$79.38,1047109,$80.55,$81.64,$79.32
09/05/2024,$80.91,1245605,$82.35,$82.519,$80.58
09/04/2024,$81.85,1544870,$82.82,$83.05,$81.83
09/03/2024,$83.03,1062028,$83.53,$84.2225,$82.43
08/30/2024,$84.55,1163560,$85.81,$85.94,$83.56
08/29/2024,$85.31,1383310,$85.47,$85.89,$83.97
08/28/2024,$84.75,1053690,$84.02,$85.33,$83.75
08/27/2024,$84.41,1080584,$84.54,$84.82,$83.28
08/26/2024,$85.02,1523982,$86.55,$86.82,$84.985
08/23/2024,$85.78,1635244,$83.05,$85.94,$82.375
08/22/2024,$82.13,653471,$82.30,$82.60,$81.67
08/21/2024,$82.49,1257352,$80.48,$82.5099,$80.335
08/20/2024,$79.79,623196,$80.09,$80.48,$79.34
08/19/2024,$80.31,1028871,$80.02,$81.19,$79.37
08/16/2024,$79.86,1114218,$79.75,$80.91,$79.26
08/15/2024,$79.84,1530409,$79.35,$80.52,$78.61
08/14/2024,$77.45,1414344,$77.09,$78.73,$76.80
08/13/2024,$76.82,1450825,$73.90,$77.01,$73.58
08/12/2024,$73.57,1118401,$75.71,$75.98,$73.50
08/09/2024,$75.69,1487293,$75.82,$75.83,$74.39
08/08/2024,$75.83,1162242,$74.04,$76.07,$74.04
08/07/2024,$73.73,2565429,$76.66,$77.00,$73.62
08/06/2024,$75.36,2220495,$74.71,$76.76,$73.71
08/05/2024,$74.70,2442397,$74.80,$76.81,$73.28
08/02/2024,$78.38,2140226,$79.37,$79.37,$77.65
08/01/2024,$81.60,2566881,$85.10,$85.73,$80.20
07/31/2024,$84.44,1478569,$84.50,$86.21,$83.78
07/30/2024,$84.32,1213457,$83.55,$84.49,$82.67
07/29/2024,$83.26,1022359,$83.08,$83.75,$82.445
07/26/2024,$83.02,1002712,$82.61,$83.626,$82.12
07/25/2024,$81.55,1247805,$79.48,$82.895,$79.2513
07/24/2024,$79.90,1636271,$80.00,$82.08,$79.86
07/23/2024,$80.35,1116960,$80.20,$80.60,$79.33
07/22/2024,$80.79,1181686,$80.50,$80.89,$78.94
07/19/2024,$80.01,1459658,$82.02,$82.52,$79.73
07/18/2024,$81.82,1881599,$82.58,$84.26,$81.49
07/17/2024,$82.90,1446100,$83.02,$83.85,$82.57
07/16/2024,$84.02,1972019,$82.72,$84.23,$82.09
07/15/2024,$82.00,1567201,$80.41,$82.79,$80.41
07/12/2024,$80.93,2107616,$78.50,$81.69,$77.7041
07/11/2024,$79.71,2759294,$78.57,$80.06,$78.22
07/10/2024,$76.93,4778462,$73.00,$77.35,$72.73
07/09/2024,$72.26,1280029,$72.70,$72.9475,$72.16
07/08/2024,$73.00,1293567,$72.19,$73.34,$72.13
07/05/2024,$71.58,2293634,$72.78,$72.78,$71.46
07/03/2024,$72.88,1315086,$73.70,$74.61,$72.80
07/02/2024,$73.28,1900146,$71.29,$73.33,$70.75
07/01/2024,$71.21,1649487,$73.15,$73.96,$71.18
06/28/2024,$73.34,2223377,$73.19,$74.57,$72.86
06/27/2024,$73.33,1365415,$73.01,$73.49,$72.20
06/26/2024,$72.73,1936340,$71.33,$72.83,$71.05
06/25/2024,$71.77,2880595,$73.00,$73.65,$71.24
06/24/2024,$73.18,3581588,$70.97,$73.83,$70.88
06/21/2024,$71.63,5677851,$73.74,$74.8499,$70.67
06/20/2024,$71.36,4955489,$71.09,$72.05,$70.51
06/18/2024,$71.50,2820006,$71.245,$72.04,$70.311
06/17/2024,$71.68,2076035,$69.75,$71.79,$69.39
06/14/2024,$69.91,2010918,$69.36,$69.94,$68.01
06/13/2024,$70.29,1348796,$69.64,$70.89,$69.075
06/12/2024,$70.10,2093236,$70.78,$72.995,$70.09
06/11/2024,$68.88,1675673,$68.21,$69.54,$67.59
06/10/2024,$68.47,1682567,$69.03,$69.38,$68.36
06/07/2024,$69.17,1766347,$69.16,$69.657,$68.82
06/06/2024,$70.07,1713589,$70.50,$71.75,$69.89
06/05/2024,$72.30,1345850,$71.03,$72.36,$70.10
06/04/2024,$70.98,1572315,$69.95,$71.14,$69.65
06/03/2024,$70.53,1551494,$71.50,$71.51,$70.01
05/31/2024,$70.26,2273272,$70.06,$70.84,$69.30
05/30/2024,$69.65,1568675,$68.12,$69.89,$67.77
05/29/2024,$67.43,1595212,$67.92,$68.52,$66.87
05/28/2024,$69.15,1271477,$70.17,$70.43,$68.94
05/24/2024,$69.88,733951,$69.42,$69.89,$68.9672
05/23/2024,$68.93,1345647,$69.88,$69.945,$68.43
05/22/2024,$69.76,1733035,$71.70,$71.97,$69.53
05/21/2024,$71.97,1612160,$72.55,$72.84,$71.48
05/20/2024,$72.57,1170134,$73.04,$73.27,$72.065
05/17/2024,$72.82,1725666,$72.40,$73.18,$71.81
