Date,Close/Last,Volume,Open,High,Low
09/06/2024,$40.69,3184776,$41.75,$42.08,$40.605
09/05/2024,$41.70,2815919,$42.44,$42.47,$41.54
09/04/2024,$42.10,3610663,$42.47,$42.65,$41.82
09/03/2024,$42.49,2919052,$42.51,$42.78,$42.14
08/30/2024,$42.69,3351701,$42.34,$42.75,$42.115
08/29/2024,$42.19,2355033,$42.33,$42.48,$41.64
08/28/2024,$42.20,2826253,$41.54,$42.65,$41.54
08/27/2024,$41.71,2651159,$41.84,$42.12,$41.57
08/26/2024,$41.94,3100817,$42.33,$42.45,$41.77
08/23/2024,$42.12,4097739,$41.28,$42.48,$41.26
08/22/2024,$41.00,3305895,$40.68,$41.27,$40.60
08/21/2024,$40.68,2796030,$40.87,$40.90,$40.36
08/20/2024,$40.64,3219516,$41.00,$41.04,$40.605
08/19/2024,$41.07,2935777,$40.72,$41.165,$40.69
08/16/2024,$40.68,4039348,$39.99,$40.71,$39.89
08/15/2024,$39.99,3922133,$40.43,$40.7508,$39.91
08/14/2024,$39.71,2905037,$39.40,$39.93,$39.37
08/13/2024,$39.42,2725937,$39.14,$39.479,$38.64
08/12/2024,$38.92,4133307,$40.06,$40.51,$38.77
08/09/2024,$39.65,2902956,$39.56,$39.82,$39.40
08/08/2024,$39.66,2837260,$39.43,$39.90,$39.30
08/07/2024,$39.02,3994080,$39.96,$40.50,$38.89
08/06/2024,$39.37,4597758,$39.15,$40.155,$39.00
08/05/2024,$39.23,6795441,$38.60,$39.425,$37.67
08/02/2024,$39.55,7435342,$39.692,$39.83,$38.665
08/01/2024,$40.73,5610167,$42.28,$42.36,$40.475
07/31/2024,$42.34,4701477,$42.19,$42.91,$42.09
07/30/2024,$42.26,4586871,$42.26,$42.70,$42.155
07/29/2024,$41.99,3363430,$42.40,$42.53,$41.91
07/26/2024,$42.27,2970128,$41.92,$42.31,$41.86
07/25/2024,$41.83,4514130,$41.23,$42.265,$40.93
07/24/2024,$40.98,5007807,$41.24,$41.845,$40.94
07/23/2024,$41.26,4148146,$40.73,$41.59,$40.62
07/22/2024,$40.86,6724541,$40.99,$41.00,$40.16
07/19/2024,$40.99,7149210,$40.85,$41.20,$40.01
07/18/2024,$40.23,7153063,$40.46,$41.41,$39.99
07/17/2024,$41.00,5029105,$39.80,$41.01,$39.80
07/16/2024,$40.22,4004104,$39.30,$40.28,$39.13
07/15/2024,$39.16,6105684,$38.96,$39.53,$38.76
07/12/2024,$38.48,3626253,$38.19,$38.66,$37.86
07/11/2024,$38.26,5755212,$37.43,$38.43,$37.18
07/10/2024,$36.85,4228132,$36.25,$36.89,$36.13
07/09/2024,$36.21,8493601,$36.13,$36.515,$35.17
07/08/2024,$36.23,2840978,$36.18,$36.51,$35.89
07/05/2024,$36.01,5028373,$36.73,$36.82,$35.89
07/03/2024,$36.78,2439811,$37.09,$37.35,$36.685
07/02/2024,$36.98,4228021,$36.18,$37.03,$36.08
07/01/2024,$36.27,4369476,$36.49,$36.83,$36.165
06/28/2024,$36.49,8438665,$35.79,$36.75,$35.765
06/27/2024,$35.85,3677558,$35.58,$36.015,$35.35
06/26/2024,$35.93,4340872,$35.67,$36.03,$35.615
06/25/2024,$35.91,3438807,$36.54,$36.76,$35.90
06/24/2024,$36.64,3493317,$36.20,$36.985,$36.03
06/21/2024,$36.06,6424398,$35.85,$36.12,$35.50
06/20/2024,$35.92,3258171,$35.85,$36.15,$35.75
06/18/2024,$35.98,3356294,$35.62,$35.99,$35.53
06/17/2024,$35.65,3445188,$35.21,$35.69,$35.00
06/14/2024,$35.22,5246604,$35.13,$35.56,$34.965
06/13/2024,$35.61,5479671,$35.74,$35.89,$35.26
06/12/2024,$36.05,6101949,$36.05,$36.75,$35.84
06/11/2024,$35.28,6747573,$35.13,$35.62,$34.7845
06/10/2024,$35.62,6920175,$35.75,$36.04,$35.1399
06/07/2024,$36.13,3722801,$35.71,$36.285,$35.65
06/06/2024,$36.11,3172313,$36.36,$36.615,$36.09
06/05/2024,$36.38,2147413,$36.46,$36.505,$36.085
06/04/2024,$36.17,2736659,$36.34,$37.03,$36.15
06/03/2024,$36.85,2991043,$37.79,$37.79,$36.27
05/31/2024,$37.42,6721091,$37.22,$37.53,$36.85
05/30/2024,$36.75,4019738,$36.56,$36.82,$36.13
05/29/2024,$36.26,2960921,$35.98,$36.29,$35.6494
05/28/2024,$36.68,3331556,$37.39,$37.565,$36.59
05/24/2024,$37.25,1852233,$36.99,$37.25,$36.93
05/23/2024,$36.82,2549239,$37.66,$37.66,$36.60
05/22/2024,$37.59,1828846,$37.79,$38.005,$37.455
05/21/2024,$38.04,2926806,$37.68,$38.18,$37.68
05/20/2024,$37.76,2153988,$38.50,$38.62,$37.71
05/17/2024,$38.56,2762580,$38.77,$38.77,$38.425
05/16/2024,$38.60,2990125,$38.86,$39.00,$38.51
05/15/2024,$38.98,3578892,$38.85,$39.14,$38.68
05/14/2024,$38.47,3302325,$38.52,$38.73,$38.21
05/13/2024,$38.20,3995913,$39.00,$39.12,$38.15
05/10/2024,$38.78,3048651,$38.78,$39.04,$38.71
05/09/2024,$38.65,2625122,$38.45,$38.71,$38.18
05/08/2024,$38.48,3048555,$37.57,$38.51,$37.57
05/07/2024,$38.03,4592800,$38.24,$38.285,$37.93
05/06/2024,$38.00,3115536,$37.88,$38.09,$37.645
05/03/2024,$37.56,4007014,$37.40,$37.77,$37.28
05/02/2024,$36.89,5324745,$37.47,$37.50,$36.705
05/01/2024,$37.10,4044242,$36.83,$37.665,$36.63
04/30/2024,$36.46,3314778,$36.73,$36.91,$36.43
04/29/2024,$37.00,3509229,$36.83,$37.165,$36.78
04/26/2024,$36.90,2474530,$36.78,$37.19,$36.70
04/25/2024,$36.82,2832219,$36.96,$37.24,$36.40
04/24/2024,$37.23,3634109,$36.58,$37.275,$36.53
04/23/2024,$37.06,4292996,$36.64,$37.15,$36.44
04/22/2024,$36.55,5507647,$36.55,$36.845,$36.11
04/19/2024,$36.25,13812470,$36.42,$36.75,$34.97
04/18/2024,$34.22,6035748,$34.17,$34.66,$33.995
04/17/2024,$34.10,5484634,$34.52,$34.68,$33.93
04/16/2024,$34.09,6124945,$34.28,$34.43,$33.82
04/15/2024,$34.62,5686883,$35.04,$35.45,$34.35
04/12/2024,$34.53,3340002,$34.45,$34.69,$34.23
04/11/2024,$34.86,5190108,$34.89,$35.05,$33.93
04/10/2024,$34.79,5251052,$35.68,$35.68,$34.605
04/09/2024,$36.39,2842698,$36.29,$36.46,$35.97
04/08/2024,$36.17,3784059,$35.55,$36.44,$35.49
04/05/2024,$35.30,2888365,$35.22,$35.545,$34.99
04/04/2024,$35.28,4039708,$36.17,$36.47,$35.2025
04/03/2024,$35.84,3226557,$35.99,$36.32,$35.65
04/02/2024,$35.98,3491893,$36.41,$36.42,$35.90
04/01/2024,$36.70,3809438,$36.97,$37.03,$36.48
03/28/2024,$37.21,5183981,$36.74,$37.41,$36.64
03/27/2024,$36.74,4595393,$36.00,$36.76,$35.80
03/26/2024,$36.03,5049364,$36.42,$36.50,$36.03
03/25/2024,$36.25,3602187,$36.38,$36.84,$36.175
03/22/2024,$36.37,4399180,$37.18,$37.35,$36.29
03/21/2024,$37.01,5540971,$36.75,$37.36,$36.705
03/20/2024,$36.61,5453847,$35.36,$36.805,$35.21
03/19/2024,$35.43,4609247,$35.37,$35.81,$35.255
03/18/2024,$35.77,3911850,$35.10,$35.77,$34.92
03/15/2024,$35.24,24536170,$35.10,$35.81,$35.08
03/14/2024,$35.42,5019142,$35.896,$36.22,$35.135
03/13/2024,$36.23,5742425,$36.70,$36.93,$36.14
03/12/2024,$36.69,6602494,$36.67,$37.03,$36.525
03/11/2024,$36.72,5796479,$36.45,$36.98,$36.21
03/08/2024,$36.37,4369093,$36.75,$36.945,$36.36
03/07/2024,$36.38,3872234,$36.25,$36.64,$36.17
03/06/2024,$36.04,5674113,$36.29,$36.3414,$35.46
03/05/2024,$36.35,4939302,$35.44,$36.655,$35.385
03/04/2024,$35.48,7090342,$34.80,$35.8422,$34.61
03/01/2024,$34.37,4668845,$34.08,$34.40,$33.48
02/29/2024,$34.34,5614485,$33.92,$34.50,$33.92
02/28/2024,$33.58,3445028,$33.75,$34.15,$33.56
02/27/2024,$33.97,3680929,$33.32,$33.98,$33.32
02/26/2024,$33.27,3203315,$33.41,$33.78,$33.035
02/23/2024,$33.52,3223499,$33.47,$33.80,$33.225
02/22/2024,$33.40,6993531,$33.54,$33.96,$33.19
02/21/2024,$33.49,4300637,$33.69,$33.76,$33.18
02/20/2024,$33.80,3340941,$33.64,$34.00,$33.445
02/16/2024,$33.93,3847063,$33.50,$34.14,$33.36
02/15/2024,$33.90,4477163,$33.61,$34.27,$33.525
02/14/2024,$33.51,7382086,$33.24,$33.585,$33.04
02/13/2024,$32.82,7362554,$33.31,$33.46,$32.29
02/12/2024,$34.11,4582257,$33.70,$34.5758,$33.68
02/09/2024,$33.65,4090957,$33.43,$33.745,$33.02
02/08/2024,$33.39,3268048,$33.22,$33.585,$32.91
02/07/2024,$33.36,5601305,$33.62,$33.62,$32.54
02/06/2024,$33.47,5680444,$33.37,$33.63,$33.19
02/05/2024,$33.31,4925183,$33.37,$33.555,$33.00
02/02/2024,$33.85,6420401,$33.35,$34.07,$33.05
02/01/2024,$33.78,6436610,$34.30,$34.44,$32.78
01/31/2024,$34.24,7499259,$34.37,$35.18,$34.15
01/30/2024,$35.37,4960149,$35.72,$35.725,$35.35
01/29/2024,$35.53,4684549,$34.72,$35.565,$34.685
01/26/2024,$34.86,4424158,$35.02,$35.24,$34.81
01/25/2024,$34.90,4770863,$35.06,$35.17,$34.31
01/24/2024,$34.70,5182678,$34.62,$34.95,$34.2199
01/23/2024,$34.10,5993696,$34.74,$34.84,$34.09
01/22/2024,$34.56,7660084,$34.20,$34.82,$34.17
01/19/2024,$34.21,8770069,$34.23,$34.31,$33.26
01/18/2024,$33.24,9704262,$33.92,$33.92,$32.84
01/17/2024,$33.79,7262603,$33.25,$34.11,$33.04
01/16/2024,$33.61,7426329,$33.827,$33.95,$33.44
01/12/2024,$34.36,5553958,$34.75,$35.10,$34.085
01/11/2024,$34.85,6155938,$35.46,$35.58,$34.31
01/10/2024,$35.36,3747945,$35.26,$35.40,$34.92
01/09/2024,$35.31,4248316,$35.04,$35.465,$34.95
01/08/2024,$35.64,4698913,$35.21,$35.69,$34.90
01/05/2024,$35.40,6755141,$34.30,$35.5862,$34.20
01/04/2024,$34.42,6156887,$33.99,$34.655,$33.90
01/03/2024,$33.98,5225219,$34.31,$34.465,$33.805
01/02/2024,$34.78,4284396,$34.30,$35.10,$34.125
12/29/2023,$34.49,4063164,$34.75,$34.97,$34.415
12/28/2023,$34.80,3929033,$34.67,$34.86,$34.60
12/27/2023,$35.07,3141960,$34.85,$35.165,$34.62
12/26/2023,$34.96,2683029,$34.57,$35.05,$34.33
12/22/2023,$34.47,3450724,$34.62,$35.02,$34.335
12/21/2023,$34.40,4789915,$34.28,$34.705,$34.10
12/20/2023,$34.01,7053123,$35.33,$35.33,$33.99
12/19/2023,$35.12,7580569,$35.24,$35.595,$34.95
12/18/2023,$35.05,7848732,$35.26,$35.36,$34.715
12/15/2023,$35.03,17104210,$35.07,$35.35,$34.44
12/14/2023,$35.14,13105570,$33.24,$35.15,$33.195
12/13/2023,$32.35,6495486,$30.55,$32.42,$30.47
12/12/2023,$30.53,5637084,$30.88,$31.005,$30.50
12/11/2023,$30.89,5505950,$31.10,$31.2708,$30.835
12/08/2023,$31.25,5397383,$30.99,$31.51,$30.72
12/07/2023,$30.81,4949078,$30.40,$30.8775,$30.20
12/06/2023,$30.26,5015907,$30.49,$31.15,$30.192
12/05/2023,$30.11,5290447,$30.53,$30.585,$30.015
12/04/2023,$30.66,6002874,$30.30,$30.825,$30.10
12/01/2023,$30.58,8986908,$28.95,$30.65,$28.77
11/30/2023,$28.95,7948965,$28.52,$29.16,$28.29
11/29/2023,$28.41,5331281,$27.68,$28.56,$27.65
11/28/2023,$27.43,3930191,$27.15,$27.465,$26.89
11/27/2023,$27.19,2735665,$27.09,$27.19,$26.92
11/24/2023,$27.25,1000828,$27.27,$27.415,$27.05
11/22/2023,$27.19,2256566,$27.49,$27.55,$27.04
11/21/2023,$27.36,3425360,$27.38,$27.6394,$27.26
11/20/2023,$27.67,3803711,$27.50,$27.74,$27.24
11/17/2023,$27.56,4667749,$27.45,$27.64,$27.11
11/16/2023,$27.13,3411160,$27.31,$27.435,$26.895
11/15/2023,$27.31,5320092,$26.63,$27.42,$26.63
11/14/2023,$26.68,5776519,$25.97,$27.055,$25.945
11/13/2023,$25.11,3413856,$24.86,$25.17,$24.70
11/10/2023,$25.06,3918004,$24.89,$25.11,$24.635
11/09/2023,$24.82,4971838,$25.62,$25.78,$24.775
11/08/2023,$25.49,6622519,$26.24,$26.24,$25.38
11/07/2023,$26.16,4517168,$25.99,$26.2775,$25.82
11/06/2023,$26.12,5087150,$26.45,$26.6103,$25.83
11/03/2023,$26.46,9013853,$25.80,$26.67,$25.65
11/02/2023,$25.05,5017951,$24.06,$25.08,$24.02
11/01/2023,$23.65,4281497,$23.65,$23.825,$23.37
10/31/2023,$23.71,4335328,$23.39,$23.83,$23.165
10/30/2023,$23.38,3575993,$23.15,$23.435,$22.93
10/27/2023,$22.89,4228701,$23.64,$23.64,$22.755
10/26/2023,$23.59,5424245,$23.10,$23.82,$23.0786
10/25/2023,$23.03,5967671,$22.80,$23.11,$22.49
10/24/2023,$22.98,6391840,$23.18,$23.525,$22.84
10/23/2023,$23.02,6052559,$23.23,$23.6199,$22.985
10/20/2023,$23.29,11661010,$24.90,$24.98,$23.22
10/19/2023,$24.92,9930103,$24.75,$25.585,$24.51
10/18/2023,$24.64,5349664,$25.03,$25.185,$24.56
10/17/2023,$25.31,5028075,$24.47,$25.475,$24.47
10/16/2023,$24.69,4784087,$24.64,$24.80,$24.225
10/13/2023,$24.27,5178936,$24.76,$24.8975,$24.17
10/12/2023,$24.50,5517666,$25.05,$25.075,$24.305
10/11/2023,$24.99,3358256,$25.06,$25.45,$24.825
10/10/2023,$24.99,5157574,$24.60,$25.235,$24.60
10/09/2023,$24.34,3596935,$23.99,$24.435,$23.86
10/06/2023,$24.17,6454334,$24.06,$24.36,$23.56
10/05/2023,$24.31,3979624,$23.90,$24.37,$23.78
10/04/2023,$24.02,3491457,$24.01,$24.08,$23.58
10/03/2023,$23.94,4802832,$24.31,$24.365,$23.785
10/02/2023,$24.50,5098181,$25.36,$25.36,$24.36
09/29/2023,$25.33,4031462,$25.28,$25.675,$25.18
09/28/2023,$25.03,4934472,$24.53,$25.26,$24.52
09/27/2023,$24.86,5211368,$25.41,$25.43,$24.705
09/26/2023,$25.28,4788163,$25.58,$25.97,$25.26
09/25/2023,$25.91,3379006,$25.70,$25.92,$25.535
09/22/2023,$25.70,5692107,$26.46,$26.48,$25.68
09/21/2023,$26.38,5420759,$26.65,$27.02,$26.375
09/20/2023,$26.81,4885280,$27.15,$27.395,$26.78
09/19/2023,$26.91,5555564,$27.18,$27.23,$26.785
09/18/2023,$27.13,4866311,$27.43,$27.45,$26.92
09/15/2023,$27.44,7629621,$27.32,$27.71,$27.155
09/14/2023,$27.52,5508559,$27.49,$27.90,$27.32
09/13/2023,$27.25,9180307,$28.20,$28.39,$27.00
09/12/2023,$27.47,7993292,$26.57,$27.5581,$26.51
09/11/2023,$26.50,5069804,$26.585,$27.01,$26.34
09/08/2023,$26.41,6073593,$26.12,$26.465,$25.8582
09/07/2023,$26.09,8314350,$26.46,$26.725,$25.91
09/06/2023,$26.60,6317438,$26.90,$27.0594,$26.325
09/05/2023,$27.07,5116330,$26.90,$27.27,$26.83
09/01/2023,$27.05,5152555,$26.77,$27.19,$26.758
08/31/2023,$26.55,5662609,$26.50,$26.65,$26.405
08/30/2023,$26.39,7771876,$26.27,$26.50,$26.17
08/29/2023,$26.45,4381301,$25.78,$26.46,$25.65
08/28/2023,$25.80,2213271,$25.65,$25.97,$25.58
08/25/2023,$25.42,3358263,$25.84,$26.00,$25.2608
08/24/2023,$25.72,4813698,$25.33,$25.94,$25.30
08/23/2023,$25.43,3874828,$24.88,$25.43,$24.69
08/22/2023,$24.88,7320144,$25.61,$25.78,$24.76
08/21/2023,$25.68,3475392,$25.72,$25.80,$25.395
08/18/2023,$25.59,3801247,$25.70,$25.8262,$25.40
08/17/2023,$25.77,4020803,$25.79,$26.07,$25.68
08/16/2023,$25.74,4463225,$25.82,$25.8551,$25.48
08/15/2023,$25.86,6929191,$26.31,$26.41,$25.78
08/14/2023,$26.79,5567890,$27.50,$27.50,$26.56
08/11/2023,$27.79,3541286,$27.51,$27.98,$27.45
08/10/2023,$27.71,3671266,$27.72,$27.93,$27.43
08/09/2023,$27.50,3203845,$27.84,$28.02,$27.47
08/08/2023,$28.05,4545240,$27.24,$28.08,$27.19
08/07/2023,$28.58,3204107,$28.63,$28.81,$28.43
08/04/2023,$28.47,2986980,$28.49,$28.86,$28.31
08/03/2023,$28.48,4886932,$28.18,$28.73,$27.93
08/02/2023,$28.37,4677112,$28.41,$28.51,$27.865
08/01/2023,$28.81,4257570,$29.01,$29.13,$28.35
07/31/2023,$29.10,4396041,$28.97,$29.13,$28.74
07/28/2023,$28.85,3366948,$28.93,$29.015,$28.60
07/27/2023,$28.57,4462426,$28.56,$29.02,$28.4899
07/26/2023,$28.53,4609839,$28.44,$28.85,$28.39
07/25/2023,$28.03,5008780,$28.71,$28.965,$27.99
07/24/2023,$28.66,4800429,$28.45,$28.88,$28.345
07/21/2023,$28.23,6345213,$29.32,$29.35,$28.22
