Date,Close/Last,Volume,Open,High,Low
09/06/2024,$40.31,2558080,$40.41,$40.70,$40.13
09/05/2024,$40.42,2234019,$41.32,$41.40,$40.395
09/04/2024,$41.18,2554841,$40.83,$41.58,$40.825
09/03/2024,$41.03,3745063,$41.26,$41.425,$40.86
08/30/2024,$41.37,2377445,$41.19,$41.425,$41.03
08/29/2024,$41.07,1802427,$41.19,$41.415,$41.03
08/28/2024,$41.23,1515731,$41.02,$41.325,$40.985
08/27/2024,$41.04,1675975,$41.00,$41.11,$40.845
08/26/2024,$41.08,1902319,$41.02,$41.395,$40.98
08/23/2024,$41.01,1590201,$40.89,$41.16,$40.75
08/22/2024,$40.77,2412246,$40.50,$40.91,$40.41
08/21/2024,$40.41,1662531,$40.06,$40.42,$39.955
08/20/2024,$40.07,2322770,$39.55,$40.12,$39.50
08/19/2024,$39.70,2646357,$39.58,$39.835,$39.46
08/16/2024,$39.54,3230012,$39.77,$39.84,$39.445
08/15/2024,$38.99,2453106,$39.46,$39.62,$38.82
08/14/2024,$39.06,2517397,$38.86,$39.20,$38.85
08/13/2024,$38.98,2814646,$38.91,$39.185,$38.85
08/12/2024,$38.83,2456244,$39.29,$39.47,$38.79
08/09/2024,$39.33,2618659,$39.43,$39.53,$39.17
08/08/2024,$39.30,2743777,$39.09,$39.49,$38.52
08/07/2024,$39.23,3467612,$39.18,$39.81,$38.82
08/06/2024,$38.81,5088978,$36.86,$38.985,$36.85
08/05/2024,$36.36,3708941,$36.78,$37.04,$36.09
08/02/2024,$37.31,2132481,$37.79,$37.98,$37.20
08/01/2024,$37.77,2462727,$38.26,$38.46,$37.705
07/31/2024,$38.04,1982534,$38.34,$38.45,$38.03
07/30/2024,$38.42,1921414,$37.84,$38.55,$37.77
07/29/2024,$37.79,1576850,$37.65,$37.89,$37.42
07/26/2024,$37.51,1850945,$37.25,$37.69,$36.97
07/25/2024,$37.07,2443527,$37.12,$37.41,$36.95
07/24/2024,$37.09,1634887,$37.08,$37.315,$36.82
07/23/2024,$37.07,2073035,$36.93,$37.155,$36.50
07/22/2024,$37.04,2300884,$36.92,$37.10,$36.45
07/19/2024,$36.89,1900727,$37.08,$37.23,$36.82
07/18/2024,$37.10,2395360,$37.37,$37.95,$37.08
07/17/2024,$37.45,3206814,$36.65,$37.50,$36.00
07/16/2024,$36.73,2818054,$36.10,$36.88,$36.02
07/15/2024,$35.99,2844438,$35.79,$36.30,$35.70
07/12/2024,$35.73,1533726,$35.76,$36.12,$35.70
07/11/2024,$35.64,1913929,$35.50,$35.90,$35.43
07/10/2024,$35.32,1767900,$35.30,$35.49,$35.18
07/09/2024,$35.19,2376999,$34.35,$35.27,$34.35
07/08/2024,$34.52,2052977,$34.73,$34.76,$34.49
07/05/2024,$34.54,2677169,$34.73,$34.83,$34.395
07/03/2024,$34.78,1599949,$34.56,$34.83,$34.495
07/02/2024,$34.48,3082664,$34.09,$34.49,$33.84
07/01/2024,$34.12,2378592,$34.51,$34.875,$34.08
06/28/2024,$34.37,2919346,$34.30,$34.57,$34.23
06/27/2024,$34.08,2208228,$34.42,$34.43,$33.82
06/26/2024,$34.42,2692835,$34.34,$34.555,$33.99
06/25/2024,$34.62,2879553,$34.61,$34.88,$34.31
06/24/2024,$34.46,1941436,$34.29,$34.54,$34.02
06/21/2024,$34.46,5624628,$34.39,$34.64,$34.20
06/20/2024,$34.35,3676468,$33.56,$34.41,$33.50
06/18/2024,$33.56,2789736,$33.52,$34.01,$33.50
06/17/2024,$33.44,3176263,$33.20,$33.47,$32.76
06/14/2024,$33.18,2410140,$33.13,$33.36,$32.93
06/13/2024,$33.33,2204814,$33.20,$33.40,$33.08
06/12/2024,$33.42,2311963,$33.61,$33.66,$33.16
06/11/2024,$33.34,3165795,$33.51,$33.77,$33.31
06/10/2024,$33.69,3236927,$33.90,$34.025,$33.45
06/07/2024,$34.11,2413608,$34.10,$34.625,$34.06
06/06/2024,$34.35,2714316,$34.51,$34.91,$34.27
06/05/2024,$34.63,2757687,$34.60,$34.75,$34.28
06/04/2024,$34.52,3276365,$34.64,$35.04,$34.50
06/03/2024,$34.81,2853858,$34.63,$35.00,$34.42
05/31/2024,$34.43,5502346,$34.29,$34.80,$34.1049
05/30/2024,$34.27,3409723,$33.89,$34.58,$33.60
05/29/2024,$33.81,3043789,$33.50,$33.995,$33.27
05/28/2024,$33.50,2546933,$33.58,$33.86,$33.335
05/24/2024,$33.61,2045432,$33.16,$33.63,$33.06
05/23/2024,$32.97,2546591,$32.91,$33.275,$32.66
05/22/2024,$33.01,2280523,$32.68,$33.03,$32.51
05/21/2024,$32.87,2204581,$32.99,$33.285,$32.84
05/20/2024,$32.99,1908593,$32.80,$33.06,$32.64
05/17/2024,$32.85,2229218,$32.73,$32.87,$32.50
05/16/2024,$32.68,3927751,$32.78,$33.00,$32.45
05/15/2024,$32.96,2463179,$33.38,$33.46,$32.92
05/14/2024,$33.31,2627206,$33.41,$33.60,$33.19
05/13/2024,$33.18,3073902,$33.49,$33.81,$33.14
05/10/2024,$33.41,2488207,$33.47,$33.745,$33.255
05/09/2024,$33.32,4287802,$33.77,$34.15,$33.21
05/08/2024,$33.16,4277857,$32.38,$33.23,$31.71
05/07/2024,$32.32,4354700,$32.50,$32.765,$32.26
05/06/2024,$32.56,2612163,$32.37,$32.57,$32.14
05/03/2024,$32.11,2587669,$31.88,$32.135,$31.73
05/02/2024,$31.66,2011347,$31.49,$31.68,$31.17
05/01/2024,$31.33,2258080,$30.95,$31.525,$30.95
04/30/2024,$31.01,3475802,$31.47,$31.55,$30.915
04/29/2024,$31.57,2564735,$31.28,$31.67,$31.22
04/26/2024,$31.21,3166044,$31.52,$31.69,$31.08
04/25/2024,$31.68,2392270,$31.43,$31.78,$31.265
04/24/2024,$31.71,2394788,$31.54,$31.84,$31.375
04/23/2024,$31.71,1971969,$31.48,$31.805,$31.36
04/22/2024,$31.40,2431681,$31.60,$31.60,$31.235
04/19/2024,$31.39,2436824,$30.89,$31.52,$30.87
04/18/2024,$30.77,2029261,$30.63,$30.91,$30.39
04/17/2024,$30.46,2107380,$30.64,$30.75,$30.30
04/16/2024,$30.40,3130973,$30.31,$30.60,$30.08
04/15/2024,$30.35,4615301,$30.09,$31.045,$30.02
04/12/2024,$30.09,2349184,$30.60,$30.69,$30.06
04/11/2024,$30.74,2556492,$30.88,$31.04,$30.365
04/10/2024,$30.87,2688719,$30.93,$31.09,$30.585
04/09/2024,$31.35,3662575,$31.22,$31.525,$31.06
04/08/2024,$31.21,3669652,$30.95,$31.40,$30.74
04/05/2024,$31.02,6128369,$31.22,$31.42,$30.95
04/04/2024,$31.14,3237947,$31.57,$31.805,$31.09
04/03/2024,$31.41,2779942,$31.03,$31.46,$30.825
04/02/2024,$31.03,2260941,$31.31,$31.75,$30.93
04/01/2024,$31.35,2744420,$31.27,$31.36,$30.935
03/28/2024,$31.27,4151228,$31.24,$31.36,$30.935
03/27/2024,$31.17,3788945,$30.82,$31.215,$30.645
03/26/2024,$30.58,3419277,$30.35,$30.80,$30.15
03/25/2024,$30.22,3206047,$30.19,$30.44,$30.07
03/22/2024,$30.04,1999318,$30.58,$30.77,$29.885
03/21/2024,$30.51,2617734,$30.36,$30.56,$30.06
03/20/2024,$30.22,3046671,$29.67,$30.435,$29.53
03/19/2024,$29.81,2735042,$29.76,$30.04,$29.615
03/18/2024,$29.71,2867378,$29.68,$29.88,$29.345
03/15/2024,$29.55,5970302,$29.29,$29.855,$29.29
03/14/2024,$29.32,3363949,$29.69,$29.80,$29.14
03/13/2024,$29.78,3375932,$29.50,$29.965,$29.50
03/12/2024,$29.46,2763743,$30.00,$30.04,$29.29
03/11/2024,$29.93,3561981,$28.91,$30.145,$28.91
03/08/2024,$28.86,3289546,$28.71,$28.99,$28.67
03/07/2024,$28.66,4007288,$28.44,$28.72,$28.345
03/06/2024,$28.42,4124282,$28.77,$29.06,$28.285
03/05/2024,$28.82,4544652,$28.64,$29.325,$28.42
03/04/2024,$29.04,3900498,$29.28,$29.31,$28.40
03/01/2024,$29.42,3217373,$29.85,$29.89,$29.23
02/29/2024,$29.79,5212082,$29.64,$30.11,$29.56
02/28/2024,$29.44,2854808,$29.53,$29.625,$29.385
02/27/2024,$29.57,2723490,$29.71,$29.87,$29.485
02/26/2024,$29.63,2938042,$30.09,$30.28,$29.58
02/23/2024,$30.23,3628706,$30.012,$30.445,$29.67
