Date,Close/Last,Volume,Open,High,Low
09/06/2024,$115.45,654060,$116.04,$117.06,$115.05
09/05/2024,$115.94,859823,$115.10,$117.23,$114.77
09/04/2024,$114.42,694708,$114.89,$115.78,$114.11
09/03/2024,$114.63,469234,$114.18,$114.79,$113.79
08/30/2024,$115.00,717798,$114.45,$115.34,$114.10
08/29/2024,$114.48,526039,$115.00,$115.03,$113.80
08/28/2024,$115.00,533979,$115.30,$115.61,$114.63
08/27/2024,$115.05,515876,$115.19,$116.29,$114.97
08/26/2024,$115.96,461992,$117.02,$117.02,$115.91
08/23/2024,$116.19,664004,$114.53,$116.49,$114.18
08/22/2024,$114.17,962365,$113.59,$114.64,$113.15
08/21/2024,$113.60,761308,$113.08,$113.71,$112.82
08/20/2024,$112.88,657450,$113.00,$113.445,$112.42
08/19/2024,$112.94,856337,$113.32,$114.30,$112.70
08/16/2024,$113.31,598458,$113.43,$113.675,$112.13
08/15/2024,$113.13,710602,$113.00,$114.45,$112.20
08/14/2024,$112.62,373236,$112.15,$113.405,$112.09
08/13/2024,$111.78,504580,$112.39,$112.44,$111.06
08/12/2024,$111.67,408314,$112.57,$112.65,$111.10
08/09/2024,$112.80,556679,$112.54,$112.94,$111.645
08/08/2024,$112.34,647244,$112.00,$113.37,$111.635
08/07/2024,$112.00,695163,$113.09,$113.93,$111.41
08/06/2024,$112.45,556550,$109.77,$113.73,$109.26
08/05/2024,$109.76,710683,$110.07,$112.66,$109.28
08/02/2024,$112.48,979478,$115.00,$115.05,$111.59
08/01/2024,$112.80,552454,$112.51,$113.71,$112.04
07/31/2024,$111.65,1005001,$113.33,$113.92,$111.65
07/30/2024,$113.91,463662,$110.98,$114.45,$110.62
07/29/2024,$110.85,497803,$109.61,$110.99,$109.21
07/26/2024,$109.55,309546,$107.73,$109.88,$107.61
07/25/2024,$107.06,629434,$107.58,$109.00,$106.96
07/24/2024,$107.25,550069,$109.79,$110.155,$106.80
07/23/2024,$109.69,414877,$110.64,$110.78,$109.65
07/22/2024,$110.80,442614,$109.38,$110.88,$108.755
07/19/2024,$109.50,538238,$110.01,$110.01,$108.76
07/18/2024,$109.55,481260,$109.35,$111.02,$109.01
07/17/2024,$109.85,530503,$108.51,$110.07,$108.225
07/16/2024,$108.70,426559,$106.95,$108.84,$106.72
07/15/2024,$106.40,454092,$106.80,$107.16,$106.04
07/12/2024,$106.31,592188,$105.92,$106.865,$105.52
07/11/2024,$104.93,566847,$104.23,$105.56,$103.82
07/10/2024,$102.61,426098,$100.95,$102.75,$100.66
07/09/2024,$100.59,442255,$100.50,$101.11,$100.01
07/08/2024,$100.59,303955,$101.10,$101.76,$100.21
07/05/2024,$100.80,227142,$100.63,$101.13,$100.41
07/03/2024,$100.65,145381,$101.58,$101.77,$100.56
07/02/2024,$101.12,265000,$100.59,$101.15,$100.3847
07/01/2024,$100.42,360305,$100.43,$101.08,$99.635
06/28/2024,$100.97,752901,$100.75,$101.00,$99.87
06/27/2024,$100.33,362382,$99.24,$100.45,$98.70
06/26/2024,$99.16,1096250,$98.51,$99.57,$98.13
06/25/2024,$99.30,383488,$101.00,$101.30,$99.0975
06/24/2024,$101.08,421218,$100.14,$101.50,$100.005
06/21/2024,$100.25,1124651,$100.39,$100.81,$99.50
06/20/2024,$101.00,435088,$100.66,$101.63,$100.25
06/18/2024,$100.99,441526,$100.71,$101.28,$100.32
06/17/2024,$100.48,390904,$100.63,$101.15,$100.48
06/14/2024,$101.19,450121,$101.27,$102.13,$101.01
06/13/2024,$101.78,379518,$100.74,$102.705,$100.2076
06/12/2024,$100.85,384204,$101.84,$102.87,$100.57
06/11/2024,$99.86,370310,$99.95,$100.63,$99.815
06/10/2024,$100.56,557877,$100.75,$101.51,$99.28
06/07/2024,$101.01,396539,$100.70,$101.195,$100.54
06/06/2024,$102.04,322257,$101.31,$102.32,$101.10
06/05/2024,$101.73,355866,$101.59,$102.00,$100.90
06/04/2024,$101.58,447278,$101.42,$102.12,$101.39
06/03/2024,$101.29,388864,$100.95,$102.01,$100.89
05/31/2024,$100.95,952473,$99.35,$101.17,$98.70
05/30/2024,$98.84,374308,$98.45,$99.36,$98.40
05/29/2024,$97.70,437008,$97.00,$98.09,$96.89
05/28/2024,$98.00,657567,$99.00,$99.25,$97.85
05/24/2024,$98.06,320099,$99.47,$99.47,$98.01
05/23/2024,$98.65,511515,$100.94,$101.075,$98.61
05/22/2024,$101.09,314160,$101.14,$101.785,$100.86
05/21/2024,$101.29,313407,$100.68,$101.39,$100.58
05/20/2024,$101.01,318901,$102.14,$102.31,$100.74
05/17/2024,$102.33,624923,$101.79,$102.41,$101.2814
05/16/2024,$101.63,546064,$103.00,$103.34,$101.45
05/15/2024,$102.99,466586,$103.86,$103.89,$102.70
05/14/2024,$102.47,440447,$103.00,$103.26,$102.13
05/13/2024,$102.46,501371,$102.57,$102.57,$101.75
05/10/2024,$101.72,703979,$103.06,$103.35,$101.58
05/09/2024,$102.55,623161,$102.50,$102.73,$101.87
05/08/2024,$102.11,340841,$102.75,$103.29,$101.72
