Date,Close/Last,Volume,Open,High,Low
09/06/2024,$208.65,1318807,$214.00,$217.48,$207.43
09/05/2024,$214.76,1081721,$216.19,$217.22,$213.26
09/04/2024,$215.40,1156213,$211.68,$217.98,$211.10
09/03/2024,$212.74,2498480,$226.65,$229.49,$210.89
08/30/2024,$227.37,1235344,$224.67,$228.41,$223.45
08/29/2024,$223.10,1186371,$231.00,$234.28,$222.63
08/28/2024,$228.57,1087012,$235.07,$238.11,$226.0075
08/27/2024,$235.42,1300380,$230.48,$235.54,$226.90
08/26/2024,$233.19,2461123,$236.22,$244.21,$233.035
08/23/2024,$231.065,1274326,$220.00,$231.28,$219.0395
08/22/2024,$218.26,941221,$222.00,$224.00,$217.77
08/21/2024,$222.63,882782,$222.00,$224.42,$219.45
08/20/2024,$220.20,1805912,$227.02,$230.89,$217.185
08/19/2024,$228.38,1274788,$225.00,$231.975,$224.98
08/16/2024,$225.40,1479645,$229.00,$229.97,$222.53
08/15/2024,$229.58,1267469,$228.50,$233.09,$225.80
08/14/2024,$225.54,1266788,$232.52,$232.7675,$225.14
08/13/2024,$230.27,2365622,$222.00,$232.21,$221.67
08/12/2024,$219.23,1691458,$212.85,$220.52,$212.20
08/09/2024,$211.80,814977,$210.13,$213.70,$207.00
08/08/2024,$213.13,1723811,$208.50,$215.27,$204.00
08/07/2024,$208.76,1501269,$216.50,$219.6654,$208.38
08/06/2024,$210.45,1797122,$206.31,$215.88,$205.00
08/05/2024,$207.09,2684859,$201.00,$212.16,$195.27
08/02/2024,$213.045,2782387,$216.70,$223.31,$210.7236
08/01/2024,$218.50,3359000,$219.10,$227.99,$215.33
07/31/2024,$215.99,5256393,$220.12,$227.50,$209.79
07/30/2024,$210.89,3448047,$222.00,$224.46,$209.25
07/29/2024,$220.40,2020909,$226.75,$229.16,$218.70
07/26/2024,$226.74,2209270,$221.57,$230.79,$220.50
07/25/2024,$216.19,1654094,$218.78,$224.11,$215.014
07/24/2024,$221.33,2298166,$224.02,$232.87,$221.01
07/23/2024,$223.01,1916186,$222.86,$226.80,$220.00
07/22/2024,$220.24,2525481,$225.51,$226.26,$217.82
07/19/2024,$216.43,2565198,$214.00,$218.35,$211.7887
07/18/2024,$213.58,3234646,$213.65,$217.80,$209.76
07/17/2024,$208.17,3385302,$215.56,$217.94,$206.85
07/16/2024,$221.25,3100840,$216.90,$223.73,$213.00
07/15/2024,$213.42,5197239,$220.22,$220.36,$209.21
07/12/2024,$233.24,1641041,$235.70,$238.79,$232.40
07/11/2024,$233.45,2479265,$236.00,$240.96,$228.37
07/10/2024,$228.57,1642477,$226.87,$231.27,$224.90
07/09/2024,$225.23,1572766,$227.00,$229.78,$222.70
07/08/2024,$227.12,2220574,$227.96,$231.99,$223.19
07/05/2024,$222.12,2474519,$231.51,$233.58,$220.8001
07/03/2024,$231.11,3989501,$220.05,$231.72,$216.77
07/02/2024,$216.73,3188404,$222.65,$227.54,$214.37
07/01/2024,$222.71,3592336,$224.75,$226.18,$217.26
06/28/2024,$225.46,6087910,$248.73,$248.73,$225.12
06/27/2024,$249.92,1921209,$245.90,$251.6399,$243.43
06/26/2024,$247.93,2807688,$256.43,$256.43,$243.291
06/25/2024,$256.74,1443731,$259.82,$261.00,$255.09
06/24/2024,$261.28,2519747,$256.65,$268.12,$254.51
06/21/2024,$258.87,3990832,$259.32,$266.5599,$256.01
06/20/2024,$260.07,2814467,$260.00,$262.87,$253.6101
06/18/2024,$262.37,2960705,$255.29,$263.6999,$253.57
06/17/2024,$261.33,5104264,$273.21,$274.0797,$254.24
06/14/2024,$273.61,3173720,$288.18,$290.90,$272.81
06/13/2024,$291.56,2571837,$300.24,$304.5207,$287.02
06/12/2024,$300.71,3730928,$300.495,$306.7699,$296.40
06/11/2024,$294.53,4102593,$279.89,$294.58,$275.4225
06/10/2024,$279.80,3457110,$265.91,$283.96,$263.07
06/07/2024,$267.34,2556371,$266.85,$279.9499,$265.09
06/06/2024,$273.45,2154328,$270.00,$278.50,$267.36
06/05/2024,$273.06,2906324,$268.165,$285.52,$266.54
06/04/2024,$266.17,2292573,$274.05,$278.10,$265.43
06/03/2024,$272.72,3279862,$273.26,$283.50,$271.41
05/31/2024,$271.76,5149688,$279.36,$281.00,$261.21
05/30/2024,$276.78,3484228,$272.92,$278.47,$268.1051
05/29/2024,$278.19,4384554,$274.38,$286.60,$272.13
05/28/2024,$280.16,4702137,$276.76,$283.6349,$271.50
05/24/2024,$276.74,8773170,$253.88,$278.80,$251.00
05/23/2024,$249.81,4874354,$245.00,$251.98,$237.563
05/22/2024,$251.75,14385410,$213.33,$253.99,$213.19
05/21/2024,$212.11,3916283,$197.71,$212.37,$197.635
05/20/2024,$196.34,1401265,$198.73,$199.15,$194.50
05/17/2024,$197.59,1719187,$194.08,$199.01,$193.69
05/16/2024,$194.62,1549092,$193.09,$196.10,$191.90
05/15/2024,$191.93,2376601,$192.08,$196.00,$186.06
05/14/2024,$186.97,2386227,$194.34,$196.41,$183.35
05/13/2024,$189.54,1998209,$192.50,$194.285,$188.37
05/10/2024,$191.05,1775182,$197.00,$199.10,$190.92
05/09/2024,$193.61,1230645,$190.87,$193.85,$188.7323
05/08/2024,$190.72,1569538,$192.00,$193.84,$190.35
05/07/2024,$194.67,1745070,$194.20,$197.67,$191.51
05/06/2024,$193.81,1768931,$192.97,$198.0495,$192.13
05/03/2024,$191.55,3008268,$185.00,$193.51,$185.00
05/02/2024,$180.51,3452683,$178.54,$181.40,$172.09
05/01/2024,$177.58,2477927,$176.61,$183.69,$175.07
04/30/2024,$176.30,1300648,$178.35,$180.22,$176.23
04/29/2024,$180.83,1351940,$180.15,$182.43,$177.90
04/26/2024,$178.73,1339017,$175.50,$180.72,$175.50
04/25/2024,$175.02,1684922,$176.90,$177.00,$170.56
04/24/2024,$177.48,2085724,$181.20,$183.78,$174.93
04/23/2024,$180.10,1981082,$177.25,$183.23,$175.656
04/22/2024,$176.28,2011988,$175.39,$178.70,$170.25
04/19/2024,$175.04,3261030,$179.42,$179.70,$174.14
04/18/2024,$174.29,1633891,$178.48,$179.07,$173.19
04/17/2024,$178.01,3342952,$175.53,$183.65,$172.41
04/16/2024,$173.08,1856203,$174.22,$175.6599,$172.01
04/15/2024,$175.96,1614513,$181.38,$181.9999,$175.87
04/12/2024,$182.48,1912586,$185.66,$187.88,$181.04
04/11/2024,$184.44,1595082,$188.00,$188.32,$179.59
04/10/2024,$185.29,2013062,$179.13,$185.855,$178.71
04/09/2024,$184.70,2011981,$181.00,$186.93,$180.94
04/08/2024,$179.22,2225607,$176.52,$181.9697,$176.07
04/05/2024,$174.60,2343871,$167.35,$176.285,$167.01
04/04/2024,$171.46,3393503,$170.10,$177.34,$168.20
04/03/2024,$166.73,1254782,$166.23,$167.065,$162.16
04/02/2024,$167.17,1643614,$169.76,$171.49,$165.64
04/01/2024,$171.87,1887484,$169.72,$172.24,$167.37
03/28/2024,$168.80,2133816,$168.64,$173.02,$167.14
03/27/2024,$167.45,3378080,$154.86,$167.70,$154.50
03/26/2024,$153.16,1229584,$155.50,$157.55,$152.63
03/25/2024,$154.77,1152948,$153.13,$156.07,$152.285
03/22/2024,$153.31,1016131,$152.26,$153.82,$151.33
03/21/2024,$152.68,1693204,$152.00,$156.3599,$151.29
03/20/2024,$151.02,1405880,$147.55,$151.96,$146.4768
03/19/2024,$147.48,1879479,$147.41,$149.53,$145.77
03/18/2024,$149.48,1422322,$148.34,$151.3999,$146.10
03/15/2024,$147.42,2438701,$147.51,$149.55,$146.85
03/14/2024,$149.39,2717925,$157.75,$157.75,$148.63
03/13/2024,$158.04,1351516,$157.67,$160.22,$156.01
03/12/2024,$159.38,1681537,$161.53,$162.36,$157.6058
03/11/2024,$162.16,1744187,$161.75,$168.71,$161.58
03/08/2024,$161.35,1625073,$162.24,$165.35,$160.19
03/07/2024,$160.35,1106713,$160.00,$161.885,$158.18
03/06/2024,$158.42,1795216,$161.08,$163.57,$156.88
03/05/2024,$159.06,2766303,$154.83,$164.20,$152.40
03/04/2024,$156.70,2382695,$160.00,$161.20,$154.16
03/01/2024,$158.05,2888456,$152.74,$161.49,$152.69
02/29/2024,$153.89,4084693,$151.85,$157.23,$149.851
02/28/2024,$149.25,8492822,$153.95,$158.12,$146.4501
02/27/2024,$144.99,3707105,$147.00,$147.56,$144.28
