Date,Close/Last,Volume,Open,High,Low
09/06/2024,$70.67,4424473,$72.47,$72.90,$70.48
09/05/2024,$72.80,5930504,$72.52,$73.66,$72.21
09/04/2024,$71.69,2726270,$72.59,$72.94,$71.43
09/03/2024,$72.78,2594325,$74.05,$74.12,$72.29
08/30/2024,$74.40,2974238,$73.97,$74.58,$73.66
08/29/2024,$73.71,1011755,$73.51,$74.48,$73.13
08/28/2024,$73.04,2022960,$73.93,$74.41,$72.98
08/27/2024,$73.83,1772769,$73.24,$73.905,$73.10
08/26/2024,$73.36,1677139,$73.67,$73.80,$73.13
08/23/2024,$73.39,1331564,$72.89,$73.565,$72.52
08/22/2024,$72.43,2111855,$72.47,$72.91,$72.10
08/21/2024,$72.39,2282597,$70.80,$72.42,$70.79
08/20/2024,$70.41,2327627,$70.50,$70.73,$70.23
08/19/2024,$70.56,2569117,$69.84,$71.05,$69.37
08/16/2024,$69.58,2971822,$69.82,$70.22,$69.33
08/15/2024,$69.79,1808722,$69.75,$70.10,$69.17
08/14/2024,$68.73,2513098,$69.55,$69.55,$68.54
08/13/2024,$69.34,1423663,$68.67,$69.54,$67.94
08/12/2024,$68.33,1352585,$68.94,$69.15,$68.10
08/09/2024,$68.88,1772571,$68.75,$69.03,$67.72
08/08/2024,$68.89,1999553,$67.41,$68.97,$67.1901
08/07/2024,$67.01,1760875,$68.45,$69.31,$66.92
08/06/2024,$67.73,3161982,$67.87,$69.02,$67.47
08/05/2024,$67.64,3502960,$66.80,$68.675,$66.15
08/02/2024,$68.44,2909871,$69.79,$69.93,$68.40
08/01/2024,$70.46,2511790,$71.58,$72.32,$70.00
07/31/2024,$71.85,2646229,$71.70,$72.37,$71.25
07/30/2024,$71.20,1554763,$71.59,$72.05,$70.7527
07/29/2024,$71.30,1927790,$71.02,$72.33,$70.9991
07/26/2024,$70.99,2623728,$70.69,$71.60,$69.84
07/25/2024,$69.99,3791215,$70.18,$71.56,$69.49
07/24/2024,$70.40,5773596,$71.00,$73.76,$67.91
07/23/2024,$76.68,2154523,$76.44,$77.15,$76.32
07/22/2024,$76.62,1265514,$76.18,$76.66,$75.44
07/19/2024,$75.59,1308075,$77.23,$77.23,$75.515
07/18/2024,$77.09,1295141,$77.39,$78.72,$77.00
07/17/2024,$77.88,1226964,$78.69,$78.99,$77.86
07/16/2024,$78.92,2251043,$76.56,$79.37,$76.15
07/15/2024,$76.23,1297414,$75.46,$76.54,$75.42
07/12/2024,$75.59,1318290,$75.86,$76.47,$75.50
07/11/2024,$74.95,1414215,$73.96,$75.54,$73.78
