Date,Close/Last,Volume,Open,High,Low
09/06/2024,$150.00,2002606,$152.59,$154.79,$149.755
09/05/2024,$153.00,1920985,$154.32,$156.41,$152.7004
09/04/2024,$157.29,1352385,$159.10,$159.65,$155.91
09/03/2024,$159.50,1210968,$166.91,$166.91,$158.59
08/30/2024,$167.41,2573537,$165.59,$167.65,$164.47
08/29/2024,$164.99,657835,$164.35,$165.61,$163.96
08/28/2024,$164.05,670620,$164.75,$165.6399,$163.23
08/27/2024,$164.72,605258,$163.39,$165.72,$163.0101
08/26/2024,$164.17,817331,$162.43,$165.07,$162.33
08/23/2024,$162.45,776133,$163.31,$163.52,$160.73
08/22/2024,$162.42,919855,$164.75,$165.89,$162.17
08/21/2024,$164.93,1244801,$162.99,$165.55,$162.99
08/20/2024,$162.99,655209,$164.99,$165.55,$162.4854
08/19/2024,$163.94,1158473,$163.52,$164.02,$162.77
08/16/2024,$163.60,1028082,$162.75,$164.2519,$161.64
08/15/2024,$162.45,1004187,$161.21,$162.96,$160.66
08/14/2024,$160.83,1179316,$160.32,$162.93,$159.9701
08/13/2024,$159.99,1230550,$158.58,$160.73,$158.42
08/12/2024,$158.46,1090029,$158.00,$159.05,$156.64
08/09/2024,$157.53,762696,$156.84,$158.09,$155.98
08/08/2024,$156.84,1062578,$153.63,$156.98,$153.02
08/07/2024,$152.76,1335042,$153.41,$156.12,$152.455
08/06/2024,$152.02,2134638,$147.68,$154.7999,$147.49
08/05/2024,$146.88,1434627,$145.64,$149.16,$144.72
08/02/2024,$151.25,2407777,$146.91,$152.09,$145.85
08/01/2024,$141.41,2009304,$146.07,$146.94,$140.51
07/31/2024,$145.45,1415372,$145.18,$146.195,$144.59
07/30/2024,$143.80,825543,$144.31,$145.54,$143.09
07/29/2024,$143.84,1307186,$144.50,$145.155,$143.74
07/26/2024,$143.65,1395497,$144.08,$145.43,$142.91
07/25/2024,$143.29,1292734,$143.70,$144.61,$140.11
07/24/2024,$143.21,1160373,$145.91,$147.69,$142.98
07/23/2024,$147.67,877538,$148.02,$148.70,$147.14
07/22/2024,$147.18,905115,$145.92,$147.53,$145.38
07/19/2024,$145.19,879757,$145.06,$146.14,$144.54
07/18/2024,$144.43,1240801,$144.55,$145.27,$142.97
07/17/2024,$144.27,829900,$146.69,$146.86,$144.27
07/16/2024,$147.64,1016734,$147.51,$148.71,$146.58
07/15/2024,$146.79,980592,$146.20,$147.79,$146.20
07/12/2024,$145.33,1307722,$142.70,$146.08,$142.22
07/11/2024,$142.12,1043183,$142.50,$143.43,$141.10
07/10/2024,$142.46,1334407,$142.30,$143.105,$140.43
07/09/2024,$144.38,1190589,$144.13,$145.03,$143.74
07/08/2024,$143.65,1087012,$144.24,$145.13,$143.005
07/05/2024,$143.98,1091368,$143.83,$144.725,$142.98
07/03/2024,$143.69,1439136,$143.10,$145.36,$143.10
07/02/2024,$142.94,1737522,$141.18,$143.37,$141.14
07/01/2024,$141.50,1512178,$139.79,$142.27,$138.48
06/28/2024,$139.71,3401523,$140.33,$141.04,$138.63
06/27/2024,$140.24,1074370,$139.40,$140.91,$139.00
06/26/2024,$139.82,1782409,$140.80,$141.04,$138.76
06/25/2024,$141.18,2344718,$138.98,$141.2499,$138.22
06/24/2024,$138.41,1942939,$137.02,$139.58,$136.745
06/21/2024,$137.66,33009860,$138.20,$138.50,$136.00
06/20/2024,$137.91,1480124,$137.45,$138.10,$135.725
06/18/2024,$137.04,1526139,$138.24,$139.74,$137.01
06/17/2024,$138.04,1426332,$137.39,$139.24,$137.045
06/14/2024,$137.53,912915,$137.71,$137.71,$136.246
06/13/2024,$138.18,1425884,$137.84,$140.185,$137.275
06/12/2024,$138.07,1432380,$141.51,$142.00,$137.15
06/11/2024,$140.10,1333613,$141.55,$141.65,$138.54
06/10/2024,$142.04,2228698,$141.05,$142.95,$140.02
06/07/2024,$139.36,1196610,$138.92,$139.90,$138.10
06/06/2024,$138.66,1153708,$139.84,$140.70,$138.63
06/05/2024,$139.63,1160594,$139.34,$140.57,$138.72
06/04/2024,$138.80,1357145,$139.41,$139.55,$137.06
06/03/2024,$140.29,1023610,$138.84,$140.63,$138.39
05/31/2024,$139.63,3967233,$138.70,$139.80,$136.87
05/30/2024,$138.21,1323711,$138.30,$139.30,$137.55
05/29/2024,$139.36,1466228,$138.38,$140.82,$138.38
05/28/2024,$138.49,1272276,$139.67,$141.05,$137.8501
05/24/2024,$140.14,948030,$138.78,$141.27,$138.52
05/23/2024,$138.56,735584,$140.00,$140.00,$138.07
05/22/2024,$139.28,1102147,$139.25,$139.67,$137.94
05/21/2024,$138.87,630759,$137.50,$139.21,$137.30
05/20/2024,$137.96,779116,$136.25,$137.99,$135.03
05/17/2024,$135.70,795736,$135.40,$136.00,$134.625
05/16/2024,$135.01,811084,$136.46,$136.90,$134.87
05/15/2024,$136.45,1026977,$133.66,$136.76,$133.66
05/14/2024,$132.82,984312,$133.51,$133.98,$131.84
05/13/2024,$133.57,855667,$134.16,$135.43,$133.1601
05/10/2024,$133.92,1077491,$132.29,$133.98,$132.235
05/09/2024,$131.93,971801,$131.58,$132.90,$131.27
05/08/2024,$131.47,995809,$130.88,$132.00,$130.31
05/07/2024,$131.35,1892308,$128.53,$131.895,$128.53
05/06/2024,$128.34,1653992,$124.98,$128.60,$124.83
05/03/2024,$123.64,2261279,$126.15,$127.9899,$122.04
05/02/2024,$124.33,2028390,$123.16,$124.41,$120.59
05/01/2024,$122.29,1733303,$122.56,$125.39,$121.92
04/30/2024,$122.38,1294357,$124.62,$125.06,$122.37
04/29/2024,$125.01,1242070,$125.00,$126.50,$123.97
04/26/2024,$125.01,995756,$125.00,$126.68,$123.7313
04/25/2024,$124.14,1299651,$122.30,$124.40,$121.81
04/24/2024,$123.83,993934,$124.00,$124.69,$122.66
04/23/2024,$123.40,998402,$122.22,$123.89,$121.78
04/22/2024,$121.41,932893,$121.31,$122.44,$120.23
04/19/2024,$120.12,1146502,$121.53,$122.60,$119.76
04/18/2024,$121.35,1153702,$122.11,$123.80,$121.18
04/17/2024,$122.36,1089838,$123.83,$124.58,$122.22
04/16/2024,$123.25,1085826,$121.67,$124.25,$121.622
04/15/2024,$121.42,1038343,$124.04,$125.03,$121.16
04/12/2024,$123.30,1349315,$125.43,$126.195,$123.04
04/11/2024,$126.61,844414,$125.78,$126.98,$125.05
04/10/2024,$125.21,986017,$124.79,$126.765,$124.12
04/09/2024,$125.90,1414715,$126.80,$126.80,$124.21
04/08/2024,$126.80,1355664,$125.84,$127.15,$125.21
04/05/2024,$125.94,1369898,$124.00,$126.13,$123.71
04/04/2024,$123.93,1747866,$123.60,$125.55,$123.25
04/03/2024,$123.91,1277263,$122.08,$123.92,$121.66
04/02/2024,$122.23,1418223,$121.59,$122.402,$120.00
04/01/2024,$121.11,1060400,$118.39,$121.22,$118.39
03/28/2024,$118.68,1973701,$122.23,$122.275,$118.64
03/27/2024,$122.08,809177,$122.42,$122.83,$120.93
03/26/2024,$120.94,707390,$120.88,$121.68,$120.24
03/25/2024,$120.93,1014086,$121.46,$122.6522,$120.61
03/22/2024,$121.62,1060012,$120.47,$121.77,$120.40
03/21/2024,$120.36,929011,$119.89,$121.57,$119.26
03/20/2024,$119.15,911475,$119.33,$119.54,$118.49
03/19/2024,$119.19,1186729,$119.07,$119.391,$118.14
03/18/2024,$119.42,1392948,$117.33,$119.75,$117.33
03/15/2024,$117.19,2206650,$116.44,$118.15,$115.1915
03/14/2024,$117.14,905415,$117.94,$118.14,$116.32
03/13/2024,$117.71,1025752,$117.57,$118.39,$116.28
03/12/2024,$117.54,1692676,$115.11,$118.30,$115.11
03/11/2024,$114.58,1102218,$113.10,$114.893,$113.01
03/08/2024,$113.47,1442247,$113.82,$114.78,$112.49
03/07/2024,$113.82,2380741,$110.92,$114.50,$110.59
03/06/2024,$109.57,2411997,$110.54,$114.66,$109.16
03/05/2024,$108.96,2076649,$109.57,$110.62,$108.38
03/04/2024,$111.26,2092125,$113.31,$113.50,$108.51
03/01/2024,$113.72,1076457,$114.11,$115.19,$113.18
02/29/2024,$114.15,2838372,$113.88,$116.31,$112.29
02/28/2024,$113.01,980627,$113.35,$113.71,$112.71
02/27/2024,$113.37,786208,$114.03,$114.225,$113.225
02/26/2024,$114.06,1028814,$115.00,$115.28,$114.05
02/23/2024,$114.91,1566133,$114.21,$115.07,$113.8201
02/22/2024,$113.00,2048346,$111.28,$113.40,$109.92
02/21/2024,$109.65,1246513,$108.21,$109.65,$108.0237
02/20/2024,$108.90,1591013,$110.08,$110.795,$108.39
02/16/2024,$109.98,1016477,$110.95,$111.33,$109.615
02/15/2024,$111.35,2958656,$112.09,$112.315,$109.935
02/14/2024,$111.57,3124228,$112.21,$113.25,$108.00
02/13/2024,$113.03,2915083,$109.29,$113.18,$107.92
02/12/2024,$112.31,1980057,$112.53,$113.635,$111.96
02/09/2024,$112.92,1405111,$113.25,$113.70,$112.015
02/08/2024,$112.59,1104330,$112.56,$112.965,$111.32
02/07/2024,$112.38,1471638,$109.94,$112.49,$109.62
02/06/2024,$109.50,1480175,$109.32,$110.51,$108.49
02/05/2024,$109.50,2313051,$107.50,$110.085,$107.47
02/02/2024,$107.67,822439,$108.52,$108.52,$107.08
02/01/2024,$108.44,1334417,$107.20,$108.44,$106.77
01/31/2024,$106.66,1582869,$108.55,$108.94,$106.42
01/30/2024,$109.00,1530746,$108.65,$109.32,$108.36
01/29/2024,$108.05,1206694,$107.75,$108.20,$107.07
01/26/2024,$107.75,887059,$107.47,$107.99,$106.985
