Date,Close/Last,Volume,Open,High,Low
09/06/2024,$161.23,3954854,$164.51,$166.035,$160.59
09/05/2024,$163.85,3144178,$164.775,$166.00,$162.51
09/04/2024,$166.36,4112366,$163.50,$166.62,$163.40
09/03/2024,$164.21,6099644,$174.19,$174.75,$163.60
08/30/2024,$174.62,5295576,$173.96,$174.82,$171.77
08/29/2024,$173.58,4262466,$172.62,$175.97,$172.49
08/28/2024,$171.87,4578674,$171.20,$173.17,$170.29
08/27/2024,$170.99,3206224,$170.70,$171.50,$169.60
08/26/2024,$171.22,3707346,$170.54,$171.925,$169.581
08/23/2024,$171.22,4058017,$170.00,$171.38,$168.85
08/22/2024,$169.68,2996628,$171.74,$171.98,$168.771
08/21/2024,$171.20,4102938,$170.10,$172.19,$169.846
08/20/2024,$169.99,2573908,$170.91,$170.91,$169.185
08/19/2024,$170.93,4506034,$169.61,$171.00,$168.02
08/16/2024,$169.42,3305648,$170.05,$170.33,$168.86
08/15/2024,$169.94,4162516,$168.75,$170.75,$168.22
08/14/2024,$167.95,4456230,$168.50,$169.18,$165.62
08/13/2024,$167.96,2942447,$167.76,$168.63,$166.25
08/12/2024,$166.87,3173726,$167.63,$168.78,$164.62
08/09/2024,$167.13,2770097,$165.45,$167.88,$164.57
08/08/2024,$165.61,3842698,$164.48,$166.3292,$163.56
08/07/2024,$162.13,4307514,$164.42,$166.27,$161.57
08/06/2024,$162.27,5056741,$159.93,$165.45,$159.76
08/05/2024,$158.36,7064777,$152.49,$159.90,$150.2001
08/02/2024,$160.28,8210692,$165.57,$167.43,$158.36
08/01/2024,$169.75,6112910,$170.75,$174.6999,$168.215
07/31/2024,$170.20,5568848,$170.87,$171.75,$167.955
07/30/2024,$167.48,5329521,$170.48,$174.7299,$167.27
07/29/2024,$169.87,4886647,$171.25,$172.73,$168.40
07/26/2024,$169.81,7297730,$167.25,$172.62,$166.11
07/25/2024,$164.67,8791544,$163.30,$168.20,$161.92
07/24/2024,$162.30,7335162,$171.50,$172.87,$162.05
07/23/2024,$172.00,16428010,$166.00,$177.20,$164.615
07/22/2024,$162.76,6350462,$159.97,$162.94,$159.77
07/19/2024,$159.13,5459798,$159.66,$160.44,$157.615
07/18/2024,$158.79,5274776,$157.37,$160.4364,$156.42
07/17/2024,$156.66,6041174,$161.65,$161.9524,$156.51
07/16/2024,$162.85,6500748,$159.88,$163.87,$159.65
07/15/2024,$159.56,5383328,$160.60,$160.75,$158.6001
07/12/2024,$159.01,5983394,$161.88,$162.2999,$158.80
07/11/2024,$161.92,4554383,$165.19,$165.68,$161.79
07/10/2024,$165.70,3904631,$163.15,$165.99,$162.54
07/09/2024,$163.13,3830435,$163.98,$165.58,$163.03
07/08/2024,$163.53,3453327,$160.80,$163.7787,$160.65
07/05/2024,$160.50,4668292,$163.24,$163.24,$159.66
07/03/2024,$163.00,2577254,$161.88,$164.49,$161.54
07/02/2024,$161.45,5247310,$158.82,$162.94,$158.25
07/01/2024,$158.97,4435092,$160.67,$161.40,$156.05
06/28/2024,$158.97,8641197,$160.26,$161.62,$157.90
06/27/2024,$160.50,3339660,$160.80,$161.85,$159.60
06/26/2024,$160.64,3997980,$158.57,$161.02,$157.5174
06/25/2024,$159.73,6842543,$159.58,$163.65,$158.42
06/24/2024,$160.54,5518968,$164.10,$164.755,$159.20
06/21/2024,$164.24,17196620,$164.50,$164.92,$161.30
06/20/2024,$165.00,4957156,$164.97,$166.30,$163.05
06/18/2024,$164.97,5105349,$163.40,$165.19,$162.36
06/17/2024,$163.23,9564829,$156.14,$167.4999,$155.45
06/14/2024,$155.88,6247401,$154.22,$156.60,$153.215
06/13/2024,$155.69,8080897,$160.59,$160.63,$154.18
06/12/2024,$161.05,5790723,$161.26,$162.94,$159.18
06/11/2024,$160.36,5106374,$162.03,$162.255,$159.61
06/10/2024,$162.84,4385869,$162.00,$163.90,$161.56
06/07/2024,$161.92,3341848,$160.70,$163.80,$160.10
06/06/2024,$160.62,3867335,$162.30,$163.17,$159.7576
06/05/2024,$162.55,4279863,$161.83,$162.94,$160.52
06/04/2024,$161.38,5598552,$161.00,$161.98,$158.35
06/03/2024,$161.46,5220451,$166.12,$166.79,$159.03
05/31/2024,$165.14,11704760,$164.29,$165.35,$160.07
05/30/2024,$164.20,4385368,$163.48,$165.02,$163.19
05/29/2024,$163.60,4820761,$166.60,$167.4325,$163.39
05/28/2024,$168.56,5749667,$167.00,$168.65,$165.309
05/24/2024,$167.33,5500252,$165.83,$169.15,$163.85
05/23/2024,$165.26,7411549,$161.99,$166.27,$161.75
05/22/2024,$160.81,4432180,$160.49,$161.74,$159.73
05/21/2024,$161.00,5071258,$157.94,$161.22,$157.36
05/20/2024,$159.28,5586769,$159.92,$161.42,$158.82
05/17/2024,$159.89,5946278,$161.82,$161.88,$159.10
05/16/2024,$161.12,4283181,$163.00,$163.92,$161.09
05/15/2024,$163.47,7133332,$160.00,$163.74,$159.23
05/14/2024,$160.00,6103457,$158.64,$160.82,$158.0264
05/13/2024,$159.50,7768605,$163.08,$163.11,$158.86
05/10/2024,$163.38,5711329,$167.91,$168.74,$163.11
05/09/2024,$167.50,4968829,$168.76,$169.34,$167.13
05/08/2024,$168.86,4878184,$168.10,$170.19,$168.10
05/07/2024,$168.78,4781831,$167.81,$170.80,$167.22
05/06/2024,$167.97,4831567,$165.12,$167.98,$165.03
05/03/2024,$164.11,3968626,$165.30,$165.30,$162.0101
05/02/2024,$162.64,5030408,$161.39,$162.825,$159.4205
05/01/2024,$159.70,4776317,$162.57,$163.2999,$158.82
04/30/2024,$161.82,6723601,$163.56,$166.2558,$161.58
04/29/2024,$164.49,5382858,$163.00,$166.07,$163.00
04/26/2024,$162.35,5898021,$161.01,$163.365,$160.3114
04/25/2024,$161.26,5908202,$158.09,$161.48,$157.12
04/24/2024,$159.19,10415980,$161.87,$162.34,$155.5601
04/23/2024,$162.62,19250920,$157.83,$163.65,$152.82
04/22/2024,$150.19,7322753,$148.83,$151.9068,$148.83
04/19/2024,$148.06,9566097,$153.45,$153.525,$146.78
04/18/2024,$152.94,6186583,$156.68,$158.00,$152.88
04/17/2024,$155.67,6519865,$158.00,$158.6799,$153.63
04/16/2024,$156.76,6187178,$152.70,$157.02,$152.0009
04/15/2024,$153.70,6423661,$157.20,$158.685,$152.69
04/12/2024,$154.63,6851291,$155.90,$156.98,$153.03
04/11/2024,$157.68,6063183,$157.07,$158.44,$154.7491
04/10/2024,$156.61,8075439,$151.89,$157.79,$151.6507
04/09/2024,$154.49,8808815,$156.13,$157.87,$150.927
04/08/2024,$156.52,9588764,$157.47,$157.95,$153.70
04/05/2024,$156.30,14777860,$148.53,$156.47,$148.53
04/04/2024,$147.39,11880220,$146.65,$151.99,$146.21
04/03/2024,$145.62,16208460,$138.15,$147.935,$138.01
04/02/2024,$136.47,20490400,$140.53,$144.515,$133.99
04/01/2024,$140.53,5905509,$140.7223,$141.0686,$138.6868
03/28/2024,$140.6662,9674578,$144.2083,$144.2244,$139.7046
03/27/2024,$144.3446,10061020,$140.2575,$144.5369,$139.9851
03/26/2024,$139.0795,4035928,$139.0314,$140.2816,$138.1554
03/25/2024,$139.0314,5018487,$139.969,$140.6502,$138.4705
03/22/2024,$140.3617,5460640,$141.2833,$142.2449,$140.3056
03/21/2024,$141.5558,6297647,$139.937,$141.8843,$138.7109
03/20/2024,$139.384,5769668,$138.3262,$140.0652,$137.8454
03/19/2024,$139.0074,7470682,$136.0823,$139.384,$135.4333
03/18/2024,$136.1625,4971058,$135.4012,$136.8356,$135.0966
03/15/2024,$135.3451,10585590,$132.7486,$136.6353,$132.1395
03/14/2024,$133.6301,7550513,$136.4349,$136.8356,$132.7326
03/13/2024,$136.3628,6754093,$132.6364,$137.076,$132.6364
03/12/2024,$134.1991,5529596,$134.1911,$134.4716,$131.3702
03/11/2024,$133.4779,7453034,$133.9026,$134.9684,$130.6089
03/08/2024,$134.5998,16953110,$135.8419,$140.8921,$134.1109
03/07/2024,$133.4298,11487520,$129.8556,$133.6141,$129.479
03/06/2024,$127.8201,6543314,$127.4996,$129.0062,$126.9947
03/05/2024,$126.5058,6387649,$129.4389,$129.9438,$125.4795
03/04/2024,$129.0302,6705677,$127.7159,$129.6392,$127.0828
03/01/2024,$127.1389,6941921,$125.8167,$127.6759,$125.7125
02/29/2024,$125.7285,6526198,$125.0073,$125.9609,$124.294
02/28/2024,$124.7027,6091799,$123.5407,$125.7445,$123.2683
02/27/2024,$123.4045,5826333,$124.2059,$124.2219,$122.6913
02/26/2024,$124.0296,6149562,$123.1401,$124.3581,$123.0599
02/23/2024,$122.8756,5639422,$121.8098,$123.2522,$121.7376
02/22/2024,$121.5453,4591354,$120.0868,$122.0101,$120.0868
02/21/2024,$119.4617,4233742,$118.9809,$119.7182,$118.3318
02/20/2024,$119.1011,5719073,$119.4216,$120.4795,$118.456
02/16/2024,$119.5338,6876932,$119.3656,$120.4955,$119.0129
02/15/2024,$118.9008,6885487,$117.8029,$119.3175,$117.6306
02/14/2024,$117.4022,10467750,$114.5973,$117.7227,$114.0764
02/13/2024,$113.6116,7226569,$112.057,$113.6277,$111.1434
02/12/2024,$112.3294,3604384,$111.8246,$112.8463,$111.3117
02/09/2024,$111.6162,3451587,$111.3998,$111.7364,$110.7587
02/08/2024,$111.4319,3453420,$111.1113,$111.7765,$110.7908
02/07/2024,$110.9911,4635022,$111.0873,$111.2556,$110.5343
02/06/2024,$110.2539,4809777,$110.334,$110.903,$109.4525
02/05/2024,$110.358,5712662,$108.9717,$111.1033,$108.7873
02/02/2024,$109.4204,4871483,$108.5309,$110.1176,$108.2184
02/01/2024,$108.5149,4940626,$106.6076,$108.5549,$106.1588
01/31/2024,$106.1187,4990804,$107.2006,$107.7616,$105.8783
01/30/2024,$107.3288,6282004,$105.3654,$107.6053,$105.1571
01/29/2024,$105.0609,4889486,$105.3013,$105.8944,$103.931
01/26/2024,$105.133,3748178,$104.6041,$105.9745,$104.4919
01/25/2024,$104.1233,4857644,$104.6923,$106.1829,$103.931
01/24/2024,$104.1233,8607471,$104.3958,$104.4907,$101.3345
01/23/2024,$104.1393,10641530,$102.2801,$105.686,$101.3746
01/22/2024,$105.1651,8022739,$104.4038,$105.9985,$104.3838
01/19/2024,$104.0271,4911878,$103.1376,$104.2195,$102.1279
01/18/2024,$103.0174,5194038,$101.9355,$103.1136,$101.5909
01/17/2024,$101.6791,4015272,$102.1118,$103.1216,$101.1261
01/16/2024,$102.5526,5039557,$103.5383,$104.0592,$101.9676
01/12/2024,$104.0111,4501735,$104.6602,$104.8205,$103.5223
01/11/2024,$104.0432,4001601,$104.2756,$104.3397,$102.4244
01/10/2024,$103.939,3648349,$103.1376,$104.3156,$102.9853
01/09/2024,$103.2017,3842824,$101.9916,$103.2017,$101.7352
01/08/2024,$102.801,5522833,$101.1502,$102.9212,$99.5394
01/05/2024,$101.2063,3344122,$100.0924,$101.2463,$99.9561
01/04/2024,$99.90,3483045,$99.6115,$100.7856,$99.5074
01/03/2024,$99.4192,3616873,$100.2687,$100.3488,$99.0906
01/02/2024,$100.9338,4141809,$101.7833,$102.6928,$100.3648
12/29/2023,$102.2801,3544414,$102.769,$102.9613,$101.7432
12/28/2023,$102.8331,3164816,$102.5766,$103.5383,$102.4244
12/27/2023,$102.7369,2645078,$101.6951,$102.9052,$101.6551
12/26/2023,$102.1519,1979343,$101.615,$102.3442,$101.4868
12/22/2023,$101.5268,3216758,$102.0878,$102.6007,$101.1181
12/21/2023,$101.7512,4138231,$99.5554,$101.8153,$99.5234
12/20/2023,$98.8663,4973580,$100.5171,$101.1502,$98.746
12/19/2023,$100.9258,4754316,$99.1307,$100.9579,$99.1307
12/18/2023,$99.0826,4155012,$99.1067,$99.2389,$98.6499
12/15/2023,$98.7541,10842950,$98.0969,$99.1067,$97.6321
12/14/2023,$97.2475,8343367,$97.0712,$98.0889,$96.0855
12/13/2023,$97.1112,4394490,$97.8725,$98.0569,$96.5811
12/12/2023,$98.0248,3722697,$96.959,$98.149,$96.6544
12/11/2023,$96.39,3706195,$96.6384,$96.8957,$95.8771
12/08/2023,$96.6384,3930961,$95.4444,$96.8187,$95.3476
12/07/2023,$95.7489,4042047,$95.7649,$96.1816,$94.6991
12/06/2023,$96.0133,3163754,$97.0311,$98.2332,$95.9252
12/05/2023,$96.3499,2943496,$96.975,$97.1112,$96.1576
12/04/2023,$97.3917,3788738,$97.6161,$98.0969,$97.0952
12/01/2023,$98.169,4524030,$97.5279,$98.7701,$97.3436
11/30/2023,$97.6081,8120186,$95.4043,$97.6401,$95.2841
11/29/2023,$95.252,3027147,$95.7809,$95.9252,$94.9235
