Date,Close/Last,Volume,Open,High,Low
09/06/2024,$75.06,4057900,$74.60,$75.54,$74.425
09/05/2024,$74.51,4468757,$73.87,$74.83,$73.78
09/04/2024,$73.58,2895223,$72.65,$73.77,$72.60
09/03/2024,$72.63,4443431,$72.30,$72.845,$71.53
08/30/2024,$72.29,3645786,$71.25,$72.43,$71.25
08/29/2024,$71.36,3121568,$71.62,$71.65,$70.72
08/28/2024,$71.56,2687797,$70.99,$71.98,$70.59
08/27/2024,$71.03,1930182,$71.12,$71.40,$70.74
08/26/2024,$70.99,1839285,$70.72,$71.56,$70.67
08/23/2024,$70.83,1957481,$70.69,$70.92,$70.31
08/22/2024,$70.67,1823565,$70.95,$71.00,$70.32
08/21/2024,$70.63,2963862,$70.13,$70.87,$69.98
08/20/2024,$69.95,2962178,$69.82,$70.15,$69.45
08/19/2024,$69.82,4181211,$69.15,$70.005,$69.06
08/16/2024,$69.03,2320963,$68.75,$69.19,$68.61
08/15/2024,$68.75,3912425,$70.76,$70.78,$68.685
08/14/2024,$70.40,3857320,$69.21,$71.075,$69.21
08/13/2024,$69.20,2583805,$68.37,$69.34,$68.22
08/12/2024,$68.30,2099232,$69.45,$69.50,$66.00
08/09/2024,$69.12,1999644,$68.83,$69.21,$68.46
08/08/2024,$69.04,2440967,$68.34,$69.83,$68.16
08/07/2024,$68.85,2905319,$67.82,$69.235,$67.66
08/06/2024,$67.93,3475626,$68.28,$69.36,$67.875
08/05/2024,$68.28,3922918,$70.01,$70.83,$67.61
08/02/2024,$69.28,5271531,$68.43,$69.42,$67.63
08/01/2024,$67.67,4512455,$67.00,$67.88,$66.44
07/31/2024,$67.14,6477148,$67.69,$68.19,$67.12
07/30/2024,$68.05,3530825,$66.45,$68.14,$66.45
07/29/2024,$66.98,3135627,$66.17,$67.255,$65.56
07/26/2024,$66.32,2548167,$65.60,$66.64,$65.60
07/25/2024,$65.83,4020745,$65.63,$67.25,$65.4702
07/24/2024,$65.51,3621584,$64.26,$65.92,$63.675
07/23/2024,$63.99,2662220,$64.56,$64.64,$63.56
07/22/2024,$64.60,2778265,$64.49,$65.18,$64.22
07/19/2024,$64.38,2361482,$65.57,$65.72,$64.16
07/18/2024,$65.52,2988988,$64.69,$66.81,$64.65
07/17/2024,$65.34,4090493,$63.53,$65.66,$63.415
