Date,Close/Last,Volume,Open,High,Low
09/06/2024,$102.54,1173984,$104.52,$105.27,$102.04
09/05/2024,$104.58,772844,$106.46,$106.46,$104.2101
09/04/2024,$105.55,869310,$105.10,$107.14,$104.675
09/03/2024,$105.18,1180390,$104.57,$105.60,$103.70
08/30/2024,$105.05,965933,$105.55,$105.72,$104.23
08/29/2024,$105.22,863979,$104.04,$105.66,$103.54
08/28/2024,$103.54,837216,$101.97,$103.74,$101.42
08/27/2024,$101.89,873246,$103.47,$103.55,$101.57
08/26/2024,$102.17,1004216,$101.26,$103.31,$101.065
08/23/2024,$100.84,897905,$99.63,$101.98,$99.57
08/22/2024,$98.95,769144,$97.63,$99.27,$97.48
08/21/2024,$97.53,644288,$97.55,$98.11,$97.24
08/20/2024,$97.27,730402,$97.80,$98.12,$97.13
08/19/2024,$98.14,797014,$96.73,$98.54,$96.73
08/16/2024,$96.89,1010742,$96.11,$97.42,$96.11
08/15/2024,$95.96,1188543,$95.26,$97.245,$95.09
08/14/2024,$93.97,1011025,$93.45,$95.47,$93.09
08/13/2024,$93.18,829703,$91.80,$93.32,$91.675
08/12/2024,$91.50,684910,$92.49,$93.12,$91.26
08/09/2024,$92.02,851677,$91.53,$93.34,$91.16
08/08/2024,$91.31,777051,$89.13,$91.42,$89.13
08/07/2024,$88.81,772796,$89.73,$91.495,$88.75
08/06/2024,$88.98,827361,$88.76,$89.76,$87.875
08/05/2024,$88.63,968757,$88.70,$89.30,$86.10
08/02/2024,$90.91,937317,$91.44,$91.5199,$89.30
08/01/2024,$92.95,759914,$93.40,$94.755,$92.33
07/31/2024,$92.74,815159,$94.19,$94.59,$92.74
07/30/2024,$94.46,1094481,$92.36,$94.82,$92.25
07/29/2024,$92.07,1027130,$91.35,$93.63,$91.35
07/26/2024,$90.69,998446,$90.31,$90.83,$89.17
07/25/2024,$89.08,1206858,$94.01,$94.01,$87.585
07/24/2024,$88.28,958552,$89.69,$90.38,$88.17
07/23/2024,$89.56,578573,$88.75,$90.11,$88.75
07/22/2024,$88.98,1207631,$90.15,$91.08,$88.76
07/19/2024,$88.26,639441,$88.23,$89.20,$87.33
07/18/2024,$88.20,943278,$88.86,$90.82,$88.12
07/17/2024,$88.93,1400877,$88.61,$90.20,$88.44
07/16/2024,$88.51,1077148,$87.11,$89.21,$87.11
07/15/2024,$86.81,579338,$86.02,$87.44,$85.86
07/12/2024,$86.04,636365,$85.82,$86.78,$85.15
07/11/2024,$85.23,746082,$83.49,$85.80,$83.375
07/10/2024,$83.13,701201,$82.04,$83.32,$81.64
07/09/2024,$81.91,618705,$81.06,$82.6299,$80.36
07/08/2024,$80.92,661858,$81.93,$82.39,$80.58
07/05/2024,$81.48,1661615,$81.62,$82.41,$80.50
07/03/2024,$82.44,658457,$83.40,$84.29,$82.33
07/02/2024,$83.08,914132,$82.54,$83.47,$82.54
07/01/2024,$82.83,953138,$83.10,$84.46,$82.75
06/28/2024,$82.28,2087413,$82.65,$83.65,$81.77
06/27/2024,$82.24,923753,$82.82,$83.01,$81.25
06/26/2024,$83.21,676679,$83.04,$83.26,$81.635
06/25/2024,$83.51,1302637,$83.40,$84.04,$82.87
06/24/2024,$83.69,1344397,$83.29,$84.65,$83.29
06/21/2024,$83.06,3054585,$82.24,$84.10,$81.885
06/20/2024,$82.57,1262628,$80.39,$82.97,$80.01
06/18/2024,$80.40,1204868,$79.55,$80.50,$79.38
06/17/2024,$79.92,1047511,$78.32,$80.575,$77.935
06/14/2024,$77.89,1466160,$78.74,$79.78,$76.5506
06/13/2024,$79.71,1244566,$80.42,$80.52,$78.88
06/12/2024,$81.11,1720789,$80.97,$82.49,$80.345
06/11/2024,$80.63,1477459,$80.72,$81.285,$79.74
06/10/2024,$81.62,1201656,$80.92,$82.00,$80.27
06/07/2024,$81.33,1190078,$80.89,$82.00,$79.78
06/06/2024,$81.24,1959279,$83.47,$83.83,$80.25
06/05/2024,$83.55,1202422,$82.00,$83.96,$81.35
06/04/2024,$81.81,1700873,$82.07,$83.22,$81.07
06/03/2024,$82.48,1482243,$83.21,$84.36,$82.1025
05/31/2024,$82.76,8264301,$82.50,$83.49,$81.32
05/30/2024,$82.27,1253805,$82.99,$83.75,$82.17
05/29/2024,$82.37,1255935,$83.17,$83.49,$80.52
05/28/2024,$83.96,1674152,$81.34,$84.35,$80.61
05/24/2024,$81.74,1410898,$80.76,$81.99,$80.31
05/23/2024,$80.55,1982771,$84.87,$84.87,$80.40
05/22/2024,$85.60,2031062,$83.33,$86.03,$82.47
05/21/2024,$83.33,1924470,$84.49,$84.59,$80.8701
05/20/2024,$86.01,1274118,$86.31,$86.91,$84.59
05/17/2024,$86.07,2300674,$84.94,$86.445,$83.43
05/16/2024,$83.94,2370111,$88.35,$88.65,$82.82
05/15/2024,$87.78,1542700,$88.62,$88.62,$86.97
05/14/2024,$88.56,2005689,$84.30,$89.92,$84.07
05/13/2024,$85.14,1632716,$86.93,$87.63,$84.71
05/10/2024,$86.50,2007639,$87.37,$88.04,$85.49
05/09/2024,$86.88,3093547,$89.03,$91.39,$86.85
05/08/2024,$89.49,2917600,$84.54,$89.89,$83.39
05/07/2024,$85.16,3400788,$80.75,$85.40,$79.93
