Date,Close/Last,Volume,Open,High,Low
09/06/2024,$947.93,174308,$942.08,$957.08,$942.08
09/05/2024,$938.48,242503,$947.54,$947.54,$927.185
09/04/2024,$952.29,143529,$958.48,$961.485,$944.87
09/03/2024,$960.06,217399,$982.65,$983.33,$954.41
08/30/2024,$984.92,313403,$971.44,$985.465,$966.09
08/29/2024,$968.04,141865,$972.01,$980.64,$964.79
08/28/2024,$968.34,160297,$967.41,$973.31,$961.20
08/27/2024,$967.36,161432,$969.72,$973.93,$960.79
08/26/2024,$973.59,183509,$986.00,$986.945,$965.25
08/23/2024,$982.23,131187,$981.07,$985.79,$974.70
08/22/2024,$977.15,154649,$981.93,$985.71,$973.01
08/21/2024,$980.25,200042,$967.65,$984.31,$965.59
08/20/2024,$962.40,147533,$959.03,$966.075,$956.7301
08/19/2024,$958.14,280074,$965.54,$970.03,$950.97
08/16/2024,$966.37,294787,$958.53,$970.485,$956.60
08/15/2024,$958.84,209686,$959.82,$965.68,$949.99
08/14/2024,$952.70,227301,$960.67,$961.13,$948.30
08/13/2024,$961.14,248709,$962.20,$964.18,$939.87
08/12/2024,$959.42,145533,$976.11,$976.11,$957.45
08/09/2024,$979.31,154505,$970.00,$981.80,$963.22
08/08/2024,$972.24,207746,$959.53,$973.71,$959.53
08/07/2024,$951.19,258992,$962.68,$973.75,$946.80
08/06/2024,$952.66,300086,$950.66,$971.09,$942.80
08/05/2024,$949.99,278706,$945.18,$958.76,$924.245
08/02/2024,$952.79,361136,$937.65,$957.30,$928.32
08/01/2024,$942.36,573114,$939.34,$986.73,$916.30
07/31/2024,$976.81,385340,$974.70,$991.885,$969.03
07/30/2024,$966.36,159932,$967.64,$972.55,$960.77
07/29/2024,$966.81,130646,$971.15,$973.00,$965.335
07/26/2024,$970.34,213314,$961.43,$978.375,$960.12
07/25/2024,$954.15,217362,$936.94,$964.24,$931.37
07/24/2024,$932.63,212588,$948.57,$950.48,$932.18
07/23/2024,$951.30,159042,$951.49,$958.73,$949.10
07/22/2024,$951.61,201182,$950.53,$953.14,$936.27
07/19/2024,$945.83,192273,$963.52,$963.52,$942.54
07/18/2024,$957.36,321231,$968.67,$982.95,$955.15
07/17/2024,$974.82,334891,$983.06,$990.46,$973.58
07/16/2024,$988.07,416171,$950.43,$988.74,$949.04
07/15/2024,$942.78,323527,$921.63,$950.93,$918.955
07/12/2024,$918.46,341937,$922.01,$933.92,$911.80
07/11/2024,$904.09,291704,$910.19,$919.41,$902.98
07/10/2024,$903.28,336842,$905.02,$908.05,$888.745
07/09/2024,$908.57,249264,$915.30,$917.49,$907.27
07/08/2024,$917.35,186024,$916.07,$923.05,$913.46
07/05/2024,$912.55,169006,$913.37,$918.565,$908.075
07/03/2024,$915.51,128957,$914.44,$921.33,$909.56
07/02/2024,$917.97,297528,$893.93,$920.35,$890.46
07/01/2024,$896.19,219132,$908.64,$908.78,$893.89
06/28/2024,$902.24,422671,$903.42,$916.81,$896.665
06/27/2024,$903.74,163576,$908.99,$914.49,$900.58
06/26/2024,$908.79,272080,$903.33,$909.255,$895.1635
06/25/2024,$910.08,199546,$911.56,$912.075,$898.99
06/24/2024,$915.50,283444,$917.72,$919.68,$910.08
06/21/2024,$915.06,389166,$914.61,$916.15,$902.25
06/20/2024,$915.29,186444,$921.81,$927.705,$913.6312
06/18/2024,$924.49,216521,$916.09,$928.15,$913.45
06/17/2024,$917.45,364531,$903.85,$925.63,$903.85
06/14/2024,$906.79,399574,$897.74,$910.765,$891.17
06/13/2024,$921.07,199193,$911.16,$921.12,$906.18
06/12/2024,$914.90,298359,$912.48,$919.55,$904.42
06/11/2024,$900.29,170983,$895.91,$900.45,$889.37
06/10/2024,$897.36,158772,$889.21,$902.31,$889.21
06/07/2024,$892.25,220094,$882.24,$900.19,$876.28
06/06/2024,$879.03,209309,$885.98,$887.11,$874.9801
06/05/2024,$890.27,199504,$890.03,$895.72,$884.135
06/04/2024,$887.12,240286,$887.33,$894.445,$881.825
06/03/2024,$888.56,413759,$922.69,$922.69,$878.59
05/31/2024,$921.46,504114,$907.09,$922.35,$897.96
05/30/2024,$907.47,291200,$912.11,$913.09,$903.21
05/29/2024,$910.57,377056,$911.84,$919.865,$904.155
05/28/2024,$939.12,303072,$963.19,$964.995,$936.99
05/24/2024,$966.40,158522,$956.95,$967.60,$952.35
05/23/2024,$954.70,222141,$968.96,$968.96,$952.53
05/22/2024,$963.91,213973,$957.87,$971.68,$954.74
05/21/2024,$956.77,175269,$956.80,$957.79,$947.155
05/20/2024,$953.40,141600,$945.22,$954.74,$945.22
05/17/2024,$945.66,197063,$949.10,$955.9899,$937.165
05/16/2024,$947.81,262699,$954.52,$956.58,$945.801
05/15/2024,$958.15,288900,$953.67,$960.00,$951.95
05/14/2024,$950.55,277352,$952.46,$952.989,$941.80
05/13/2024,$949.26,142049,$961.05,$961.05,$945.97
05/10/2024,$958.68,176634,$957.41,$961.11,$951.90
05/09/2024,$956.21,172931,$951.71,$958.80,$949.56
05/08/2024,$948.92,235355,$947.22,$953.70,$942.90
05/07/2024,$945.89,286826,$944.91,$954.56,$942.85
05/06/2024,$940.04,185145,$939.17,$941.79,$931.99
05/03/2024,$931.94,129810,$929.74,$936.46,$926.52
05/02/2024,$923.90,201419,$924.14,$929.60,$918.27
05/01/2024,$920.30,245585,$922.08,$931.79,$918.9601
04/30/2024,$921.35,548774,$931.76,$939.43,$917.745
04/29/2024,$934.50,304635,$940.08,$942.975,$920.06
04/26/2024,$929.26,357385,$935.14,$950.35,$923.13
04/25/2024,$947.84,419024,$935.58,$955.49,$920.845
04/24/2024,$958.32,295928,$953.81,$965.24,$946.05
04/23/2024,$955.79,201487,$945.94,$961.98,$942.071
04/22/2024,$942.07,289854,$948.48,$956.15,$940.41
04/19/2024,$942.65,261958,$940.52,$946.00,$932.79
04/18/2024,$937.54,188165,$955.99,$955.99,$935.89
04/17/2024,$949.92,164413,$962.48,$962.48,$943.14
04/16/2024,$956.69,198585,$958.54,$960.73,$950.52
04/15/2024,$955.42,236258,$980.05,$980.05,$950.00
04/12/2024,$964.97,249489,$961.18,$970.10,$958.88
04/11/2024,$966.27,371887,$974.24,$989.12,$962.06
04/10/2024,$1000.85,235436,$1002.21,$1014.5499,$995.48
04/09/2024,$1007.71,190205,$1015.91,$1015.91,$986.47
04/08/2024,$1014.72,148557,$1015.58,$1021.605,$1012.46
04/05/2024,$1014.83,138671,$999.75,$1018.54,$995.03
04/04/2024,$993.17,157389,$1012.49,$1016.355,$990.64
04/03/2024,$1006.70,163983,$998.03,$1012.41,$998.03
04/02/2024,$1000.50,187434,$1010.09,$1010.36,$996.36
04/01/2024,$1009.64,122841,$1015.76,$1017.62,$1007.543
03/28/2024,$1017.30,165154,$1019.33,$1026.475,$1015.37
03/27/2024,$1020.17,172262,$1010.74,$1021.22,$1007.14
03/26/2024,$1005.37,212323,$1006.80,$1014.33,$1004.49
03/25/2024,$1007.74,284989,$1020.72,$1021.87,$1006.26
03/22/2024,$1027.10,130925,$1030.00,$1030.00,$1020.78
03/21/2024,$1029.55,200948,$1019.07,$1034.18,$1012.2818
03/20/2024,$1016.16,177443,$1004.50,$1016.66,$1001.57
03/19/2024,$1001.66,166435,$995.20,$1004.69,$994.245
03/18/2024,$994.49,187148,$1001.61,$1013.62,$991.575
03/15/2024,$994.37,277974,$984.22,$995.08,$984.045
03/14/2024,$991.69,284580,$1016.89,$1016.89,$981.125
03/13/2024,$974.74,303143,$974.13,$976.63,$961.80
03/12/2024,$972.43,136116,$966.12,$977.43,$965.28
03/11/2024,$963.99,159190,$966.08,$966.08,$954.67
03/08/2024,$970.32,206612,$989.04,$995.68,$970.32
03/07/2024,$989.04,189635,$987.83,$995.41,$981.40
03/06/2024,$982.60,238751,$988.85,$991.715,$977.625
03/05/2024,$985.76,222771,$982.72,$999.00,$981.45
03/04/2024,$987.60,244288,$979.77,$998.405,$979.77
03/01/2024,$980.90,192990,$973.12,$983.14,$972.91
02/29/2024,$973.46,395573,$976.49,$979.475,$962.95
02/28/2024,$974.70,142506,$970.65,$976.84,$966.59
02/27/2024,$969.54,138146,$961.83,$972.71,$960.995
02/26/2024,$963.63,179669,$962.58,$970.265,$962.25
02/23/2024,$958.93,158552,$957.72,$967.3299,$950.89
02/22/2024,$958.18,207548,$951.45,$967.3134,$951.27
02/21/2024,$941.04,157356,$935.13,$941.37,$927.45
02/20/2024,$935.15,220748,$927.09,$940.54,$926.61
02/16/2024,$935.80,176544,$945.12,$948.24,$934.785
02/15/2024,$943.69,179825,$948.47,$950.435,$938.72
02/14/2024,$944.40,163563,$943.07,$948.99,$938.00
02/13/2024,$935.41,190492,$931.99,$943.6599,$928.405
02/12/2024,$947.21,138314,$957.33,$957.87,$946.99
02/09/2024,$959.01,237233,$949.14,$962.21,$946.13
02/08/2024,$949.93,207509,$947.75,$952.55,$941.78
02/07/2024,$945.00,275358,$946.70,$952.725,$943.00
02/06/2024,$940.34,276001,$947.60,$947.60,$934.22
02/05/2024,$945.64,359885,$960.00,$964.47,$941.42
02/02/2024,$972.54,597000,$933.00,$978.95,$909.15
02/01/2024,$922.64,349011,$901.37,$925.15,$896.545
01/31/2024,$895.64,600260,$910.24,$922.50,$893.06
01/30/2024,$914.78,485174,$893.07,$919.44,$889.55
01/29/2024,$896.16,334088,$881.46,$897.72,$879.465
01/26/2024,$883.24,189441,$881.47,$883.41,$874.395
01/25/2024,$881.45,245503,$870.99,$882.95,$870.99
01/24/2024,$871.24,169012,$877.73,$881.925,$868.535
01/23/2024,$875.64,302641,$878.00,$878.36,$866.03
01/22/2024,$876.66,266893,$868.57,$877.445,$865.50
01/19/2024,$864.00,312677,$875.80,$879.56,$862.38
01/18/2024,$872.20,323905,$860.69,$877.33,$855.011
01/17/2024,$839.08,164963,$838.14,$843.47,$836.84
01/16/2024,$840.55,240825,$840.21,$841.325,$833.50
01/12/2024,$842.12,168839,$842.23,$844.52,$833.28
01/11/2024,$837.07,204025,$830.83,$838.90,$826.55
01/10/2024,$830.83,198950,$825.23,$832.89,$823.17
01/09/2024,$823.99,247922,$813.63,$824.66,$806.08
