Date,Close/Last,Volume,Open,High,Low
09/06/2024,$360.05,2228832,$362.92,$365.44,$359.42
09/05/2024,$361.85,2789359,$364.90,$365.15,$357.58
09/04/2024,$364.67,3221318,$364.17,$365.93,$360.0124
09/03/2024,$364.74,3598082,$367.90,$369.38,$362.90
08/30/2024,$368.50,3216660,$369.24,$370.41,$364.8772
08/29/2024,$367.06,2698518,$372.61,$373.316,$366.93
08/28/2024,$372.69,2218430,$373.00,$375.41,$370.20
08/27/2024,$373.18,1780282,$373.49,$374.28,$371.00
08/26/2024,$374.11,2452134,$377.08,$378.5821,$373.37
08/23/2024,$375.59,3426154,$366.66,$376.32,$365.19
08/22/2024,$365.36,4097321,$371.50,$372.46,$364.61
08/21/2024,$370.46,4587568,$369.45,$372.87,$368.5218
08/20/2024,$367.27,3459401,$360.65,$367.64,$360.50
08/19/2024,$363.07,3634851,$362.50,$364.69,$362.10
08/16/2024,$362.06,3308320,$359.97,$363.70,$359.97
08/15/2024,$360.07,3575809,$362.46,$365.41,$358.14
08/14/2024,$355.66,4814780,$349.55,$359.6899,$349.40
08/13/2024,$350.07,6388596,$341.87,$353.39,$339.37
08/12/2024,$345.81,3830237,$350.77,$351.50,$342.13
08/09/2024,$348.64,2314771,$347.89,$351.5299,$345.395
08/08/2024,$348.34,3591145,$342.24,$348.74,$341.34
08/07/2024,$342.40,3429059,$355.18,$356.27,$342.28
08/06/2024,$353.91,2831088,$348.75,$358.6599,$347.28
08/05/2024,$350.01,3828080,$350.88,$353.94,$345.24
08/02/2024,$355.43,3764790,$354.93,$355.57,$346.74
08/01/2024,$358.58,3759024,$369.99,$371.48,$353.7501
07/31/2024,$368.16,3526126,$365.00,$372.49,$363.043
07/30/2024,$363.69,2788755,$362.82,$364.685,$359.26
07/29/2024,$361.67,2142243,$359.21,$362.89,$358.945
07/26/2024,$359.51,2439246,$355.01,$361.67,$355.01
07/25/2024,$353.29,3297550,$350.20,$358.8332,$349.33
07/24/2024,$350.31,3508062,$358.93,$361.4536,$350.00
07/23/2024,$359.62,2535667,$365.43,$365.43,$359.38
07/22/2024,$363.25,4049300,$364.50,$367.28,$361.08
07/19/2024,$363.36,2474497,$366.43,$367.60,$361.945
07/18/2024,$366.08,2394996,$369.90,$375.74,$365.775
07/17/2024,$371.89,3991105,$366.64,$375.19,$365.42
07/16/2024,$369.12,3210362,$360.06,$369.415,$359.50
07/15/2024,$358.46,2884198,$359.14,$361.18,$355.03
07/12/2024,$359.77,4019875,$355.00,$363.95,$354.09
07/11/2024,$353.79,4147603,$350.78,$354.13,$345.00
07/10/2024,$344.18,3263135,$338.64,$344.29,$337.62
07/09/2024,$337.09,2255131,$338.95,$339.26,$335.57
07/08/2024,$339.60,3534519,$335.88,$340.76,$335.00
07/05/2024,$334.58,3437489,$332.71,$335.92,$331.64
07/03/2024,$333.64,1732991,$337.00,$339.6395,$333.5401
07/02/2024,$334.97,2995943,$335.00,$336.83,$332.53
07/01/2024,$336.19,2643576,$343.92,$344.645,$335.39
06/28/2024,$344.24,6344192,$341.35,$345.28,$340.71
06/27/2024,$341.49,2912566,$342.83,$344.76,$338.45
06/26/2024,$341.82,3365303,$339.46,$342.59,$337.53
06/25/2024,$338.32,4980465,$346.31,$346.99,$334.5337
06/24/2024,$350.88,4278905,$356.90,$357.685,$350.72
06/21/2024,$355.80,6596539,$354.84,$356.25,$352.05
06/20/2024,$353.44,3661185,$352.00,$354.9213,$349.59
06/18/2024,$353.87,3654970,$352.95,$356.4111,$352.1146
06/17/2024,$349.50,2680442,$344.89,$350.694,$344.40
06/14/2024,$346.84,2588960,$344.81,$347.495,$341.69
06/13/2024,$347.88,3380799,$345.90,$348.6899,$343.07
06/12/2024,$344.14,4793021,$347.03,$350.49,$343.06
06/11/2024,$335.72,3250889,$333.00,$336.31,$330.32
06/10/2024,$332.56,2691369,$327.00,$332.80,$326.50
