Date,Close/Last,Volume,Open,High,Low
09/06/2024,$114.49,1281883,$115.17,$116.11,$114.32
09/05/2024,$115.08,1620645,$116.69,$116.95,$113.92
09/04/2024,$116.00,1380315,$117.00,$117.46,$115.72
09/03/2024,$116.18,2089115,$115.42,$116.83,$114.96
08/30/2024,$116.10,2096765,$116.15,$116.515,$115.20
08/29/2024,$116.15,1860711,$114.60,$116.32,$113.75
08/28/2024,$114.32,1240169,$113.48,$115.08,$113.18
08/27/2024,$113.46,1354006,$113.49,$114.095,$113.165
08/26/2024,$113.02,815330,$112.98,$113.86,$112.50
08/23/2024,$112.62,1081750,$112.16,$112.7385,$111.61
08/22/2024,$111.66,731822,$111.20,$111.74,$110.97
08/21/2024,$111.12,867173,$111.04,$111.20,$110.30
08/20/2024,$110.87,1022807,$110.98,$111.39,$110.49
08/19/2024,$111.19,1329403,$110.46,$111.63,$110.46
08/16/2024,$110.46,1510723,$110.22,$110.59,$109.59
08/15/2024,$110.13,940042,$110.52,$111.29,$109.39
08/14/2024,$109.61,994574,$108.21,$109.74,$108.05
08/13/2024,$107.96,1118238,$107.54,$108.09,$106.3201
08/12/2024,$107.09,1466275,$108.54,$109.04,$106.835
08/09/2024,$108.20,1142254,$107.51,$108.34,$106.85
08/08/2024,$107.40,985997,$105.48,$107.85,$105.48
08/07/2024,$105.23,2027321,$105.88,$107.22,$105.11
08/06/2024,$105.11,1618886,$105.32,$106.53,$104.665
08/05/2024,$104.86,2121831,$107.47,$107.84,$103.96
08/02/2024,$108.64,1850189,$108.86,$110.44,$106.95
08/01/2024,$109.62,1400530,$111.95,$112.00,$109.05
07/31/2024,$110.92,1868873,$111.64,$111.96,$110.48
07/30/2024,$111.78,1708698,$110.98,$112.65,$110.86
07/29/2024,$110.09,1772781,$109.50,$110.62,$109.16
07/26/2024,$109.63,2870720,$106.65,$109.68,$106.65
07/25/2024,$102.33,1381987,$102.39,$103.825,$102.16
07/24/2024,$101.94,1402205,$102.41,$102.82,$101.61
07/23/2024,$101.92,1188080,$102.22,$102.57,$101.48
07/22/2024,$102.08,1430300,$101.26,$102.61,$101.12
07/19/2024,$101.11,1805867,$104.91,$104.91,$101.0192
07/18/2024,$105.06,1195438,$104.96,$106.93,$104.299
07/17/2024,$105.04,1498876,$103.41,$105.30,$103.295
07/16/2024,$102.99,1726097,$103.00,$104.11,$102.64
07/15/2024,$102.68,1050637,$101.94,$103.31,$101.62
07/12/2024,$101.75,1075458,$101.61,$102.22,$101.15
