Date,Close/Last,Volume,Open,High,Low
09/06/2024,$269.21,203945,$271.46,$276.22,$268.27
09/05/2024,$270.93,280608,$274.59,$274.59,$269.46
09/04/2024,$274.27,252414,$275.00,$276.98,$272.86
09/03/2024,$275.45,211011,$282.34,$282.955,$274.46
08/30/2024,$282.77,384026,$281.73,$284.48,$279.235
08/29/2024,$282.86,187574,$282.12,$285.425,$278.721
08/28/2024,$280.05,214766,$277.24,$280.575,$277.24
08/27/2024,$276.91,184470,$276.76,$278.70,$274.60
08/26/2024,$276.84,126403,$275.81,$277.985,$274.1901
08/23/2024,$274.51,157116,$273.00,$275.45,$272.12
08/22/2024,$272.11,177037,$271.54,$272.91,$268.895
08/21/2024,$271.44,226534,$275.94,$275.94,$268.84
08/20/2024,$275.23,305932,$270.58,$275.49,$268.84
08/19/2024,$270.90,185554,$270.20,$272.97,$269.0239
08/16/2024,$270.57,208497,$269.91,$271.49,$268.175
08/15/2024,$269.63,278203,$268.56,$271.07,$265.75
08/14/2024,$266.63,298607,$262.58,$268.14,$262.48
08/13/2024,$262.77,176926,$265.00,$265.80,$260.52
08/12/2024,$263.73,374719,$259.86,$265.32,$258.11
08/09/2024,$259.43,184993,$257.11,$261.15,$257.11
08/08/2024,$256.56,200888,$253.89,$259.23,$253.89
08/07/2024,$253.44,306806,$257.47,$259.225,$253.26
08/06/2024,$256.55,316017,$256.63,$260.67,$255.865
08/05/2024,$256.03,392733,$258.64,$260.98,$252.70
08/02/2024,$263.35,344827,$265.72,$268.96,$260.71
08/01/2024,$267.00,623637,$283.20,$285.81,$260.7701
07/31/2024,$279.98,301881,$279.45,$282.845,$277.30
07/30/2024,$279.76,307472,$278.00,$280.86,$276.70
07/29/2024,$277.36,309161,$277.00,$278.713,$276.30
07/26/2024,$276.03,297115,$274.54,$277.67,$273.40
07/25/2024,$273.95,316837,$267.95,$276.03,$267.95
07/24/2024,$265.30,329873,$267.39,$268.235,$263.83
07/23/2024,$266.69,282439,$267.22,$271.3995,$266.50
07/22/2024,$266.13,208692,$264.19,$266.21,$262.86
07/19/2024,$263.42,367539,$268.66,$268.66,$262.78
07/18/2024,$267.21,240699,$266.63,$271.20,$266.63
07/17/2024,$267.14,266853,$268.15,$268.83,$266.19
07/16/2024,$267.46,449931,$256.27,$269.045,$256.27
07/15/2024,$255.52,270402,$251.88,$257.64,$251.18
07/12/2024,$250.94,228674,$254.12,$254.12,$250.84
07/11/2024,$251.70,195098,$247.44,$252.18,$247.44
07/10/2024,$246.68,194140,$242.56,$246.95,$242.415
