Date,Close/Last,Volume,Open,High,Low
09/06/2024,$81.57,888036,$81.10,$81.90,$80.885
09/05/2024,$80.99,913654,$81.50,$81.59,$80.29
09/04/2024,$81.62,1252589,$82.19,$83.01,$80.99
09/03/2024,$82.16,1356750,$81.24,$82.44,$81.01
08/30/2024,$81.24,1206444,$80.78,$81.33,$80.35
08/29/2024,$80.76,1176838,$80.59,$80.85,$80.31
08/28/2024,$80.38,1141458,$79.90,$80.6217,$79.845
08/27/2024,$79.71,1258574,$79.82,$80.17,$79.54
08/26/2024,$79.75,895242,$80.23,$80.49,$79.64
08/23/2024,$80.25,1106135,$80.09,$80.32,$79.83
08/22/2024,$80.09,1727359,$80.20,$80.50,$79.91
08/21/2024,$80.02,1341034,$81.01,$81.11,$79.845
08/20/2024,$80.91,1425514,$81.39,$82.18,$80.78
08/19/2024,$81.35,1734136,$81.64,$81.72,$81.04
08/16/2024,$81.48,1447875,$80.44,$81.645,$80.155
08/15/2024,$80.55,2441960,$81.11,$81.38,$79.86
08/14/2024,$80.99,1877034,$81.27,$81.55,$80.88
08/13/2024,$81.55,1570581,$81.76,$82.33,$81.28
08/12/2024,$81.77,1696788,$83.57,$83.75,$81.5475
08/09/2024,$83.64,1729034,$83.59,$84.67,$81.32
08/08/2024,$83.39,1239381,$81.92,$83.60,$81.55
08/07/2024,$81.89,1954266,$82.58,$84.075,$81.75
08/06/2024,$82.45,1783091,$82.02,$83.76,$81.80
08/05/2024,$82.36,2365348,$83.46,$83.99,$82.22
08/02/2024,$83.64,1701105,$83.30,$84.15,$82.55
08/01/2024,$83.20,2646431,$81.48,$83.27,$81.20
07/31/2024,$81.61,3005532,$82.45,$82.645,$80.725
07/30/2024,$82.51,2820222,$79.00,$82.65,$77.8118
07/29/2024,$79.64,2196892,$78.35,$79.77,$78.01
07/26/2024,$78.63,1472174,$77.83,$79.40,$77.69
07/25/2024,$77.88,1391837,$78.38,$79.60,$77.81
07/24/2024,$78.34,1042199,$78.26,$79.21,$78.00
07/23/2024,$78.10,1606690,$78.70,$78.70,$78.03
07/22/2024,$78.38,601500,$78.45,$78.58,$77.84
07/19/2024,$78.11,1660498,$78.20,$78.59,$77.475
07/18/2024,$77.66,2332247,$78.44,$79.21,$77.41
07/17/2024,$78.89,2177366,$78.67,$80.38,$78.52
07/16/2024,$78.46,1492308,$77.60,$78.98,$77.30
07/15/2024,$77.34,1653157,$77.41,$78.115,$77.16
07/12/2024,$77.69,1694537,$76.70,$77.98,$76.13
07/11/2024,$76.49,1440377,$75.86,$76.75,$75.815
07/10/2024,$75.77,1295227,$74.73,$75.83,$74.55
07/09/2024,$74.75,1366442,$74.53,$74.76,$73.79
07/08/2024,$74.53,1169554,$74.10,$74.57,$73.99
07/05/2024,$74.10,992462,$73.47,$74.15,$72.9316
07/03/2024,$73.48,1201107,$73.25,$73.55,$72.7764
07/02/2024,$73.53,1663770,$74.18,$74.35,$73.21
07/01/2024,$74.10,1153347,$74.15,$75.00,$73.74
06/28/2024,$74.25,2782114,$74.32,$75.17,$73.91
06/27/2024,$74.21,2403054,$72.46,$74.25,$72.05
06/26/2024,$72.27,973316,$71.44,$72.38,$71.09
06/25/2024,$71.65,942929,$72.32,$72.53,$71.085
06/24/2024,$72.48,1000839,$73.23,$73.31,$72.20
06/21/2024,$73.07,2048929,$72.36,$73.37,$71.81
06/20/2024,$72.21,1050703,$71.21,$72.285,$70.56
06/18/2024,$71.47,1384234,$71.50,$71.85,$71.0615
06/17/2024,$71.43,1249842,$71.32,$71.77,$71.12
06/14/2024,$71.79,1033028,$71.58,$72.26,$71.35
06/13/2024,$72.14,1417248,$71.81,$72.21,$71.53
06/12/2024,$72.48,1459985,$72.50,$73.09,$72.12
06/11/2024,$72.90,1605389,$73.67,$73.67,$72.69
06/10/2024,$73.97,878774,$74.03,$74.36,$73.76
06/07/2024,$74.51,1186677,$74.38,$74.99,$74.00
06/06/2024,$74.78,1284135,$73.91,$75.15,$73.68
06/05/2024,$74.25,1371524,$74.51,$74.71,$72.68
06/04/2024,$74.65,1107186,$74.53,$74.85,$73.77
06/03/2024,$74.53,1065009,$73.26,$74.66,$73.26
05/31/2024,$73.78,2501317,$72.82,$73.81,$72.395
05/30/2024,$72.58,1568800,$72.26,$73.04,$72.02
05/29/2024,$72.39,1142328,$72.64,$72.96,$72.29
05/28/2024,$73.36,1217018,$73.58,$73.86,$72.874
05/24/2024,$73.80,1303244,$74.13,$74.22,$73.72
05/23/2024,$73.99,1314633,$74.92,$74.92,$73.665
05/22/2024,$74.81,1217141,$74.53,$75.22,$74.39
05/21/2024,$74.55,897598,$74.85,$75.02,$74.29
05/20/2024,$74.85,1027857,$75.02,$75.30,$74.46
05/17/2024,$75.02,1451370,$75.03,$75.285,$74.12
05/16/2024,$74.95,1749516,$74.79,$75.13,$74.55
05/15/2024,$74.86,1637741,$75.73,$76.44,$74.81
05/14/2024,$75.65,1286553,$75.91,$75.98,$74.76
05/13/2024,$75.57,1039454,$75.20,$76.24,$74.6401
05/10/2024,$75.14,1402648,$75.64,$75.99,$75.01
05/09/2024,$75.75,2037848,$75.82,$76.425,$75.51
05/08/2024,$75.86,973729,$75.90,$76.20,$75.66
05/07/2024,$76.10,984581,$76.28,$76.48,$75.59
05/06/2024,$75.93,1585120,$76.61,$76.91,$75.75
05/03/2024,$76.54,2069424,$79.60,$79.75,$75.58
05/02/2024,$75.91,1795905,$76.53,$76.70,$75.13
05/01/2024,$76.28,1423724,$75.77,$77.25,$75.38
04/30/2024,$75.77,1515878,$76.36,$76.51,$75.62
04/29/2024,$76.63,799283,$76.00,$76.975,$75.98
04/26/2024,$75.98,919462,$75.23,$76.61,$75.14
04/25/2024,$75.71,1190940,$76.76,$76.97,$75.39
04/24/2024,$76.71,963154,$76.76,$77.38,$76.50
04/23/2024,$77.19,1603280,$76.54,$77.81,$76.12
04/22/2024,$76.22,1516324,$75.29,$76.68,$74.89
04/19/2024,$75.38,1288503,$75.48,$75.62,$74.98
04/18/2024,$75.10,1576803,$74.97,$75.35,$74.53
04/17/2024,$74.92,1697868,$75.28,$75.55,$74.70
04/16/2024,$75.11,1764609,$77.82,$78.04,$75.10
04/15/2024,$77.54,1605404,$78.05,$78.35,$77.26
04/12/2024,$77.33,1573811,$77.51,$77.82,$76.87
04/11/2024,$77.78,1657913,$78.18,$78.25,$77.23
04/10/2024,$77.61,1670312,$77.80,$78.345,$77.27
04/09/2024,$78.41,1336395,$77.91,$78.43,$77.65
04/08/2024,$77.38,1603200,$78.03,$78.165,$77.25
04/05/2024,$77.98,1485429,$77.35,$78.00,$76.94
04/04/2024,$77.28,1835920,$78.49,$79.22,$77.21
04/03/2024,$77.53,1661420,$76.85,$77.56,$76.25
04/02/2024,$76.08,1415409,$76.12,$76.21,$75.66
04/01/2024,$76.12,1405009,$77.90,$77.91,$76.10
03/28/2024,$77.96,1990262,$77.47,$78.16,$77.09
03/27/2024,$77.35,1270206,$76.60,$77.37,$76.455
03/26/2024,$76.17,2484138,$75.64,$76.375,$75.22
03/25/2024,$75.65,1435201,$75.44,$75.72,$75.15
03/22/2024,$75.26,862212,$75.72,$75.99,$74.725
03/21/2024,$75.52,1269797,$75.04,$75.71,$74.80
03/20/2024,$75.04,1264998,$76.22,$76.46,$74.77
03/19/2024,$76.31,2299394,$76.53,$76.53,$75.71
