Date,Close/Last,Volume,Open,High,Low
09/06/2024,$68.81,2174978,$70.18,$70.50,$68.80
09/05/2024,$69.86,1249173,$69.69,$70.23,$68.62
09/04/2024,$69.45,1151735,$70.46,$70.58,$69.13
09/03/2024,$70.46,1741098,$70.39,$71.05,$70.25
08/30/2024,$70.55,1150307,$70.82,$71.61,$70.06
08/29/2024,$70.82,1876121,$71.17,$71.67,$70.39
08/28/2024,$70.48,1605495,$68.614,$71.10,$68.614
08/27/2024,$72.16,3025727,$70.82,$72.30,$70.46
08/26/2024,$70.90,3004784,$70.75,$71.64,$70.325
08/23/2024,$70.82,833575,$70.17,$71.435,$69.49
08/22/2024,$69.84,1496052,$70.24,$70.65,$69.66
08/21/2024,$69.87,2961020,$69.25,$69.91,$69.06
08/20/2024,$69.00,2451862,$69.74,$70.27,$68.59
08/19/2024,$69.82,958262,$69.82,$70.57,$69.72
08/16/2024,$69.79,946589,$69.55,$70.03,$69.03
08/15/2024,$69.78,1711363,$69.33,$70.11,$68.99
08/14/2024,$68.51,1202057,$69.67,$69.80,$68.23
08/13/2024,$69.44,1179832,$68.095,$69.895,$67.53
08/12/2024,$67.89,3995823,$68.40,$68.98,$67.595
08/09/2024,$68.94,2399686,$68.06,$69.76,$67.88
08/08/2024,$68.16,1847007,$65.85,$68.22,$65.26
08/07/2024,$65.77,3485212,$64.81,$68.61,$64.81
08/06/2024,$63.92,8872935,$65.00,$67.98,$63.67
08/05/2024,$69.56,3213323,$72.33,$72.87,$68.565
08/02/2024,$71.02,3905909,$72.57,$73.09,$69.50
08/01/2024,$72.78,2275886,$72.43,$73.04,$71.74
07/31/2024,$71.94,1262233,$72.00,$72.88,$71.015
07/30/2024,$72.44,1082314,$71.47,$72.70,$71.245
07/29/2024,$71.47,1279112,$72.16,$72.19,$70.995
07/26/2024,$72.31,1079397,$71.23,$72.44,$71.19
07/25/2024,$71.04,1227689,$70.52,$72.13,$70.52
07/24/2024,$70.29,1425823,$70.29,$71.00,$69.84
07/23/2024,$69.99,1443417,$70.95,$71.47,$69.76
07/22/2024,$70.95,1627910,$71.61,$72.63,$70.48
07/19/2024,$70.34,1515830,$71.06,$71.62,$70.16
07/18/2024,$70.67,1895665,$70.70,$73.36,$70.57
07/17/2024,$71.22,2266764,$67.72,$71.89,$67.72
07/16/2024,$67.59,1606427,$65.94,$67.83,$65.84
07/15/2024,$65.84,1034682,$65.36,$66.15,$65.36
07/12/2024,$65.15,1402742,$65.14,$65.48,$64.775
07/11/2024,$65.10,1258022,$64.53,$65.36,$64.135
07/10/2024,$64.19,691496,$64.47,$64.56,$63.91
07/09/2024,$64.44,744911,$64.54,$64.74,$64.15
07/08/2024,$64.75,595132,$65.23,$65.72,$64.63
07/05/2024,$64.96,1475925,$64.55,$65.17,$64.52
07/03/2024,$64.79,702880,$65.79,$65.93,$64.77
07/02/2024,$65.60,1043316,$65.18,$66.03,$65.0945
07/01/2024,$65.11,1886648,$64.45,$65.45,$64.20
06/28/2024,$64.10,1641594,$64.21,$64.46,$63.895
06/27/2024,$64.09,927040,$64.64,$64.99,$63.71
06/26/2024,$64.56,1169102,$65.86,$66.10,$64.48
06/25/2024,$66.10,824054,$67.04,$67.23,$65.98
06/24/2024,$67.27,632623,$67.44,$68.44,$67.26
06/21/2024,$67.26,1600121,$66.78,$67.61,$66.20
06/20/2024,$66.55,931530,$67.94,$67.965,$66.36
06/18/2024,$68.28,1524512,$66.35,$69.99,$66.11
06/17/2024,$66.18,1397353,$65.35,$66.895,$64.69
06/14/2024,$65.80,730253,$65.79,$66.25,$65.22
06/13/2024,$66.27,905168,$66.04,$66.505,$65.04
06/12/2024,$66.41,1013580,$66.86,$66.995,$66.08
06/11/2024,$66.51,796744,$67.26,$67.26,$66.21
06/10/2024,$67.42,875035,$67.94,$68.32,$67.26
06/07/2024,$68.51,852850,$68.48,$68.815,$68.20
06/06/2024,$68.60,1141810,$69.47,$70.12,$67.82
06/05/2024,$69.64,668333,$69.60,$69.94,$68.72
06/04/2024,$69.64,633264,$69.63,$70.13,$69.28
06/03/2024,$69.68,783237,$69.39,$69.87,$68.91
05/31/2024,$69.34,2304039,$69.30,$69.84,$68.60
05/30/2024,$69.25,1219830,$70.21,$70.59,$69.00
05/29/2024,$70.14,738098,$70.44,$70.49,$69.52
05/28/2024,$71.15,1023757,$71.16,$71.64,$70.69
05/24/2024,$71.72,458504,$71.90,$72.1502,$70.91
05/23/2024,$71.52,876845,$72.19,$73.01,$71.34
05/22/2024,$72.38,571179,$73.25,$73.765,$72.315
05/21/2024,$73.25,920338,$73.30,$73.55,$72.8235
05/20/2024,$73.47,800946,$74.56,$74.60,$73.20
05/17/2024,$74.60,799285,$74.52,$74.76,$74.10
05/16/2024,$74.33,720763,$75.00,$75.20,$74.33
05/15/2024,$74.74,1084309,$73.20,$74.85,$72.64
05/14/2024,$72.77,1252945,$73.80,$74.33,$72.39
05/13/2024,$73.13,679923,$73.32,$73.98,$72.90
05/10/2024,$73.31,850463,$73.38,$73.755,$72.645
05/09/2024,$73.44,1322592,$73.11,$74.22,$72.53
05/08/2024,$72.76,1875896,$71.53,$73.7099,$70.90
05/07/2024,$71.20,2084008,$71.14,$72.80,$69.95
05/06/2024,$68.53,1390498,$68.45,$68.90,$67.89
05/03/2024,$67.78,1167605,$68.71,$69.31,$67.64
05/02/2024,$68.60,1318897,$68.87,$69.34,$67.97
05/01/2024,$68.78,890008,$69.38,$69.84,$68.59
04/30/2024,$69.28,1720426,$72.48,$72.575,$69.17
04/29/2024,$73.03,743703,$73.26,$73.895,$72.78
04/26/2024,$73.13,722374,$72.78,$73.76,$72.42
04/25/2024,$72.82,583100,$73.22,$73.57,$72.33
04/24/2024,$73.21,824051,$72.42,$73.40,$72.17
04/23/2024,$72.76,626962,$72.19,$73.16,$72.02
04/22/2024,$72.04,837456,$70.95,$72.32,$70.95
04/19/2024,$70.86,768627,$70.31,$70.98,$70.00
04/18/2024,$69.97,745157,$70.34,$70.37,$69.48
04/17/2024,$70.20,1067128,$71.47,$71.92,$70.19
04/16/2024,$71.22,1033644,$70.72,$71.41,$70.53
04/15/2024,$70.73,856775,$71.33,$71.96,$70.69
04/12/2024,$71.01,989207,$71.26,$71.57,$70.21
04/11/2024,$71.81,829307,$72.17,$72.69,$71.14
04/10/2024,$71.86,891621,$72.28,$72.78,$71.67
04/09/2024,$73.17,655485,$72.37,$73.20,$72.01
04/08/2024,$72.47,1035445,$72.37,$73.29,$72.15
04/05/2024,$72.52,584911,$72.74,$72.82,$72.20
04/04/2024,$72.89,780234,$73.92,$74.02,$72.72
