Date,Close/Last,Volume,Open,High,Low
09/06/2024,$370.93,381357,$375.27,$380.86,$366.91
09/05/2024,$370.42,428210,$373.34,$373.50,$364.80
09/04/2024,$374.77,441828,$377.52,$379.20,$369.20
09/03/2024,$378.96,591207,$396.18,$396.955,$376.36
08/30/2024,$399.92,594192,$396.38,$401.055,$391.50
08/29/2024,$395.52,391782,$392.63,$402.67,$390.4125
08/28/2024,$389.07,377009,$388.62,$391.49,$384.93
08/27/2024,$387.97,478413,$382.60,$389.70,$381.48
08/26/2024,$385.11,294307,$388.01,$391.435,$383.96
08/23/2024,$385.78,369133,$380.24,$386.68,$380.24
08/22/2024,$378.14,237513,$375.36,$382.3612,$375.04
08/21/2024,$375.42,333752,$370.92,$377.475,$370.08
08/20/2024,$370.92,244720,$375.84,$376.715,$369.63
08/19/2024,$375.72,299129,$373.89,$375.72,$370.34
08/16/2024,$373.83,332625,$379.95,$379.95,$371.52
08/15/2024,$380.97,349053,$385.73,$389.24,$379.54
08/14/2024,$379.68,358502,$376.73,$380.69,$375.67
08/13/2024,$375.08,377122,$377.97,$380.06,$371.66
08/12/2024,$373.27,317600,$377.58,$379.975,$370.50
08/09/2024,$377.00,414487,$371.43,$377.11,$369.66
08/08/2024,$373.78,463829,$363.57,$375.57,$359.6765
08/07/2024,$359.04,403183,$366.38,$370.01,$358.98
08/06/2024,$361.03,409256,$364.61,$368.82,$360.47
08/05/2024,$364.42,556459,$350.03,$369.125,$346.13
08/02/2024,$366.19,599728,$369.00,$369.57,$354.62
08/01/2024,$379.77,658817,$395.65,$398.80,$371.035
07/31/2024,$395.65,868384,$391.76,$403.59,$391.19
07/30/2024,$379.80,793266,$378.76,$389.06,$369.00
07/29/2024,$366.89,526629,$368.16,$372.57,$363.88
07/26/2024,$367.09,342262,$364.63,$369.56,$362.31
07/25/2024,$355.55,737031,$357.10,$364.51,$347.13
07/24/2024,$356.98,668557,$372.77,$374.075,$355.68
07/23/2024,$379.60,374243,$377.25,$384.48,$377.03
