Date,Close/Last,Volume,Open,High,Low
09/06/2024,$357.86,1080228,$367.92,$369.17,$357.18
09/05/2024,$365.14,1281572,$372.69,$375.00,$358.29
09/04/2024,$371.40,1473746,$359.25,$382.72,$358.48
09/03/2024,$363.53,956839,$355.00,$364.51,$354.175
08/30/2024,$354.47,1135132,$351.37,$354.68,$349.5996
08/29/2024,$351.36,608466,$353.35,$353.35,$348.26
08/28/2024,$352.43,595273,$354.11,$355.59,$349.005
08/27/2024,$353.45,794044,$353.55,$354.74,$349.40
08/26/2024,$353.00,678402,$354.18,$356.5688,$351.63
08/23/2024,$352.90,999887,$355.28,$356.1299,$350.815
08/22/2024,$354.75,970560,$359.42,$360.00,$348.485
08/21/2024,$358.57,768235,$357.43,$360.72,$356.117
08/20/2024,$356.98,1025915,$353.76,$358.40,$351.13
08/19/2024,$353.25,740585,$350.38,$357.495,$350.38
08/16/2024,$350.36,755128,$357.48,$357.49,$350.04
08/15/2024,$357.23,730630,$357.39,$358.50,$354.64
08/14/2024,$356.38,541150,$355.45,$360.56,$355.45
08/13/2024,$356.84,526049,$349.53,$357.00,$348.355
08/12/2024,$348.29,485885,$351.45,$352.13,$348.14
08/09/2024,$350.83,628055,$349.37,$351.27,$347.47
08/08/2024,$350.32,908674,$343.83,$350.77,$343.17
08/07/2024,$345.56,944066,$355.88,$357.02,$344.83
08/06/2024,$355.25,930754,$356.46,$360.22,$353.61
08/05/2024,$356.29,1304161,$359.07,$362.295,$352.03
08/02/2024,$363.62,1076306,$361.975,$363.88,$355.06
08/01/2024,$358.98,1919169,$361.27,$363.75,$350.90
07/31/2024,$361.61,4377959,$365.13,$380.89,$356.38
07/30/2024,$404.52,1715362,$392.59,$406.09,$391.765
07/29/2024,$392.12,1297614,$391.06,$393.34,$384.59
07/26/2024,$392.63,1003973,$387.71,$400.54,$387.71
07/25/2024,$386.40,1116594,$392.25,$398.37,$385.93
07/24/2024,$386.30,866030,$385.00,$388.83,$381.24
07/23/2024,$385.87,816458,$384.59,$388.60,$380.02
07/22/2024,$384.96,702956,$383.00,$387.00,$380.45
07/19/2024,$387.38,1075210,$386.00,$389.33,$380.18
07/18/2024,$388.89,1873353,$398.56,$406.46,$386.91
07/17/2024,$402.17,1832524,$391.29,$404.37,$391.29
07/16/2024,$395.60,1773697,$395.02,$401.11,$391.02
07/15/2024,$384.21,1567369,$393.00,$395.08,$383.70
07/12/2024,$382.22,1071937,$380.65,$383.10,$372.89
07/11/2024,$379.73,939789,$377.95,$384.40,$376.545
07/10/2024,$379.17,950452,$373.69,$379.38,$370.31
07/09/2024,$373.36,1352885,$370.10,$375.88,$365.34
07/08/2024,$370.43,977758,$369.04,$375.71,$367.16
07/05/2024,$368.82,690242,$364.50,$369.42,$361.04
07/03/2024,$362.85,750723,$375.81,$376.00,$362.78
07/02/2024,$374.82,1136654,$373.78,$378.31,$373.17
07/01/2024,$373.49,1054027,$373.46,$380.00,$371.55
06/28/2024,$373.65,5489806,$372.13,$388.57,$370.00
06/27/2024,$362.98,664235,$360.11,$363.43,$358.77
06/26/2024,$361.09,642710,$357.45,$361.80,$357.30
06/25/2024,$355.80,616582,$357.40,$358.72,$355.69
06/24/2024,$358.04,1441708,$356.76,$358.83,$353.95
06/21/2024,$355.48,1633238,$358.41,$360.54,$354.73
06/20/2024,$357.42,1473581,$350.71,$358.46,$349.55
06/18/2024,$349.55,693495,$356.34,$358.17,$349.19
06/17/2024,$355.25,610018,$355.55,$356.90,$353.18
06/14/2024,$358.93,867077,$354.71,$359.53,$353.17
06/13/2024,$358.10,1480748,$353.53,$365.49,$349.11
06/12/2024,$352.38,1042161,$352.75,$352.75,$348.25
06/11/2024,$351.77,913029,$349.79,$354.62,$349.00
06/10/2024,$349.34,1168607,$349.19,$351.95,$343.63
