Date,Close/Last,Volume,Open,High,Low
09/06/2024,$91.44,4136985,$94.00,$94.15,$90.715
09/05/2024,$94.21,3001812,$94.08,$94.8099,$93.05
09/04/2024,$94.35,2147834,$92.90,$94.71,$92.5846
09/03/2024,$93.02,3271479,$97.16,$97.90,$92.45
08/30/2024,$96.66,3188796,$97.16,$97.485,$95.31
08/29/2024,$96.96,1949366,$96.84,$97.75,$95.66
08/28/2024,$96.52,1947409,$97.55,$98.15,$96.18
08/27/2024,$96.95,1961772,$96.39,$97.19,$95.42
08/26/2024,$96.64,1677206,$96.91,$97.86,$96.58
08/23/2024,$97.08,1158202,$96.80,$97.57,$96.41
08/22/2024,$96.55,1437639,$96.25,$97.09,$96.07
08/21/2024,$96.26,1322999,$95.80,$96.61,$95.55
08/20/2024,$95.63,1367860,$96.45,$96.71,$94.92
08/19/2024,$96.37,1971351,$95.58,$96.45,$95.40
08/16/2024,$95.82,1350979,$95.50,$96.22,$95.1901
08/15/2024,$95.58,2144709,$95.25,$95.84,$93.91
08/14/2024,$93.88,1983170,$93.96,$95.07,$92.94
08/13/2024,$93.92,3058866,$93.40,$93.96,$92.63
08/12/2024,$92.83,2236539,$93.13,$93.53,$92.205
08/09/2024,$93.09,1961222,$92.15,$93.18,$91.19
08/08/2024,$91.96,3333297,$88.88,$92.52,$88.52
08/07/2024,$87.92,2290133,$90.32,$90.82,$87.64
08/06/2024,$89.08,3275219,$88.42,$91.00,$88.005
08/05/2024,$86.75,6636696,$86.13,$87.42,$85.39
08/02/2024,$90.16,4454848,$93.45,$93.75,$89.81
08/01/2024,$94.87,3140489,$96.65,$97.29,$94.10
07/31/2024,$95.70,4050614,$94.38,$96.93,$92.66
07/30/2024,$93.81,7825642,$92.55,$94.89,$91.09
07/29/2024,$82.85,3834897,$83.68,$83.96,$82.21
07/26/2024,$82.68,2903005,$82.81,$83.29,$81.41
07/25/2024,$82.34,5342536,$80.00,$83.65,$79.63
07/24/2024,$79.59,2670215,$81.95,$82.14,$79.49
07/23/2024,$82.41,3515115,$80.19,$82.86,$79.91
07/22/2024,$80.25,4039703,$78.53,$80.27,$78.34
07/19/2024,$78.03,1882459,$78.83,$78.90,$77.49
07/18/2024,$78.78,4132815,$78.00,$78.94,$77.22
07/17/2024,$77.86,2558905,$80.23,$80.71,$77.84
07/16/2024,$81.38,3374276,$79.40,$81.529,$79.40
07/15/2024,$78.90,2703098,$79.64,$79.86,$78.795
07/12/2024,$79.23,2129376,$80.25,$80.31,$79.10
07/11/2024,$79.66,2603072,$80.09,$80.88,$79.415
07/10/2024,$80.18,2683566,$80.54,$81.19,$80.11
07/09/2024,$80.24,1840666,$80.53,$81.25,$80.17
07/08/2024,$80.47,2150221,$79.27,$80.51,$79.27
07/05/2024,$78.80,1880313,$79.46,$79.645,$78.00
07/03/2024,$79.33,1712907,$78.50,$79.46,$78.00
07/02/2024,$78.07,2421389,$77.06,$78.4898,$76.85
07/01/2024,$77.30,3021269,$78.75,$78.956,$76.92
06/28/2024,$77.63,6548894,$79.78,$80.47,$76.83
06/27/2024,$79.60,2749950,$79.10,$79.86,$79.00
06/26/2024,$79.00,2504270,$78.14,$79.20,$77.70
06/25/2024,$78.20,4860364,$78.91,$79.24,$77.49
06/24/2024,$78.63,4212176,$79.93,$81.35,$78.105
06/21/2024,$80.14,4992706,$79.45,$80.16,$78.892
06/20/2024,$79.51,3237117,$80.35,$80.79,$79.23
06/18/2024,$80.20,1974104,$80.02,$80.39,$79.2755
06/17/2024,$80.00,2863639,$78.81,$80.20,$78.535
06/14/2024,$78.94,4958710,$81.69,$81.735,$77.735
06/13/2024,$82.80,2128433,$83.36,$83.53,$81.79
06/12/2024,$83.43,2249930,$83.49,$84.17,$82.55
06/11/2024,$83.18,1446283,$83.38,$83.66,$82.33
06/10/2024,$83.65,2034450,$83.31,$84.40,$83.31
06/07/2024,$83.78,2064032,$83.51,$84.67,$83.34
06/06/2024,$83.27,1734999,$84.42,$85.05,$83.16
06/05/2024,$84.63,1947547,$82.40,$84.65,$82.40
06/04/2024,$82.29,2504605,$84.41,$84.41,$82.16
06/03/2024,$84.63,2019131,$85.29,$85.43,$83.50
05/31/2024,$84.65,3389685,$84.22,$84.70,$82.931
05/30/2024,$84.23,1510195,$84.22,$84.54,$83.68
05/29/2024,$84.07,1886623,$84.69,$85.20,$84.01
05/28/2024,$85.28,2496473,$85.12,$85.52,$84.07
05/24/2024,$84.72,2719884,$83.25,$85.48,$82.9951
05/23/2024,$82.42,2392282,$83.97,$83.97,$82.21
05/22/2024,$83.46,2659323,$84.51,$84.60,$83.17
05/21/2024,$84.79,1589208,$83.92,$84.87,$83.51
05/20/2024,$84.06,1541147,$83.21,$84.13,$83.21
05/17/2024,$82.93,1332823,$83.01,$83.07,$82.26
05/16/2024,$82.53,2620921,$82.76,$83.165,$82.53
05/15/2024,$82.75,2695021,$81.00,$82.84,$80.95
05/14/2024,$80.88,2030018,$80.11,$81.085,$79.96
05/13/2024,$80.22,2537796,$80.99,$81.45,$79.952
05/10/2024,$80.87,3147698,$82.72,$82.81,$80.74
05/09/2024,$82.03,2359666,$81.56,$82.03,$80.92
05/08/2024,$81.42,4102972,$80.23,$81.47,$80.125
05/07/2024,$79.83,4330048,$80.26,$80.35,$79.61
05/06/2024,$80.18,3253283,$79.72,$80.20,$78.77
05/03/2024,$78.89,6147936,$78.21,$79.47,$76.95
05/02/2024,$77.10,8863941,$74.00,$77.88,$73.92
05/01/2024,$66.78,4582033,$66.86,$67.88,$66.37
04/30/2024,$66.75,4954846,$66.76,$68.34,$66.58
04/29/2024,$67.11,4336497,$66.33,$67.845,$66.33
04/26/2024,$66.40,4071656,$64.86,$66.57,$64.71
04/25/2024,$64.80,2279731,$64.29,$64.94,$63.64
04/24/2024,$64.70,2836861,$65.10,$65.49,$64.07
04/23/2024,$64.76,3002552,$63.41,$64.78,$62.83
04/22/2024,$62.93,2394341,$63.50,$63.76,$62.80
04/19/2024,$63.41,3072329,$64.05,$64.34,$62.97
04/18/2024,$63.50,2294333,$63.49,$64.345,$63.37
04/17/2024,$63.46,3088786,$64.44,$64.44,$62.93
04/16/2024,$64.02,2640763,$63.70,$64.75,$63.48
04/15/2024,$63.49,2729387,$65.34,$65.53,$63.11
04/12/2024,$64.00,2997987,$65.30,$65.635,$63.53
04/11/2024,$65.59,2296684,$65.20,$66.00,$64.56
04/10/2024,$65.25,2813788,$65.02,$65.66,$64.66
04/09/2024,$65.85,4819406,$66.78,$66.785,$65.31
04/08/2024,$66.73,4441155,$67.27,$67.415,$66.62
04/05/2024,$67.06,2421461,$65.85,$67.11,$65.59
04/04/2024,$65.53,3506708,$66.54,$66.8314,$65.35
04/03/2024,$66.00,3707913,$65.21,$66.655,$65.18
04/02/2024,$65.26,4960307,$65.76,$65.86,$64.83
04/01/2024,$66.11,3389135,$68.35,$68.56,$65.64
03/28/2024,$68.43,2893120,$68.38,$68.735,$68.01
03/27/2024,$68.08,2345987,$68.07,$68.28,$67.495
03/26/2024,$67.65,1903342,$67.47,$67.875,$67.28
03/25/2024,$67.36,1764237,$68.29,$68.38,$67.285
03/22/2024,$68.10,3035314,$67.64,$68.37,$67.52
03/21/2024,$67.68,3789154,$67.81,$67.97,$67.15
03/20/2024,$67.53,4558324,$67.11,$67.955,$67.07
03/19/2024,$67.17,4269063,$66.93,$67.39,$66.46
03/18/2024,$66.74,4039557,$66.76,$67.15,$66.285
03/15/2024,$66.24,6494466,$65.00,$66.24,$65.00
03/14/2024,$65.50,3675828,$65.63,$65.79,$65.175
03/13/2024,$65.63,4389883,$65.99,$66.09,$65.06
03/12/2024,$66.07,5843624,$65.05,$66.20,$64.39
03/11/2024,$65.00,6437632,$67.47,$67.95,$64.77
03/08/2024,$67.74,3655214,$69.38,$69.55,$67.33
03/07/2024,$69.38,2510975,$69.12,$69.49,$68.735
03/06/2024,$68.78,4685455,$68.14,$69.27,$68.09
03/05/2024,$67.96,2954684,$67.64,$68.335,$67.43
03/04/2024,$67.79,1922795,$67.05,$67.97,$66.95
03/01/2024,$67.00,2172679,$66.64,$67.24,$66.50
02/29/2024,$66.55,3676062,$66.79,$66.92,$66.24
02/28/2024,$66.76,2343309,$65.98,$66.90,$65.74
02/27/2024,$65.97,1981311,$65.92,$66.195,$65.382
02/26/2024,$65.86,2650127,$66.08,$66.285,$65.65
02/23/2024,$65.87,4348987,$65.18,$65.94,$65.07
02/22/2024,$65.06,2705755,$63.97,$65.12,$63.77
02/21/2024,$63.52,5369269,$63.25,$64.00,$63.15
02/20/2024,$63.11,3709987,$62.84,$63.655,$62.70
02/16/2024,$62.82,2686858,$63.53,$63.915,$62.72
02/15/2024,$63.27,3241393,$63.46,$63.685,$63.26
02/14/2024,$63.38,3361449,$62.57,$63.43,$62.385
02/13/2024,$61.98,6244853,$60.00,$61.98,$58.545
02/12/2024,$58.83,3656247,$58.64,$58.87,$58.34
02/09/2024,$58.60,2449586,$59.38,$59.40,$58.56
02/08/2024,$59.17,2164973,$59.15,$59.32,$58.86
02/07/2024,$59.09,3043411,$58.73,$59.42,$58.58
02/06/2024,$58.43,2144189,$57.81,$58.485,$57.66
02/05/2024,$57.79,2611382,$57.25,$57.97,$57.12
02/02/2024,$57.72,3097613,$57.44,$57.94,$57.00
02/01/2024,$57.38,2302999,$56.60,$57.42,$56.29
01/31/2024,$56.26,4398480,$56.11,$56.89,$55.89
01/30/2024,$55.98,2936165,$55.75,$56.17,$55.66
01/29/2024,$55.78,3034603,$55.41,$55.79,$55.325
01/26/2024,$55.43,4240171,$55.48,$55.61,$55.00
01/25/2024,$55.27,8717118,$56.34,$56.57,$55.06
01/24/2024,$56.34,2420754,$56.68,$57.035,$56.30
01/23/2024,$56.43,3870774,$56.10,$56.76,$55.97
01/22/2024,$56.07,2003674,$55.81,$56.54,$55.75
01/19/2024,$55.74,2045914,$55.25,$55.925,$54.94
01/18/2024,$55.19,3098206,$53.95,$55.275,$53.80
01/17/2024,$53.57,2264647,$53.30,$54.1599,$53.18
01/16/2024,$53.66,4604391,$55.24,$55.355,$53.2932
01/12/2024,$55.54,2259184,$55.67,$55.90,$55.25
01/11/2024,$55.51,2361118,$55.68,$55.75,$54.84
01/10/2024,$55.57,4226348,$55.00,$55.68,$54.75
01/09/2024,$53.71,2656612,$53.69,$53.94,$53.41
01/08/2024,$54.09,2524939,$53.53,$54.125,$52.73
01/05/2024,$53.83,4007134,$52.93,$54.25,$52.6101
01/04/2024,$52.60,1695665,$53.04,$53.42,$52.56
01/03/2024,$52.76,3080023,$53.59,$53.80,$52.73
01/02/2024,$53.73,2344092,$53.84,$54.13,$53.195
12/29/2023,$54.12,1964530,$54.20,$54.41,$54.07
12/28/2023,$54.11,1527875,$54.03,$54.22,$53.77
12/27/2023,$54.05,1491272,$53.69,$54.08,$53.63
12/26/2023,$53.84,1066969,$53.57,$54.07,$53.42
12/22/2023,$53.57,1352749,$53.57,$53.91,$53.43
12/21/2023,$53.47,1694765,$53.31,$53.68,$53.12
12/20/2023,$52.72,2075212,$53.33,$53.73,$52.68
12/19/2023,$53.65,2696970,$53.36,$53.88,$53.23
12/18/2023,$53.19,1921957,$52.99,$53.48,$52.895
12/15/2023,$52.80,5428646,$52.45,$53.255,$52.375
12/14/2023,$52.78,5529055,$54.38,$54.53,$52.36
12/13/2023,$54.21,2626207,$54.37,$54.495,$53.70
12/12/2023,$54.14,1455776,$53.68,$54.23,$53.54
12/11/2023,$53.66,1464451,$53.18,$53.90,$53.04
12/08/2023,$53.26,1634764,$52.72,$53.355,$52.72
12/07/2023,$52.74,1988002,$52.26,$52.825,$52.26
12/06/2023,$52.31,1523180,$52.45,$52.89,$52.225
12/05/2023,$52.18,2116110,$52.75,$52.84,$52.06
