Date,Close/Last,Volume,Open,High,Low
09/06/2024,$35.95,4828771,$36.90,$36.93,$35.485
09/05/2024,$37.28,2657154,$37.49,$37.70,$37.195
09/04/2024,$37.22,2726886,$37.46,$37.80,$36.98
09/03/2024,$37.27,3287547,$36.67,$37.445,$36.67
08/30/2024,$36.84,2477803,$36.46,$36.89,$36.335
08/29/2024,$36.22,1820967,$36.49,$36.49,$36.14
08/28/2024,$36.45,2001389,$36.39,$36.655,$36.25
08/27/2024,$36.39,2603318,$35.66,$36.45,$35.52
08/26/2024,$35.83,2159668,$36.19,$36.3033,$35.63
08/23/2024,$36.15,2181460,$35.99,$36.28,$35.845
08/22/2024,$35.94,1807433,$36.05,$36.07,$35.75
08/21/2024,$35.99,1660275,$35.85,$36.015,$35.59
08/20/2024,$35.68,1722532,$35.68,$35.805,$35.56
08/19/2024,$35.63,1883543,$35.50,$35.70,$35.30
08/16/2024,$35.28,2873596,$35.21,$35.37,$34.935
08/15/2024,$35.26,2957187,$35.10,$35.46,$34.85
08/14/2024,$35.12,2690964,$35.32,$35.51,$35.09
08/13/2024,$35.27,3132497,$35.49,$35.54,$35.18
08/12/2024,$35.25,2001161,$35.45,$35.5675,$35.015
08/09/2024,$35.69,2671637,$35.64,$35.83,$35.33
08/08/2024,$35.45,2953403,$35.25,$35.56,$35.06
08/07/2024,$35.22,3599020,$35.66,$36.15,$35.155
08/06/2024,$35.59,3353588,$34.70,$36.06,$34.69
08/05/2024,$34.67,3343445,$34.93,$35.505,$34.63
08/02/2024,$35.59,4597376,$35.62,$36.12,$35.315
08/01/2024,$35.53,4152479,$35.59,$35.75,$35.12
07/31/2024,$35.27,5831847,$35.08,$35.735,$34.95
07/30/2024,$34.99,4679053,$34.41,$35.085,$34.21
07/29/2024,$34.28,3764862,$34.05,$34.51,$33.86
07/26/2024,$34.07,7097638,$33.53,$34.36,$33.23
07/25/2024,$33.20,12325720,$33.49,$34.63,$32.825
07/24/2024,$35.97,3942022,$36.80,$36.80,$35.91
07/23/2024,$36.49,3914034,$36.45,$36.915,$36.18
07/22/2024,$36.30,2476949,$35.96,$36.43,$35.93
07/19/2024,$35.92,2946676,$36.12,$36.295,$35.86
07/18/2024,$35.92,3179561,$35.62,$36.30,$35.46
07/17/2024,$35.75,3158154,$35.76,$35.945,$35.46
07/16/2024,$35.83,3203433,$35.33,$35.90,$35.15
07/15/2024,$35.28,3507854,$35.48,$35.755,$35.14
07/12/2024,$35.37,5214557,$35.56,$35.63,$35.24
07/11/2024,$35.44,6060649,$36.17,$36.52,$35.375
07/10/2024,$35.84,2358669,$36.31,$36.31,$35.63
07/09/2024,$36.10,2296408,$36.10,$36.315,$35.83
07/08/2024,$36.13,2862556,$36.05,$36.34,$35.93
07/05/2024,$36.04,2567197,$35.99,$36.32,$35.74
07/03/2024,$36.01,1773350,$36.07,$36.24,$35.90
07/02/2024,$36.05,4133497,$35.90,$36.17,$35.68
07/01/2024,$35.78,4020162,$35.92,$36.00,$35.43
06/28/2024,$35.89,4817580,$35.55,$35.91,$35.18
06/27/2024,$35.34,2787454,$34.88,$35.35,$34.80
06/26/2024,$35.11,2838039,$35.31,$35.55,$35.065
06/25/2024,$35.54,1980665,$35.86,$35.92,$35.37
06/24/2024,$35.85,3184511,$35.43,$36.165,$35.35
06/21/2024,$35.42,5258565,$35.86,$35.89,$35.31
06/20/2024,$35.59,5270025,$35.73,$35.73,$35.295
06/18/2024,$35.73,3164531,$35.63,$35.79,$35.555
06/17/2024,$35.51,2368824,$35.15,$35.585,$35.07
06/14/2024,$35.50,4782998,$34.95,$35.52,$34.79
06/13/2024,$35.03,3664427,$35.15,$35.20,$34.72
06/12/2024,$35.05,2846642,$35.81,$35.94,$35.01
06/11/2024,$35.10,3338286,$35.22,$35.30,$34.99
06/10/2024,$35.31,3438142,$34.95,$35.375,$34.75
06/07/2024,$35.01,3912134,$34.60,$35.22,$34.39
06/06/2024,$34.86,1413790,$34.53,$34.91,$34.44
06/05/2024,$34.73,1472945,$34.88,$34.95,$34.49
06/04/2024,$34.95,3432903,$34.66,$35.175,$34.65
06/03/2024,$34.70,1555701,$34.77,$34.92,$34.47
