Date,Close/Last,Volume,Open,High,Low
09/06/2024,$47.11,3593640,$47.30,$47.82,$46.75
09/05/2024,$47.52,3163742,$47.60,$47.68,$46.84
09/04/2024,$47.31,3096024,$47.57,$47.73,$47.09
09/03/2024,$47.77,2940039,$47.93,$48.47,$47.70
08/30/2024,$48.42,4194132,$47.90,$48.45,$47.52
08/29/2024,$48.11,2202322,$48.75,$48.75,$47.905
08/28/2024,$48.49,2595849,$48.94,$49.16,$48.40
08/27/2024,$48.99,4548068,$48.49,$49.02,$48.34
08/26/2024,$48.66,5206270,$48.98,$49.24,$48.59
08/23/2024,$48.90,3084862,$48.20,$49.04,$48.07
08/22/2024,$47.96,2197284,$48.25,$48.30,$47.83
08/21/2024,$48.20,2367632,$47.93,$48.22,$47.49
08/20/2024,$47.45,3576315,$47.60,$47.77,$47.20
08/19/2024,$47.63,5297918,$47.08,$47.695,$46.8507
08/16/2024,$47.08,4172532,$46.46,$47.22,$46.14
08/15/2024,$46.88,7447452,$46.10,$47.16,$46.035
08/14/2024,$46.12,5181614,$45.83,$46.66,$45.26
08/13/2024,$45.23,3211849,$44.60,$45.39,$44.44
08/12/2024,$44.51,2048813,$44.69,$44.78,$44.34
08/09/2024,$44.35,2214518,$44.80,$44.86,$44.10
08/08/2024,$44.85,2698699,$44.48,$45.20,$44.34
08/07/2024,$44.28,5150228,$45.04,$45.37,$44.205
08/06/2024,$45.03,4069747,$43.78,$45.48,$43.72
08/05/2024,$44.43,5685381,$44.00,$44.46,$43.74
08/02/2024,$45.94,6446513,$45.48,$46.00,$44.92
08/01/2024,$46.63,3782535,$46.39,$46.65,$45.98
07/31/2024,$46.48,6271753,$46.03,$46.72,$45.76
07/30/2024,$45.92,3668054,$46.53,$46.58,$44.25
07/29/2024,$46.64,3106905,$46.89,$46.92,$46.195
07/26/2024,$46.92,5541837,$46.75,$47.30,$46.33
07/25/2024,$46.22,12605750,$44.65,$46.50,$44.5227
07/24/2024,$46.28,15253290,$45.54,$47.30,$44.97
07/23/2024,$45.92,5522132,$46.09,$46.18,$45.52
07/22/2024,$46.49,6366406,$45.90,$46.68,$45.76
07/19/2024,$45.72,4219169,$45.70,$46.04,$45.49
07/18/2024,$45.87,4428971,$45.79,$46.22,$45.485
07/17/2024,$45.75,7110961,$45.30,$46.11,$45.15
07/16/2024,$45.51,5715918,$44.16,$45.58,$44.04
07/15/2024,$44.14,4808513,$43.68,$44.255,$43.44
07/12/2024,$43.63,3594496,$43.08,$43.82,$42.73
07/11/2024,$42.91,4210762,$42.79,$43.09,$42.35
07/10/2024,$42.70,4194509,$42.66,$42.80,$42.265
07/09/2024,$42.55,4306567,$43.00,$43.03,$42.38
07/08/2024,$43.17,4361366,$42.64,$43.195,$42.26
07/05/2024,$42.82,5516354,$43.48,$43.51,$42.49
07/03/2024,$43.54,3210348,$43.60,$43.95,$43.3101
07/02/2024,$43.50,11303540,$42.94,$43.53,$42.645
07/01/2024,$43.34,6219280,$43.14,$43.475,$42.70
06/28/2024,$43.15,11239870,$42.51,$43.45,$42.48
06/27/2024,$43.25,35277600,$41.98,$43.65,$41.50
06/26/2024,$46.61,5440534,$46.31,$46.70,$46.15
06/25/2024,$46.59,4904878,$47.13,$47.36,$46.29
06/24/2024,$47.32,7529546,$46.49,$47.40,$46.225
06/21/2024,$46.08,6168675,$46.25,$46.50,$45.55
06/20/2024,$46.55,4286131,$46.27,$46.77,$46.06
06/18/2024,$46.25,4494468,$45.46,$46.40,$45.28
06/17/2024,$45.37,2677928,$44.95,$45.485,$44.47
06/14/2024,$44.89,3099169,$45.11,$45.59,$44.83
06/13/2024,$45.35,4066981,$44.93,$46.06,$44.57
06/12/2024,$44.91,3331301,$45.55,$45.55,$44.47
06/11/2024,$45.05,5069707,$45.07,$45.40,$44.67
06/10/2024,$44.79,7930649,$45.25,$45.28,$44.34
06/07/2024,$45.21,7824979,$44.01,$46.34,$43.90
06/06/2024,$44.43,4333184,$44.51,$44.795,$43.92
06/05/2024,$44.40,2841241,$44.15,$44.51,$43.75
06/04/2024,$44.22,3723523,$44.79,$45.02,$43.99
06/03/2024,$45.55,4915425,$45.08,$45.93,$44.43
05/31/2024,$45.09,5906228,$44.58,$45.21,$44.08
05/30/2024,$44.58,3750320,$44.79,$44.79,$43.83
05/29/2024,$44.40,6078413,$44.94,$44.99,$44.21
05/28/2024,$45.15,7725204,$45.20,$45.64,$45.00
05/24/2024,$45.46,9638081,$45.34,$46.095,$44.24
05/23/2024,$44.16,12692150,$42.37,$44.50,$42.32
05/22/2024,$42.10,7470597,$41.00,$42.13,$41.00
05/21/2024,$41.89,7618972,$41.73,$42.00,$41.22
05/20/2024,$41.18,5792780,$40.73,$42.82,$40.63
05/17/2024,$40.64,3675722,$40.50,$40.95,$40.39
05/16/2024,$40.52,4474303,$39.66,$40.69,$39.51
05/15/2024,$39.71,4878816,$39.91,$40.25,$39.53
05/14/2024,$39.85,3621706,$39.72,$39.92,$39.13
05/13/2024,$39.52,6035196,$38.64,$39.575,$38.545
05/10/2024,$38.58,8251562,$39.89,$39.89,$38.10
05/09/2024,$39.84,9311783,$39.19,$40.055,$39.095
05/08/2024,$39.28,8103371,$38.25,$39.38,$38.21
05/07/2024,$38.84,28917780,$37.02,$41.30,$36.88
05/06/2024,$36.92,5777032,$36.57,$37.23,$36.22
