Date,Close/Last,Volume,Open,High,Low
09/06/2024,$31.09,3114293,$31.43,$31.82,$30.97
09/05/2024,$31.46,3741444,$31.70,$31.73,$31.24
09/04/2024,$31.47,8285436,$31.90,$32.26,$29.79
09/03/2024,$31.95,2500299,$32.07,$32.145,$31.76
08/30/2024,$32.61,3583878,$32.47,$32.655,$32.325
08/29/2024,$32.38,2064747,$32.60,$32.71,$32.195
08/28/2024,$32.36,1605141,$32.44,$32.585,$32.22
08/27/2024,$32.49,1784107,$32.32,$32.62,$32.285
08/26/2024,$32.38,2208677,$32.36,$32.73,$32.23
08/23/2024,$32.20,2067562,$31.87,$32.36,$31.70
08/22/2024,$31.66,1596168,$31.65,$31.78,$31.45
08/21/2024,$31.65,1704257,$31.41,$31.67,$31.25
08/20/2024,$31.25,2259894,$31.25,$31.38,$31.14
08/19/2024,$31.36,3493017,$31.22,$31.47,$31.17
08/16/2024,$31.22,2452666,$31.07,$31.377,$31.01
08/15/2024,$31.07,3050558,$30.96,$31.14,$30.805
08/14/2024,$30.53,2290553,$30.84,$30.92,$30.435
08/13/2024,$30.69,2131482,$30.65,$30.82,$30.275
08/12/2024,$30.51,2201868,$30.43,$30.84,$30.315
08/09/2024,$30.41,2496791,$30.44,$30.645,$30.05
08/08/2024,$30.44,3111149,$30.03,$30.57,$29.91
08/07/2024,$29.87,5465190,$30.25,$30.43,$29.78
08/06/2024,$30.00,4143577,$29.62,$30.38,$29.53
08/05/2024,$29.53,5004226,$30.01,$30.16,$29.14
08/02/2024,$30.24,3553592,$30.63,$30.69,$30.06
08/01/2024,$30.96,5263795,$32.16,$32.305,$30.71
07/31/2024,$32.17,14836960,$32.05,$32.50,$31.67
07/30/2024,$31.97,4904877,$31.31,$32.015,$31.20
07/29/2024,$31.19,2682275,$31.06,$31.37,$30.77
07/26/2024,$30.98,5374974,$30.61,$31.36,$30.38
07/25/2024,$30.26,4691864,$29.77,$30.925,$29.60
07/24/2024,$29.57,7078311,$30.00,$30.07,$28.835
07/23/2024,$29.93,6149625,$29.55,$30.085,$29.40
07/22/2024,$29.67,4500678,$29.05,$29.70,$28.92
07/19/2024,$29.65,3018116,$30.17,$30.17,$29.51
07/18/2024,$30.06,2848175,$30.15,$30.90,$29.91
07/17/2024,$30.20,4559962,$29.20,$30.48,$29.20
07/16/2024,$30.65,3501530,$29.50,$30.66,$29.50
07/15/2024,$29.50,3320829,$29.44,$29.775,$29.40
07/12/2024,$29.42,4463271,$29.07,$29.62,$28.95
