Date,Close/Last,Volume,Open,High,Low
09/06/2024,$243.07,919808,$248.20,$249.435,$241.95
09/05/2024,$248.14,786394,$249.54,$249.54,$244.40
09/04/2024,$248.84,1059848,$249.32,$250.46,$246.405
09/03/2024,$248.81,1229911,$249.03,$252.69,$247.04
08/30/2024,$251.55,1194435,$251.01,$251.9572,$246.85
08/29/2024,$250.79,754093,$249.21,$252.88,$248.17
08/28/2024,$247.55,727038,$248.47,$250.78,$246.125
08/27/2024,$248.60,911637,$247.18,$248.89,$245.56
08/26/2024,$247.86,407791,$249.44,$249.97,$246.97
08/23/2024,$248.93,557532,$247.85,$249.85,$245.82
08/22/2024,$244.96,523879,$248.68,$248.68,$244.24
08/21/2024,$247.00,717433,$247.55,$248.21,$245.485
08/20/2024,$246.94,1197130,$243.11,$247.40,$241.87
08/19/2024,$243.11,797585,$240.21,$243.48,$238.65
08/16/2024,$239.63,438352,$239.88,$241.00,$238.17
08/15/2024,$240.91,837438,$238.90,$241.26,$238.235
08/14/2024,$236.21,517586,$239.46,$240.47,$236.02
08/13/2024,$238.44,964194,$233.02,$239.18,$232.61
08/12/2024,$231.46,761185,$235.82,$236.79,$230.81
08/09/2024,$237.47,552564,$236.26,$238.005,$234.61
08/08/2024,$236.07,635207,$229.66,$236.29,$229.17
08/07/2024,$229.62,1431943,$240.31,$240.31,$229.49
08/06/2024,$237.26,921732,$236.27,$241.11,$233.85
08/05/2024,$233.65,1195327,$234.88,$237.50,$231.37
08/02/2024,$241.78,1141380,$245.19,$246.59,$236.89
08/01/2024,$248.36,974998,$246.70,$249.97,$246.53
07/31/2024,$246.23,1287406,$246.42,$249.40,$245.72
07/30/2024,$245.57,1309298,$239.11,$246.265,$238.575
07/29/2024,$237.25,948640,$239.00,$239.00,$235.02
07/26/2024,$239.67,1195238,$235.58,$239.95,$233.99
07/25/2024,$232.29,1967757,$237.04,$239.07,$230.88
07/24/2024,$238.75,1339330,$238.04,$240.91,$236.32
07/23/2024,$238.79,1918151,$242.00,$243.17,$238.58
07/22/2024,$245.23,2496343,$239.86,$246.41,$230.27
07/19/2024,$224.57,1093584,$226.04,$226.53,$222.005
07/18/2024,$224.85,873958,$228.45,$231.30,$223.67
07/17/2024,$230.29,1025140,$231.78,$237.4105,$230.00
07/16/2024,$232.97,1315010,$227.83,$234.33,$227.37
07/15/2024,$225.89,1056482,$224.05,$227.26,$223.95
07/12/2024,$224.17,1362151,$220.80,$224.97,$218.44
07/11/2024,$219.44,1124660,$215.00,$219.85,$214.02
07/10/2024,$211.98,888236,$213.26,$213.90,$209.07
07/09/2024,$213.05,1123299,$209.33,$213.30,$208.86
07/08/2024,$208.94,1287096,$208.56,$209.62,$207.07
07/05/2024,$208.10,1108787,$207.42,$208.50,$205.06
07/03/2024,$206.81,929729,$208.43,$208.585,$206.39
07/02/2024,$207.47,936449,$208.29,$209.915,$206.95
07/01/2024,$208.49,1125342,$212.64,$214.76,$208.03
06/28/2024,$211.44,5448174,$213.45,$214.77,$209.59
06/27/2024,$212.75,1014494,$210.48,$213.09,$209.09
06/26/2024,$211.18,1658075,$210.97,$211.90,$208.85
06/25/2024,$211.42,1449800,$213.48,$215.16,$209.87
06/24/2024,$214.09,1464315,$217.23,$218.51,$213.46
06/21/2024,$216.25,1590610,$215.31,$217.15,$213.90
06/20/2024,$214.19,975219,$210.52,$214.28,$209.61
06/18/2024,$212.83,1099382,$214.04,$216.25,$212.15
06/17/2024,$213.32,1014155,$211.83,$213.74,$209.76
06/14/2024,$212.75,845033,$212.80,$213.38,$210.79
06/13/2024,$213.96,904371,$216.24,$217.68,$212.97
06/12/2024,$217.46,1233606,$218.58,$220.48,$215.57
06/11/2024,$215.51,1613709,$214.28,$215.74,$212.52
06/10/2024,$215.83,1670182,$216.90,$216.96,$213.92
06/07/2024,$219.23,1305265,$218.78,$220.23,$215.72
06/06/2024,$220.49,1146698,$221.12,$221.12,$217.73
06/05/2024,$218.90,1164796,$217.59,$219.48,$215.445
06/04/2024,$217.18,1153654,$216.17,$217.35,$212.34
06/03/2024,$216.47,1393242,$220.86,$222.165,$214.81
05/31/2024,$219.09,3503962,$222.81,$223.55,$216.65
05/30/2024,$222.45,1150065,$223.53,$225.63,$221.77
05/29/2024,$225.00,1411697,$224.63,$225.57,$222.87
05/28/2024,$226.71,1160238,$229.79,$230.41,$224.88
05/24/2024,$229.60,751380,$227.46,$229.92,$226.93
05/23/2024,$227.09,788115,$226.82,$229.42,$223.36
05/22/2024,$226.03,1155690,$229.38,$230.85,$225.26
05/21/2024,$229.38,1060619,$229.27,$229.585,$226.75
05/20/2024,$230.09,701389,$231.25,$231.89,$229.45
05/17/2024,$231.18,723943,$235.00,$235.7908,$231.06
05/16/2024,$235.00,1008991,$233.07,$236.72,$232.10
05/15/2024,$233.69,963405,$233.71,$235.79,$231.81
05/14/2024,$231.14,699573,$230.59,$231.64,$228.43
05/13/2024,$229.04,867399,$234.17,$236.16,$229.01
05/10/2024,$234.08,1261997,$230.92,$234.735,$230.055
05/09/2024,$229.20,643740,$228.20,$229.54,$227.30
05/08/2024,$227.88,579536,$228.66,$229.83,$226.89
05/07/2024,$229.14,849873,$228.20,$230.28,$226.945
05/06/2024,$227.04,684926,$224.97,$227.24,$224.435
05/03/2024,$223.37,1052929,$223.53,$227.56,$222.975
05/02/2024,$222.14,1697682,$227.69,$232.88,$221.33
05/01/2024,$232.94,1025521,$231.91,$237.56,$229.58
04/30/2024,$231.77,674185,$234.17,$235.99,$231.46
04/29/2024,$235.48,740094,$236.55,$237.82,$234.27
04/26/2024,$234.88,697640,$233.10,$236.93,$233.10
04/25/2024,$233.98,1061417,$239.32,$239.89,$232.42
04/24/2024,$240.84,1505728,$238.30,$244.27,$237.70
04/23/2024,$238.62,1112773,$235.95,$239.92,$232.12
04/22/2024,$231.34,737099,$230.36,$232.98,$228.00
04/19/2024,$228.09,776957,$227.54,$229.8455,$225.54
04/18/2024,$227.17,631234,$225.19,$230.52,$222.71
04/17/2024,$227.25,705876,$230.56,$231.58,$226.875
04/16/2024,$229.14,920953,$232.32,$232.58,$228.755
04/15/2024,$231.16,609477,$236.93,$236.93,$230.14
04/12/2024,$234.23,932313,$235.35,$236.93,$232.86
04/11/2024,$238.02,658356,$240.34,$242.05,$236.87
04/10/2024,$239.41,534636,$239.06,$241.76,$236.53
04/09/2024,$245.33,548706,$244.35,$247.005,$244.25
04/08/2024,$241.50,495441,$241.48,$242.965,$239.58
04/05/2024,$241.45,556638,$239.02,$241.939,$238.03
04/04/2024,$238.53,939792,$245.08,$246.04,$238.31
04/03/2024,$242.98,880154,$245.05,$246.00,$241.95
