Date,Close/Last,Volume,Open,High,Low
09/06/2024,$109.48,1471068,$109.06,$109.65,$107.59
09/05/2024,$109.08,1713269,$113.13,$113.20,$107.94
09/04/2024,$112.87,1378268,$113.01,$113.37,$111.80
09/03/2024,$112.83,1365792,$112.86,$114.20,$112.27
08/30/2024,$113.26,2391197,$112.46,$113.49,$111.02
08/29/2024,$111.99,1064404,$112.30,$113.40,$111.21
08/28/2024,$112.30,1429625,$113.98,$114.70,$111.63
08/27/2024,$114.84,1174326,$112.70,$114.93,$112.45
08/26/2024,$113.40,1311336,$113.99,$114.786,$113.07
08/23/2024,$113.35,1114818,$112.84,$114.14,$112.275
08/22/2024,$112.78,1529609,$112.14,$112.93,$111.5052
08/21/2024,$112.10,1726898,$109.66,$112.40,$109.33
08/20/2024,$109.52,1123372,$109.75,$109.84,$109.06
08/19/2024,$109.64,1326478,$108.41,$110.03,$108.10
08/16/2024,$108.30,1996318,$108.57,$109.14,$107.31
08/15/2024,$108.58,1278350,$108.62,$109.37,$107.93
08/14/2024,$108.69,1074226,$108.02,$109.15,$107.77
08/13/2024,$107.89,1468493,$109.51,$109.73,$107.7701
08/12/2024,$108.67,1201618,$108.20,$108.72,$106.61
08/09/2024,$108.44,1212417,$107.58,$108.96,$106.8133
08/08/2024,$107.37,1365561,$106.07,$107.52,$104.57
08/07/2024,$105.56,1934238,$107.35,$109.73,$105.42
08/06/2024,$106.45,2122286,$104.96,$108.47,$104.05
08/05/2024,$104.33,3569947,$102.64,$106.31,$101.19
08/02/2024,$106.69,3465848,$109.54,$112.79,$105.93
08/01/2024,$109.54,5009333,$105.00,$110.48,$104.81
07/31/2024,$102.56,5561413,$102.00,$103.41,$100.67
07/30/2024,$101.29,1731646,$99.86,$101.84,$99.65
07/29/2024,$99.48,1232148,$98.79,$99.85,$97.90
07/26/2024,$98.50,1193311,$97.55,$99.18,$97.14
07/25/2024,$96.90,2755663,$97.34,$97.81,$95.95
07/24/2024,$96.90,1798343,$100.56,$100.81,$96.78
07/23/2024,$100.94,1053556,$100.06,$101.38,$99.82
07/22/2024,$100.13,1116931,$98.28,$100.22,$98.17
07/19/2024,$98.28,1082636,$98.19,$98.75,$97.46
07/18/2024,$97.84,1523499,$98.81,$100.4199,$97.40
07/17/2024,$99.22,1824325,$99.32,$100.78,$99.07
07/16/2024,$99.98,2312758,$98.85,$100.35,$97.75
07/15/2024,$97.83,1096800,$96.00,$97.88,$95.85
07/12/2024,$95.89,1709096,$94.75,$97.13,$94.52
07/11/2024,$94.52,2976707,$96.10,$97.50,$94.25
07/10/2024,$95.15,1362812,$93.66,$95.24,$92.83
07/09/2024,$93.13,2122013,$92.88,$93.82,$92.72
07/08/2024,$92.87,1418777,$91.59,$92.96,$91.15
07/05/2024,$91.60,1191605,$92.17,$92.58,$91.37
07/03/2024,$91.78,1362517,$91.00,$92.725,$90.66
07/02/2024,$90.85,1545532,$89.92,$91.06,$89.57
07/01/2024,$89.69,1310637,$89.30,$90.10,$88.57
06/28/2024,$89.62,3284005,$89.50,$90.40,$89.10
06/27/2024,$89.21,1265525,$89.14,$89.62,$88.43
06/26/2024,$88.45,1251631,$88.05,$88.82,$87.96
06/25/2024,$88.54,1798660,$89.00,$89.01,$88.03
06/24/2024,$89.09,2064183,$88.25,$89.65,$87.93
06/21/2024,$88.86,18459240,$88.84,$89.01,$87.06
06/20/2024,$88.83,2314696,$88.35,$89.70,$88.16
06/18/2024,$88.70,2478679,$88.31,$89.08,$87.83
06/17/2024,$88.27,1513802,$86.83,$88.71,$86.78
06/14/2024,$88.02,1172300,$87.40,$88.39,$87.02
06/13/2024,$87.77,1719047,$87.41,$88.50,$86.87
06/12/2024,$87.30,2657329,$89.14,$89.91,$87.22
06/11/2024,$87.33,1638558,$86.86,$87.74,$86.24
06/10/2024,$87.10,2130165,$85.04,$87.33,$84.775
06/07/2024,$85.47,1805027,$83.74,$85.63,$83.58
06/06/2024,$84.84,2204150,$82.83,$84.95,$82.36
06/05/2024,$82.34,1447367,$81.33,$82.48,$80.71
06/04/2024,$81.15,1039278,$80.38,$81.25,$80.26
06/03/2024,$80.73,1194643,$81.03,$81.25,$79.15
05/31/2024,$80.69,2343886,$80.01,$80.82,$79.37
05/30/2024,$79.64,1057840,$78.76,$80.29,$78.5709
05/29/2024,$78.38,1035174,$78.67,$78.93,$78.06
05/28/2024,$79.50,996737,$80.96,$81.075,$79.42
05/24/2024,$80.23,651298,$79.57,$80.4165,$79.32
05/23/2024,$79.28,1280695,$81.15,$81.15,$79.14
05/22/2024,$80.96,1243235,$82.69,$82.69,$80.40
05/21/2024,$82.85,978021,$81.81,$82.94,$81.38
05/20/2024,$82.10,803598,$81.91,$82.34,$81.54
05/17/2024,$81.79,1735910,$82.48,$82.48,$81.28
05/16/2024,$82.00,1510650,$82.22,$82.9993,$82.00
05/15/2024,$82.34,1067714,$81.54,$82.49,$81.275
05/14/2024,$80.53,1569675,$78.56,$80.76,$78.56
