Date,Close/Last,Volume,Open,High,Low
09/06/2024,$483.68,356677,$487.17,$491.35,$479.49
09/05/2024,$483.46,219483,$485.25,$486.28,$480.45
09/04/2024,$486.72,222865,$480.33,$487.59,$479.42
09/03/2024,$481.83,333516,$491.43,$499.20,$477.83
08/30/2024,$491.96,418196,$487.71,$492.04,$481.67
08/29/2024,$485.88,311866,$483.99,$491.46,$481.15
08/28/2024,$481.56,179934,$486.41,$488.88,$478.81
08/27/2024,$485.77,264855,$481.15,$486.76,$478.90
08/26/2024,$482.31,123494,$481.54,$484.86,$481.24
08/23/2024,$480.86,226707,$480.08,$483.76,$478.745
08/22/2024,$477.39,175281,$481.94,$482.01,$476.68
08/21/2024,$481.17,307218,$483.84,$483.84,$477.26
08/20/2024,$483.86,298854,$484.62,$487.66,$477.62
08/19/2024,$485.00,297292,$482.29,$485.14,$480.26
08/16/2024,$482.70,272145,$482.89,$484.61,$479.665
08/15/2024,$484.11,251336,$481.99,$485.815,$480.05
08/14/2024,$478.67,491649,$479.17,$481.31,$474.94
08/13/2024,$479.82,267936,$472.22,$481.49,$472.13
08/12/2024,$475.60,187827,$479.78,$480.55,$473.74
08/09/2024,$480.67,205034,$478.12,$482.52,$475.90
08/08/2024,$479.00,290298,$469.99,$479.34,$467.835
08/07/2024,$467.26,262011,$477.48,$481.755,$466.82
08/06/2024,$473.07,432497,$460.70,$478.12,$460.70
08/05/2024,$457.47,487297,$476.03,$476.03,$456.97
08/02/2024,$479.29,366114,$487.65,$488.73,$473.85
08/01/2024,$493.27,432162,$499.82,$503.05,$491.20
07/31/2024,$501.19,708829,$499.11,$509.15,$497.62
07/30/2024,$498.77,997462,$482.01,$506.1527,$478.9671
07/29/2024,$470.84,541734,$474.17,$476.48,$469.32
07/26/2024,$470.92,424650,$463.00,$472.14,$460.19
07/25/2024,$461.99,396110,$459.30,$474.555,$457.81
07/24/2024,$457.42,402473,$462.89,$465.97,$457.10
07/23/2024,$467.50,487942,$474.23,$475.00,$467.35
07/22/2024,$471.69,343253,$461.43,$472.04,$460.86
07/19/2024,$458.55,242952,$461.88,$464.92,$457.17
07/18/2024,$459.27,227093,$459.24,$465.21,$456.79
07/17/2024,$459.80,226732,$463.32,$466.39,$459.80
07/16/2024,$466.10,284865,$457.19,$466.46,$457.01
07/15/2024,$455.02,231815,$455.38,$459.635,$453.655
07/12/2024,$455.38,251281,$450.50,$458.18,$448.90
07/11/2024,$447.62,476949,$450.59,$454.71,$446.4089
07/10/2024,$448.51,355469,$447.95,$449.36,$438.52
07/09/2024,$448.09,386876,$449.77,$452.80,$446.06
07/08/2024,$449.14,302276,$451.75,$452.90,$448.09
07/05/2024,$452.01,242184,$447.50,$452.66,$444.01
07/03/2024,$447.75,232176,$445.71,$449.17,$442.31
07/02/2024,$446.12,238431,$441.36,$448.49,$441.36
07/01/2024,$441.32,381494,$450.91,$451.02,$440.285
06/28/2024,$449.06,748646,$445.11,$450.42,$445.11
06/27/2024,$444.77,290268,$446.68,$448.81,$443.20
06/26/2024,$446.50,287849,$447.23,$449.09,$443.67
06/25/2024,$449.91,338033,$452.25,$452.83,$447.27
06/24/2024,$451.09,304425,$451.79,$453.35,$448.34
06/21/2024,$452.13,786522,$450.00,$452.56,$447.29
06/20/2024,$450.48,430458,$449.63,$455.34,$445.30
06/18/2024,$446.30,449665,$444.00,$447.26,$440.37
06/17/2024,$442.69,441913,$432.00,$446.02,$429.51
06/14/2024,$432.21,626347,$430.77,$433.73,$429.50
06/13/2024,$432.67,428071,$435.35,$438.06,$432.06
06/12/2024,$435.76,844604,$438.23,$441.655,$435.32
06/11/2024,$433.85,614757,$433.41,$437.615,$429.94
06/10/2024,$436.30,307112,$433.56,$438.64,$433.445
06/07/2024,$434.44,296622,$432.35,$437.10,$430.174
06/06/2024,$432.20,342576,$436.93,$444.00,$431.75
06/05/2024,$435.95,359608,$429.77,$438.125,$429.35
06/04/2024,$428.12,381390,$423.47,$431.60,$423.47
06/03/2024,$424.01,385770,$420.14,$424.27,$416.93
05/31/2024,$419.67,749841,$415.38,$420.01,$413.28
05/30/2024,$414.48,665024,$422.02,$425.085,$412.71
05/29/2024,$427.74,373391,$430.79,$434.69,$427.35
05/28/2024,$434.70,337623,$438.68,$441.23,$432.33
05/24/2024,$439.04,362135,$445.69,$445.69,$438.95
05/23/2024,$445.69,337175,$453.85,$453.85,$442.79
05/22/2024,$451.93,289298,$451.68,$457.91,$449.96
05/21/2024,$449.35,388514,$455.66,$455.66,$446.95
05/20/2024,$456.30,278584,$450.77,$457.81,$449.42
05/17/2024,$450.26,345814,$450.20,$452.00,$447.29
05/16/2024,$447.78,306239,$443.00,$448.84,$442.48
05/15/2024,$442.15,473012,$439.22,$448.27,$435.34
05/14/2024,$436.57,341848,$441.15,$444.15,$433.48
05/13/2024,$440.09,369819,$440.55,$442.38,$436.43
05/10/2024,$439.27,311011,$438.56,$440.01,$436.43
05/09/2024,$436.75,363554,$434.33,$436.80,$427.705
05/08/2024,$434.27,368164,$433.99,$440.00,$433.49
05/07/2024,$437.13,314854,$438.76,$441.81,$435.67
05/06/2024,$436.38,311208,$430.51,$436.76,$429.21
05/03/2024,$428.64,478615,$425.06,$431.00,$421.44
05/02/2024,$419.04,618237,$424.24,$424.24,$414.64
05/01/2024,$422.39,929753,$412.16,$428.92,$412.16
04/30/2024,$412.59,1344201,$458.06,$458.08,$411.15
04/29/2024,$448.65,694370,$448.90,$453.35,$445.895
04/26/2024,$448.78,292240,$447.45,$453.21,$447.45
04/25/2024,$446.31,362984,$447.72,$450.84,$445.965
04/24/2024,$451.06,283578,$450.32,$453.59,$447.90
04/23/2024,$450.26,252951,$446.33,$452.31,$445.66
04/22/2024,$443.06,391914,$442.94,$447.55,$441.96
04/19/2024,$440.38,445356,$450.53,$451.72,$438.58
04/18/2024,$449.61,426540,$449.92,$452.73,$446.34
04/17/2024,$449.31,401458,$460.70,$462.83,$449.30
04/16/2024,$458.13,496745,$462.34,$462.34,$455.535
04/15/2024,$463.59,626554,$470.37,$474.31,$462.995
04/12/2024,$465.45,319515,$469.96,$470.80,$462.9714
04/11/2024,$474.72,306096,$472.15,$478.815,$467.73
04/10/2024,$463.78,249378,$465.27,$468.51,$463.21
04/09/2024,$469.89,247067,$474.50,$475.95,$466.75
04/08/2024,$471.87,340031,$470.34,$473.0499,$469.28
04/05/2024,$470.36,233247,$465.41,$472.535,$465.41
04/04/2024,$464.34,365858,$475.43,$477.67,$463.49
04/03/2024,$472.09,230800,$466.91,$474.01,$466.91
04/02/2024,$469.48,249585,$473.83,$477.06,$465.50
04/01/2024,$477.44,255573,$475.88,$478.36,$474.55
03/28/2024,$476.67,402282,$481.97,$484.98,$476.02
03/27/2024,$480.84,299654,$479.06,$481.65,$476.49
03/26/2024,$475.45,357067,$475.60,$482.31,$473.14
03/25/2024,$473.61,333959,$477.61,$479.03,$471.85
03/22/2024,$479.34,233022,$484.08,$485.915,$477.48
03/21/2024,$483.11,446676,$482.89,$486.54,$475.465
03/20/2024,$480.28,304306,$478.66,$482.2382,$475.285
03/19/2024,$477.02,238384,$473.69,$477.30,$471.96
03/18/2024,$474.75,288966,$473.23,$477.22,$472.63
03/15/2024,$470.97,493569,$465.84,$471.30,$463.92
03/14/2024,$468.94,369262,$477.00,$479.00,$468.028
03/13/2024,$476.70,294135,$476.52,$476.96,$471.24
03/12/2024,$476.16,321364,$466.00,$476.99,$465.58
03/11/2024,$465.00,309431,$461.19,$468.06,$461.19
03/08/2024,$463.56,387228,$469.83,$471.24,$463.505
03/07/2024,$470.00,556833,$473.83,$476.42,$468.54
03/06/2024,$468.97,259461,$465.11,$469.45,$463.65
03/05/2024,$460.23,256145,$467.69,$467.69,$456.30
03/04/2024,$469.75,316571,$470.82,$474.645,$467.345
03/01/2024,$471.48,274783,$464.48,$471.64,$464.24
02/29/2024,$465.56,606980,$468.01,$469.96,$459.6808
02/28/2024,$465.69,221029,$459.96,$465.90,$458.65
02/27/2024,$461.05,231180,$460.47,$461.49,$458.375
02/26/2024,$460.97,213416,$461.10,$462.89,$458.98
02/23/2024,$460.64,280750,$455.12,$461.965,$455.12
02/22/2024,$453.46,304392,$448.70,$455.40,$447.97
02/21/2024,$440.76,498066,$441.59,$442.04,$437.34
02/20/2024,$445.00,602208,$447.77,$450.40,$441.21
