Date,Close/Last,Volume,Open,High,Low
09/06/2024,$167.77,714069,$169.75,$171.32,$167.63
09/05/2024,$169.30,743394,$171.43,$172.53,$166.375
09/04/2024,$172.82,511048,$173.09,$174.715,$171.305
09/03/2024,$173.09,701428,$172.47,$173.29,$169.22
08/30/2024,$173.20,1228313,$172.71,$173.45,$169.14
08/29/2024,$172.27,778804,$175.15,$177.24,$171.91
08/28/2024,$174.17,586009,$172.01,$175.40,$172.01
08/27/2024,$172.10,711572,$175.58,$175.775,$170.05
08/26/2024,$175.95,415437,$178.06,$178.80,$175.19
08/23/2024,$176.97,556173,$174.82,$177.165,$173.65
08/22/2024,$173.38,621916,$175.05,$177.255,$172.77
08/21/2024,$175.50,515237,$173.75,$175.69,$173.71
08/20/2024,$172.24,881452,$175.76,$177.62,$170.83
08/19/2024,$175.34,1044054,$171.73,$175.57,$171.275
08/16/2024,$170.36,784510,$166.87,$170.58,$166.45
08/15/2024,$167.26,1354076,$167.62,$172.74,$166.75
08/14/2024,$163.63,386899,$163.83,$165.36,$163.08
08/13/2024,$163.97,788842,$163.60,$165.24,$162.03
08/12/2024,$162.77,553442,$163.30,$164.03,$161.50
08/09/2024,$163.09,685602,$163.86,$164.07,$160.89
08/08/2024,$163.86,482371,$164.73,$165.32,$162.4015
08/07/2024,$162.89,834941,$164.23,$166.15,$161.87
08/06/2024,$163.93,642452,$160.98,$168.3384,$160.5823
08/05/2024,$160.98,1350367,$159.56,$165.33,$155.02
08/02/2024,$163.59,1157098,$165.61,$166.11,$159.33
08/01/2024,$168.79,806129,$173.30,$176.02,$168.49
07/31/2024,$173.15,1062433,$172.51,$176.41,$170.16
07/30/2024,$172.16,699937,$171.58,$174.99,$171.58
07/29/2024,$170.52,736357,$171.94,$174.09,$170.44
07/26/2024,$171.54,711246,$171.01,$174.02,$170.39
07/25/2024,$170.78,1631271,$163.97,$175.60,$163.40
07/24/2024,$163.80,841721,$165.25,$165.5299,$161.795
07/23/2024,$165.13,816952,$162.67,$167.32,$162.67
07/22/2024,$164.71,938894,$164.92,$166.20,$163.06
07/19/2024,$164.18,1235095,$161.25,$164.33,$158.71
07/18/2024,$160.81,1557079,$163.04,$163.73,$160.27
07/17/2024,$163.90,2398262,$169.07,$170.00,$162.52
07/16/2024,$176.00,1977622,$169.52,$176.24,$169.52
07/15/2024,$169.62,1349884,$166.36,$172.60,$166.36
07/12/2024,$166.16,1624040,$164.07,$168.57,$163.73
07/11/2024,$163.31,882450,$161.00,$164.58,$160.34
07/10/2024,$159.78,739437,$156.17,$159.93,$156.17
07/09/2024,$155.54,501654,$156.68,$157.16,$154.81
07/08/2024,$158.04,625482,$159.46,$159.8999,$156.18
07/05/2024,$158.29,824430,$158.09,$158.785,$155.74
07/03/2024,$158.71,387834,$159.12,$160.56,$158.25
07/02/2024,$159.42,600241,$159.46,$160.89,$158.21
07/01/2024,$158.68,836437,$159.43,$160.01,$158.10
06/28/2024,$160.00,1528883,$158.62,$161.75,$158.4659
06/27/2024,$157.12,644988,$156.77,$157.555,$155.76
06/26/2024,$157.13,516488,$156.27,$158.83,$155.49
