Date,Close/Last,Volume,Open,High,Low
09/06/2024,$101.04,1278375,$102.21,$103.24,$100.17
09/05/2024,$102.59,1088610,$103.32,$104.46,$102.09
09/04/2024,$103.60,1253992,$102.70,$104.455,$102.05
09/03/2024,$103.41,1990273,$106.75,$107.60,$103.12
08/30/2024,$109.28,2024137,$108.89,$109.4879,$107.47
08/29/2024,$107.64,1251437,$108.03,$109.78,$107.24
08/28/2024,$107.34,1128410,$107.30,$108.46,$107.09
08/27/2024,$107.60,1075481,$107.86,$108.12,$106.71
08/26/2024,$108.70,1102188,$109.00,$109.8025,$108.11
08/23/2024,$108.51,1442535,$108.49,$109.525,$107.37
08/22/2024,$107.14,821262,$108.73,$109.2699,$107.00
08/21/2024,$108.61,708914,$107.56,$109.04,$107.02
08/20/2024,$106.87,727990,$107.29,$108.11,$106.62
08/19/2024,$107.46,717037,$106.63,$107.55,$105.78
08/16/2024,$106.35,794991,$106.61,$106.875,$105.07
08/15/2024,$107.08,1403719,$105.11,$108.21,$104.48
08/14/2024,$103.27,1080686,$104.94,$105.34,$102.645
08/13/2024,$104.04,867489,$102.83,$104.75,$102.14
08/12/2024,$102.02,789891,$102.68,$103.34,$101.48
08/09/2024,$102.13,678549,$101.61,$102.30,$100.72
08/08/2024,$101.89,1069593,$100.00,$102.00,$98.96
08/07/2024,$98.44,1319448,$102.34,$103.44,$97.96
08/06/2024,$100.46,1641456,$98.51,$101.95,$97.95
08/05/2024,$97.55,2333218,$96.07,$98.98,$95.845
08/02/2024,$99.62,3749817,$106.20,$106.20,$96.77
08/01/2024,$109.00,1558312,$111.86,$112.66,$107.01
07/31/2024,$112.67,1382797,$111.93,$114.75,$110.88
07/30/2024,$109.35,1397444,$109.95,$110.92,$108.57
07/29/2024,$109.95,1151138,$110.97,$111.92,$109.55
07/26/2024,$110.38,1210941,$112.24,$112.77,$110.3001
07/25/2024,$110.35,2079582,$111.81,$114.50,$109.20
07/24/2024,$111.05,2045213,$111.68,$114.94,$110.66
07/23/2024,$112.17,1597920,$112.74,$113.31,$112.00
07/22/2024,$113.30,1652787,$111.62,$113.52,$109.75
07/19/2024,$110.54,1102221,$112.94,$113.77,$110.17
07/18/2024,$112.22,1146497,$115.00,$115.63,$111.41
07/17/2024,$114.92,1226674,$115.97,$116.46,$114.05
07/16/2024,$118.07,896440,$115.65,$118.255,$115.20
07/15/2024,$115.30,848779,$114.42,$116.64,$114.42
07/12/2024,$114.93,818599,$114.44,$116.18,$114.37
07/11/2024,$114.42,1266884,$114.43,$116.27,$113.92
07/10/2024,$113.69,1125286,$111.90,$114.04,$110.94
07/09/2024,$110.01,1045179,$110.15,$111.86,$109.99
07/08/2024,$110.02,1328978,$108.97,$111.26,$108.20
07/05/2024,$108.56,1682172,$109.47,$110.58,$108.32
07/03/2024,$110.10,1053467,$108.86,$110.18,$108.60
07/02/2024,$108.53,1581121,$108.18,$109.7799,$107.50
07/01/2024,$108.52,1742225,$109.01,$109.55,$107.55
06/28/2024,$108.79,5682574,$108.13,$110.195,$107.83
06/27/2024,$107.92,2356242,$112.25,$113.17,$107.775
06/26/2024,$112.24,1852533,$112.90,$112.97,$110.825
06/25/2024,$114.38,1784732,$112.51,$114.475,$112.51
06/24/2024,$112.98,2920517,$113.27,$115.597,$112.61
06/21/2024,$113.19,4897586,$111.00,$115.13,$110.47
06/20/2024,$111.79,5579062,$120.26,$124.54,$111.0201
06/18/2024,$126.23,3013756,$125.61,$129.22,$125.60
06/17/2024,$124.48,1919127,$119.47,$125.02,$119.12
06/14/2024,$119.48,915391,$119.85,$120.12,$118.38
06/13/2024,$121.10,738822,$120.65,$121.17,$118.14
06/12/2024,$120.63,1069399,$119.04,$120.88,$117.83
06/11/2024,$117.75,1120744,$116.62,$118.03,$115.77
06/10/2024,$117.10,997606,$113.13,$117.26,$113.13
06/07/2024,$113.88,964828,$113.73,$114.41,$112.98
06/06/2024,$114.32,825966,$115.50,$116.24,$113.98
06/05/2024,$115.97,939163,$115.00,$116.03,$113.73
06/04/2024,$114.21,788435,$116.13,$116.13,$114.0701
06/03/2024,$117.23,768279,$119.40,$119.40,$115.97
05/31/2024,$118.90,2308097,$118.86,$119.58,$115.51
05/30/2024,$119.22,951577,$117.62,$120.35,$117.45
05/29/2024,$117.33,958737,$117.71,$118.29,$116.84
05/28/2024,$118.77,993199,$120.53,$120.53,$117.49
05/24/2024,$119.60,1147362,$119.91,$120.885,$118.58
05/23/2024,$118.79,1095794,$120.07,$120.93,$117.98
05/22/2024,$118.18,1452513,$118.07,$119.31,$116.85
05/21/2024,$117.79,1730654,$118.09,$118.92,$116.55
05/20/2024,$121.01,3271560,$111.97,$124.1311,$111.68
05/17/2024,$115.02,1136706,$115.82,$116.025,$114.42
05/16/2024,$115.38,1527222,$115.50,$116.765,$114.57
05/15/2024,$115.47,2742699,$118.70,$118.70,$113.85
05/14/2024,$117.65,1336978,$117.70,$118.89,$117.01
05/13/2024,$117.85,1338646,$118.45,$118.45,$116.31
05/10/2024,$117.95,720194,$118.80,$119.26,$116.79
05/09/2024,$117.93,1230263,$117.65,$118.59,$117.30
05/08/2024,$117.53,763714,$117.02,$118.48,$116.75
05/07/2024,$117.43,1346752,$118.77,$118.98,$117.17
05/06/2024,$118.97,1347077,$118.30,$119.31,$117.78
05/03/2024,$117.22,1104012,$116.92,$117.40,$115.35
05/02/2024,$115.26,1273119,$115.90,$115.90,$113.06
05/01/2024,$114.38,1664016,$116.23,$116.715,$112.45
04/30/2024,$117.36,1279500,$118.73,$121.625,$117.31
04/29/2024,$119.87,1619238,$118.23,$119.98,$117.215
04/26/2024,$118.27,1940101,$118.97,$119.92,$117.52
04/25/2024,$118.48,2165849,$119.38,$120.21,$118.00
04/24/2024,$120.24,1361184,$122.75,$123.85,$119.80
04/23/2024,$120.89,1892004,$120.44,$121.47,$119.36
04/22/2024,$119.13,2033212,$120.82,$121.26,$116.86
04/19/2024,$118.75,3269250,$126.87,$127.61,$117.56
04/18/2024,$129.59,662519,$130.04,$132.095,$129.11
04/17/2024,$129.65,667530,$132.79,$132.79,$129.12
04/16/2024,$132.04,802552,$131.84,$132.959,$130.40
04/15/2024,$132.66,801267,$135.66,$136.40,$132.36
04/12/2024,$134.07,1011449,$136.47,$137.78,$133.70
04/11/2024,$138.02,794152,$136.99,$138.27,$136.40
04/10/2024,$136.36,1002913,$133.89,$137.515,$133.31
04/09/2024,$136.53,1184784,$138.70,$139.34,$135.17
04/08/2024,$138.58,1026599,$140.22,$141.445,$138.47
04/05/2024,$140.47,1147722,$136.93,$140.625,$136.30
04/04/2024,$135.88,1089767,$140.00,$140.87,$135.705
04/03/2024,$138.19,1048486,$133.86,$138.34,$133.595
04/02/2024,$134.19,1184868,$134.27,$135.02,$131.355
04/01/2024,$135.61,903086,$133.61,$136.015,$133.40
03/28/2024,$133.95,1011188,$135.71,$136.63,$133.67
03/27/2024,$135.94,1023621,$133.55,$136.21,$132.44
03/26/2024,$133.61,1348700,$132.21,$135.91,$132.21
03/25/2024,$131.34,1009384,$131.20,$132.3699,$130.84
03/22/2024,$131.19,1082213,$129.04,$132.855,$129.04
