Date,Close/Last,Volume,Open,High,Low
09/06/2024,$22.99,3643388,$23.09,$23.205,$22.8199
09/05/2024,$23.11,2034365,$23.24,$23.385,$23.02
09/04/2024,$23.35,2517819,$23.32,$23.5202,$23.145
09/03/2024,$23.23,3623195,$23.11,$23.27,$23.00
08/30/2024,$23.26,2880642,$23.12,$23.275,$23.025
08/29/2024,$23.01,2568002,$23.17,$23.203,$22.965
08/28/2024,$23.16,2929121,$23.14,$23.285,$23.005
08/27/2024,$23.16,3545555,$23.25,$23.395,$23.15
08/26/2024,$23.39,2641395,$23.47,$23.53,$23.29
08/23/2024,$23.23,4042668,$22.95,$23.31,$22.85
08/22/2024,$22.82,5419682,$22.85,$22.885,$22.65
08/21/2024,$22.80,3393357,$22.61,$22.88,$22.51
08/20/2024,$22.49,2920966,$22.35,$22.535,$22.23
08/19/2024,$22.30,2484260,$22.11,$22.34,$22.11
08/16/2024,$22.29,3074133,$22.51,$22.56,$22.185
08/15/2024,$22.27,3964188,$22.13,$22.60,$22.04
08/14/2024,$22.02,2362686,$21.90,$22.13,$21.81
08/13/2024,$21.86,3692212,$21.96,$21.97,$21.745
08/12/2024,$21.75,2741324,$21.82,$21.91,$21.57
08/09/2024,$21.84,1768312,$21.79,$21.92,$21.625
08/08/2024,$21.79,2891854,$21.48,$21.945,$21.441
08/07/2024,$21.51,6043178,$21.90,$22.175,$21.455
08/06/2024,$21.74,7412649,$21.15,$21.88,$21.08
08/05/2024,$21.15,4928329,$21.39,$21.755,$21.09
08/02/2024,$21.93,4591199,$22.08,$22.18,$21.725
08/01/2024,$22.01,5925575,$22.25,$22.48,$21.78
07/31/2024,$21.73,7738022,$21.95,$22.22,$21.70
07/30/2024,$22.03,4826841,$21.47,$22.13,$21.31
07/29/2024,$21.39,4148311,$21.24,$21.495,$21.20
07/26/2024,$21.19,3309113,$20.97,$21.26,$20.76
07/25/2024,$20.74,3355696,$20.95,$21.18,$20.69
07/24/2024,$20.90,5158851,$21.38,$21.54,$20.875
07/23/2024,$21.35,3385215,$21.37,$21.52,$21.30
07/22/2024,$21.47,2714443,$21.25,$21.47,$21.03
07/19/2024,$21.24,3178700,$21.36,$21.41,$21.09
07/18/2024,$21.29,8543757,$21.51,$21.915,$21.29
07/17/2024,$21.57,3957479,$21.17,$21.64,$21.17
07/16/2024,$21.19,5412624,$21.08,$21.275,$21.07
07/15/2024,$20.96,5115851,$20.69,$20.97,$20.52
07/12/2024,$20.58,4057141,$20.49,$20.745,$20.43
07/11/2024,$20.29,3755043,$20.00,$20.36,$19.97
07/10/2024,$19.72,3510549,$19.33,$19.72,$19.29
07/09/2024,$19.24,4612297,$19.22,$19.265,$18.97
07/08/2024,$19.26,3317303,$19.31,$19.415,$19.16
07/05/2024,$19.28,2334292,$19.26,$19.395,$19.225
07/03/2024,$19.27,1930070,$19.49,$19.4971,$19.26
07/02/2024,$19.41,4483009,$19.31,$19.42,$19.21
07/01/2024,$19.27,3436536,$19.41,$19.525,$19.18
06/28/2024,$19.46,7838995,$19.20,$19.52,$19.14
06/27/2024,$19.09,3999467,$18.75,$19.11,$18.75
06/26/2024,$18.77,2779432,$18.63,$18.835,$18.62
06/25/2024,$18.76,2959413,$19.13,$19.185,$18.60
06/24/2024,$19.14,3853820,$18.95,$19.25,$18.83
06/21/2024,$18.98,7751647,$19.09,$19.09,$18.76
06/20/2024,$18.89,3601500,$18.73,$18.93,$18.67
06/18/2024,$18.80,3481365,$18.72,$18.85,$18.665
06/17/2024,$18.68,3208200,$18.66,$18.79,$18.57
06/14/2024,$18.75,3145425,$18.61,$18.8195,$18.54
06/13/2024,$18.72,7169392,$18.53,$19.005,$18.46
06/12/2024,$18.53,5271387,$18.76,$18.85,$18.49
