Date,Close/Last,Volume,Open,High,Low
09/06/2024,$22.86,18883370,$22.51,$23.00,$22.50
09/05/2024,$22.51,15490310,$22.56,$22.68,$22.38
09/04/2024,$22.51,22620790,$22.04,$22.63,$22.00
09/03/2024,$22.10,13880040,$21.75,$22.24,$21.65
08/30/2024,$21.95,14008530,$21.83,$21.9549,$21.72
08/29/2024,$21.75,12053530,$21.81,$21.93,$21.53
08/28/2024,$21.72,7896100,$21.95,$21.9567,$21.59
08/27/2024,$21.92,10096280,$22.00,$22.09,$21.74
08/26/2024,$21.96,9431510,$21.86,$22.055,$21.805
08/23/2024,$21.82,6785642,$21.61,$21.905,$21.60
08/22/2024,$21.56,12239500,$21.69,$21.765,$21.23
08/21/2024,$21.69,8446822,$21.65,$21.85,$21.57
08/20/2024,$21.55,11291460,$21.64,$21.71,$21.395
08/19/2024,$21.64,10019650,$21.73,$21.92,$21.63
08/16/2024,$21.67,11269850,$21.44,$21.71,$21.36
08/15/2024,$21.57,10727940,$21.19,$21.62,$21.18
08/14/2024,$21.18,16462480,$21.16,$21.47,$21.12
08/13/2024,$21.34,16625460,$21.14,$21.49,$21.12
08/12/2024,$21.09,17481100,$21.08,$21.155,$20.84
08/09/2024,$21.02,20636930,$21.20,$21.235,$20.915
08/08/2024,$21.25,21849850,$20.57,$21.365,$20.41
08/07/2024,$20.62,24344690,$20.69,$21.05,$20.45
08/06/2024,$20.86,44403590,$20.15,$20.92,$19.911
08/05/2024,$18.19,21724930,$18.71,$18.87,$18.105
08/02/2024,$18.82,17688720,$18.65,$18.84,$18.42
08/01/2024,$18.63,12817630,$18.67,$18.70,$18.39
07/31/2024,$18.49,42056170,$18.67,$18.76,$18.36
07/30/2024,$18.75,12381340,$18.52,$18.81,$18.305
07/29/2024,$18.80,12564820,$18.65,$18.90,$18.52
07/26/2024,$18.69,11484660,$18.37,$18.785,$18.31
07/25/2024,$18.25,11082250,$18.33,$18.71,$18.24
07/24/2024,$18.17,9390785,$17.92,$18.25,$17.85
07/23/2024,$17.93,12490960,$18.09,$18.23,$17.91
07/22/2024,$18.23,15788770,$18.21,$18.27,$18.00
07/19/2024,$18.25,15412380,$18.46,$18.49,$18.155
07/18/2024,$18.32,14130970,$18.45,$18.75,$18.31
07/17/2024,$18.44,17834890,$18.27,$18.77,$18.27
07/16/2024,$18.25,15408290,$18.05,$18.36,$18.005
07/15/2024,$18.11,14171750,$18.34,$18.39,$18.09
07/12/2024,$18.34,12523550,$18.11,$18.41,$17.96
07/11/2024,$17.92,35772230,$17.77,$17.94,$17.67
07/10/2024,$17.70,24692570,$18.14,$18.24,$17.675
07/09/2024,$18.22,12147270,$18.26,$18.30,$17.975
07/08/2024,$18.25,15968430,$18.29,$18.29,$18.00
