Date,Close/Last,Volume,Open,High,Low
09/06/2024,$179.42,2252331,$178.39,$182.67,$178.15
09/05/2024,$177.83,1612472,$178.29,$179.69,$177.285
09/04/2024,$178.31,1421657,$177.62,$179.01,$175.50
09/03/2024,$178.38,1704188,$182.31,$183.94,$176.73
08/30/2024,$182.06,1458297,$182.01,$183.31,$178.54
08/29/2024,$180.51,924118,$182.00,$182.64,$178.58
08/28/2024,$181.26,683056,$181.67,$183.32,$180.12
08/27/2024,$182.36,944452,$182.13,$183.20,$180.61
08/26/2024,$183.65,1169897,$186.50,$186.60,$183.34
08/23/2024,$185.02,1962090,$180.97,$185.68,$179.98
08/22/2024,$178.74,1123311,$179.05,$180.39,$177.76
08/21/2024,$179.05,2746528,$176.19,$180.49,$175.59
08/20/2024,$174.00,1381759,$175.71,$177.15,$173.76
08/19/2024,$175.47,1207526,$173.00,$175.98,$172.71
08/16/2024,$171.76,1118623,$170.32,$173.41,$170.00
08/15/2024,$170.61,1263257,$170.92,$171.31,$168.50
08/14/2024,$169.12,1431395,$171.50,$171.70,$168.20
08/13/2024,$170.37,1249496,$169.14,$171.72,$168.29
08/12/2024,$167.94,1502246,$169.90,$170.19,$167.09
08/09/2024,$169.76,1614040,$169.90,$171.04,$168.24
08/08/2024,$169.37,1337132,$168.63,$170.6391,$166.63
08/07/2024,$166.75,2796439,$174.21,$175.82,$165.88
08/06/2024,$172.00,1918518,$169.59,$175.31,$167.19
08/05/2024,$170.39,2827692,$163.00,$172.23,$162.67
08/02/2024,$174.46,2327337,$172.49,$176.81,$170.01
08/01/2024,$176.24,2511318,$178.08,$179.205,$173.46
07/31/2024,$176.93,3030381,$180.65,$182.53,$176.77
07/30/2024,$180.45,1853238,$178.57,$181.15,$178.02
07/29/2024,$178.18,1974301,$177.32,$179.22,$175.46
07/26/2024,$176.71,2211539,$175.26,$178.75,$174.2002
07/25/2024,$171.28,1844720,$169.90,$175.37,$168.01
07/24/2024,$168.79,3003561,$172.07,$173.41,$168.71
07/23/2024,$172.65,1862602,$171.50,$174.57,$169.86
07/22/2024,$172.50,2344891,$169.95,$172.60,$167.01
07/19/2024,$170.94,1823108,$169.73,$172.32,$167.96
07/18/2024,$170.03,4439255,$170.08,$177.79,$169.805
07/17/2024,$166.48,2163909,$167.77,$169.31,$166.38
07/16/2024,$169.62,2910099,$161.95,$169.89,$161.5513
07/15/2024,$159.18,2156295,$160.04,$162.41,$158.425
07/12/2024,$159.88,4230369,$157.00,$161.50,$156.83
07/11/2024,$155.83,4011268,$150.26,$156.33,$149.52
07/10/2024,$145.72,2126679,$142.63,$146.4299,$142.31
07/09/2024,$142.50,2038445,$143.30,$144.16,$141.88
07/08/2024,$142.63,2460675,$144.00,$145.02,$141.15
07/05/2024,$142.63,1842116,$142.86,$143.31,$140.65
07/03/2024,$143.28,1116434,$142.75,$145.90,$142.20
07/02/2024,$143.61,2387927,$141.71,$143.84,$141.13
07/01/2024,$145.93,2033393,$150.51,$150.84,$145.87
06/28/2024,$149.87,3297955,$149.00,$150.855,$148.89
06/27/2024,$149.12,1798264,$148.90,$149.57,$147.72
06/26/2024,$148.94,2353665,$148.68,$149.98,$147.91
06/25/2024,$149.18,2710648,$149.95,$150.08,$146.95
06/24/2024,$150.66,2238434,$151.01,$152.33,$149.32
06/21/2024,$151.55,3883004,$150.21,$151.89,$147.92
06/20/2024,$149.31,2837329,$147.47,$151.66,$147.0773
06/18/2024,$148.72,5992430,$150.69,$154.04,$148.125
06/17/2024,$156.51,4689418,$154.93,$157.42,$153.50
06/14/2024,$155.10,3115504,$153.23,$155.31,$150.6901
06/13/2024,$155.04,2082501,$154.76,$156.45,$153.42
06/12/2024,$155.00,3156446,$158.27,$161.3401,$154.38
06/11/2024,$152.23,2043519,$154.34,$154.34,$151.7856
06/10/2024,$155.42,1559723,$152.88,$155.885,$152.21
06/07/2024,$154.02,2195509,$152.76,$156.35,$152.00
06/06/2024,$156.12,1393717,$159.17,$159.30,$155.89
06/05/2024,$159.37,1553385,$158.56,$159.40,$155.87
06/04/2024,$157.71,1847866,$159.60,$159.75,$157.08
06/03/2024,$160.71,1608287,$160.49,$161.30,$159.065
05/31/2024,$160.35,5769867,$157.93,$160.41,$156.91
05/30/2024,$157.03,1651755,$154.495,$157.24,$154.495
05/29/2024,$154.06,1780820,$152.94,$154.17,$151.90
05/28/2024,$154.95,1388475,$156.75,$157.97,$154.16
05/24/2024,$156.38,1198196,$155.98,$156.75,$154.74
05/23/2024,$154.52,1665953,$157.16,$157.16,$153.46
05/22/2024,$155.88,2579674,$160.20,$161.78,$155.38
05/21/2024,$162.71,1116235,$163.53,$163.58,$161.76
05/20/2024,$163.67,943459,$166.01,$166.41,$163.46
05/17/2024,$165.88,1123890,$165.66,$166.33,$164.37
05/16/2024,$165.20,2065613,$169.84,$170.00,$165.02
05/15/2024,$170.85,2443964,$165.78,$171.27,$165.67
05/14/2024,$162.33,1210302,$163.10,$163.23,$161.00
05/13/2024,$162.01,1153372,$163.89,$164.32,$161.93
05/10/2024,$162.93,1385968,$160.89,$163.72,$160.59
05/09/2024,$160.89,1121332,$158.70,$161.03,$158.365
05/08/2024,$158.47,1380186,$159.38,$160.61,$158.15
05/07/2024,$161.10,1315160,$161.91,$162.785,$161.00
05/06/2024,$161.03,1163252,$159.94,$161.10,$159.21
05/03/2024,$158.10,1678221,$160.14,$163.12,$157.85
05/02/2024,$155.21,1022394,$153.56,$155.46,$151.37
05/01/2024,$152.47,1827350,$151.47,$156.44,$150.49
04/30/2024,$151.62,1279736,$153.32,$154.95,$151.56
04/29/2024,$155.47,1950024,$155.30,$156.47,$154.16
04/26/2024,$154.29,1348527,$153.89,$156.92,$153.52
04/25/2024,$152.79,2158013,$150.34,$153.30,$148.805
04/24/2024,$154.12,1483198,$155.16,$158.24,$152.79
04/23/2024,$155.70,2087081,$152.44,$156.65,$150.81
04/22/2024,$151.57,1568342,$151.25,$153.01,$149.20
04/19/2024,$150.19,2451601,$152.75,$153.76,$149.135
04/18/2024,$152.49,2788396,$156.30,$157.16,$152.43
04/17/2024,$151.88,1467923,$153.78,$154.61,$151.35
04/16/2024,$152.58,3167759,$153.89,$154.15,$150.43
04/15/2024,$156.12,2312837,$159.70,$160.62,$155.45
04/12/2024,$159.90,2354662,$158.77,$159.95,$157.45
04/11/2024,$159.46,2042618,$157.46,$160.6621,$156.54
