Date,Close/Last,Volume,Open,High,Low
09/06/2024,$29.70,8500123,$29.81,$30.38,$29.43
09/05/2024,$29.81,7387359,$29.79,$30.52,$29.615
09/04/2024,$29.51,6061124,$29.38,$29.90,$29.29
09/03/2024,$29.58,9814066,$29.51,$29.88,$29.205
08/30/2024,$28.92,6022933,$28.93,$29.445,$28.835
08/29/2024,$28.74,5303318,$28.88,$29.06,$28.65
08/28/2024,$28.68,7243206,$28.96,$29.285,$28.26
08/27/2024,$29.11,11681530,$28.30,$29.36,$27.985
08/26/2024,$28.20,9143597,$28.20,$28.37,$27.98
08/23/2024,$28.18,15426590,$27.15,$28.36,$27.04
08/22/2024,$26.93,9083479,$26.75,$27.1899,$26.56
08/21/2024,$26.58,12040000,$26.73,$26.7579,$26.4201
08/20/2024,$26.52,13967100,$26.79,$26.855,$26.46
08/19/2024,$26.73,7598030,$26.38,$26.88,$26.38
08/16/2024,$26.33,6910612,$26.41,$26.62,$26.15
08/15/2024,$26.54,10219310,$25.79,$26.55,$25.78
08/14/2024,$25.38,8199024,$25.50,$25.655,$25.17
08/13/2024,$25.42,10654100,$25.62,$25.755,$25.32
08/12/2024,$25.38,18995880,$25.30,$25.87,$25.30
08/09/2024,$25.33,17826560,$25.20,$25.41,$25.015
08/08/2024,$25.22,10921510,$24.56,$25.305,$24.53
08/07/2024,$24.32,8399661,$24.62,$25.04,$24.29
08/06/2024,$24.34,9371076,$24.08,$24.73,$23.87
08/05/2024,$23.70,15482930,$23.77,$24.47,$23.58
08/02/2024,$25.05,16898870,$25.84,$25.85,$24.88
08/01/2024,$26.36,12554780,$27.00,$27.15,$26.03
07/31/2024,$26.94,10619270,$27.00,$27.80,$26.75
07/30/2024,$27.04,15559720,$26.32,$27.365,$26.18
07/29/2024,$26.31,15569540,$27.22,$27.26,$26.15
07/26/2024,$27.23,13132910,$28.08,$28.13,$27.03
07/25/2024,$28.08,21025340,$25.94,$28.5662,$25.77
07/24/2024,$26.61,9815293,$27.17,$27.25,$26.475
07/23/2024,$27.18,10145020,$27.75,$27.80,$26.85
07/22/2024,$27.66,6579268,$27.01,$27.725,$26.81
07/19/2024,$27.18,6706948,$27.42,$27.48,$26.70
07/18/2024,$27.41,8297140,$27.98,$28.56,$27.33
07/17/2024,$28.32,8420816,$28.17,$28.70,$28.13
07/16/2024,$28.71,9487872,$27.84,$28.83,$27.71
07/15/2024,$27.71,6907350,$27.73,$27.875,$27.21
07/12/2024,$27.53,16401470,$26.93,$27.80,$26.90
07/11/2024,$26.97,18377970,$27.00,$27.21,$26.40
07/10/2024,$27.63,12553320,$27.73,$27.84,$27.38
07/09/2024,$27.47,7614860,$27.35,$27.71,$27.165
07/08/2024,$27.35,8227868,$27.06,$27.47,$26.98
07/05/2024,$26.94,16610100,$28.30,$28.55,$26.94
07/03/2024,$28.58,8222093,$28.50,$28.80,$28.295
07/02/2024,$28.29,7006080,$28.16,$28.39,$27.91
07/01/2024,$28.11,7971331,$28.64,$28.78,$27.73
06/28/2024,$28.61,10740130,$28.50,$28.70,$28.10
06/27/2024,$28.47,14298750,$28.21,$28.52,$27.98
06/26/2024,$28.45,11383300,$27.54,$28.715,$27.23
06/25/2024,$28.51,7215240,$28.57,$28.76,$28.35
06/24/2024,$28.49,8091078,$28.39,$28.96,$28.2723
06/21/2024,$28.36,9061700,$28.11,$28.55,$27.83
06/20/2024,$28.06,5464868,$28.27,$28.395,$28.06
06/18/2024,$28.43,6029972,$28.66,$28.81,$28.28
06/17/2024,$28.77,5924320,$28.34,$28.78,$28.15
06/14/2024,$28.38,9994288,$28.18,$28.4375,$27.75
06/13/2024,$28.41,7345757,$28.38,$28.74,$27.83
06/12/2024,$28.44,9499668,$28.26,$28.77,$28.08
06/11/2024,$28.05,12599430,$29.50,$29.60,$28.01
06/10/2024,$29.70,34754330,$29.60,$30.35,$29.35
06/07/2024,$27.75,7158901,$27.77,$27.93,$27.44
06/06/2024,$27.85,10698900,$28.48,$28.72,$27.78
06/05/2024,$28.46,8974415,$27.83,$28.49,$27.52
06/04/2024,$27.80,7389276,$27.59,$28.24,$27.59
06/03/2024,$27.69,10036980,$27.26,$28.30,$27.00
05/31/2024,$26.84,8230268,$26.33,$26.975,$26.06
05/30/2024,$26.11,10585810,$25.70,$26.16,$25.4202
05/29/2024,$25.51,15761930,$25.24,$25.67,$24.60
05/28/2024,$26.52,8239160,$26.69,$26.95,$26.40
05/24/2024,$26.84,7250519,$26.74,$26.88,$26.36
05/23/2024,$26.65,11289200,$27.81,$27.86,$26.54
05/22/2024,$27.88,6317776,$28.02,$28.30,$27.69
