Date,Close/Last,Volume,Open,High,Low
09/06/2024,$93.49,2257149,$94.05,$94.86,$92.82
09/05/2024,$94.23,1584315,$95.12,$95.14,$93.695
09/04/2024,$94.87,1714122,$96.15,$96.49,$94.71
09/03/2024,$95.72,1784436,$97.39,$97.84,$95.24
08/30/2024,$98.70,3213472,$98.12,$98.93,$97.42
08/29/2024,$98.17,1194943,$98.40,$99.02,$97.115
08/28/2024,$97.72,1266982,$96.94,$97.81,$96.63
08/27/2024,$97.71,1138713,$97.80,$97.9399,$97.13
08/26/2024,$97.87,1330869,$97.85,$99.36,$97.51
08/23/2024,$98.29,2223063,$96.93,$98.5275,$96.86
08/22/2024,$96.34,2182767,$96.97,$97.25,$96.06
08/21/2024,$96.91,1050789,$97.25,$97.51,$96.67
08/20/2024,$96.56,1707263,$96.62,$97.21,$96.48
08/19/2024,$96.96,1462839,$97.35,$97.69,$96.7245
08/16/2024,$97.07,3472401,$97.21,$97.5955,$96.67
08/15/2024,$97.44,1074166,$97.50,$98.47,$97.17
08/14/2024,$96.19,903426,$96.76,$97.50,$95.88
08/13/2024,$96.63,905164,$95.67,$96.735,$95.45
08/12/2024,$95.74,1022169,$97.20,$97.33,$95.43
08/09/2024,$96.86,1431902,$96.10,$97.32,$95.395
08/08/2024,$96.20,1226331,$95.36,$96.66,$95.28
08/07/2024,$94.84,1912534,$96.64,$98.09,$94.81
08/06/2024,$95.56,2528510,$94.01,$97.11,$93.75
08/05/2024,$92.56,2192102,$92.43,$93.14,$91.41
08/02/2024,$94.39,2611720,$95.14,$96.35,$93.2154
08/01/2024,$98.14,1663546,$99.63,$100.26,$97.21
07/31/2024,$99.46,1629824,$98.91,$100.4593,$98.91
07/30/2024,$98.26,1155889,$97.38,$98.75,$97.20
07/29/2024,$97.39,1099016,$97.65,$97.65,$96.70
07/26/2024,$97.26,1113543,$96.66,$97.55,$96.35
07/25/2024,$96.60,1325590,$93.86,$97.53,$93.33
07/24/2024,$95.28,915809,$96.38,$96.84,$95.26
07/23/2024,$96.08,1309686,$97.00,$97.24,$95.61
07/22/2024,$97.47,1124786,$97.00,$97.935,$96.28
07/19/2024,$97.00,1344416,$98.21,$98.49,$96.37
07/18/2024,$98.19,1009373,$98.14,$99.77,$98.14
07/17/2024,$98.74,1526940,$98.06,$99.33,$97.85
07/16/2024,$97.76,1102189,$95.54,$97.939,$95.365
07/15/2024,$95.65,1087527,$95.14,$96.17,$94.72
07/12/2024,$95.06,1152097,$94.81,$95.59,$94.10
07/11/2024,$94.16,1885543,$93.30,$94.59,$92.9601
07/10/2024,$92.85,2211684,$93.54,$93.89,$91.66
07/09/2024,$93.20,1100661,$93.98,$94.45,$92.96
07/08/2024,$94.45,1271106,$93.96,$94.87,$93.76
07/05/2024,$93.58,1347951,$94.51,$94.9136,$93.00
07/03/2024,$95.17,595905,$94.86,$95.71,$94.7972
