Date,Close/Last,Volume,Open,High,Low
09/06/2024,$92.78,1861544,$94.49,$95.10,$92.57
09/05/2024,$94.20,1506857,$95.08,$95.62,$93.70
09/04/2024,$95.26,1508440,$95.89,$96.48,$94.805
09/03/2024,$95.34,1624847,$97.20,$98.26,$94.84
08/30/2024,$97.67,1136616,$97.83,$97.975,$96.89
08/29/2024,$96.73,1592605,$97.50,$99.72,$96.68
08/28/2024,$96.95,971195,$96.51,$97.51,$96.19
08/27/2024,$96.59,723186,$95.84,$97.05,$95.48
08/26/2024,$96.14,1001062,$96.99,$97.015,$95.10
08/23/2024,$96.78,956371,$96.95,$97.55,$95.90
08/22/2024,$95.96,875184,$97.00,$97.015,$95.80
08/21/2024,$96.47,1042877,$97.28,$97.28,$96.20
08/20/2024,$96.84,1794222,$96.53,$96.93,$95.73
08/19/2024,$96.53,1644699,$95.17,$96.87,$94.99
08/16/2024,$95.18,1119926,$94.08,$95.22,$94.06
08/15/2024,$94.43,1361669,$94.47,$95.295,$93.83
08/14/2024,$93.49,1651214,$91.93,$93.705,$91.58
08/13/2024,$91.87,1197972,$91.84,$93.1765,$91.52
08/12/2024,$91.60,972633,$92.22,$92.315,$91.25
08/09/2024,$92.18,1072194,$91.70,$92.51,$90.695
08/08/2024,$91.72,1727577,$90.64,$92.12,$89.69
08/07/2024,$90.09,1492281,$90.93,$92.145,$89.81
08/06/2024,$90.00,1856797,$89.00,$90.76,$88.06
08/05/2024,$88.06,3245504,$88.89,$89.805,$87.328
08/02/2024,$91.21,2406203,$91.71,$92.09,$89.84
08/01/2024,$92.98,2517389,$97.00,$97.48,$92.09
07/31/2024,$96.19,3431140,$93.99,$99.47,$93.99
07/30/2024,$94.62,3065635,$95.46,$96.36,$93.79
07/29/2024,$95.47,1849412,$94.09,$95.72,$94.09
07/26/2024,$93.64,1551564,$92.86,$94.61,$92.36
07/25/2024,$92.22,1541887,$93.26,$94.10,$92.19
07/24/2024,$92.67,1232845,$95.26,$95.51,$92.54
07/23/2024,$95.60,1267559,$95.31,$95.88,$94.71
07/22/2024,$95.07,1064408,$95.24,$95.515,$93.65
07/19/2024,$95.10,1355357,$95.41,$95.51,$93.54
07/18/2024,$94.73,1369572,$96.98,$97.495,$94.55
07/17/2024,$96.72,1200611,$96.89,$97.95,$95.7657
07/16/2024,$97.17,2069685,$98.20,$99.00,$96.18
07/15/2024,$98.38,2668794,$99.17,$100.00,$98.25
07/12/2024,$97.94,3250734,$96.56,$99.00,$96.14
07/11/2024,$95.88,1153225,$94.85,$96.10,$94.50
07/10/2024,$94.43,1689586,$95.14,$95.25,$94.14
07/09/2024,$95.12,1526765,$94.36,$95.28,$93.90
07/08/2024,$94.47,1687633,$95.57,$95.9182,$94.23
07/05/2024,$95.34,1621834,$94.86,$95.57,$94.29
07/03/2024,$94.79,1992550,$96.17,$96.80,$94.19
07/02/2024,$96.70,1594446,$94.92,$96.77,$94.30
07/01/2024,$94.77,2786432,$94.24,$95.13,$94.17
06/28/2024,$93.74,6453466,$92.48,$94.61,$91.76
06/27/2024,$90.81,1484999,$90.11,$90.90,$89.92
06/26/2024,$90.32,1920767,$89.28,$90.41,$89.085
06/25/2024,$89.84,1628403,$89.16,$90.13,$88.45
06/24/2024,$89.38,2671819,$93.09,$93.23,$89.34
06/21/2024,$92.96,2742640,$92.64,$93.20,$91.30
06/20/2024,$92.28,1560986,$91.72,$92.45,$91.58
06/18/2024,$91.94,1582699,$90.24,$92.17,$90.06
06/17/2024,$90.43,3109230,$88.77,$90.65,$88.12
06/14/2024,$88.75,1753148,$88.54,$89.35,$86.81
06/13/2024,$89.06,2240739,$89.71,$90.23,$88.62
06/12/2024,$89.88,1739191,$90.56,$91.04,$89.12
06/11/2024,$89.78,2097284,$89.67,$90.59,$89.20
06/10/2024,$89.75,2260124,$90.48,$90.87,$89.07
06/07/2024,$90.53,2662843,$91.80,$92.175,$89.78
06/06/2024,$92.25,1881265,$93.34,$94.40,$92.18
06/05/2024,$93.60,1988501,$93.75,$94.55,$93.445
06/04/2024,$93.52,1677106,$94.34,$94.58,$93.22
06/03/2024,$94.35,1829250,$94.12,$94.536,$93.35
05/31/2024,$93.74,2040587,$93.00,$94.04,$92.75
05/30/2024,$93.32,1549638,$94.46,$94.71,$93.16
05/29/2024,$94.00,1446531,$93.35,$94.695,$92.95
05/28/2024,$94.89,2587821,$95.56,$96.53,$94.595
05/24/2024,$95.99,2743284,$94.25,$96.72,$94.08
05/23/2024,$93.48,7242132,$95.05,$99.89,$92.715
05/22/2024,$101.40,1442121,$102.13,$102.84,$100.905
05/21/2024,$101.98,2507206,$99.24,$102.34,$99.17
05/20/2024,$99.43,1895071,$96.66,$99.58,$96.60
05/17/2024,$96.59,1542730,$96.65,$96.74,$95.47
05/16/2024,$96.38,1497590,$96.45,$97.10,$96.06
05/15/2024,$96.48,1174352,$96.45,$96.90,$95.755
05/14/2024,$95.83,1401130,$96.20,$96.9299,$95.27
05/13/2024,$95.59,2050951,$97.50,$97.999,$95.31
05/10/2024,$97.02,1658571,$96.68,$97.12,$94.81
05/09/2024,$97.03,2184589,$96.37,$97.08,$94.61
05/08/2024,$95.79,1319199,$95.64,$96.84,$95.26
05/07/2024,$96.34,2679992,$96.10,$98.18,$95.23
05/06/2024,$95.88,2523475,$95.50,$96.36,$93.675
05/03/2024,$94.66,5775969,$92.30,$97.04,$92.30
05/02/2024,$88.27,2224681,$89.55,$89.6799,$87.61
05/01/2024,$89.28,1730684,$89.61,$90.49,$88.31
04/30/2024,$88.91,2382229,$90.41,$90.50,$88.56
04/29/2024,$90.54,1429381,$90.01,$90.695,$89.5485
04/26/2024,$89.83,1890272,$88.38,$89.92,$87.78
04/25/2024,$88.49,1925617,$88.55,$89.55,$88.255
04/24/2024,$89.65,1396726,$90.00,$90.605,$89.33
04/23/2024,$90.09,2133574,$88.75,$92.08,$88.46
04/22/2024,$88.45,2311393,$90.26,$90.68,$88.15
04/19/2024,$89.96,2697148,$89.98,$90.52,$89.145
04/18/2024,$89.64,3452651,$91.36,$91.88,$89.62
04/17/2024,$91.82,4480122,$92.75,$94.53,$91.55
04/16/2024,$92.21,10063970,$90.99,$94.28,$90.61
04/15/2024,$99.77,1965554,$101.95,$102.72,$99.19
04/12/2024,$101.04,1357164,$101.38,$102.39,$100.535
04/11/2024,$102.74,1160400,$101.35,$102.90,$100.60
04/10/2024,$101.42,1913964,$101.45,$101.995,$101.00
04/09/2024,$102.73,983574,$103.10,$103.31,$102.28
04/08/2024,$102.80,1408265,$103.46,$104.07,$102.7075
04/05/2024,$103.52,1092666,$102.74,$104.18,$102.74
04/04/2024,$102.41,1582974,$105.00,$105.14,$102.36
04/03/2024,$104.20,1635511,$104.01,$104.97,$103.65
04/02/2024,$104.88,2421796,$103.69,$105.00,$102.255
04/01/2024,$104.22,2028833,$105.78,$106.71,$103.93
03/28/2024,$105.77,1465797,$106.94,$107.24,$105.475
03/27/2024,$106.81,1358327,$105.10,$107.07,$104.82
03/26/2024,$104.38,2355001,$106.70,$106.75,$104.29
03/25/2024,$106.10,1834214,$106.41,$106.68,$105.70
03/22/2024,$105.99,2065911,$106.31,$107.1825,$105.83
03/21/2024,$106.66,2138735,$105.03,$107.01,$104.50
03/20/2024,$104.42,894958,$103.90,$104.79,$103.31
03/19/2024,$104.02,1849709,$104.44,$104.52,$102.75
03/18/2024,$104.38,2076926,$104.34,$105.03,$103.2281
03/15/2024,$103.77,3487192,$102.76,$104.88,$102.76
03/14/2024,$103.41,2396235,$104.38,$104.64,$102.7424
03/13/2024,$104.28,2431556,$102.08,$104.36,$102.00
03/12/2024,$101.90,1900458,$100.59,$102.545,$100.34
03/11/2024,$100.06,1629826,$99.56,$100.545,$98.85
03/08/2024,$99.74,1529020,$100.50,$101.25,$98.805
03/07/2024,$100.51,1681707,$99.64,$100.91,$99.14
03/06/2024,$99.19,1567521,$98.74,$99.46,$97.33
03/05/2024,$98.20,5492238,$98.28,$98.76,$96.84
03/04/2024,$98.70,3002287,$97.37,$99.98,$96.945
03/01/2024,$97.15,3390817,$96.93,$97.69,$96.41
02/29/2024,$96.98,3460796,$95.22,$97.23,$94.415
02/28/2024,$94.28,1511499,$93.27,$95.21,$93.20
02/27/2024,$93.54,2124430,$92.81,$93.82,$92.25
02/26/2024,$92.17,3228276,$94.64,$94.75,$92.15
02/23/2024,$95.32,5787662,$98.475,$101.50,$94.80
02/22/2024,$93.49,3289635,$92.37,$93.88,$91.55
02/21/2024,$91.20,1565269,$91.96,$92.58,$90.88
02/20/2024,$92.05,2332740,$92.88,$92.98,$91.17
02/16/2024,$93.25,1862197,$93.90,$93.90,$92.52
02/15/2024,$93.83,3824356,$89.90,$94.11,$89.40
02/14/2024,$89.40,2441801,$88.20,$89.45,$87.27
02/13/2024,$87.75,2464013,$88.47,$88.89,$87.42
02/12/2024,$89.50,1656721,$89.69,$90.44,$89.22
02/09/2024,$89.53,3167987,$88.28,$90.50,$87.935
02/08/2024,$88.00,1926500,$88.62,$89.00,$87.60
02/07/2024,$87.66,2152751,$89.14,$89.195,$87.58
02/06/2024,$88.84,2616840,$87.50,$89.86,$86.67
02/05/2024,$87.41,1633808,$87.59,$87.83,$86.6801
02/02/2024,$88.20,2025786,$88.88,$89.32,$87.75
02/01/2024,$89.39,2653194,$89.08,$89.78,$87.29
01/31/2024,$88.85,2628738,$88.77,$90.06,$88.32
01/30/2024,$88.83,1720045,$89.43,$90.05,$88.525
01/29/2024,$89.11,2233660,$89.02,$89.32,$88.27
01/26/2024,$89.29,2192096,$89.85,$89.86,$88.89
01/25/2024,$89.78,1166681,$89.72,$90.05,$89.33
01/24/2024,$89.35,1625592,$90.63,$91.21,$88.84
01/23/2024,$90.02,2970365,$89.79,$90.86,$89.41
01/22/2024,$89.03,2895887,$91.56,$91.73,$88.94
01/19/2024,$91.18,1528179,$91.15,$91.20,$89.66
01/18/2024,$90.65,1726308,$90.84,$90.89,$88.89
01/17/2024,$90.31,2902843,$89.58,$90.51,$88.87
01/16/2024,$90.60,1334693,$89.94,$90.61,$89.34
01/12/2024,$90.66,1016660,$92.00,$92.16,$90.035
01/11/2024,$91.28,1592087,$89.26,$91.34,$88.99
01/10/2024,$89.50,2237647,$91.36,$91.52,$88.90
01/09/2024,$91.45,1768153,$89.19,$91.50,$88.995
01/08/2024,$90.22,1368303,$90.15,$90.91,$88.595
01/05/2024,$89.21,2988201,$88.58,$89.745,$88.0661
01/04/2024,$89.04,1401051,$89.35,$90.52,$88.98
01/03/2024,$89.36,1406588,$91.08,$91.135,$89.33
01/02/2024,$91.81,1352864,$92.83,$94.195,$91.57
12/29/2023,$93.60,1612663,$94.16,$94.80,$93.565
12/28/2023,$94.05,1683613,$93.05,$94.81,$92.84
12/27/2023,$92.98,2050958,$92.28,$93.20,$92.145
12/26/2023,$92.35,1105614,$91.50,$92.53,$91.26
12/22/2023,$91.43,1862997,$91.27,$92.54,$91.16
12/21/2023,$91.40,1892516,$91.45,$91.92,$90.22
