Date,Close/Last,Volume,Open,High,Low
09/06/2024,$476.12,2116234,$477.11,$480.44,$474.71
09/05/2024,$477.36,2293539,$483.14,$484.16,$473.1101
09/04/2024,$483.14,2156342,$482.09,$486.17,$481.18
09/03/2024,$482.12,2063707,$482.47,$486.69,$480.04
08/30/2024,$483.34,2982115,$481.84,$485.74,$479.65
08/29/2024,$480.80,1893601,$474.47,$481.92,$474.47
08/28/2024,$471.80,1445425,$475.00,$476.41,$468.865
08/27/2024,$474.99,1635908,$471.08,$475.50,$468.22
08/26/2024,$468.64,1434397,$468.10,$470.53,$467.00
08/23/2024,$466.44,1986348,$470.30,$470.34,$461.90
08/22/2024,$468.82,1538288,$469.49,$470.91,$466.70
08/21/2024,$468.00,2105889,$468.54,$469.09,$464.52
08/20/2024,$469.12,1763383,$468.13,$469.67,$465.51
08/19/2024,$466.98,1690880,$469.00,$470.15,$465.52
08/16/2024,$468.88,1922047,$468.00,$470.26,$466.04
08/15/2024,$468.71,2130571,$465.10,$469.00,$464.00
08/14/2024,$460.16,1654140,$459.26,$460.54,$456.07
08/13/2024,$459.36,1816206,$458.14,$459.64,$454.89
08/12/2024,$455.69,1760046,$457.77,$458.46,$453.89
08/09/2024,$456.78,1760295,$455.58,$458.80,$453.46
08/08/2024,$455.58,1585584,$452.24,$456.27,$451.03
08/07/2024,$449.84,2059829,$450.53,$456.92,$449.04
08/06/2024,$448.30,2759051,$443.22,$455.45,$442.11
08/05/2024,$442.00,4496726,$455.00,$461.295,$439.5901
08/02/2024,$462.02,3808080,$460.22,$466.75,$458.61
08/01/2024,$462.41,2590132,$465.46,$467.50,$459.19
07/31/2024,$463.71,4313637,$462.00,$474.00,$457.54
07/30/2024,$447.45,2266899,$443.77,$448.73,$443.01
07/29/2024,$441.30,2248633,$438.80,$442.92,$435.42
07/26/2024,$438.18,2039595,$432.28,$440.7825,$432.11
07/25/2024,$429.60,2384325,$433.94,$437.7022,$429.56
07/24/2024,$432.45,3764823,$434.00,$435.86,$428.86
07/23/2024,$441.72,2385481,$448.05,$448.74,$441.11
07/22/2024,$447.94,2111943,$445.41,$448.85,$443.25
07/19/2024,$443.69,2121736,$451.22,$451.24,$443.57
07/18/2024,$448.72,3339984,$448.75,$455.43,$447.48
07/17/2024,$451.16,2924993,$442.40,$451.52,$442.06
07/16/2024,$443.53,2846645,$446.94,$447.1584,$439.70
07/15/2024,$444.00,1727716,$440.33,$444.40,$438.74
07/12/2024,$440.11,2645729,$437.40,$442.23,$437.32
07/11/2024,$436.42,4032726,$432.00,$437.77,$430.1101
07/10/2024,$433.64,4760902,$434.61,$437.41,$429.05
07/09/2024,$444.70,1608726,$446.65,$447.58,$442.79
07/08/2024,$446.24,1802729,$449.28,$450.61,$445.00
07/05/2024,$449.49,2220706,$447.11,$449.95,$444.275
07/03/2024,$448.18,3192350,$445.32,$449.285,$444.275
07/02/2024,$444.65,2061407,$435.00,$444.76,$435.00
07/01/2024,$437.61,3149663,$440.80,$442.465,$435.55
