Date,Close/Last,Volume,Open,High,Low
09/06/2024,$159.53,1050395,$161.25,$161.25,$158.00
09/05/2024,$161.15,844952,$164.02,$164.42,$159.89
09/04/2024,$163.00,895802,$163.57,$165.14,$161.60
09/03/2024,$163.57,660237,$161.96,$164.88,$161.89
08/30/2024,$162.37,687537,$161.69,$162.61,$160.7925
08/29/2024,$161.10,517165,$160.81,$162.03,$159.76
08/28/2024,$161.51,565990,$160.50,$161.82,$160.28
08/27/2024,$160.31,742649,$157.09,$160.643,$156.58
08/26/2024,$157.94,641068,$158.52,$158.52,$156.25
08/23/2024,$156.63,858125,$154.84,$157.18,$154.49
08/22/2024,$154.21,731254,$153.77,$155.2176,$152.55
08/21/2024,$153.00,852176,$153.45,$153.625,$152.41
08/20/2024,$153.10,550554,$153.09,$153.4435,$151.56
08/19/2024,$152.65,517097,$153.27,$153.94,$151.86
08/16/2024,$152.84,671669,$153.43,$153.94,$151.36
08/15/2024,$153.35,638617,$153.33,$154.75,$152.02
08/14/2024,$153.33,634876,$153.00,$153.89,$152.065
08/13/2024,$153.00,589634,$153.34,$153.97,$152.475
08/12/2024,$152.25,678778,$154.65,$154.65,$151.49
08/09/2024,$153.07,765238,$153.07,$153.455,$151.15
08/08/2024,$153.07,754200,$151.05,$153.40,$150.63
08/07/2024,$150.91,1489499,$150.60,$154.19,$149.82
08/06/2024,$150.24,844117,$146.51,$150.75,$146.51
08/05/2024,$146.52,938038,$149.00,$149.00,$145.80
08/02/2024,$150.02,1152170,$147.56,$152.025,$146.81
08/01/2024,$146.41,835353,$141.49,$147.35,$141.49
07/31/2024,$139.77,908361,$141.00,$141.84,$139.60
07/30/2024,$141.31,621228,$143.49,$143.945,$140.30
07/29/2024,$143.16,532763,$142.78,$144.04,$141.31
07/26/2024,$142.50,496776,$140.58,$143.4125,$140.13
07/25/2024,$140.12,855252,$143.63,$145.46,$138.89
07/24/2024,$143.41,472334,$143.71,$144.6421,$142.74
07/23/2024,$143.71,577860,$144.73,$145.725,$143.48
07/22/2024,$145.03,497590,$143.82,$145.47,$143.17
07/19/2024,$143.70,442133,$145.50,$145.50,$142.78
07/18/2024,$144.79,617619,$143.48,$147.935,$143.48
07/17/2024,$144.28,639892,$142.64,$144.58,$142.64
07/16/2024,$142.63,663044,$140.36,$143.01,$139.80
07/15/2024,$139.95,944989,$139.51,$141.70,$139.38
07/12/2024,$140.64,957363,$141.87,$142.18,$139.74
07/11/2024,$140.96,648219,$142.21,$143.52,$140.635
07/10/2024,$140.02,478066,$139.73,$140.18,$138.84
07/09/2024,$139.11,754278,$139.52,$139.92,$137.51
07/08/2024,$139.14,666340,$139.04,$139.68,$138.14
07/05/2024,$138.80,489746,$139.79,$140.22,$138.58
07/03/2024,$139.43,311783,$140.55,$141.14,$138.81
07/02/2024,$141.01,518407,$141.81,$142.26,$139.98
07/01/2024,$141.18,422626,$142.16,$142.44,$139.60
06/28/2024,$142.61,844915,$141.38,$142.63,$140.35
06/27/2024,$140.54,457615,$139.14,$140.645,$138.29
06/26/2024,$139.14,545646,$139.90,$140.54,$139.03
06/25/2024,$141.12,463295,$143.35,$143.40,$140.91
06/24/2024,$143.32,487730,$141.23,$143.84,$140.915
06/21/2024,$140.96,1175741,$141.16,$141.16,$139.51
06/20/2024,$140.19,462367,$140.34,$140.94,$139.28
06/18/2024,$141.25,411933,$139.78,$141.49,$139.78
06/17/2024,$139.36,427018,$138.63,$140.20,$137.59
06/14/2024,$139.32,495913,$137.76,$139.45,$136.85
06/13/2024,$138.21,454860,$138.35,$139.67,$137.82
06/12/2024,$137.34,527488,$139.65,$140.00,$136.94
06/11/2024,$136.97,739171,$137.65,$138.64,$136.77
06/10/2024,$138.50,878784,$136.68,$139.35,$136.57
06/07/2024,$136.66,505327,$135.81,$136.94,$135.70
06/06/2024,$137.09,443156,$135.88,$137.11,$135.071
06/05/2024,$136.75,538085,$136.06,$136.87,$135.01
06/04/2024,$136.47,684594,$133.99,$137.23,$133.99
06/03/2024,$133.70,475038,$134.57,$135.36,$133.19
05/31/2024,$133.71,1523453,$130.72,$133.84,$129.955
05/30/2024,$129.86,489932,$129.69,$130.60,$129.25
05/29/2024,$128.78,790557,$128.64,$128.87,$126.77
05/28/2024,$130.31,551851,$133.94,$134.33,$130.15
05/24/2024,$133.20,351078,$133.20,$133.74,$132.64
05/23/2024,$132.92,588836,$135.72,$135.85,$132.83
05/22/2024,$136.00,534242,$136.38,$137.77,$135.76
05/21/2024,$136.50,365134,$136.88,$137.22,$136.21
05/20/2024,$136.86,422385,$137.74,$137.97,$136.22
05/17/2024,$137.74,455304,$137.38,$137.92,$136.385
05/16/2024,$136.86,456409,$137.61,$138.185,$136.86
05/15/2024,$137.71,571155,$138.70,$138.95,$137.11
05/14/2024,$136.82,537811,$137.00,$137.33,$135.78
05/13/2024,$136.07,316836,$135.90,$136.88,$135.31
05/10/2024,$135.47,334158,$136.84,$136.94,$135.22
05/09/2024,$136.34,612067,$133.59,$136.455,$133.53
05/08/2024,$132.99,676490,$135.85,$135.92,$132.90
05/07/2024,$136.19,648319,$138.08,$138.20,$135.93
05/06/2024,$136.82,1078690,$134.58,$137.03,$133.79
05/03/2024,$133.00,1071007,$133.11,$134.545,$132.49
05/02/2024,$131.68,1451643,$129.92,$131.72,$127.24
05/01/2024,$130.62,943513,$129.81,$132.00,$129.27
04/30/2024,$130.00,1025661,$129.66,$131.82,$129.66
04/29/2024,$131.13,942224,$130.06,$131.67,$130.06
04/26/2024,$129.23,874720,$127.51,$129.775,$127.51
04/25/2024,$127.20,863182,$127.57,$128.3062,$126.70
04/24/2024,$128.40,495023,$126.37,$128.845,$125.985
04/23/2024,$127.49,708009,$127.44,$128.75,$127.17
04/22/2024,$127.47,486341,$126.25,$128.21,$125.55
04/19/2024,$126.08,564680,$125.17,$126.3699,$125.17
04/18/2024,$124.62,1016613,$124.94,$125.695,$124.005
04/17/2024,$124.80,1375936,$123.84,$126.83,$123.84
04/16/2024,$123.79,579340,$126.09,$126.225,$123.73
04/15/2024,$126.63,406730,$129.05,$129.45,$125.925
04/12/2024,$128.13,572651,$129.71,$130.20,$127.6001
04/11/2024,$131.99,647779,$133.96,$133.96,$130.96
04/10/2024,$132.95,801353,$132.94,$133.85,$131.33
04/09/2024,$135.38,1096680,$133.41,$136.39,$133.275
04/08/2024,$132.72,1128588,$128.86,$133.44,$128.28
04/05/2024,$127.10,668587,$126.33,$127.6415,$125.39
04/04/2024,$126.83,637639,$129.84,$130.22,$126.55
04/03/2024,$128.45,758136,$126.86,$128.67,$126.32
04/02/2024,$127.45,598710,$127.58,$128.065,$126.65
04/01/2024,$128.70,577475,$131.44,$131.625,$128.70
03/28/2024,$131.58,741936,$131.50,$132.34,$131.28
03/27/2024,$130.80,693815,$130.16,$132.06,$130.16
03/26/2024,$128.83,549819,$130.14,$130.31,$128.73
03/25/2024,$130.00,311546,$131.14,$131.65,$129.94
03/22/2024,$130.85,485799,$133.06,$133.16,$130.34
03/21/2024,$132.94,656008,$131.78,$133.92,$131.66
03/20/2024,$131.29,815067,$130.15,$132.12,$129.55
03/19/2024,$130.40,557716,$130.08,$130.65,$128.65
03/18/2024,$129.79,545986,$130.23,$130.8426,$129.38
03/15/2024,$130.34,1167795,$128.67,$131.04,$128.67
03/14/2024,$130.27,616809,$131.36,$131.70,$128.47
03/13/2024,$131.95,616728,$132.02,$133.44,$131.71
03/12/2024,$132.36,816185,$134.69,$134.845,$131.01
03/11/2024,$134.97,574934,$135.01,$136.05,$134.64
03/08/2024,$134.91,676928,$133.95,$135.12,$132.76
03/07/2024,$132.69,819539,$130.47,$132.79,$130.39
03/06/2024,$129.95,579005,$129.93,$130.68,$129.22
03/05/2024,$128.91,667691,$128.83,$130.03,$128.33
03/04/2024,$129.30,1089639,$127.26,$129.56,$124.98
03/01/2024,$127.63,786700,$125.55,$127.71,$124.31
02/29/2024,$125.68,1478501,$126.88,$127.21,$125.38
02/28/2024,$125.83,667394,$123.95,$127.29,$123.77
02/27/2024,$124.89,689520,$125.08,$125.96,$124.24
02/26/2024,$123.70,775954,$125.95,$126.325,$123.23
02/23/2024,$126.32,465587,$126.45,$127.48,$125.75
02/22/2024,$126.59,611254,$128.47,$128.47,$126.51
02/21/2024,$127.67,420078,$126.87,$127.955,$126.45
02/20/2024,$126.62,768015,$129.00,$129.69,$126.32
02/16/2024,$129.17,1027593,$129.51,$130.115,$127.955
02/15/2024,$129.51,775744,$126.32,$129.58,$126.32
02/14/2024,$125.09,820155,$123.73,$125.73,$123.4401
02/13/2024,$123.35,1032635,$122.89,$123.50,$121.51
02/12/2024,$125.47,729425,$124.77,$126.46,$124.41
02/09/2024,$124.52,1076238,$124.01,$124.95,$123.368
02/08/2024,$124.48,1436953,$125.14,$126.01,$122.03
02/07/2024,$125.18,1030666,$125.59,$125.93,$123.77
02/06/2024,$125.58,994697,$124.53,$126.05,$124.26
02/05/2024,$124.84,944172,$126.43,$126.80,$124.84
02/02/2024,$128.00,1198454,$126.97,$129.02,$125.97
02/01/2024,$127.92,1793717,$126.11,$128.15,$124.95
01/31/2024,$126.38,2167447,$130.60,$131.02,$126.13
01/30/2024,$129.97,713459,$130.35,$131.21,$129.38
01/29/2024,$130.90,810262,$130.96,$131.73,$130.14
01/26/2024,$130.84,1129241,$132.38,$132.38,$129.795
01/25/2024,$131.98,1475427,$134.71,$135.61,$131.41
01/24/2024,$134.06,1430982,$136.19,$137.30,$133.92
01/23/2024,$135.61,1599100,$136.41,$136.92,$134.54
01/22/2024,$135.91,1183668,$135.67,$137.34,$135.67
01/19/2024,$135.24,1528682,$131.88,$135.995,$131.74
01/18/2024,$131.46,1225119,$132.68,$133.73,$131.42
01/17/2024,$133.00,1446048,$133.93,$135.83,$131.275
01/16/2024,$135.47,1653228,$134.45,$136.29,$133.86
01/12/2024,$134.03,683738,$135.36,$136.24,$133.795
01/11/2024,$133.94,1432967,$130.21,$134.14,$129.31
01/10/2024,$132.58,811200,$132.92,$133.25,$131.93
01/09/2024,$132.39,720252,$132.32,$133.305,$131.32
01/08/2024,$133.49,773418,$131.33,$133.955,$131.00
01/05/2024,$131.78,779723,$131.21,$132.93,$130.41
01/04/2024,$132.16,784256,$131.66,$133.92,$131.366
01/03/2024,$132.20,724929,$134.80,$134.8514,$132.04
01/02/2024,$135.84,647384,$133.53,$136.19,$133.43
12/29/2023,$134.46,614234,$135.89,$136.30,$134.41
12/28/2023,$136.55,575079,$134.00,$136.65,$133.96
12/27/2023,$134.31,632711,$134.00,$134.97,$133.43
12/26/2023,$134.06,335381,$133.32,$134.51,$133.14
12/22/2023,$133.12,817325,$133.00,$134.39,$132.76
12/21/2023,$132.03,1513889,$133.15,$133.88,$130.95
12/20/2023,$132.13,1207867,$134.50,$135.10,$131.86
12/19/2023,$134.77,819018,$135.68,$136.42,$134.18
12/18/2023,$135.43,802121,$135.22,$135.67,$134.21
12/15/2023,$134.52,1552909,$137.57,$137.59,$133.57
12/14/2023,$138.45,1241781,$136.05,$139.89,$136.05
12/13/2023,$133.61,1511913,$128.47,$134.7758,$128.08
12/12/2023,$127.63,1433327,$125.95,$127.995,$125.11
12/11/2023,$126.43,1013134,$126.46,$127.1025,$125.59
12/08/2023,$127.13,633612,$126.69,$128.01,$126.525
12/07/2023,$127.18,637310,$127.23,$127.76,$126.32
12/06/2023,$127.13,1073746,$126.72,$128.82,$126.72
12/05/2023,$126.45,738061,$126.19,$126.60,$124.56
12/04/2023,$126.83,888539,$125.80,$127.01,$125.29
