Date,Close/Last,Volume,Open,High,Low
09/06/2024,$504.17,1924323,$515.26,$519.21,$503.34
09/05/2024,$514.75,3003583,$560.00,$562.00,$506.45
09/04/2024,$571.28,644777,$574.36,$577.93,$565.38
09/03/2024,$573.95,1004387,$566.93,$576.85,$562.51
08/30/2024,$561.08,954189,$556.00,$562.41,$555.17
08/29/2024,$556.15,498798,$556.70,$561.16,$555.51
08/28/2024,$556.70,507938,$552.39,$558.0975,$552.07
08/27/2024,$550.72,463803,$550.33,$554.5799,$549.08
08/26/2024,$547.47,559453,$552.00,$555.00,$545.00
08/23/2024,$552.15,710191,$560.00,$562.50,$551.02
08/22/2024,$560.90,989362,$563.00,$564.98,$555.97
08/21/2024,$558.24,601114,$549.17,$559.00,$547.6852
08/20/2024,$548.52,558435,$549.29,$550.655,$545.95
08/19/2024,$548.40,691069,$549.60,$550.84,$547.44
08/16/2024,$547.71,877174,$545.90,$549.60,$540.49
08/15/2024,$545.41,1386829,$552.46,$555.15,$540.06
08/14/2024,$552.83,774045,$553.03,$558.00,$551.00
08/13/2024,$551.75,983464,$550.00,$556.72,$549.80
08/12/2024,$551.00,1128201,$540.00,$554.31,$537.995
08/09/2024,$541.15,1742142,$548.50,$549.9899,$532.425
08/08/2024,$547.51,4088438,$573.58,$577.50,$535.70
08/07/2024,$617.51,873542,$616.56,$625.17,$610.563
08/06/2024,$614.32,714568,$612.95,$625.75,$610.65
08/05/2024,$612.95,1153136,$626.03,$627.95,$606.43
08/02/2024,$630.38,881722,$630.84,$637.51,$621.29
08/01/2024,$629.09,880919,$621.00,$631.37,$620.625
07/31/2024,$617.02,664675,$613.24,$621.07,$607.74
07/30/2024,$609.72,750201,$606.13,$616.15,$605.675
07/29/2024,$606.71,686558,$601.40,$607.34,$598.15
07/26/2024,$600.16,634064,$597.23,$603.17,$594.035
07/25/2024,$595.73,733149,$593.11,$600.47,$592.37
07/24/2024,$589.99,691585,$588.53,$591.40,$583.62
07/23/2024,$585.74,568363,$586.39,$592.50,$583.91
07/22/2024,$583.00,461627,$580.23,$584.93,$579.95
07/19/2024,$580.13,562156,$586.56,$587.96,$578.10
07/18/2024,$578.43,788181,$581.00,$585.36,$577.525
07/17/2024,$582.06,741928,$585.97,$587.085,$579.83
07/16/2024,$583.95,703008,$578.84,$584.15,$578.84
07/15/2024,$578.26,860189,$580.27,$587.075,$577.65
07/12/2024,$576.66,594437,$576.05,$582.27,$573.69
07/11/2024,$575.23,1192326,$581.48,$586.41,$571.01
07/10/2024,$586.82,398607,$586.81,$588.38,$584.83
07/09/2024,$586.81,530603,$591.45,$592.79,$585.935
07/08/2024,$589.53,420912,$587.54,$591.81,$587.54
07/05/2024,$587.76,457302,$582.51,$587.90,$579.225
07/03/2024,$583.35,313911,$580.92,$584.89,$578.715
07/02/2024,$584.83,554380,$585.74,$586.13,$575.55
07/01/2024,$586.34,768425,$586.42,$594.0399,$582.94
06/28/2024,$584.04,1240773,$592.82,$592.82,$582.33
06/27/2024,$593.20,812207,$599.58,$600.21,$583.68
06/26/2024,$599.56,814058,$602.96,$606.96,$596.20
06/25/2024,$604.42,584493,$612.17,$612.17,$604.37
06/24/2024,$607.81,566989,$605.82,$609.5737,$604.56
06/21/2024,$603.08,1166719,$604.85,$606.3199,$600.89
06/20/2024,$603.24,531596,$603.01,$605.33,$600.25
06/18/2024,$602.93,462424,$598.07,$604.145,$595.47
06/17/2024,$597.45,529870,$590.83,$598.75,$589.00
06/14/2024,$589.95,728169,$591.59,$592.33,$585.96
06/13/2024,$591.07,529085,$584.18,$592.405,$579.00
06/12/2024,$584.79,603428,$590.00,$590.00,$575.02
06/11/2024,$591.29,445878,$591.28,$591.31,$584.41
06/10/2024,$591.28,524120,$586.54,$592.12,$583.405
06/07/2024,$586.90,541803,$590.54,$591.80,$584.23
06/06/2024,$586.11,495518,$580.00,$587.23,$578.30
06/05/2024,$579.60,480980,$574.41,$579.83,$573.05
06/04/2024,$573.73,488706,$571.50,$574.70,$569.27
06/03/2024,$573.16,1055931,$565.78,$574.51,$565.78
05/31/2024,$569.59,1165435,$560.99,$570.59,$558.94
05/30/2024,$560.96,599204,$559.23,$564.93,$558.40
05/29/2024,$558.89,1037458,$550.00,$560.09,$547.79
