Date,Close/Last,Volume,Open,High,Low
09/06/2024,$475.44,689097,$484.55,$486.87,$473.92
09/05/2024,$483.85,551191,$484.09,$486.79,$480.87
09/04/2024,$484.49,577414,$482.00,$486.26,$480.52
09/03/2024,$481.97,793117,$488.74,$490.18,$480.2301
08/30/2024,$487.74,822599,$484.47,$488.17,$480.69
08/29/2024,$483.06,596640,$483.47,$486.56,$482.02
08/28/2024,$482.53,612289,$484.40,$488.64,$480.77
08/27/2024,$484.18,515878,$479.63,$485.395,$476.8561
08/26/2024,$479.81,453728,$481.93,$483.21,$478.79
08/23/2024,$479.38,520114,$482.10,$483.555,$475.64
08/22/2024,$480.00,990072,$475.18,$480.71,$475.18
08/21/2024,$475.47,527920,$472.93,$476.84,$471.43
08/20/2024,$473.54,601844,$471.84,$474.54,$470.50
08/19/2024,$470.08,479826,$467.92,$471.94,$467.41
08/16/2024,$466.72,429691,$466.61,$467.92,$463.71
08/15/2024,$467.12,528252,$466.58,$469.78,$465.01
08/14/2024,$466.15,807125,$464.39,$467.025,$461.84
08/13/2024,$464.47,893136,$464.24,$466.9169,$461.96
08/12/2024,$460.58,581332,$464.80,$465.00,$459.53
08/09/2024,$464.93,649043,$459.93,$465.30,$458.00
08/08/2024,$459.78,630021,$451.22,$461.085,$450.005
08/07/2024,$451.05,713815,$452.20,$461.9699,$450.50
08/06/2024,$449.02,879924,$443.00,$455.60,$443.00
08/05/2024,$440.17,1326148,$452.86,$452.86,$439.23
08/02/2024,$460.59,1283824,$456.59,$461.89,$449.88
08/01/2024,$460.88,1086406,$458.60,$461.77,$456.75
07/31/2024,$456.48,918452,$462.65,$462.66,$453.96
07/30/2024,$458.06,1009019,$454.77,$459.05,$450.655
07/29/2024,$450.16,567952,$449.92,$452.00,$446.22
07/26/2024,$448.75,884404,$440.10,$452.62,$439.69
07/25/2024,$437.21,1073240,$435.97,$447.3226,$435.92
07/24/2024,$433.81,1281877,$451.00,$452.59,$431.01
07/23/2024,$451.89,1449616,$450.23,$457.67,$440.001
