Date,Close/Last,Volume,Open,High,Low
09/06/2024,$89.89,7116627,$89.72,$90.535,$89.30
09/05/2024,$89.39,7007382,$91.16,$91.18,$89.095
09/04/2024,$91.03,8953629,$88.80,$91.49,$88.80
09/03/2024,$88.96,4745317,$88.27,$89.355,$88.07
08/30/2024,$88.58,7940126,$88.33,$88.60,$87.23
08/29/2024,$88.19,5024526,$88.89,$88.94,$88.02
08/28/2024,$88.33,5230635,$88.97,$89.14,$87.95
08/27/2024,$88.80,4174736,$89.56,$89.72,$88.08
08/26/2024,$89.34,5948360,$88.60,$90.13,$88.12
08/23/2024,$88.35,4843533,$88.255,$88.50,$87.71
08/22/2024,$87.83,8429821,$87.91,$89.235,$87.55
08/21/2024,$87.54,10608510,$85.93,$87.57,$85.865
08/20/2024,$85.38,10841600,$84.00,$87.70,$83.275
08/19/2024,$84.82,7492752,$84.68,$85.29,$84.49
08/16/2024,$84.60,5374797,$84.03,$84.74,$83.80
08/15/2024,$83.65,6743480,$82.56,$84.03,$82.17
08/14/2024,$81.74,5612856,$81.42,$81.86,$80.78
08/13/2024,$82.27,3704777,$81.41,$82.365,$81.11
08/12/2024,$81.19,4502246,$82.03,$82.06,$80.81
08/09/2024,$82.04,3094299,$82.28,$82.40,$81.499
08/08/2024,$82.21,4088206,$81.23,$82.62,$80.91
08/07/2024,$81.09,5596608,$80.81,$82.74,$80.55
08/06/2024,$80.78,5514028,$80.46,$81.68,$79.915
08/05/2024,$80.33,7503446,$80.82,$81.81,$80.21
08/02/2024,$81.51,5057940,$81.04,$81.89,$80.32
08/01/2024,$80.49,4873077,$80.69,$81.09,$79.38
07/31/2024,$80.32,7573272,$80.36,$80.99,$78.965
07/30/2024,$80.81,6568358,$79.72,$81.00,$79.70
07/29/2024,$80.00,6551527,$79.00,$80.39,$78.60
07/26/2024,$78.70,4574693,$78.62,$79.45,$78.32
07/25/2024,$78.46,6356996,$79.63,$81.46,$78.40
07/24/2024,$79.97,5658574,$79.58,$80.36,$78.9309
07/23/2024,$79.40,5022949,$79.45,$79.655,$78.805
07/22/2024,$79.30,5904536,$79.55,$80.08,$79.08
07/19/2024,$79.48,9292752,$81.58,$81.67,$79.41
07/18/2024,$81.21,8427750,$80.45,$83.63,$80.08
07/17/2024,$81.26,9848124,$77.95,$81.56,$77.94
07/16/2024,$78.10,6811206,$77.04,$78.20,$76.68
07/15/2024,$77.08,4497792,$77.82,$78.01,$76.955
07/12/2024,$77.95,5661443,$78.20,$78.66,$77.815
07/11/2024,$78.07,6226298,$77.43,$78.205,$77.19
07/10/2024,$77.06,6736475,$76.84,$77.09,$76.33
07/09/2024,$76.88,6145101,$76.84,$76.99,$75.96
07/08/2024,$76.84,5606455,$77.43,$77.60,$76.58
07/05/2024,$77.61,4370078,$77.07,$77.93,$76.70
07/03/2024,$77.17,2838401,$77.32,$77.745,$77.085
07/02/2024,$77.37,7111929,$76.85,$77.50,$76.52
07/01/2024,$77.12,7111819,$78.40,$79.38,$76.93
06/28/2024,$78.71,8917219,$78.74,$79.27,$78.26
06/27/2024,$79.33,8044841,$80.00,$80.07,$78.71
06/26/2024,$80.05,5737599,$79.50,$80.23,$79.17
06/25/2024,$80.41,5327248,$81.19,$81.24,$79.705
06/24/2024,$81.04,6798930,$81.76,$81.98,$80.735
06/21/2024,$81.64,11096010,$80.17,$81.705,$79.93
06/20/2024,$80.17,7139740,$79.16,$80.35,$78.95
06/18/2024,$79.75,7012073,$79.92,$80.345,$79.165
06/17/2024,$79.95,5435355,$80.26,$80.50,$79.26
06/14/2024,$81.04,3688958,$81.15,$81.54,$80.52
06/13/2024,$81.66,5934408,$82.00,$82.00,$80.8546
06/12/2024,$82.23,5549124,$82.27,$82.93,$81.92
06/11/2024,$81.95,5340603,$83.04,$83.04,$81.87
06/10/2024,$83.14,4966543,$83.72,$83.95,$82.605
06/07/2024,$84.07,7038909,$82.25,$84.22,$82.16
06/06/2024,$82.34,7366734,$82.43,$82.965,$81.855
06/05/2024,$82.31,7058331,$83.10,$83.18,$81.725
06/04/2024,$83.27,6331319,$81.78,$83.38,$81.51
06/03/2024,$82.12,6151100,$81.51,$82.47,$81.12
05/31/2024,$81.37,11406030,$80.72,$81.48,$80.62
05/30/2024,$80.60,8871618,$80.97,$81.395,$80.46
05/29/2024,$81.49,7910489,$81.34,$81.9401,$80.753
05/28/2024,$82.00,7478985,$82.13,$82.74,$81.87
05/24/2024,$82.29,8732273,$80.99,$82.3457,$80.88
05/23/2024,$81.38,10712260,$83.57,$84.1099,$81.22
05/22/2024,$85.76,8527853,$84.88,$85.90,$84.88
05/21/2024,$85.17,4131608,$84.54,$85.29,$84.50
05/20/2024,$84.51,5513007,$85.42,$85.85,$84.45
05/17/2024,$85.92,8236275,$85.83,$86.17,$85.0953
05/16/2024,$85.64,5506954,$84.74,$85.72,$84.61
05/15/2024,$84.72,6227356,$84.69,$84.89,$83.69
05/14/2024,$84.30,4053666,$83.73,$84.61,$83.62
05/13/2024,$83.52,4950890,$83.10,$83.845,$83.065
05/10/2024,$82.84,4217841,$83.00,$83.06,$82.275
05/09/2024,$82.76,5545720,$81.66,$82.78,$81.57
05/08/2024,$81.55,4175665,$81.48,$82.02,$81.37
05/07/2024,$81.90,4939733,$82.18,$82.28,$81.67
05/06/2024,$81.76,3676174,$82.52,$82.56,$81.26
05/03/2024,$81.69,4987236,$81.07,$81.92,$81.01
05/02/2024,$80.92,6338796,$81.44,$81.73,$80.13
05/01/2024,$80.89,5366116,$79.99,$81.73,$79.99
04/30/2024,$80.24,6487413,$80.02,$80.68,$79.76
04/29/2024,$80.86,6154266,$79.62,$81.1197,$79.52
04/26/2024,$79.74,5024880,$79.40,$79.85,$78.95
04/25/2024,$79.25,5624078,$80.04,$80.35,$78.78
04/24/2024,$80.38,5028857,$80.77,$80.83,$80.01
04/23/2024,$81.29,5296230,$80.96,$81.34,$80.62
04/22/2024,$80.57,4962583,$79.87,$80.90,$79.40
04/19/2024,$79.48,6756950,$79.53,$79.64,$79.09
04/18/2024,$79.19,6065702,$79.25,$79.30,$78.43
04/17/2024,$79.08,5640094,$79.41,$79.85,$78.95
04/16/2024,$79.25,7674490,$80.34,$80.49,$78.79
04/15/2024,$80.23,7500241,$80.96,$81.50,$79.87
04/12/2024,$80.13,6562831,$81.74,$81.79,$79.56
04/11/2024,$82.17,5241326,$82.92,$83.06,$82.12
04/10/2024,$82.33,6509396,$82.85,$83.29,$81.83
04/09/2024,$83.80,5681094,$83.38,$83.83,$83.00
04/08/2024,$82.91,8725417,$84.26,$84.35,$82.48
04/05/2024,$84.56,4935938,$83.44,$84.679,$83.10
04/04/2024,$83.92,6797059,$85.34,$85.40,$83.75
04/03/2024,$85.00,5887405,$85.47,$85.73,$84.73
04/02/2024,$85.20,6007243,$86.86,$86.91,$84.95
04/01/2024,$87.02,4727418,$86.84,$87.18,$86.43
03/28/2024,$87.15,7579459,$87.10,$87.73,$86.93
03/27/2024,$86.92,8220106,$84.19,$87.03,$84.10
03/26/2024,$83.70,4806870,$83.50,$83.865,$83.05
03/25/2024,$83.24,5481262,$82.81,$83.40,$82.72
03/22/2024,$83.08,5181488,$83.70,$83.86,$82.93
03/21/2024,$83.41,6233826,$83.57,$83.99,$83.09
03/20/2024,$84.04,4191688,$83.75,$84.18,$83.54
03/19/2024,$84.11,4903025,$83.69,$84.145,$83.30
03/18/2024,$83.66,4783947,$83.80,$84.06,$83.335
03/15/2024,$83.57,17082110,$83.44,$84.01,$82.82
03/14/2024,$84.39,7836207,$84.52,$84.71,$83.99
03/13/2024,$85.08,5908339,$86.01,$86.35,$84.79
03/12/2024,$85.74,4562160,$85.15,$86.09,$84.9002
03/11/2024,$85.50,5539055,$84.54,$85.63,$84.54
03/08/2024,$85.13,6561312,$85.48,$86.265,$84.92
03/07/2024,$85.15,6177553,$86.00,$86.43,$84.68
03/06/2024,$85.55,6048456,$84.73,$85.80,$84.60
03/05/2024,$84.60,5073742,$85.44,$85.84,$84.301
03/04/2024,$85.06,5553111,$83.60,$85.11,$83.235
03/01/2024,$83.60,4266698,$83.42,$83.845,$82.65
02/29/2024,$83.36,8893093,$83.53,$83.765,$82.79
02/28/2024,$83.36,4755340,$83.63,$83.8273,$83.23
02/27/2024,$83.84,4546366,$83.46,$84.175,$83.14
02/26/2024,$83.67,5974145,$85.56,$85.56,$83.48
02/23/2024,$85.67,4707655,$85.33,$85.95,$84.86
02/22/2024,$85.06,9824939,$85.77,$85.87,$84.48
02/21/2024,$85.90,6877145,$86.53,$86.53,$84.84
02/20/2024,$85.85,11771450,$86.96,$87.22,$82.59
02/16/2024,$84.42,10848640,$84.49,$85.7373,$84.11
02/15/2024,$84.72,4867874,$83.83,$85.01,$83.76
02/14/2024,$83.68,4934627,$83.67,$84.345,$83.24
02/13/2024,$83.59,7579609,$84.57,$85.00,$83.13
02/12/2024,$85.07,5892373,$84.63,$85.325,$84.375
02/09/2024,$84.99,8843539,$86.08,$86.155,$84.46
02/08/2024,$86.18,5938152,$86.55,$86.756,$85.39
02/07/2024,$87.16,4740113,$88.05,$88.25,$87.035
02/06/2024,$87.74,4667164,$87.08,$87.84,$86.87
02/05/2024,$86.75,4083640,$87.58,$87.78,$86.74
02/02/2024,$87.63,5052031,$87.46,$88.135,$87.055
02/01/2024,$88.09,4319952,$87.36,$88.54,$86.70
01/31/2024,$87.54,10357900,$88.29,$89.18,$87.52
01/30/2024,$86.97,5760184,$87.46,$87.56,$86.505
01/29/2024,$87.44,7144745,$86.30,$87.48,$86.13
01/26/2024,$86.54,6784389,$86.19,$86.60,$85.63
01/25/2024,$85.79,5557802,$85.26,$85.83,$84.60
01/24/2024,$84.72,6035159,$86.18,$86.32,$84.67
01/23/2024,$86.34,5060433,$86.86,$87.36,$85.605
01/22/2024,$86.47,6015862,$86.59,$87.365,$86.2775
01/19/2024,$86.49,4819293,$86.26,$86.705,$85.72
01/18/2024,$86.29,7203739,$86.85,$87.14,$86.075
01/17/2024,$86.05,6956156,$86.20,$86.82,$85.665
01/16/2024,$86.54,5398297,$86.96,$87.18,$86.25
01/12/2024,$87.42,5969191,$87.60,$88.73,$87.26
01/11/2024,$87.09,5099477,$87.09,$87.28,$86.36
01/10/2024,$87.08,4980830,$86.50,$87.527,$86.36
01/09/2024,$86.66,7223200,$86.43,$88.04,$86.30
01/08/2024,$86.57,7867239,$84.80,$86.72,$84.31
01/05/2024,$84.57,5107573,$83.71,$85.01,$83.52
01/04/2024,$83.93,5621962,$83.15,$84.215,$82.98
01/03/2024,$83.20,6182663,$82.94,$83.78,$82.14
01/02/2024,$82.84,5425992,$82.11,$83.79,$81.965
12/29/2023,$82.38,3847619,$82.53,$82.90,$82.14
12/28/2023,$82.73,3297037,$82.28,$83.0399,$82.22
12/27/2023,$82.42,4041661,$82.08,$82.49,$82.04
12/26/2023,$82.30,2954845,$81.96,$82.52,$81.6389
12/22/2023,$81.92,3426685,$82.25,$82.74,$81.5399
12/21/2023,$81.96,7440627,$80.87,$82.10,$80.81
12/20/2023,$80.61,7257568,$81.81,$81.88,$80.57
12/19/2023,$82.07,5060919,$82.17,$82.78,$81.775
12/18/2023,$83.06,6447294,$82.96,$83.48,$82.5772
12/15/2023,$82.61,12388930,$83.08,$83.29,$82.295
12/14/2023,$83.43,9680767,$82.76,$84.73,$82.66
12/13/2023,$81.90,6304717,$79.72,$81.92,$79.50
12/12/2023,$80.08,5263373,$80.05,$80.22,$79.22
12/11/2023,$79.72,5598881,$79.33,$80.07,$79.33
12/08/2023,$79.35,6241007,$79.60,$79.85,$79.28
12/07/2023,$79.55,5251028,$79.21,$79.72,$78.735
12/06/2023,$79.04,5319573,$78.86,$79.14,$78.48
12/05/2023,$78.82,4818911,$79.55,$79.63,$78.66
12/04/2023,$79.76,6206376,$79.56,$80.23,$79.41
12/01/2023,$79.99,5101999,$79.09,$80.08,$78.76
11/30/2023,$79.27,6219373,$78.93,$79.31,$78.20
