Date,Close/Last,Volume,Open,High,Low
09/06/2024,$35.01,5821677,$35.80,$36.03,$34.865
09/05/2024,$35.81,4136466,$36.90,$36.93,$35.53
09/04/2024,$36.61,5022453,$36.29,$37.31,$36.29
09/03/2024,$36.29,4869789,$37.23,$37.37,$36.045
08/30/2024,$37.59,4638497,$37.68,$37.68,$36.87
08/29/2024,$37.41,3792193,$37.36,$37.87,$37.19
08/28/2024,$37.06,4481206,$37.78,$37.94,$36.47
08/27/2024,$38.01,3216892,$38.00,$38.24,$37.63
08/26/2024,$38.04,4006445,$39.28,$39.29,$37.785
08/23/2024,$38.93,5127284,$38.85,$39.26,$38.56
08/22/2024,$38.74,3686528,$39.70,$39.70,$38.715
08/21/2024,$39.50,3123690,$39.71,$40.02,$39.44
08/20/2024,$39.40,3375307,$40.05,$40.10,$39.305
08/19/2024,$40.07,3385037,$39.08,$40.09,$39.04
08/16/2024,$38.90,3406517,$39.04,$39.65,$38.83
08/15/2024,$39.20,4270500,$38.89,$39.41,$38.72
08/14/2024,$38.08,3334579,$38.28,$38.57,$37.58
08/13/2024,$38.16,4914404,$37.51,$38.375,$37.315
08/12/2024,$37.28,3580928,$37.27,$37.87,$37.05
08/09/2024,$37.13,4219941,$37.35,$37.74,$37.055
08/08/2024,$37.49,5468070,$36.85,$37.96,$36.85
08/07/2024,$36.44,9821396,$36.79,$37.5795,$36.395
08/06/2024,$35.40,7302679,$34.25,$35.95,$34.24
08/05/2024,$34.07,9986559,$33.79,$34.51,$33.44
08/02/2024,$35.48,12827870,$36.52,$36.62,$35.00
08/01/2024,$37.29,20442240,$40.05,$40.35,$36.62
07/31/2024,$42.97,4895348,$43.13,$43.99,$42.93
07/30/2024,$42.78,2973285,$42.76,$43.50,$42.625
07/29/2024,$42.78,3378958,$41.26,$43.15,$41.26
07/26/2024,$41.84,2738119,$42.22,$42.22,$41.33
07/25/2024,$41.44,3646740,$42.50,$42.78,$41.40
07/24/2024,$42.44,3309551,$43.32,$43.78,$42.39
07/23/2024,$43.78,3543296,$43.66,$43.80,$43.30
07/22/2024,$43.77,4020076,$45.40,$45.54,$43.60
07/19/2024,$45.37,2144825,$45.30,$45.56,$44.71
07/18/2024,$45.30,2583206,$45.98,$46.88,$45.24
07/17/2024,$46.19,2795955,$46.45,$47.26,$46.08
07/16/2024,$46.78,2716227,$46.29,$46.975,$46.06
07/15/2024,$46.15,2288665,$46.04,$46.43,$45.83
07/12/2024,$46.11,2597763,$46.01,$46.56,$45.91
07/11/2024,$45.84,4737851,$44.26,$46.08,$44.20
07/10/2024,$43.91,2352425,$43.99,$44.0099,$43.46
07/09/2024,$43.74,2699510,$43.79,$44.30,$43.41
07/08/2024,$43.69,2629026,$43.26,$43.74,$43.01
07/05/2024,$43.04,4584846,$42.84,$43.30,$42.60
07/03/2024,$43.28,2401064,$42.98,$43.98,$42.69
07/02/2024,$42.33,3597654,$42.98,$43.0547,$42.25
07/01/2024,$42.86,3263518,$44.55,$44.67,$42.585
