Date,Close/Last,Volume,Open,High,Low
09/06/2024,$147.92,490640,$148.68,$152.06,$147.09
09/05/2024,$148.73,567329,$151.19,$151.285,$147.60
09/04/2024,$150.63,576188,$150.29,$151.31,$148.91
09/03/2024,$150.84,548662,$154.17,$155.25,$149.35
08/30/2024,$155.14,435428,$155.14,$155.375,$153.00
08/29/2024,$153.68,347494,$154.41,$155.82,$152.00
08/28/2024,$154.54,494462,$152.95,$155.465,$152.75
08/27/2024,$154.07,288766,$153.97,$154.1999,$152.46
08/26/2024,$155.13,569236,$159.15,$159.49,$155.08
08/23/2024,$157.75,683402,$151.00,$157.77,$149.39
08/22/2024,$149.88,442940,$150.42,$150.42,$147.98
08/21/2024,$150.32,583410,$149.41,$150.58,$147.555
08/20/2024,$147.84,386407,$149.11,$150.035,$145.95
08/19/2024,$149.38,495449,$147.14,$150.09,$146.56
08/16/2024,$146.42,528254,$146.57,$148.4599,$146.15
08/15/2024,$146.71,460449,$146.48,$147.39,$143.75
08/14/2024,$144.03,772605,$147.55,$147.575,$143.683
08/13/2024,$146.88,542308,$144.87,$148.00,$144.68
08/12/2024,$144.28,504707,$146.14,$146.14,$142.675
08/09/2024,$146.45,580920,$145.70,$147.59,$143.96
08/08/2024,$145.53,473361,$144.70,$146.78,$143.72
08/07/2024,$143.44,581788,$148.33,$149.60,$143.27
08/06/2024,$146.67,470913,$146.22,$149.92,$145.58
08/05/2024,$147.00,1135919,$142.89,$149.57,$141.82
08/02/2024,$152.31,1154394,$152.96,$153.065,$149.70
08/01/2024,$156.48,1112420,$161.85,$163.99,$154.65
07/31/2024,$161.07,893732,$162.53,$164.055,$160.16
07/30/2024,$162.10,1133977,$162.89,$163.84,$158.7701
07/29/2024,$162.70,1444642,$161.02,$163.59,$158.635
07/26/2024,$160.71,3436548,$150.81,$162.865,$148.51
07/25/2024,$134.50,1459131,$127.16,$136.75,$127.04
07/24/2024,$127.18,655448,$127.65,$129.47,$126.74
07/23/2024,$128.06,801250,$126.06,$128.38,$125.33
07/22/2024,$127.32,1078905,$128.97,$129.44,$125.62
07/19/2024,$129.04,573711,$130.97,$131.87,$128.55
07/18/2024,$131.18,852709,$132.27,$136.40,$130.61
07/17/2024,$131.97,706993,$131.06,$133.32,$129.95
07/16/2024,$132.70,871923,$128.85,$132.96,$128.85
07/15/2024,$127.83,803874,$126.69,$129.30,$126.13
