Date,Close/Last,Volume,Open,High,Low
09/06/2024,$82.88,1444960,$83.08,$83.58,$82.65
09/05/2024,$83.04,2531765,$82.61,$83.48,$82.205
09/04/2024,$82.07,3501069,$81.22,$82.68,$80.95
09/03/2024,$81.20,2563007,$80.04,$81.88,$79.9818
08/30/2024,$80.03,1902919,$79.24,$80.11,$79.24
08/29/2024,$79.03,974848,$79.99,$80.09,$78.74
08/28/2024,$79.70,1521278,$79.05,$80.15,$78.75
08/27/2024,$79.26,1044391,$79.22,$79.80,$78.662
08/26/2024,$79.17,948952,$79.36,$80.10,$79.14
08/23/2024,$79.30,1014178,$78.89,$79.38,$78.59
08/22/2024,$78.71,844250,$78.96,$79.18,$78.15
08/21/2024,$78.79,987713,$78.34,$79.26,$77.95
08/20/2024,$78.10,978277,$77.98,$78.34,$77.72
08/19/2024,$78.16,1540503,$77.31,$78.58,$77.18
08/16/2024,$77.18,1566137,$76.81,$77.47,$76.58
08/15/2024,$76.84,1419408,$78.18,$78.18,$76.53
08/14/2024,$77.96,1422484,$77.78,$78.78,$77.30
08/13/2024,$77.32,761806,$76.67,$77.43,$76.40
08/12/2024,$76.48,1098110,$77.49,$77.49,$76.39
08/09/2024,$77.63,1158556,$77.92,$77.97,$76.84
08/08/2024,$77.87,1398050,$77.14,$78.05,$76.98
08/07/2024,$77.61,1567999,$76.97,$78.69,$76.65
08/06/2024,$76.89,2682862,$76.60,$78.11,$76.60
08/05/2024,$76.29,2940445,$78.77,$79.37,$75.97
08/02/2024,$78.82,2183204,$78.59,$79.31,$76.86
08/01/2024,$78.06,1434608,$77.13,$78.145,$76.33
07/31/2024,$77.01,2291046,$76.91,$77.90,$76.375
07/30/2024,$76.87,1701566,$75.78,$77.21,$75.78
07/29/2024,$76.12,1620988,$75.79,$76.815,$75.46
07/26/2024,$75.79,2667739,$74.92,$76.22,$74.90
07/25/2024,$74.77,1785166,$74.35,$76.44,$74.28
07/24/2024,$74.23,2182394,$73.86,$74.41,$72.98
07/23/2024,$73.94,1353250,$73.32,$74.34,$73.07
07/22/2024,$73.43,1228421,$73.71,$73.78,$72.57
07/19/2024,$73.59,1616626,$74.27,$74.64,$73.08
07/18/2024,$74.23,1740397,$73.75,$75.39,$73.70
07/17/2024,$74.45,2931553,$73.57,$75.29,$73.55
07/16/2024,$73.32,1599686,$73.00,$73.395,$72.26
07/15/2024,$72.75,4089898,$71.38,$73.59,$71.16
07/12/2024,$71.45,2085701,$71.80,$72.214,$71.30
07/11/2024,$71.19,1905618,$71.39,$71.78,$70.84
07/10/2024,$71.33,2105295,$70.42,$71.67,$70.15
07/09/2024,$70.07,1541328,$69.40,$70.25,$69.00
07/08/2024,$69.44,1922158,$70.68,$70.68,$69.335
07/05/2024,$70.88,1551909,$69.92,$70.925,$69.41
07/03/2024,$69.87,1059623,$70.36,$70.62,$69.53
07/02/2024,$70.24,1784712,$69.89,$70.67,$69.62
07/01/2024,$69.95,2432842,$70.85,$72.30,$69.925
06/28/2024,$70.94,4136213,$70.80,$71.06,$70.05
06/27/2024,$70.60,5768145,$71.69,$72.11,$70.07
06/26/2024,$67.67,3171324,$67.22,$67.99,$66.8835
