Date,Close/Last,Volume,Open,High,Low
09/06/2024,$256.85,594943,$259.39,$263.85,$254.47
09/05/2024,$258.02,887233,$250.00,$260.22,$246.90
09/04/2024,$241.86,387739,$241.22,$242.5899,$238.83
09/03/2024,$241.15,352247,$240.73,$241.73,$235.56
08/30/2024,$242.39,394161,$246.02,$248.315,$240.285
08/29/2024,$246.03,438980,$241.92,$247.54,$240.17
08/28/2024,$237.62,263680,$235.76,$238.58,$235.76
08/27/2024,$235.60,120331,$236.24,$236.76,$234.225
08/26/2024,$236.77,209956,$237.09,$238.42,$234.40
08/23/2024,$235.82,184495,$236.37,$237.855,$234.09
08/22/2024,$235.52,271834,$232.62,$235.595,$231.15
08/21/2024,$232.62,321776,$231.28,$232.85,$228.94
08/20/2024,$231.19,219062,$235.52,$235.52,$230.71
08/19/2024,$235.20,261286,$234.09,$237.31,$233.74
08/16/2024,$234.00,355937,$233.90,$235.96,$232.20
08/15/2024,$233.90,458171,$242.56,$242.955,$233.57
08/14/2024,$240.95,306570,$240.86,$242.145,$239.27
08/13/2024,$241.04,383051,$236.72,$242.009,$236.72
08/12/2024,$234.95,247656,$234.74,$237.57,$233.08
08/09/2024,$236.06,255802,$231.89,$236.98,$230.16
08/08/2024,$231.89,300495,$227.99,$235.22,$227.6713
08/07/2024,$229.33,356293,$235.87,$236.72,$228.55
08/06/2024,$234.58,629824,$233.75,$238.86,$228.86
08/05/2024,$222.90,762146,$231.04,$231.04,$221.63
08/02/2024,$234.63,736411,$219.35,$237.6899,$218.60
08/01/2024,$221.22,282235,$222.84,$224.745,$219.07
07/31/2024,$223.53,389290,$224.84,$227.62,$222.835
07/30/2024,$224.02,218549,$224.26,$225.95,$222.43
07/29/2024,$223.23,222485,$226.31,$226.88,$221.66
07/26/2024,$225.63,300631,$221.77,$225.87,$220.575
07/25/2024,$220.86,354745,$218.32,$226.99,$218.2784
07/24/2024,$218.04,374145,$221.54,$222.9425,$216.51
07/23/2024,$221.25,259084,$222.17,$224.91,$221.05
07/22/2024,$222.58,283001,$220.93,$223.32,$219.395
07/19/2024,$219.16,486557,$221.82,$222.05,$216.65
07/18/2024,$221.29,389711,$223.95,$226.77,$220.37
07/17/2024,$224.61,408382,$221.28,$225.29,$221.28
07/16/2024,$221.64,356261,$218.98,$222.77,$217.16
07/15/2024,$219.64,419032,$213.65,$219.80,$213.65
07/12/2024,$212.85,282068,$214.16,$216.41,$212.33
07/11/2024,$213.93,375628,$208.99,$215.14,$207.28
07/10/2024,$206.94,261835,$204.49,$207.05,$203.135
07/09/2024,$204.40,330703,$203.56,$205.26,$201.63
07/08/2024,$204.40,284702,$204.50,$204.96,$201.28
07/05/2024,$204.65,325462,$199.69,$205.95,$199.625
07/03/2024,$201.01,331917,$196.02,$202.59,$195.495
07/02/2024,$193.80,324850,$195.29,$196.61,$193.05
07/01/2024,$193.39,449972,$200.55,$200.7125,$192.68
06/28/2024,$200.53,1208962,$200.53,$202.81,$198.00
06/27/2024,$199.68,265038,$195.72,$200.22,$194.06
06/26/2024,$196.10,336049,$193.17,$196.50,$193.00
06/25/2024,$194.05,420194,$195.32,$196.175,$192.42
06/24/2024,$196.29,305547,$195.44,$199.50,$194.67
06/21/2024,$194.41,960802,$198.77,$198.77,$194.16
06/20/2024,$199.09,324028,$194.52,$201.69,$194.52
06/18/2024,$195.61,360698,$198.37,$199.88,$194.19
06/17/2024,$199.36,328091,$199.73,$202.27,$194.33
06/14/2024,$200.22,291671,$198.90,$200.32,$196.00
06/13/2024,$199.31,255186,$200.31,$201.21,$197.99
06/12/2024,$201.11,312264,$198.09,$204.70,$198.09
06/11/2024,$195.48,349353,$195.89,$197.005,$192.54
06/10/2024,$197.08,361655,$198.11,$200.50,$196.33
06/07/2024,$198.76,510443,$204.67,$205.49,$197.53
06/06/2024,$205.97,762382,$195.01,$206.85,$195.01
06/05/2024,$196.42,448468,$200.00,$202.16,$195.935
06/04/2024,$199.50,757598,$197.48,$203.41,$197.48
06/03/2024,$199.00,701666,$199.01,$201.10,$197.15
05/31/2024,$198.93,1540637,$198.35,$199.75,$196.455
05/30/2024,$197.68,646941,$200.71,$202.26,$197.31
05/29/2024,$200.41,444837,$203.95,$204.615,$200.21
05/28/2024,$206.35,448407,$215.60,$215.78,$205.33
05/24/2024,$216.89,215875,$214.33,$217.32,$213.14
05/23/2024,$214.49,251418,$218.26,$219.04,$213.69
05/22/2024,$219.41,192172,$217.50,$221.00,$217.0504
05/21/2024,$217.56,302346,$214.23,$218.08,$213.41
05/20/2024,$215.71,294611,$214.79,$217.21,$213.89
05/17/2024,$214.71,279160,$217.71,$217.71,$211.48
05/16/2024,$216.60,337637,$216.46,$218.96,$214.26
05/15/2024,$216.91,754400,$208.41,$217.46,$208.41
05/14/2024,$204.42,373255,$206.85,$207.75,$202.36
05/13/2024,$205.93,335934,$206.99,$212.7625,$205.87
05/10/2024,$206.11,447819,$205.24,$206.62,$202.99
05/09/2024,$204.82,306717,$202.10,$205.73,$201.85
05/08/2024,$202.21,400407,$199.77,$202.89,$198.18
05/07/2024,$200.89,686982,$208.67,$210.30,$198.01
05/06/2024,$205.80,568463,$205.94,$207.95,$203.665
05/03/2024,$203.82,505834,$211.46,$211.46,$202.44
05/02/2024,$209.12,358948,$208.26,$209.25,$203.76
05/01/2024,$206.24,466257,$200.09,$209.8801,$199.33
04/30/2024,$200.09,434063,$201.12,$203.365,$199.99
04/29/2024,$204.10,510561,$203.68,$205.21,$202.43
04/26/2024,$201.79,253643,$201.30,$203.88,$201.16
04/25/2024,$201.58,240963,$203.24,$204.08,$200.915
04/24/2024,$204.22,252997,$203.23,$205.23,$201.325
04/23/2024,$204.77,267026,$203.84,$206.215,$202.645
04/22/2024,$204.43,278217,$204.60,$206.595,$202.71
04/19/2024,$204.01,359646,$202.96,$207.115,$200.94
04/18/2024,$203.15,281613,$202.19,$204.66,$199.34
04/17/2024,$201.93,467828,$205.04,$205.18,$201.35
04/16/2024,$202.77,443580,$204.52,$206.5199,$201.96
04/15/2024,$204.94,391743,$213.67,$213.67,$204.78
04/12/2024,$213.00,347790,$216.55,$216.55,$211.665
04/11/2024,$217.78,303159,$221.04,$222.375,$216.30
04/10/2024,$222.19,367056,$220.80,$226.55,$220.65
04/09/2024,$226.50,407149,$226.49,$228.095,$224.75
04/08/2024,$224.32,495971,$228.23,$229.5072,$223.749
04/05/2024,$225.39,427776,$222.87,$225.72,$220.73
04/04/2024,$224.79,546564,$217.85,$226.405,$217.85
04/03/2024,$214.94,315996,$213.24,$215.831,$210.70
04/02/2024,$214.36,247133,$215.43,$217.41,$212.28
04/01/2024,$216.56,243368,$219.44,$219.60,$213.48
03/28/2024,$219.25,258791,$218.00,$221.88,$217.13
03/27/2024,$217.75,333866,$216.21,$217.9464,$213.045
03/26/2024,$214.52,341554,$220.89,$220.89,$214.30
03/25/2024,$219.62,250133,$222.56,$224.78,$217.73
03/22/2024,$221.70,293157,$222.85,$222.85,$219.37
03/21/2024,$223.81,379316,$219.43,$224.52,$217.01
03/20/2024,$216.71,255914,$217.66,$218.74,$215.61
03/19/2024,$218.52,270505,$218.92,$221.46,$216.845
03/18/2024,$219.47,306050,$218.24,$222.02,$217.585
03/15/2024,$218.45,970573,$215.54,$220.705,$215.54
03/14/2024,$216.63,480039,$225.12,$227.01,$212.299
03/13/2024,$224.94,366975,$222.69,$226.87,$221.60
03/12/2024,$222.68,523771,$223.17,$227.31,$221.26
03/11/2024,$223.18,712494,$216.00,$225.40,$216.00
03/08/2024,$215.12,458530,$209.25,$215.4024,$207.525
03/07/2024,$209.08,321417,$210.50,$212.41,$207.03
03/06/2024,$207.77,387594,$212.62,$213.44,$207.18
03/05/2024,$211.29,903487,$212.36,$214.65,$200.37
03/04/2024,$214.77,414063,$218.00,$218.815,$213.80
03/01/2024,$218.14,418543,$212.76,$222.82,$210.19
02/29/2024,$213.41,449065,$213.00,$214.355,$211.01
02/28/2024,$212.59,316535,$212.77,$215.26,$212.45
02/27/2024,$213.97,395550,$215.00,$215.00,$210.155
02/26/2024,$213.92,359157,$214.63,$215.61,$213.032
02/23/2024,$214.92,337579,$214.00,$215.80,$213.30
02/22/2024,$213.55,389024,$216.89,$216.89,$211.6962
02/21/2024,$215.00,296083,$213.45,$215.39,$211.18
02/20/2024,$213.98,393970,$216.50,$217.37,$211.98
02/16/2024,$219.04,251255,$220.60,$221.505,$217.245
02/15/2024,$220.50,286131,$217.93,$222.27,$217.93
02/14/2024,$216.21,383737,$221.53,$222.90,$215.71
02/13/2024,$219.35,645759,$222.75,$224.55,$216.56
02/12/2024,$226.69,325768,$223.35,$228.31,$222.08
02/09/2024,$223.32,284252,$224.18,$226.605,$220.11
02/08/2024,$224.19,392121,$224.08,$229.86,$223.50
02/07/2024,$226.41,518180,$222.50,$227.45,$220.20
02/06/2024,$221.26,827325,$220.16,$221.64,$214.85
02/05/2024,$221.29,1076470,$223.64,$225.14,$214.93
02/02/2024,$224.71,1065195,$217.56,$225.30,$215.15
02/01/2024,$218.96,1376833,$223.42,$226.545,$214.39
01/31/2024,$225.51,1904450,$280.90,$280.90,$224.87
01/30/2024,$274.33,475642,$278.01,$278.14,$272.775
01/29/2024,$278.36,296488,$276.00,$279.33,$276.00
01/26/2024,$276.50,224244,$276.24,$277.28,$274.745
01/25/2024,$273.37,239299,$276.57,$276.57,$269.17
01/24/2024,$274.89,366337,$274.20,$278.42,$274.125
01/23/2024,$272.42,318850,$267.71,$272.625,$266.93
01/22/2024,$266.37,245950,$267.00,$267.94,$264.695
01/19/2024,$265.93,257468,$265.62,$266.54,$262.00
01/18/2024,$264.72,226751,$265.01,$265.13,$262.88
01/17/2024,$264.60,195073,$265.17,$267.00,$262.315
01/16/2024,$269.00,250349,$268.71,$269.375,$265.76
01/12/2024,$268.98,204308,$272.97,$272.97,$268.85
01/11/2024,$270.22,270604,$272.99,$272.99,$266.26
01/10/2024,$272.00,292760,$271.87,$273.145,$269.45
01/09/2024,$272.38,191624,$274.60,$276.9752,$272.04
01/08/2024,$277.48,268046,$276.54,$279.36,$275.34
01/05/2024,$276.17,303951,$275.01,$281.18,$273.475
01/04/2024,$275.39,553172,$277.67,$277.67,$267.255
01/03/2024,$278.97,371982,$285.82,$285.82,$277.29
01/02/2024,$286.45,356610,$291.70,$291.70,$279.10
12/29/2023,$292.85,216179,$295.14,$297.97,$290.10
12/28/2023,$296.42,143152,$295.15,$297.345,$293.8663
