Date,Close/Last,Volume,Open,High,Low
09/06/2024,$227.85,1657605,$228.63,$229.95,$227.44
09/05/2024,$228.46,1765176,$232.00,$232.32,$227.50
09/04/2024,$231.42,1495394,$229.40,$231.91,$229.15
09/03/2024,$229.03,1774385,$227.46,$230.13,$227.345
08/30/2024,$227.51,1741145,$226.85,$227.70,$224.63
08/29/2024,$227.06,797904,$225.93,$227.7927,$224.29
08/28/2024,$225.93,1442429,$227.36,$228.47,$225.19
08/27/2024,$226.32,935108,$224.92,$226.72,$224.31
08/26/2024,$224.36,686066,$223.35,$225.43,$222.12
08/23/2024,$223.32,1051957,$226.06,$226.50,$221.545
08/22/2024,$225.47,1106886,$224.58,$225.60,$224.28
08/21/2024,$224.31,799374,$224.52,$224.64,$223.03
08/20/2024,$224.13,983808,$223.99,$224.59,$223.135
08/19/2024,$223.18,978171,$221.91,$223.37,$221.57
08/16/2024,$221.91,1498937,$221.32,$222.12,$220.665
08/15/2024,$221.25,1592198,$221.37,$222.43,$219.545
08/14/2024,$221.05,1572457,$217.25,$221.25,$217.25
08/13/2024,$217.51,1977114,$218.28,$218.48,$216.3901
08/12/2024,$217.35,2901253,$220.58,$220.58,$216.56
08/09/2024,$220.06,929417,$219.46,$220.655,$218.36
08/08/2024,$219.39,1418845,$217.55,$219.73,$216.32
08/07/2024,$218.09,1536709,$217.59,$222.04,$217.095
08/06/2024,$217.21,1411781,$216.60,$220.5555,$216.11
08/05/2024,$216.29,2766893,$226.54,$227.29,$215.11
08/02/2024,$223.95,1860665,$225.77,$227.6299,$221.08
08/01/2024,$224.61,1848623,$223.59,$224.61,$222.02
07/31/2024,$222.57,1424290,$222.09,$223.64,$221.24
07/30/2024,$222.42,1256062,$220.12,$223.20,$219.54
07/29/2024,$219.64,1403128,$217.97,$219.9774,$217.07
07/26/2024,$217.97,1616181,$216.47,$219.807,$216.36
07/25/2024,$216.06,1792663,$217.40,$219.82,$215.98
07/24/2024,$217.48,1759604,$219.58,$220.55,$217.18
07/23/2024,$219.04,1390427,$219.82,$221.585,$218.99
07/22/2024,$219.03,1852843,$218.63,$220.17,$218.095
07/19/2024,$216.75,2486136,$219.49,$220.95,$216.28
07/18/2024,$217.42,2124460,$217.88,$219.505,$214.65
07/17/2024,$220.66,1780537,$219.29,$221.71,$218.20
07/16/2024,$218.91,1999723,$219.03,$220.12,$218.24
07/15/2024,$218.47,1556049,$219.02,$219.50,$218.04
07/12/2024,$218.35,1364072,$218.48,$219.71,$218.00
07/11/2024,$217.34,1573291,$215.15,$217.39,$214.87
07/10/2024,$214.87,1786213,$212.01,$215.01,$211.965
07/09/2024,$211.80,1730972,$214.30,$214.70,$211.40
07/08/2024,$214.26,1286837,$214.46,$215.51,$213.53
07/05/2024,$213.92,1221942,$213.45,$213.96,$211.93
07/03/2024,$212.90,784564,$211.86,$213.28,$210.83
07/02/2024,$211.99,1723002,$209.55,$212.127,$209.55
07/01/2024,$210.25,1241116,$211.16,$211.99,$209.59
06/28/2024,$210.72,6983166,$210.52,$211.96,$209.67
06/27/2024,$210.94,1517998,$211.30,$211.825,$210.16
06/26/2024,$210.79,1569887,$210.38,$211.05,$208.5414
06/25/2024,$212.22,2217462,$215.88,$216.33,$211.87
06/24/2024,$215.75,1246526,$214.42,$216.89,$213.94
06/21/2024,$214.40,3275466,$214.95,$215.2925,$214.07
06/20/2024,$215.00,1718396,$212.36,$215.26,$211.23
06/18/2024,$212.72,1628845,$211.22,$213.213,$209.97
06/17/2024,$211.52,1313681,$208.49,$212.00,$208.05
06/14/2024,$208.88,947428,$208.73,$209.62,$208.116
06/13/2024,$209.50,1726450,$210.16,$210.46,$208.565
06/12/2024,$210.48,1973858,$210.19,$210.95,$208.80
06/11/2024,$209.82,2672214,$209.37,$210.12,$208.26
06/10/2024,$209.61,1423517,$210.00,$210.465,$207.06
06/07/2024,$209.99,1725043,$211.00,$211.00,$209.4375
06/06/2024,$208.26,1085384,$208.80,$209.085,$207.15
06/05/2024,$208.13,1162561,$208.68,$209.00,$206.25
06/04/2024,$208.49,892358,$205.90,$208.659,$205.90
06/03/2024,$206.51,1167855,$207.13,$208.07,$205.17
05/31/2024,$207.58,3943874,$205.11,$207.76,$204.35
05/30/2024,$204.40,1913907,$201.98,$205.45,$201.84
05/29/2024,$201.96,1443954,$202.95,$203.39,$201.77
05/28/2024,$203.97,1436287,$206.82,$207.36,$203.68
05/24/2024,$207.89,1009200,$208.14,$208.55,$207.42
05/23/2024,$207.99,1072739,$210.40,$210.40,$207.781
05/22/2024,$210.82,1259038,$210.33,$211.53,$209.68
05/21/2024,$209.93,1048602,$209.96,$210.31,$208.82
05/20/2024,$209.16,1407295,$209.31,$210.45,$208.85
05/17/2024,$209.97,1119913,$210.13,$210.13,$208.40
05/16/2024,$209.14,1898017,$207.86,$209.83,$207.755
05/15/2024,$206.33,1160793,$204.53,$206.81,$204.50
05/14/2024,$205.07,1289115,$205.83,$205.98,$203.92
05/13/2024,$205.55,856716,$205.23,$206.42,$204.71
05/10/2024,$205.55,921241,$205.00,$206.44,$204.59
05/09/2024,$204.84,715163,$203.27,$204.97,$202.34
05/08/2024,$203.59,794775,$204.44,$205.00,$203.2483
05/07/2024,$203.71,1000323,$202.21,$203.82,$201.34
05/06/2024,$201.52,1445800,$200.05,$201.53,$199.69
05/03/2024,$199.27,1039890,$198.79,$199.84,$196.72
05/02/2024,$199.36,1821483,$199.90,$200.06,$198.30
05/01/2024,$199.77,1999515,$199.33,$201.26,$198.945
04/30/2024,$199.43,2519798,$198.57,$199.99,$197.94
04/29/2024,$198.48,1318748,$198.02,$198.94,$197.14
04/26/2024,$197.95,1783604,$200.58,$200.90,$197.77
04/25/2024,$201.47,1593211,$200.64,$201.675,$199.25
04/24/2024,$200.95,1614133,$201.20,$201.51,$199.365
04/23/2024,$201.71,1920409,$202.51,$203.01,$200.72
04/22/2024,$201.43,1616417,$203.93,$203.93,$201.25
04/19/2024,$202.41,2460976,$202.51,$203.13,$198.89
04/18/2024,$201.73,3707944,$205.98,$206.50,$201.53
04/17/2024,$197.62,2222548,$196.76,$198.05,$196.23
04/16/2024,$196.29,1493507,$197.79,$198.11,$196.17
04/15/2024,$197.32,1440435,$200.18,$200.18,$196.97
04/12/2024,$198.07,1933741,$198.10,$200.33,$197.19
04/11/2024,$199.19,1949221,$199.81,$201.235,$199.15
04/10/2024,$201.18,1957794,$203.58,$203.96,$201.07
04/09/2024,$204.33,1382286,$204.96,$205.52,$202.57
04/08/2024,$204.28,1575395,$205.44,$205.86,$203.655
04/05/2024,$205.58,2227919,$201.81,$206.28,$201.24
04/04/2024,$200.75,2174827,$204.72,$205.31,$200.48
04/03/2024,$203.50,2135319,$202.35,$204.64,$202.04
04/02/2024,$203.08,1914153,$204.33,$205.09,$202.91
04/01/2024,$203.89,898980,$205.50,$205.55,$203.4775
03/28/2024,$205.98,1272216,$206.58,$206.74,$205.31
03/27/2024,$205.61,1315906,$204.15,$205.75,$203.73
03/26/2024,$203.37,1299821,$202.95,$204.59,$202.95
03/25/2024,$203.08,1711582,$203.65,$204.00,$202.50
03/22/2024,$204.42,1958968,$206.23,$206.7399,$204.26
03/21/2024,$205.43,2357202,$206.03,$207.22,$204.81
03/20/2024,$206.45,2202480,$206.87,$207.73,$206.07
03/19/2024,$206.68,1636220,$207.69,$207.75,$205.855
03/18/2024,$206.90,1190101,$206.54,$207.83,$205.81
03/15/2024,$206.34,2766480,$205.80,$209.19,$205.01
03/14/2024,$207.74,1173358,$209.16,$209.20,$206.87
03/13/2024,$207.90,897803,$207.50,$207.95,$206.05
03/12/2024,$207.35,1087692,$206.00,$207.74,$205.43
03/11/2024,$205.96,907799,$204.90,$206.01,$204.41
03/08/2024,$205.15,1026961,$203.69,$205.675,$202.99
03/07/2024,$204.29,1168255,$204.00,$204.98,$203.11
03/06/2024,$203.64,1651121,$201.53,$203.96,$200.61
03/05/2024,$201.90,1225808,$201.63,$203.00,$201.24
03/04/2024,$201.88,1637693,$200.79,$201.99,$199.76
03/01/2024,$202.00,1399094,$201.81,$202.66,$200.90
02/29/2024,$202.27,2604833,$204.14,$205.99,$200.755
02/28/2024,$206.08,1181615,$203.56,$206.18,$203.3006
02/27/2024,$203.23,934998,$202.22,$203.82,$202.15
02/26/2024,$203.50,1480240,$203.84,$204.55,$203.16
02/23/2024,$203.65,1391443,$204.36,$204.6699,$203.40
02/22/2024,$204.26,1858472,$200.60,$204.52,$200.29
02/21/2024,$199.83,961073,$201.99,$202.13,$198.805
02/20/2024,$200.89,1210345,$200.27,$201.61,$199.37
02/16/2024,$200.30,1253099,$201.12,$201.93,$200.03
02/15/2024,$200.99,1651250,$198.00,$202.00,$197.61
02/14/2024,$197.72,1760959,$197.40,$197.82,$195.99
02/13/2024,$196.47,1483559,$197.25,$198.00,$194.94
02/12/2024,$196.19,1319982,$198.00,$198.00,$195.79
02/09/2024,$197.91,1044237,$196.52,$197.92,$195.94
02/08/2024,$196.80,1250896,$196.58,$196.89,$194.50
02/07/2024,$195.73,1982188,$195.16,$196.785,$194.69
02/06/2024,$194.50,1733471,$192.25,$194.78,$191.95
02/05/2024,$192.24,1894109,$193.40,$193.515,$191.87
02/02/2024,$193.36,1742486,$194.35,$195.50,$193.15
02/01/2024,$193.74,1705282,$192.68,$193.81,$190.41
01/31/2024,$193.84,3519721,$193.77,$195.71,$193.32
01/30/2024,$193.03,2737746,$191.15,$193.14,$190.51
01/29/2024,$190.99,2257567,$192.63,$192.91,$189.90
01/26/2024,$192.99,2073600,$190.47,$193.035,$189.63
01/25/2024,$191.09,3405491,$191.50,$192.38,$188.31
01/24/2024,$198.69,1735206,$199.10,$199.60,$197.915
01/23/2024,$199.12,1529476,$198.82,$200.01,$198.73
01/22/2024,$198.44,2738021,$199.13,$199.53,$197.93
01/19/2024,$199.10,2161371,$199.52,$200.32,$198.01
01/18/2024,$198.48,2002251,$194.79,$198.665,$193.505
01/17/2024,$196.34,1747396,$195.95,$198.93,$195.47
01/16/2024,$195.65,1634883,$195.92,$197.13,$195.13
01/12/2024,$195.94,1699107,$193.85,$196.44,$193.665
01/11/2024,$192.86,1400954,$192.71,$193.99,$192.25
01/10/2024,$192.44,1541668,$190.94,$192.59,$190.515
01/09/2024,$191.09,1329334,$190.35,$191.14,$188.97
01/08/2024,$191.60,1507608,$189.96,$191.69,$188.92
01/05/2024,$190.84,1779921,$191.87,$192.43,$189.12
01/04/2024,$191.49,1557857,$192.11,$193.46,$191.285
01/03/2024,$191.32,2035077,$190.79,$191.8534,$190.25
01/02/2024,$190.17,1861170,$189.27,$190.88,$188.85
12/29/2023,$189.47,1148319,$188.74,$189.64,$188.27
12/28/2023,$188.79,1420403,$189.00,$189.7925,$188.55
12/27/2023,$188.51,1057755,$187.34,$188.60,$186.87
12/26/2023,$187.50,1159599,$187.38,$187.69,$186.63
12/22/2023,$187.90,1642833,$187.05,$188.10,$186.3042
12/21/2023,$186.82,1821332,$185.13,$187.102,$184.555
12/20/2023,$185.39,1888610,$186.45,$187.84,$184.28
12/19/2023,$187.76,2284291,$189.53,$190.60,$187.20
12/18/2023,$189.76,1956063,$188.37,$190.50,$188.07
12/15/2023,$187.12,3409708,$188.59,$188.765,$185.54
12/14/2023,$191.27,2885106,$201.50,$201.50,$190.37
12/13/2023,$201.86,1733001,$200.97,$202.81,$200.02
12/12/2023,$201.15,1893804,$198.99,$201.47,$198.31
12/11/2023,$198.65,1397806,$196.36,$198.825,$196.00
12/08/2023,$195.67,1291238,$195.79,$196.615,$194.40
12/07/2023,$195.45,1952868,$195.76,$196.575,$194.97
12/06/2023,$195.43,1484799,$196.75,$197.26,$192.75
12/05/2023,$196.35,1482559,$197.06,$197.41,$195.08
12/04/2023,$197.35,1906924,$197.20,$198.41,$196.43
12/01/2023,$197.40,1526307,$198.93,$199.19,$196.88
11/30/2023,$199.42,2211911,$196.64,$199.62,$195.72
