Date,Close/Last,Volume,Open,High,Low
08/30/2024,$134.69,6092831,$133.07,$134.99,$132.61
08/29/2024,$132.91,2992832,$131.65,$133.18,$131.34
08/28/2024,$131.61,3274045,$131.40,$132.62,$131.15
08/27/2024,$131.40,2878736,$131.32,$132.62,$130.95
08/26/2024,$131.85,3915794,$129.60,$131.92,$129.60
08/23/2024,$130.55,2618842,$129.23,$130.65,$128.85
08/22/2024,$128.60,2300641,$129.10,$129.75,$128.30
08/21/2024,$129.23,3664550,$127.84,$129.99,$127.66
08/20/2024,$127.70,2792905,$126.99,$128.0653,$126.88
08/19/2024,$127.08,2243571,$127.08,$127.85,$126.53
08/16/2024,$127.05,3812693,$126.74,$127.34,$126.02
08/15/2024,$127.16,3359903,$127.32,$127.9368,$126.17
08/14/2024,$126.17,3252959,$124.97,$127.04,$124.6298
08/13/2024,$125.35,3056591,$123.43,$125.40,$122.74
08/12/2024,$123.36,2585947,$124.00,$124.0899,$122.54
08/09/2024,$124.17,3247914,$124.64,$124.64,$123.335
08/08/2024,$125.13,2932882,$122.45,$125.74,$122.18
08/07/2024,$122.83,3410105,$125.39,$126.57,$122.69
08/06/2024,$124.89,4334268,$123.36,$126.13,$122.72
08/05/2024,$124.61,6669666,$119.57,$125.3154,$119.31
08/02/2024,$125.24,4021383,$125.81,$127.745,$124.78
08/01/2024,$126.47,5563739,$127.50,$127.94,$124.43
07/31/2024,$127.55,6889922,$126.63,$128.60,$125.33
07/30/2024,$126.75,6746475,$125.85,$127.69,$124.1074
07/29/2024,$125.16,10816740,$128.00,$128.65,$124.13
07/26/2024,$127.16,32748920,$112.685,$128.025,$112.685
07/25/2024,$103.39,4598084,$102.72,$104.79,$101.77
07/24/2024,$103.25,3252198,$104.56,$105.10,$103.08
07/23/2024,$104.73,2172621,$105.00,$105.27,$104.17
07/22/2024,$104.97,2686587,$104.06,$105.04,$102.40
07/19/2024,$103.92,2884897,$104.75,$104.75,$103.13
07/18/2024,$104.02,3023902,$104.22,$105.52,$103.44
07/17/2024,$104.64,3567941,$102.86,$104.80,$102.69
07/16/2024,$103.31,3609174,$100.87,$103.69,$100.87
07/15/2024,$102.72,3316717,$104.90,$104.9975,$102.57
07/12/2024,$104.04,3381190,$103.79,$105.30,$103.69
07/11/2024,$103.23,4581327,$102.38,$104.27,$101.8002
07/10/2024,$101.67,4519547,$99.81,$101.83,$98.26
07/09/2024,$99.69,2809735,$100.85,$101.46,$99.472
07/08/2024,$101.10,2338695,$101.51,$102.74,$100.62
07/05/2024,$101.32,3059577,$101.40,$101.66,$100.64
07/03/2024,$101.62,1230776,$101.29,$102.15,$100.68
07/02/2024,$101.62,2291274,$100.56,$101.93,$100.46
07/01/2024,$100.61,2705605,$102.86,$103.4494,$100.205
06/28/2024,$102.19,6196466,$103.01,$103.97,$101.66
06/27/2024,$103.17,4338345,$101.96,$104.04,$101.64
06/26/2024,$101.45,2356088,$101.62,$101.80,$100.57
