Date,Close/Last,Volume,Open,High,Low
08/30/2024,$53.77,8010061,$53.45,$53.82,$53.25
08/29/2024,$53.36,5264974,$53.31,$53.465,$53.085
08/28/2024,$53.22,6794390,$53.15,$53.53,$52.99
08/27/2024,$53.01,4705264,$52.91,$53.03,$52.615
08/26/2024,$52.71,8068306,$52.51,$53.08,$52.45
08/23/2024,$52.44,9149219,$51.98,$52.46,$51.75
08/22/2024,$51.83,6982822,$51.89,$51.94,$51.47
08/21/2024,$51.81,6169448,$51.54,$51.86,$51.44
08/20/2024,$51.44,7306725,$51.33,$51.70,$51.195
08/19/2024,$51.32,6500465,$51.38,$51.56,$51.21
08/16/2024,$51.32,7722716,$50.775,$51.36,$50.70
08/15/2024,$50.74,8382523,$51.25,$51.36,$50.63
08/14/2024,$51.19,6000611,$50.99,$51.395,$50.84
08/13/2024,$51.11,6652443,$50.34,$51.16,$50.34
08/12/2024,$50.31,5941065,$50.44,$50.7384,$50.15
08/09/2024,$50.43,5449755,$50.36,$50.66,$50.26
08/08/2024,$50.45,7662130,$49.73,$50.805,$49.73
08/07/2024,$50.03,10292080,$49.58,$50.68,$49.54
08/06/2024,$49.48,8012003,$49.32,$50.125,$49.30
08/05/2024,$49.35,14335790,$49.99,$50.775,$49.01
08/02/2024,$51.07,12662500,$50.39,$51.40,$49.88
08/01/2024,$50.02,9974933,$49.61,$50.04,$49.40
07/31/2024,$49.01,19165990,$48.40,$49.05,$47.57
07/30/2024,$50.55,8662989,$50.38,$50.85,$50.27
07/29/2024,$50.53,6272577,$50.35,$50.725,$49.985
07/26/2024,$50.43,6995663,$49.80,$50.47,$49.55
07/25/2024,$49.80,10341070,$49.73,$50.4699,$49.60
07/24/2024,$49.42,8777194,$49.19,$49.54,$48.71
07/23/2024,$49.12,6919286,$49.485,$49.7295,$49.00
07/22/2024,$49.40,5103222,$49.41,$49.5566,$49.04
07/19/2024,$49.45,5776517,$49.61,$49.64,$49.27
07/18/2024,$49.33,6788472,$49.05,$49.92,$48.94
07/17/2024,$49.39,10040100,$48.13,$49.47,$48.13
07/16/2024,$48.03,6205367,$47.85,$48.18,$47.66
07/15/2024,$47.72,8733954,$47.80,$48.06,$47.53
07/12/2024,$47.73,7337353,$47.20,$47.825,$47.11
07/11/2024,$47.08,7441713,$46.80,$47.135,$46.60
