Date,Close/Last,Volume,Open,High,Low
09/06/2024,$25.58,5409995,$26.47,$26.50,$25.56
09/05/2024,$26.55,2998487,$27.35,$27.51,$26.51
09/04/2024,$27.36,2874064,$27.54,$27.77,$27.29
09/03/2024,$27.45,4333242,$28.25,$28.28,$27.265
08/30/2024,$28.57,3682568,$28.70,$28.82,$28.30
08/29/2024,$28.61,3149404,$28.94,$29.18,$28.33
08/28/2024,$28.66,2582208,$28.61,$28.93,$28.4182
08/27/2024,$28.89,2452159,$28.50,$29.02,$28.39
08/26/2024,$28.65,2257084,$28.71,$29.23,$28.62
08/23/2024,$28.52,1964553,$28.00,$28.55,$27.82
08/22/2024,$27.80,2152382,$27.91,$27.965,$27.57
08/21/2024,$27.92,2858562,$27.54,$28.29,$27.43
08/20/2024,$27.26,2772671,$27.97,$27.97,$27.21
08/19/2024,$27.95,3087695,$27.80,$28.44,$27.80
08/16/2024,$27.72,3367860,$27.70,$27.93,$27.51
08/15/2024,$27.70,2941776,$28.08,$28.45,$27.63
08/14/2024,$27.64,2632744,$27.98,$28.05,$27.63
08/13/2024,$28.10,3679836,$27.45,$28.465,$27.45
08/12/2024,$27.36,3164430,$27.16,$27.625,$27.06
08/09/2024,$27.05,3980364,$26.81,$27.13,$26.3836
08/08/2024,$26.82,4564892,$26.85,$27.265,$26.695
08/07/2024,$26.60,5303990,$27.48,$27.98,$26.60
08/06/2024,$26.99,3557212,$26.59,$27.23,$26.48
08/05/2024,$26.52,4414927,$26.74,$26.95,$26.09
08/02/2024,$27.38,3921706,$28.35,$28.35,$27.12
08/01/2024,$28.86,2416812,$29.68,$29.94,$28.64
07/31/2024,$29.77,2858814,$29.70,$30.355,$29.565
07/30/2024,$29.57,2076300,$29.01,$29.70,$29.01
07/29/2024,$29.21,2282820,$29.47,$29.57,$28.82
07/26/2024,$29.57,2132207,$29.46,$29.76,$29.27
07/25/2024,$29.30,2924598,$28.51,$29.629,$28.40
07/24/2024,$28.56,2435952,$28.77,$29.065,$28.54
07/23/2024,$28.67,2453620,$29.07,$29.15,$28.64
