Date,Close/Last,Volume,Open,High,Low
09/06/2024,$166.00,2242556,$168.95,$170.10,$164.80
09/05/2024,$168.46,2879312,$172.66,$172.86,$168.09
09/04/2024,$171.75,2471382,$174.14,$176.775,$171.24
09/03/2024,$173.82,3523796,$174.53,$175.65,$172.80
08/30/2024,$177.12,3460905,$170.34,$177.48,$169.96
08/29/2024,$170.97,2338712,$169.40,$171.53,$167.28
08/28/2024,$169.93,2143129,$169.00,$171.95,$168.08
08/27/2024,$169.89,1657218,$172.75,$172.90,$169.79
08/26/2024,$173.20,1903237,$176.70,$177.572,$172.82
08/23/2024,$175.31,1995981,$173.10,$175.53,$172.65
08/22/2024,$171.78,2178855,$172.01,$173.17,$171.04
08/21/2024,$171.97,2088076,$171.56,$174.49,$171.00
08/20/2024,$171.61,2701144,$178.36,$178.43,$171.55
08/19/2024,$178.90,2076635,$180.44,$180.44,$178.00
08/16/2024,$180.03,2452592,$179.66,$182.36,$179.26
08/15/2024,$180.75,2391395,$180.52,$182.00,$179.00
08/14/2024,$179.05,2968929,$176.62,$179.62,$175.85
08/13/2024,$175.75,2087326,$174.48,$175.89,$173.13
08/12/2024,$176.38,2970549,$177.10,$178.36,$175.14
08/09/2024,$175.83,2321874,$173.70,$176.41,$173.34
08/08/2024,$174.15,2373276,$170.00,$174.881,$169.715
08/07/2024,$169.35,1753512,$172.89,$173.28,$168.57
08/06/2024,$170.89,2467884,$165.34,$173.63,$164.02
08/05/2024,$162.05,2702407,$159.15,$162.71,$157.50
08/02/2024,$164.64,2599758,$171.17,$171.59,$164.08
08/01/2024,$173.18,1363286,$177.34,$179.46,$171.98
07/31/2024,$177.02,1852860,$180.94,$183.31,$176.94
07/30/2024,$178.29,2357999,$172.22,$179.47,$171.96
07/29/2024,$171.96,1744534,$172.55,$173.96,$169.74
07/26/2024,$172.65,1789399,$172.09,$173.10,$170.01
07/25/2024,$171.50,2366500,$167.76,$172.57,$165.83
07/24/2024,$167.55,2534886,$164.05,$167.73,$163.72
07/23/2024,$163.97,2018340,$165.90,$166.31,$163.55
07/22/2024,$165.90,2620859,$165.10,$167.69,$164.12
07/19/2024,$165.16,3037126,$165.64,$166.88,$164.01
07/18/2024,$164.52,3014605,$167.00,$168.25,$164.03
07/17/2024,$165.56,3218719,$168.00,$172.48,$164.17
07/16/2024,$167.67,2271626,$165.53,$167.99,$163.775
07/15/2024,$166.71,2198834,$166.82,$168.66,$166.07
07/12/2024,$165.46,2256566,$165.38,$165.67,$162.11
07/11/2024,$164.29,2212458,$161.64,$165.95,$161.14
07/10/2024,$162.18,2457599,$162.01,$163.80,$161.24
07/09/2024,$162.92,3710051,$164.00,$166.60,$162.82
07/08/2024,$167.47,1897578,$169.34,$171.78,$166.74
07/05/2024,$170.74,1587492,$174.13,$174.52,$169.6908
07/03/2024,$174.99,1344597,$173.69,$175.00,$171.70
07/02/2024,$174.14,2531590,$177.41,$177.94,$173.51
07/01/2024,$174.79,1705250,$175.00,$175.58,$171.70
06/28/2024,$173.48,3656319,$174.96,$174.96,$172.02
06/27/2024,$172.91,1648826,$175.71,$177.28,$172.14
06/26/2024,$174.30,1704099,$175.89,$176.29,$172.80
06/25/2024,$175.19,2149543,$173.77,$175.49,$171.56
06/24/2024,$173.99,2327773,$172.77,$174.61,$172.55
06/21/2024,$172.67,7346460,$174.93,$175.49,$172.36
06/20/2024,$173.66,3176698,$172.89,$177.21,$172.50
06/18/2024,$172.45,2558032,$173.25,$175.50,$171.10
06/17/2024,$171.73,3006493,$169.48,$172.23,$169.04
06/14/2024,$170.07,2933965,$169.46,$171.17,$168.715
06/13/2024,$170.51,3284135,$169.27,$172.10,$167.9473
06/12/2024,$168.76,3080335,$175.90,$176.32,$168.14
06/11/2024,$174.46,2097809,$173.25,$175.17,$171.27
06/10/2024,$174.34,2526075,$175.00,$176.11,$172.90
06/07/2024,$175.10,1908971,$175.43,$178.17,$174.25
06/06/2024,$175.73,2229137,$173.47,$176.84,$173.16
06/05/2024,$173.92,2148547,$176.16,$176.91,$173.50
06/04/2024,$175.26,2318969,$173.18,$175.94,$171.415
06/03/2024,$174.75,2513923,$176.37,$176.54,$172.86
05/31/2024,$176.61,3935572,$172.42,$177.53,$172.17
05/30/2024,$172.01,2571753,$172.00,$175.32,$171.00
05/29/2024,$172.46,2624477,$178.80,$178.99,$172.33
05/28/2024,$179.16,2380997,$177.94,$180.64,$177.94
05/24/2024,$177.80,1805957,$177.40,$178.92,$176.21
05/23/2024,$176.56,2740747,$177.88,$177.93,$175.65
05/22/2024,$176.02,2249980,$175.62,$177.90,$174.08
05/21/2024,$176.58,2345371,$175.61,$178.925,$175.61
05/20/2024,$176.08,2454906,$179.72,$180.43,$175.20
05/17/2024,$179.67,3142696,$176.06,$181.05,$175.8422
05/16/2024,$174.77,2788157,$172.20,$175.68,$172.00
05/15/2024,$172.65,2546599,$173.20,$173.65,$170.11
05/14/2024,$174.51,4660938,$175.33,$175.59,$169.14
05/13/2024,$177.86,1681005,$180.07,$180.25,$177.30
05/10/2024,$179.56,1584400,$183.70,$184.7218,$178.62
05/09/2024,$182.93,1295908,$181.38,$183.82,$180.54
05/08/2024,$180.93,1844618,$180.18,$182.75,$179.4201
05/07/2024,$180.92,1706675,$182.96,$184.24,$180.33
05/06/2024,$182.78,1906330,$184.05,$184.77,$182.41
05/03/2024,$182.55,1868555,$183.76,$184.56,$180.12
05/02/2024,$182.95,2682721,$179.59,$183.81,$179.05
05/01/2024,$178.97,3856878,$181.10,$184.06,$176.87
04/30/2024,$181.72,5782073,$194.49,$196.98,$181.40
04/29/2024,$200.51,2051929,$198.00,$201.36,$197.68
04/26/2024,$198.39,1954070,$197.54,$198.8534,$195.865
