Date,Close/Last,Volume,Open,High,Low
09/06/2024,$26.72,5639076,$27.09,$27.36,$26.645
09/05/2024,$27.07,5101667,$27.57,$27.60,$27.05
09/04/2024,$27.35,6541297,$27.89,$28.0751,$27.3201
09/03/2024,$27.71,7215901,$28.12,$28.20,$27.49
08/30/2024,$28.65,7338712,$28.48,$28.74,$28.33
08/29/2024,$28.85,4461135,$28.44,$29.045,$28.26
08/28/2024,$28.26,4322593,$28.13,$28.29,$27.905
08/27/2024,$28.33,4989264,$28.55,$28.67,$28.26
08/26/2024,$28.60,5864727,$28.57,$28.99,$28.48
08/23/2024,$28.09,3963084,$27.89,$28.11,$27.81
08/22/2024,$27.67,5111657,$27.68,$27.87,$27.61
08/21/2024,$27.63,6834247,$27.92,$28.00,$27.47
08/20/2024,$27.79,6982201,$28.26,$28.31,$27.53
08/19/2024,$28.38,3666376,$28.25,$28.57,$28.17
08/16/2024,$28.16,3530992,$27.88,$28.23,$27.835
08/15/2024,$28.16,5069362,$27.80,$28.20,$27.765
08/14/2024,$27.65,6257633,$27.47,$27.81,$27.41
08/13/2024,$27.42,4946400,$27.54,$27.57,$27.30
08/12/2024,$27.86,6000483,$27.45,$27.91,$27.39
08/09/2024,$27.30,6615858,$27.23,$27.44,$26.96
08/08/2024,$27.27,4904013,$27.19,$27.376,$26.88
08/07/2024,$26.86,5979098,$27.02,$27.285,$26.84
08/06/2024,$26.60,5211748,$26.33,$26.79,$26.23
08/05/2024,$26.39,6972945,$26.00,$26.55,$25.74
08/02/2024,$26.65,8301524,$27.14,$27.20,$26.22
08/01/2024,$27.41,6479502,$28.22,$28.3301,$27.20
07/31/2024,$28.05,6680010,$28.09,$28.27,$27.945
07/30/2024,$27.64,4371413,$27.41,$27.72,$27.395
07/29/2024,$27.45,4580161,$27.96,$27.99,$27.24
07/26/2024,$27.87,4426487,$27.84,$28.04,$27.63
07/25/2024,$27.89,5705853,$27.80,$28.22,$27.74
07/24/2024,$27.86,4783695,$28.03,$28.24,$27.765
07/23/2024,$27.84,3739610,$28.12,$28.165,$27.69
07/22/2024,$28.28,3777022,$28.69,$28.69,$28.195
07/19/2024,$28.72,3845406,$29.33,$29.37,$28.705
07/18/2024,$29.26,5292259,$29.22,$29.74,$29.08
07/17/2024,$29.11,6925964,$28.99,$29.485,$28.99
07/16/2024,$28.97,4487112,$28.54,$28.99,$28.435
07/15/2024,$28.74,5042104,$28.65,$28.99,$28.42
07/12/2024,$28.45,5686474,$28.66,$28.74,$28.28
07/11/2024,$28.61,5904373,$28.20,$28.70,$28.02
07/10/2024,$28.16,5162964,$27.81,$28.20,$27.7098
07/09/2024,$27.89,5528020,$27.79,$28.26,$27.74
07/08/2024,$28.19,6568243,$28.11,$28.20,$27.88
07/05/2024,$28.18,9961532,$28.60,$28.71,$28.07
07/03/2024,$28.77,4463009,$28.60,$29.00,$28.54
07/02/2024,$28.58,7744870,$28.86,$29.04,$28.41
07/01/2024,$28.71,5424177,$28.85,$28.95,$28.47
06/28/2024,$28.67,11422660,$28.81,$28.99,$28.485
06/27/2024,$28.58,4915237,$28.70,$28.73,$28.385
06/26/2024,$28.49,5282734,$28.86,$28.90,$28.24
06/25/2024,$28.83,7046692,$28.70,$28.855,$28.4599
06/24/2024,$28.74,8501577,$27.86,$28.98,$27.86
06/21/2024,$27.76,17916210,$27.93,$28.07,$27.65
06/20/2024,$27.83,6691827,$27.34,$27.96,$27.29
06/18/2024,$27.32,6085901,$27.41,$27.77,$27.245
06/17/2024,$27.32,7118091,$27.26,$27.51,$27.06
06/14/2024,$27.30,5786074,$27.63,$27.73,$27.23
06/13/2024,$27.68,6682074,$27.91,$27.96,$27.475
06/12/2024,$28.03,5685230,$28.58,$28.68,$27.84
06/11/2024,$28.37,5186185,$28.12,$28.38,$28.11
06/10/2024,$28.28,6907068,$28.00,$28.48,$27.93
06/07/2024,$27.87,6630200,$27.865,$28.12,$27.64
06/06/2024,$27.88,11307540,$27.85,$28.02,$27.78
06/05/2024,$27.96,8186939,$27.86,$28.07,$27.73
06/04/2024,$27.89,11910580,$28.10,$28.20,$27.685
06/03/2024,$28.41,10525000,$29.00,$29.02,$28.1495
05/31/2024,$28.96,21486810,$28.22,$29.00,$28.19
05/30/2024,$28.21,29898590,$28.67,$29.03,$28.14
05/29/2024,$28.68,55100740,$29.35,$29.35,$28.38
05/28/2024,$26.45,15046990,$25.73,$26.57,$25.71
05/24/2024,$25.56,7331629,$25.94,$26.055,$25.485
05/23/2024,$25.77,6834697,$26.09,$26.20,$25.54
05/22/2024,$25.88,6969167,$26.04,$26.13,$25.51
05/21/2024,$26.29,5073959,$26.31,$26.53,$26.17
05/20/2024,$26.46,6172295,$26.27,$26.53,$26.175
05/17/2024,$26.21,5648130,$26.27,$26.36,$26.10
05/16/2024,$26.13,5073438,$26.45,$26.62,$26.13
05/15/2024,$26.44,5119390,$26.44,$26.60,$25.925
05/14/2024,$26.57,6259394,$26.56,$26.67,$26.295
05/13/2024,$26.56,6492845,$26.73,$26.90,$26.395
05/10/2024,$26.59,6863353,$27.30,$27.40,$26.56
05/09/2024,$27.19,5490284,$27.10,$27.225,$26.98
05/08/2024,$26.98,6677259,$26.79,$27.16,$26.7899
05/07/2024,$27.05,10730580,$26.78,$27.23,$26.76
05/06/2024,$26.71,10220310,$26.57,$27.025,$26.505
05/03/2024,$26.34,9055754,$26.25,$26.53,$26.01
05/02/2024,$26.09,16106500,$26.46,$27.04,$26.015
05/01/2024,$26.10,11480520,$26.74,$26.8192,$25.87
04/30/2024,$26.85,9713099,$27.75,$27.80,$26.79
04/29/2024,$27.94,7690619,$27.67,$27.95,$27.61
04/26/2024,$27.77,5872909,$27.63,$27.94,$27.51
04/25/2024,$27.74,5755314,$27.60,$27.82,$27.27
04/24/2024,$27.53,5977557,$27.65,$27.7399,$27.395
04/23/2024,$27.82,9099179,$27.48,$27.86,$27.27
04/22/2024,$27.65,7646620,$27.29,$27.90,$26.945
04/19/2024,$27.50,7842595,$27.35,$27.975,$27.24
04/18/2024,$27.40,9246235,$27.77,$27.86,$27.33
04/17/2024,$27.68,12218010,$28.32,$28.565,$27.67
04/16/2024,$28.35,11778850,$28.67,$28.825,$28.06
04/15/2024,$28.77,8948241,$29.12,$29.33,$28.68
04/12/2024,$29.09,7986415,$29.77,$30.06,$29.00
04/11/2024,$29.46,8443968,$29.81,$29.81,$29.05
04/10/2024,$29.68,9053329,$29.28,$29.72,$29.12
04/09/2024,$29.28,9912972,$29.60,$29.75,$29.10
04/08/2024,$29.49,8303210,$29.75,$29.81,$29.39
04/05/2024,$29.69,11047160,$29.61,$29.775,$29.30
04/04/2024,$29.48,9864110,$29.58,$29.69,$29.3512
04/03/2024,$29.50,10038540,$28.87,$29.52,$28.835
04/02/2024,$28.79,10227020,$28.70,$28.87,$28.45
04/01/2024,$28.57,10059090,$28.46,$28.68,$28.155
03/28/2024,$28.34,11674200,$27.98,$28.39,$27.875
03/27/2024,$27.71,8873623,$27.34,$27.72,$27.28
03/26/2024,$27.44,11685230,$27.70,$27.82,$27.39
03/25/2024,$27.57,8608642,$27.19,$27.75,$27.19
03/22/2024,$27.10,9519704,$27.23,$27.32,$26.95
03/21/2024,$27.20,10224400,$27.18,$27.395,$27.04
03/20/2024,$27.10,9418440,$26.69,$27.2852,$26.6743
03/19/2024,$27.00,10012600,$26.61,$27.1099,$26.56
03/18/2024,$26.59,8985257,$26.55,$26.70,$26.29
03/15/2024,$26.51,21468690,$26.23,$26.6989,$26.21
03/14/2024,$26.26,11069730,$26.04,$26.29,$25.98
03/13/2024,$25.90,10340100,$25.55,$26.00,$25.545
03/12/2024,$25.13,9599957,$24.96,$25.19,$24.76
03/11/2024,$24.99,8090317,$24.60,$25.03,$24.42
03/08/2024,$24.74,9310382,$24.63,$24.86,$24.38
03/07/2024,$24.66,7686872,$24.50,$24.86,$24.4599
03/06/2024,$24.52,8563999,$24.54,$24.7681,$24.35
03/05/2024,$24.24,10903250,$24.17,$24.585,$24.10
03/04/2024,$24.26,8114987,$24.61,$24.69,$24.21
03/01/2024,$24.60,8790369,$24.40,$24.71,$24.29
02/29/2024,$24.25,8867084,$24.23,$24.355,$24.04
02/28/2024,$24.12,12391430,$24.25,$24.6075,$24.015
02/27/2024,$24.29,9787091,$24.37,$24.55,$24.17
02/26/2024,$24.15,11578610,$23.68,$24.26,$23.59
02/23/2024,$23.78,9131868,$23.66,$23.95,$23.45
02/22/2024,$23.98,17965110,$23.37,$24.40,$23.12
02/21/2024,$23.65,12220880,$23.29,$23.855,$23.25
02/20/2024,$23.17,10169880,$23.25,$23.42,$23.05
02/16/2024,$23.38,9104180,$23.30,$23.55,$23.0901
02/15/2024,$23.24,11381490,$22.39,$23.36,$22.37
02/14/2024,$22.39,8120721,$22.52,$22.67,$22.205
02/13/2024,$22.33,11011700,$22.57,$22.71,$22.18
02/12/2024,$22.65,13263360,$22.52,$22.99,$22.48
02/09/2024,$22.45,8125699,$22.72,$22.87,$22.37
02/08/2024,$22.70,13237730,$22.72,$22.89,$22.35
02/07/2024,$22.69,7691120,$22.54,$22.75,$22.3801
02/06/2024,$22.53,6978822,$22.43,$22.80,$22.30
02/05/2024,$22.32,7121922,$22.28,$22.425,$22.06
02/02/2024,$22.46,8631620,$22.67,$22.725,$22.301
02/01/2024,$22.66,9784915,$22.99,$23.17,$22.45
01/31/2024,$22.85,9127218,$23.51,$23.54,$22.835
01/30/2024,$23.54,9538911,$22.92,$23.58,$22.92
01/29/2024,$23.19,7707814,$23.15,$23.22,$22.82
01/26/2024,$23.21,8570878,$23.09,$23.25,$22.72
01/25/2024,$23.13,10732660,$22.76,$23.14,$22.39
01/24/2024,$22.59,8453687,$22.56,$22.71,$22.35
01/23/2024,$22.37,6720817,$22.25,$22.58,$22.16
01/22/2024,$22.28,8857901,$22.19,$22.469,$22.0401
01/19/2024,$22.27,9712248,$22.06,$22.28,$21.90
01/18/2024,$22.15,10368580,$22.30,$22.32,$21.81
01/17/2024,$22.32,8342623,$22.29,$22.56,$22.19
01/16/2024,$22.66,11314160,$23.22,$23.265,$22.5838
01/12/2024,$23.40,11788730,$23.40,$23.515,$23.185
01/11/2024,$22.94,8240048,$22.94,$23.08,$22.735
01/10/2024,$22.85,10251230,$23.15,$23.18,$22.68
01/09/2024,$23.21,7597827,$23.76,$23.79,$23.0697
01/08/2024,$23.74,10604620,$23.77,$23.91,$23.38
01/05/2024,$24.39,11898120,$24.42,$24.505,$24.105
01/04/2024,$24.18,9155460,$25.12,$25.16,$24.14
01/03/2024,$24.93,9894113,$24.40,$25.03,$24.20
01/02/2024,$24.42,8857482,$24.36,$24.78,$24.30
12/29/2023,$24.16,8617059,$24.46,$24.53,$24.0734
12/28/2023,$24.38,8010601,$24.69,$24.7633,$24.37
12/27/2023,$24.85,6578206,$25.05,$25.15,$24.79
12/26/2023,$25.15,8221420,$24.91,$25.30,$24.85
12/22/2023,$24.64,5571926,$24.89,$25.0212,$24.62
12/21/2023,$24.71,8749958,$24.54,$24.76,$24.47
12/20/2023,$24.47,10851540,$24.90,$25.10,$24.45
12/19/2023,$24.84,11370700,$24.50,$24.89,$24.39
12/18/2023,$24.57,11468790,$25.00,$25.1415,$24.52
12/15/2023,$24.32,23265090,$24.21,$24.42,$23.985
12/14/2023,$24.44,13035000,$24.30,$24.72,$24.26
12/13/2023,$23.93,11165100,$23.45,$23.96,$23.24
12/12/2023,$23.35,12939810,$23.69,$23.69,$23.14
12/11/2023,$24.05,7536497,$23.82,$24.27,$23.81
12/08/2023,$24.09,7816371,$23.90,$24.118,$23.79
12/07/2023,$23.66,9368916,$23.69,$23.90,$23.4521
12/06/2023,$23.54,10053460,$24.12,$24.41,$23.525
12/05/2023,$24.40,8036411,$25.17,$25.1897,$24.38
12/04/2023,$25.06,8269860,$25.10,$25.41,$25.00
