Date,Close/Last,Volume,Open,High,Low
09/06/2024,$559.85,429718,$567.22,$572.415,$557.80
09/05/2024,$570.66,362374,$574.44,$574.44,$561.875
09/04/2024,$572.94,304385,$573.50,$578.13,$568.39
09/03/2024,$573.47,343453,$581.53,$583.395,$570.26
08/30/2024,$580.59,325424,$582.72,$585.155,$573.215
08/29/2024,$582.09,391409,$581.09,$588.67,$578.12
08/28/2024,$580.15,510932,$583.24,$585.93,$573.96
08/27/2024,$584.91,477482,$575.43,$585.75,$572.4309
08/26/2024,$575.63,382541,$574.29,$579.29,$572.24
08/23/2024,$571.19,380658,$567.22,$573.29,$566.09
08/22/2024,$564.73,373045,$562.39,$566.77,$562.39
08/21/2024,$561.64,477122,$561.89,$563.545,$556.6001
08/20/2024,$563.00,359123,$561.96,$571.60,$557.70
08/19/2024,$560.53,390424,$562.40,$565.06,$557.86
08/16/2024,$561.66,365234,$560.85,$565.02,$556.545
08/15/2024,$563.14,841250,$555.35,$566.295,$553.78
08/14/2024,$554.33,867834,$546.29,$558.86,$545.375
08/13/2024,$546.45,384962,$534.76,$548.38,$534.66
08/12/2024,$532.41,536260,$532.69,$535.84,$529.97
08/09/2024,$533.83,250101,$531.42,$537.185,$530.88
08/08/2024,$530.74,288098,$527.20,$534.43,$524.41
08/07/2024,$524.39,336481,$530.57,$537.98,$523.57
08/06/2024,$526.11,465551,$520.20,$532.21,$520.20
08/05/2024,$517.43,581925,$530.00,$531.47,$517.275
08/02/2024,$539.85,635048,$543.20,$545.84,$530.42
08/01/2024,$547.90,599451,$542.12,$555.33,$542.12
07/31/2024,$540.76,407941,$548.43,$549.716,$538.55
07/30/2024,$546.26,383847,$545.20,$547.67,$540.00
07/29/2024,$542.63,351969,$540.58,$542.77,$536.17
07/26/2024,$540.55,439620,$539.00,$545.37,$532.24
07/25/2024,$538.21,586390,$535.29,$545.5425,$529.61
07/24/2024,$534.20,692550,$544.87,$544.87,$532.46
07/23/2024,$546.01,1362741,$549.99,$571.02,$537.59
07/22/2024,$506.02,1172211,$499.94,$506.84,$495.78
07/19/2024,$495.89,612266,$499.00,$499.82,$493.58
07/18/2024,$498.55,410754,$500.92,$504.49,$496.42
07/17/2024,$504.00,403177,$506.74,$510.065,$503.46
07/16/2024,$508.00,544179,$504.16,$510.33,$503.42
07/15/2024,$501.50,524418,$500.36,$503.36,$498.755
07/12/2024,$502.00,664404,$495.85,$505.405,$494.00
07/11/2024,$493.65,707911,$488.98,$497.7218,$487.64
07/10/2024,$489.00,596652,$489.75,$491.79,$487.43
07/09/2024,$489.07,465497,$491.91,$495.602,$488.72
07/08/2024,$492.26,363033,$495.13,$498.23,$491.185
07/05/2024,$495.24,384929,$491.19,$495.26,$488.4401
07/03/2024,$491.01,351717,$494.16,$499.6799,$491.01
07/02/2024,$491.42,428706,$479.59,$491.43,$478.8311
07/01/2024,$479.31,477529,$481.78,$484.66,$478.33
06/28/2024,$481.75,829873,$487.70,$491.13,$479.37
06/27/2024,$486.81,362229,$486.83,$491.96,$485.64
06/26/2024,$486.91,294855,$484.74,$488.352,$482.06
06/25/2024,$488.79,490081,$489.96,$490.18,$484.7901
06/24/2024,$489.16,383058,$486.15,$492.75,$483.66
06/21/2024,$486.32,725716,$481.38,$486.5961,$480.36
06/20/2024,$482.79,669862,$478.88,$484.99,$478.115
06/18/2024,$476.52,732689,$484.44,$487.07,$475.32
06/17/2024,$484.78,491961,$479.16,$487.61,$477.31
06/14/2024,$480.53,534003,$478.985,$482.94,$476.54
06/13/2024,$484.28,483046,$486.22,$488.08,$482.42
06/12/2024,$487.94,494604,$490.31,$493.17,$486.86
06/11/2024,$484.48,574157,$482.79,$486.685,$480.56
06/10/2024,$484.01,473026,$488.09,$489.43,$482.905
06/07/2024,$491.69,394154,$491.90,$496.1599,$490.00
06/06/2024,$493.09,722139,$498.08,$502.87,$491.76
06/05/2024,$498.31,481396,$494.28,$501.50,$486.87
06/04/2024,$493.19,438019,$491.10,$495.315,$488.91
06/03/2024,$490.50,789886,$494.22,$495.87,$483.975
05/31/2024,$495.18,701586,$487.89,$495.62,$485.36
05/30/2024,$489.52,508888,$489.00,$491.35,$483.46
05/29/2024,$489.74,663482,$491.08,$493.35,$487.00
05/28/2024,$495.70,715030,$493.00,$496.26,$488.62
05/24/2024,$493.00,482853,$492.85,$495.60,$487.97
05/23/2024,$490.40,1178520,$505.56,$507.80,$489.82
05/22/2024,$503.83,655348,$507.63,$507.63,$499.07
05/21/2024,$505.53,798451,$511.29,$515.47,$502.55
05/20/2024,$512.26,569813,$502.54,$512.62,$502.54
05/17/2024,$505.33,878543,$500.88,$505.66,$495.20
05/16/2024,$497.51,931518,$488.53,$503.515,$488.07
05/15/2024,$490.06,773520,$490.00,$493.85,$486.995
05/14/2024,$488.11,738909,$490.00,$494.35,$482.69
05/13/2024,$485.57,448446,$488.24,$493.14,$484.00
05/10/2024,$485.16,544655,$483.80,$487.88,$482.28
05/09/2024,$482.50,760086,$472.85,$484.50,$472.38
05/08/2024,$470.75,811415,$470.28,$474.87,$468.43
05/07/2024,$471.40,852708,$479.23,$479.23,$471.34
05/06/2024,$475.49,1084763,$471.95,$480.255,$470.01
05/03/2024,$467.04,826479,$473.26,$474.90,$466.36
05/02/2024,$467.70,767765,$471.29,$471.98,$458.69
05/01/2024,$470.03,920102,$465.54,$480.48,$463.3515
04/30/2024,$465.79,932701,$475.67,$482.151,$464.82
04/29/2024,$476.98,1036094,$480.48,$483.00,$472.54
04/26/2024,$477.78,1040942,$465.23,$479.33,$463.16
04/25/2024,$464.49,1469562,$466.88,$474.32,$458.92
04/24/2024,$464.65,2230361,$452.50,$471.03,$449.00
04/23/2024,$446.00,3661052,$479.00,$483.08,$439.95
04/22/2024,$515.17,915198,$514.28,$522.13,$510.39
04/19/2024,$510.07,519941,$508.03,$510.22,$503.99
04/18/2024,$505.76,1421611,$512.32,$518.17,$499.77
04/17/2024,$511.83,447730,$517.57,$518.415,$511.47
04/16/2024,$513.43,470877,$513.20,$514.35,$508.67
04/15/2024,$513.06,525038,$533.36,$534.10,$510.76
04/12/2024,$526.62,434820,$528.51,$532.90,$520.78
04/11/2024,$534.49,336702,$532.66,$539.29,$526.5834
04/10/2024,$533.05,317423,$541.55,$549.10,$532.60
04/09/2024,$554.72,273592,$554.70,$554.995,$549.82
04/08/2024,$549.06,302075,$544.40,$549.9899,$541.40
04/05/2024,$542.39,421813,$536.24,$543.56,$535.35
04/04/2024,$533.58,465274,$543.37,$547.95,$531.915
04/03/2024,$540.00,313849,$541.94,$544.56,$539.51
04/02/2024,$542.29,356451,$551.69,$554.73,$537.83
04/01/2024,$554.83,280783,$562.36,$563.62,$552.245
03/28/2024,$560.45,338976,$558.46,$563.23,$557.52
03/27/2024,$557.00,312991,$556.62,$558.23,$550.42
03/26/2024,$551.68,377728,$551.93,$556.00,$551.06
03/25/2024,$551.34,297439,$550.75,$552.21,$547.53
03/22/2024,$553.11,364319,$563.00,$563.00,$550.79
03/21/2024,$563.78,493407,$560.42,$568.46,$560.02
03/20/2024,$559.14,529319,$565.05,$565.435,$555.82
03/19/2024,$564.33,341439,$551.00,$564.80,$548.82
03/18/2024,$550.39,358422,$547.25,$555.19,$545.54
03/15/2024,$544.74,520651,$549.56,$552.12,$544.08
03/14/2024,$553.07,295682,$559.00,$559.225,$546.85
03/13/2024,$557.52,340971,$566.98,$566.98,$556.73
03/12/2024,$565.80,366361,$567.60,$578.645,$561.39
03/11/2024,$564.30,413201,$550.52,$564.788,$548.39
03/08/2024,$551.50,279905,$550.00,$555.18,$549.15
03/07/2024,$550.17,382482,$559.20,$559.20,$550.00
03/06/2024,$549.53,487890,$551.00,$554.22,$547.20
03/05/2024,$550.35,257533,$556.00,$557.145,$548.52
03/04/2024,$558.37,365247,$565.28,$565.835,$557.80
03/01/2024,$565.48,260588,$558.52,$567.44,$554.766
02/29/2024,$560.97,432239,$569.79,$570.34,$560.84
02/28/2024,$567.91,429694,$554.86,$568.20,$554.31
02/27/2024,$557.84,413510,$567.78,$567.78,$557.62
02/26/2024,$567.93,398439,$569.25,$574.135,$567.62
02/23/2024,$568.97,410414,$568.49,$571.18,$566.07
02/22/2024,$565.47,482205,$563.79,$569.51,$560.12
02/21/2024,$555.65,501597,$554.50,$559.735,$549.57
02/20/2024,$556.56,903972,$559.38,$560.255,$551.18
02/16/2024,$568.75,327827,$573.25,$578.38,$568.07
02/15/2024,$575.72,386362,$573.64,$578.01,$571.32
02/14/2024,$572.80,443402,$580.66,$580.66,$568.60
02/13/2024,$575.61,403414,$580.00,$582.28,$570.7957
02/12/2024,$590.19,485115,$592.93,$596.80,$589.42
02/09/2024,$592.42,336222,$585.39,$594.24,$584.50
02/08/2024,$585.50,515317,$586.43,$588.48,$581.25
02/07/2024,$590.63,475354,$585.08,$591.49,$578.3501
02/06/2024,$582.00,469078,$586.93,$586.93,$579.34
02/05/2024,$583.39,715406,$590.85,$592.3875,$582.43
02/02/2024,$593.06,576880,$603.36,$604.58,$590.67
02/01/2024,$604.30,785890,$598.94,$604.30,$584.41
01/31/2024,$598.62,817808,$600.00,$612.53,$596.625
01/30/2024,$602.24,1307323,$580.14,$617.39,$580.14
