Date,Close/Last,Volume,Open,High,Low
09/06/2024,$166.51,1021386,$168.44,$170.86,$165.15
09/05/2024,$168.80,919612,$170.60,$171.04,$168.14
09/04/2024,$168.96,994745,$170.80,$171.35,$167.89
09/03/2024,$171.32,919836,$172.17,$173.285,$170.45
08/30/2024,$172.11,753895,$170.80,$172.38,$169.95
08/29/2024,$169.99,542079,$170.85,$171.53,$168.78
08/28/2024,$170.43,1010805,$167.38,$170.91,$167.16
08/27/2024,$167.40,587222,$166.90,$167.9024,$166.07
08/26/2024,$167.15,923782,$169.79,$169.95,$166.81
08/23/2024,$168.68,890995,$165.84,$170.88,$165.465
08/22/2024,$164.63,664362,$163.42,$165.31,$163.065
08/21/2024,$162.91,673487,$162.88,$163.01,$161.145
08/20/2024,$162.26,677310,$163.49,$163.6736,$162.01
08/19/2024,$164.40,643586,$163.09,$164.82,$163.05
08/16/2024,$163.09,862080,$161.02,$163.58,$161.02
08/15/2024,$161.55,1131365,$160.86,$163.13,$160.75
08/14/2024,$160.16,926152,$160.75,$160.81,$159.21
08/13/2024,$160.33,764077,$161.00,$161.00,$158.185
08/12/2024,$160.01,526881,$163.23,$164.88,$159.23
08/09/2024,$162.23,460201,$161.78,$163.10,$161.33
08/08/2024,$162.17,764572,$160.96,$162.94,$160.50
08/07/2024,$159.76,735991,$163.00,$164.42,$159.4705
08/06/2024,$160.31,959839,$161.59,$163.40,$159.575
08/05/2024,$159.97,1354412,$157.93,$161.72,$155.10
08/02/2024,$162.29,1311270,$163.51,$164.17,$159.14
08/01/2024,$166.85,968702,$172.15,$173.44,$165.91
07/31/2024,$172.17,912751,$172.90,$175.18,$172.00
07/30/2024,$173.61,793222,$173.45,$174.99,$172.825
07/29/2024,$172.18,828972,$174.88,$175.095,$171.79
07/26/2024,$174.90,980508,$173.78,$175.40,$173.30
07/25/2024,$173.51,1057265,$171.48,$176.44,$171.43
07/24/2024,$171.68,1303850,$172.16,$174.14,$170.18
07/23/2024,$172.17,1632900,$172.00,$173.93,$170.01
07/22/2024,$170.87,1319579,$166.50,$171.27,$163.10
07/19/2024,$165.25,1260933,$168.41,$169.5403,$163.56
07/18/2024,$167.38,2270844,$174.06,$175.00,$165.74
07/17/2024,$164.65,1078727,$161.49,$165.79,$161.13
07/16/2024,$163.12,1063346,$158.49,$163.50,$157.94
07/15/2024,$158.36,808778,$158.26,$159.49,$156.69
07/12/2024,$155.21,784570,$155.00,$156.66,$154.2133
07/11/2024,$154.94,970349,$153.84,$155.94,$152.875
07/10/2024,$152.38,753049,$149.46,$152.47,$148.27
07/09/2024,$149.80,715093,$147.70,$150.86,$146.77
07/08/2024,$148.20,685816,$147.93,$149.41,$146.71
07/05/2024,$146.49,1056652,$148.59,$149.17,$145.82
07/03/2024,$149.13,562002,$151.89,$152.13,$149.06
07/02/2024,$151.73,790329,$149.01,$151.98,$148.81
07/01/2024,$149.82,887875,$151.74,$153.33,$149.74
06/28/2024,$151.36,1989882,$148.94,$152.86,$148.17
06/27/2024,$147.65,690928,$146.50,$148.37,$146.415
06/26/2024,$147.32,796438,$146.81,$148.125,$146.17
06/25/2024,$147.54,1029689,$149.00,$150.635,$147.36
06/24/2024,$149.59,736652,$148.35,$150.89,$146.1281
