Date,Close/Last,Volume,Open,High,Low
09/06/2024,$244.27,170894,$246.84,$248.66,$242.62
09/05/2024,$246.60,161200,$249.76,$249.76,$244.925
09/04/2024,$250.14,216613,$250.01,$250.935,$247.91
09/03/2024,$250.18,198875,$254.97,$256.15,$248.89
08/30/2024,$256.56,252504,$255.74,$256.87,$253.28
08/29/2024,$255.16,210449,$257.91,$258.11,$254.51
08/28/2024,$256.30,326225,$255.67,$257.45,$253.495
08/27/2024,$255.90,210732,$255.81,$257.48,$254.47
08/26/2024,$257.18,257335,$258.00,$259.40,$256.15
08/23/2024,$257.40,371734,$257.57,$262.20,$256.155
08/22/2024,$256.03,455671,$253.92,$256.28,$241.665
08/21/2024,$247.78,439111,$242.10,$248.24,$240.11
08/20/2024,$239.47,270896,$238.86,$240.225,$237.90
08/19/2024,$239.65,368732,$239.64,$241.23,$238.87
08/16/2024,$239.66,999768,$239.21,$241.42,$238.61
08/15/2024,$240.42,189729,$239.39,$241.815,$237.0005
08/14/2024,$236.49,171602,$238.98,$240.14,$235.4955
08/13/2024,$237.41,143521,$233.64,$237.46,$232.83
08/12/2024,$233.04,147443,$234.64,$235.045,$232.16
08/09/2024,$234.44,171046,$235.70,$236.28,$233.34
08/08/2024,$235.45,195110,$234.88,$237.24,$233.56
08/07/2024,$232.70,251174,$238.07,$240.415,$232.13
08/06/2024,$235.80,286852,$236.23,$239.89,$234.82
08/05/2024,$234.80,374240,$237.96,$238.89,$233.37
08/02/2024,$241.38,305302,$241.11,$242.08,$236.37
08/01/2024,$243.34,333030,$249.18,$251.37,$239.46
07/31/2024,$250.33,774584,$249.92,$252.84,$247.13
07/30/2024,$248.61,190836,$245.78,$249.795,$245.025
07/29/2024,$245.22,153432,$246.21,$246.89,$244.29
07/26/2024,$245.95,234406,$242.80,$247.38,$241.64
07/25/2024,$240.55,324429,$237.69,$243.75,$237.18
07/24/2024,$235.99,253368,$239.54,$239.54,$234.03
07/23/2024,$239.87,223121,$239.32,$241.15,$238.49
07/22/2024,$240.57,142187,$237.29,$240.685,$234.0994
07/19/2024,$236.61,332924,$241.03,$241.415,$235.025
07/18/2024,$239.65,186847,$241.44,$245.55,$239.44
07/17/2024,$243.35,290079,$242.11,$245.815,$240.74
07/16/2024,$243.36,259458,$238.04,$243.955,$236.89
07/15/2024,$236.63,229194,$236.91,$240.38,$236.36
07/12/2024,$237.15,171299,$237.28,$239.29,$235.81
07/11/2024,$235.27,181041,$232.09,$236.47,$232.09
07/10/2024,$229.88,146972,$225.42,$230.06,$225.42
07/09/2024,$225.00,244927,$225.85,$225.955,$224.015
07/08/2024,$226.51,222722,$227.81,$229.0087,$225.54
07/05/2024,$226.61,181213,$226.86,$227.66,$224.17
07/03/2024,$227.59,125773,$228.49,$228.97,$226.36
07/02/2024,$228.21,169322,$227.81,$229.045,$226.71
07/01/2024,$227.68,215428,$231.78,$233.79,$227.63
06/28/2024,$231.94,444745,$231.28,$233.55,$229.065
06/27/2024,$230.31,191563,$229.61,$231.3668,$228.66
06/26/2024,$229.81,196702,$227.35,$229.99,$226.37
06/25/2024,$228.82,254452,$231.07,$231.42,$226.95
06/24/2024,$232.27,187435,$231.02,$234.50,$230.09
06/21/2024,$231.32,536720,$232.37,$232.77,$228.965
06/20/2024,$231.80,249631,$231.63,$233.71,$231.4171
06/18/2024,$232.20,267826,$232.06,$233.675,$231.75
06/17/2024,$232.07,207966,$228.13,$232.61,$226.83
06/14/2024,$228.72,166115,$231.26,$232.12,$225.72
06/13/2024,$233.67,298990,$232.73,$233.98,$230.54
06/12/2024,$232.73,277576,$229.43,$234.20,$229.43
06/11/2024,$225.70,265859,$224.28,$226.5658,$222.18
06/10/2024,$225.28,190757,$224.58,$226.715,$223.78
06/07/2024,$226.15,187856,$226.00,$226.895,$224.62
06/06/2024,$226.51,158583,$227.53,$227.53,$225.41
06/05/2024,$228.44,224918,$229.34,$229.5175,$225.57
06/04/2024,$228.05,228496,$228.59,$229.89,$227.30
06/03/2024,$229.38,257206,$235.73,$235.73,$227.615
05/31/2024,$234.72,398388,$231.35,$235.10,$229.68
05/30/2024,$231.30,234419,$231.05,$231.54,$229.65
05/29/2024,$230.00,237458,$232.55,$232.61,$229.32
05/28/2024,$233.58,311405,$237.94,$238.66,$233.09
05/24/2024,$237.94,222190,$238.00,$239.40,$236.43
05/23/2024,$237.90,261773,$243.45,$243.45,$237.64
05/22/2024,$243.12,306609,$242.64,$248.785,$242.343
05/21/2024,$243.14,619676,$246.16,$258.13,$243.09
05/20/2024,$268.41,401931,$271.30,$272.265,$267.64
05/17/2024,$271.65,810250,$271.83,$272.3899,$269.511
05/16/2024,$270.56,415731,$274.72,$274.72,$270.10
05/15/2024,$274.56,203510,$273.44,$275.80,$273.43
05/14/2024,$271.99,301514,$274.27,$275.2799,$271.67
05/13/2024,$273.76,197038,$279.29,$279.29,$273.70
05/10/2024,$278.89,364643,$278.00,$279.38,$275.54
05/09/2024,$277.84,300825,$271.47,$278.06,$271.225
05/08/2024,$271.00,297986,$271.07,$271.63,$267.91
05/07/2024,$272.06,222569,$271.13,$274.53,$271.13
05/06/2024,$270.65,207240,$267.59,$270.88,$267.59
05/03/2024,$265.61,171161,$264.44,$266.07,$262.83
05/02/2024,$262.80,213229,$262.06,$263.7895,$260.07
05/01/2024,$260.95,260268,$257.93,$263.67,$257.20
04/30/2024,$258.19,249163,$261.75,$262.53,$257.87
04/29/2024,$262.49,135909,$260.96,$262.895,$260.085
04/26/2024,$260.40,165646,$259.42,$261.875,$259.01
04/25/2024,$259.66,202832,$258.61,$260.87,$255.78
04/24/2024,$260.06,162543,$261.42,$262.66,$258.16
04/23/2024,$262.08,192315,$261.69,$262.92,$258.51
04/22/2024,$260.52,145580,$260.78,$262.92,$258.875
04/19/2024,$259.59,145236,$258.67,$261.095,$257.71
04/18/2024,$259.12,105406,$262.30,$262.73,$258.82
04/17/2024,$260.80,133791,$262.98,$263.225,$260.28
04/16/2024,$262.66,143615,$262.00,$264.005,$260.99
04/15/2024,$263.13,138875,$266.57,$267.70,$262.39
04/12/2024,$264.65,218669,$267.07,$267.07,$262.735
04/11/2024,$268.89,247166,$271.55,$271.55,$268.56
04/10/2024,$271.77,252051,$269.83,$272.305,$269.315
04/09/2024,$273.76,165736,$272.22,$273.76,$269.43
04/08/2024,$271.25,184866,$272.01,$272.77,$270.96
04/05/2024,$271.13,171653,$271.64,$272.06,$269.32
04/04/2024,$270.80,350604,$273.00,$278.00,$269.59
04/03/2024,$273.00,217394,$268.96,$273.28,$268.96
04/02/2024,$270.27,238028,$271.28,$271.46,$268.83
04/01/2024,$271.69,194966,$274.54,$274.815,$271.65
03/28/2024,$274.54,232207,$274.24,$276.09,$272.1816
03/27/2024,$273.74,192459,$270.11,$273.93,$268.88
03/26/2024,$268.43,278917,$267.39,$270.18,$266.31
03/25/2024,$267.15,199336,$269.09,$269.51,$266.575
03/22/2024,$268.52,189630,$270.99,$270.99,$266.94
03/21/2024,$270.14,153182,$265.72,$270.74,$265.72
03/20/2024,$264.95,215553,$261.93,$265.03,$261.61
03/19/2024,$262.59,154796,$263.99,$264.31,$261.91
03/18/2024,$263.65,172244,$263.60,$266.07,$262.88
03/15/2024,$263.20,516341,$263.00,$265.80,$262.65
03/14/2024,$264.18,216085,$264.71,$264.71,$261.10
03/13/2024,$264.95,181063,$264.03,$265.22,$263.16
03/12/2024,$263.87,197581,$262.85,$264.30,$261.54
03/11/2024,$263.23,156372,$264.71,$264.71,$260.98
03/08/2024,$264.76,212555,$267.39,$268.91,$263.58
03/07/2024,$267.39,132074,$266.66,$268.54,$265.32
03/06/2024,$265.18,151961,$263.75,$266.13,$262.60
03/05/2024,$261.79,182625,$265.00,$265.00,$260.89
03/04/2024,$265.32,178577,$266.45,$268.175,$264.98
03/01/2024,$266.09,230912,$265.11,$266.57,$264.42
02/29/2024,$265.65,560385,$268.35,$269.505,$264.78
02/28/2024,$266.96,220131,$267.21,$269.6299,$264.94
02/27/2024,$268.00,284264,$271.18,$271.18,$265.15
02/26/2024,$270.87,222704,$271.06,$273.09,$270.71
02/23/2024,$273.71,280709,$274.96,$275.38,$271.47
02/22/2024,$273.46,374584,$263.05,$275.67,$263.05
02/21/2024,$261.69,317640,$265.02,$265.26,$260.74
