Date,Close/Last,Volume,Open,High,Low
09/06/2024,$50.34,6476450,$51.83,$52.36,$50.23
09/05/2024,$51.93,5913416,$52.27,$52.65,$51.765
09/04/2024,$51.61,7461911,$51.97,$52.20,$51.11
09/03/2024,$52.27,8025976,$52.47,$52.63,$51.37
08/30/2024,$53.39,8672495,$53.025,$53.88,$52.93
08/29/2024,$53.18,6720463,$52.44,$53.47,$52.44
08/28/2024,$51.83,5077618,$52.05,$52.24,$51.47
08/27/2024,$52.70,5115252,$51.80,$52.77,$51.64
08/26/2024,$52.26,5278027,$52.62,$52.71,$52.085
08/23/2024,$52.04,4569348,$51.85,$52.395,$51.58
08/22/2024,$51.41,5349251,$51.24,$51.65,$50.79
08/21/2024,$51.87,5117283,$51.62,$52.03,$51.04
08/20/2024,$51.45,6338615,$51.55,$52.07,$51.15
08/19/2024,$51.19,6409984,$50.21,$51.39,$49.97
08/16/2024,$50.21,8496903,$49.42,$50.34,$49.11
08/15/2024,$49.31,5118915,$49.255,$49.48,$48.24
08/14/2024,$49.14,6167947,$48.87,$49.38,$48.335
08/13/2024,$49.02,5218784,$48.58,$49.32,$48.40
08/12/2024,$48.79,6069171,$48.00,$49.14,$47.98
08/09/2024,$47.71,3631996,$48.03,$48.095,$46.88
08/08/2024,$47.71,5991804,$46.72,$48.005,$46.33
08/07/2024,$46.40,5663584,$48.20,$48.28,$46.22
08/06/2024,$47.60,8758702,$46.81,$48.19,$46.53
08/05/2024,$47.03,11508610,$45.85,$47.51,$45.03
08/02/2024,$48.51,11810480,$50.00,$50.7196,$47.50
08/01/2024,$49.55,9913156,$49.25,$50.135,$48.69
07/31/2024,$49.07,10785970,$48.23,$49.355,$48.14
07/30/2024,$47.41,5645674,$47.52,$47.645,$46.77
07/29/2024,$47.28,8177070,$47.19,$47.29,$46.60
07/26/2024,$46.73,8371515,$46.86,$47.17,$46.13
07/25/2024,$45.70,12536310,$45.79,$46.43,$44.77
07/24/2024,$47.70,11682610,$47.47,$48.32,$47.18
07/23/2024,$47.07,5870007,$47.27,$47.43,$46.725
07/22/2024,$47.29,5091640,$46.80,$47.34,$46.6101
07/19/2024,$47.00,6268666,$46.57,$47.36,$45.72
07/18/2024,$47.51,7263517,$48.34,$48.56,$47.38
07/17/2024,$48.27,8195941,$48.50,$48.97,$48.20
07/16/2024,$48.32,8036159,$47.56,$48.61,$47.3861
07/15/2024,$47.35,5720812,$47.13,$48.155,$47.06
07/12/2024,$47.51,7345114,$46.97,$48.02,$46.76
07/11/2024,$47.17,11447100,$46.30,$47.21,$45.30
07/10/2024,$45.46,8403040,$44.88,$45.82,$44.77
07/09/2024,$43.89,4860417,$44.13,$44.33,$43.78
07/08/2024,$44.13,6158412,$44.17,$44.345,$43.54
07/05/2024,$44.51,10350230,$44.03,$44.67,$43.93
07/03/2024,$43.45,5732472,$42.33,$43.67,$42.295
07/02/2024,$41.71,6301110,$41.66,$42.2927,$41.31
07/01/2024,$41.65,4457254,$42.10,$42.54,$41.65
06/28/2024,$41.87,10265610,$42.21,$42.36,$41.63
06/27/2024,$41.84,5648706,$41.97,$42.17,$41.785
06/26/2024,$41.45,6484796,$41.36,$41.72,$41.158
06/25/2024,$41.90,6297312,$42.41,$42.56,$41.85
06/24/2024,$42.60,7214778,$42.33,$43.105,$42.28
06/21/2024,$42.26,16655640,$42.68,$42.95,$42.20
06/20/2024,$42.81,8881116,$41.85,$43.10,$41.75
06/18/2024,$41.79,7185153,$40.97,$41.95,$40.93
06/17/2024,$40.91,6201491,$41.02,$41.17,$40.69
06/14/2024,$40.82,5505282,$40.89,$41.08,$40.53
06/13/2024,$40.56,5239621,$40.79,$41.17,$40.12
06/12/2024,$40.99,5347649,$41.42,$41.81,$40.78
06/11/2024,$40.65,7277223,$40.75,$40.85,$40.115
06/10/2024,$41.30,6294975,$40.38,$41.32,$40.11
06/07/2024,$40.36,9087891,$40.78,$41.2391,$40.18
06/06/2024,$42.50,9956279,$41.00,$42.55,$40.64
06/05/2024,$41.10,6110847,$40.66,$41.12,$40.36
06/04/2024,$40.53,9173514,$41.00,$41.0102,$40.0627
06/03/2024,$41.89,7828866,$42.01,$42.12,$41.6657
05/31/2024,$41.94,14031080,$41.93,$42.24,$41.395
05/30/2024,$41.89,5868965,$41.54,$42.2076,$41.51
05/29/2024,$41.64,8477714,$41.89,$42.00,$41.52
05/28/2024,$42.40,7505177,$42.49,$42.88,$42.02
05/24/2024,$41.98,6232428,$41.60,$42.08,$41.42
05/23/2024,$41.23,9367021,$41.88,$41.98,$41.00
05/22/2024,$42.39,9619620,$43.50,$43.75,$41.96
05/21/2024,$44.04,6702574,$43.91,$44.3301,$43.60
05/20/2024,$44.44,8365519,$44.00,$44.59,$43.466
05/17/2024,$43.74,10168800,$43.50,$43.96,$43.11
05/16/2024,$42.84,7712623,$43.00,$43.31,$42.35
05/15/2024,$43.19,7710101,$43.15,$43.415,$42.18
05/14/2024,$42.57,7143521,$42.90,$43.19,$42.53
05/13/2024,$42.46,6133224,$42.35,$42.86,$41.93
05/10/2024,$42.49,7961219,$43.41,$43.75,$42.47
05/09/2024,$42.84,9893970,$41.64,$42.97,$41.64
05/08/2024,$41.54,7845352,$41.11,$41.83,$41.05
05/07/2024,$41.44,7500640,$41.40,$41.72,$41.16
05/06/2024,$41.39,7717671,$41.38,$41.84,$41.08
05/03/2024,$40.66,7306324,$41.25,$41.46,$40.60
05/02/2024,$41.05,8164523,$40.42,$41.37,$40.32
05/01/2024,$40.58,12108960,$40.60,$41.78,$40.485
04/30/2024,$40.64,13547670,$41.15,$41.63,$40.485
04/29/2024,$42.26,13020160,$42.57,$42.92,$41.51
04/26/2024,$42.73,14689210,$43.24,$43.39,$42.50
04/25/2024,$43.41,36611650,$40.33,$43.91,$39.98
04/24/2024,$38.60,11977240,$37.42,$38.745,$37.26
04/23/2024,$37.71,12186930,$37.00,$37.81,$36.60
04/22/2024,$37.46,14173360,$37.65,$38.28,$37.374
04/19/2024,$39.02,10439080,$38.50,$39.21,$38.35
04/18/2024,$38.55,6426731,$39.14,$39.21,$38.25
04/17/2024,$38.56,10811260,$38.27,$38.99,$37.98
04/16/2024,$38.11,11832720,$37.90,$38.44,$37.3801
04/15/2024,$38.44,11524250,$38.88,$38.96,$37.77
04/12/2024,$38.64,24342130,$40.20,$41.30,$38.305
04/11/2024,$39.07,11538180,$39.32,$39.47,$38.355
04/10/2024,$39.06,12584270,$38.70,$39.27,$38.21
04/09/2024,$39.67,14876200,$40.17,$40.78,$39.45
04/08/2024,$39.40,16286150,$40.00,$40.14,$39.17
04/05/2024,$39.65,21094230,$37.73,$39.9201,$37.56
04/04/2024,$37.72,16421260,$37.29,$38.21,$36.98
04/03/2024,$37.23,15548150,$36.76,$37.42,$36.675
04/02/2024,$36.79,15006800,$36.65,$37.00,$36.44
04/01/2024,$36.43,12495840,$36.96,$37.08,$36.10
03/28/2024,$35.84,14877940,$35.74,$36.365,$35.37
03/27/2024,$35.25,10666980,$34.31,$35.28,$34.18
03/26/2024,$34.00,9555879,$34.68,$34.74,$34.00
03/25/2024,$33.92,9284126,$34.02,$34.74,$33.86
03/22/2024,$33.77,9521376,$34.33,$34.53,$33.77
03/21/2024,$34.53,13157310,$34.95,$35.53,$34.475
03/20/2024,$34.30,11577660,$33.45,$34.69,$33.29
03/19/2024,$33.56,13681780,$34.08,$34.16,$33.3604
03/18/2024,$34.42,14967420,$33.69,$34.65,$33.59
03/15/2024,$33.88,53029560,$33.48,$34.06,$33.3719
03/14/2024,$34.21,18926700,$33.84,$34.57,$33.66
03/13/2024,$34.37,15764630,$34.14,$34.63,$34.04
03/12/2024,$33.88,14192170,$34.49,$34.50,$33.675
03/11/2024,$35.24,20370390,$34.13,$35.46,$33.89
03/08/2024,$33.91,13746210,$34.14,$34.35,$33.76
03/07/2024,$33.89,10845340,$33.99,$34.23,$33.60
03/06/2024,$33.62,13626980,$33.65,$34.28,$33.51
03/05/2024,$33.34,16332880,$34.00,$34.305,$33.22
03/04/2024,$33.48,28767820,$31.72,$33.63,$31.67
03/01/2024,$31.94,17018710,$31.63,$32.335,$30.93
02/29/2024,$31.25,18472170,$30.77,$31.49,$30.51
02/28/2024,$29.87,12681560,$29.59,$30.06,$29.42
02/27/2024,$29.86,13232780,$30.19,$30.27,$29.75
02/26/2024,$30.01,23496980,$30.63,$30.82,$29.74
02/23/2024,$31.28,21714400,$31.07,$31.475,$30.175
02/22/2024,$30.89,30588450,$33.00,$33.19,$30.71
02/21/2024,$33.43,13382820,$33.21,$33.48,$32.685
02/20/2024,$33.19,9490996,$33.63,$33.80,$33.03
02/16/2024,$33.43,9469078,$32.93,$33.63,$32.84
02/15/2024,$33.08,11095240,$32.59,$33.40,$32.55
02/14/2024,$32.12,9943449,$31.95,$32.15,$31.615
02/13/2024,$32.04,14169900,$32.76,$32.86,$31.738
02/12/2024,$33.56,9856371,$32.79,$33.685,$32.61
02/09/2024,$32.79,10676890,$33.24,$33.24,$32.54
02/08/2024,$33.34,8156067,$33.44,$33.59,$33.23
02/07/2024,$33.65,8249972,$33.75,$33.765,$33.305
02/06/2024,$33.66,9506471,$33.48,$33.74,$33.08
02/05/2024,$33.36,12077120,$33.68,$33.945,$33.35
02/02/2024,$34.41,17116060,$34.77,$34.88,$33.80
02/01/2024,$35.61,11872670,$34.68,$35.61,$34.67
01/31/2024,$34.51,12557370,$34.88,$35.43,$34.50
01/30/2024,$34.51,7633181,$34.75,$34.81,$34.195
01/29/2024,$34.65,13098170,$34.54,$34.65,$34.08
01/26/2024,$34.21,9499964,$34.50,$34.61,$34.16
