Date,Close/Last,Volume,Open,High,Low
09/06/2024,$80.63,8512173,$80.88,$81.88,$80.35
09/05/2024,$80.83,7596293,$81.13,$81.2404,$80.21
09/04/2024,$81.02,12837370,$80.10,$81.09,$79.67
09/03/2024,$81.32,10133710,$82.71,$82.94,$81.01
08/30/2024,$83.32,13755270,$83.60,$83.88,$82.05
08/29/2024,$83.26,7477205,$83.45,$83.89,$82.86
08/28/2024,$82.79,11088620,$85.05,$85.43,$81.88
08/27/2024,$85.29,14953990,$84.07,$85.39,$83.61
08/26/2024,$84.28,7853325,$83.47,$84.505,$83.38
08/23/2024,$84.05,9219749,$83.34,$84.24,$83.22
08/22/2024,$83.41,8485455,$84.45,$84.68,$83.21
08/21/2024,$84.00,6915865,$83.67,$84.24,$83.22
08/20/2024,$83.56,7863052,$83.49,$83.90,$82.77
08/19/2024,$83.28,9627253,$83.23,$83.99,$82.92
08/16/2024,$83.23,13794180,$82.88,$83.94,$82.44
08/15/2024,$82.50,23583640,$82.10,$83.06,$80.67
08/14/2024,$78.52,13612960,$78.00,$79.09,$77.42
08/13/2024,$78.50,22114820,$75.25,$79.05,$75.07
08/12/2024,$74.64,7067256,$74.71,$75.00,$74.0504
08/09/2024,$74.34,7186634,$74.12,$74.58,$73.366
08/08/2024,$74.19,8828032,$73.23,$74.21,$73.045
08/07/2024,$72.62,9571247,$72.88,$74.2119,$72.525
08/06/2024,$72.50,13469720,$71.66,$73.24,$71.51
08/05/2024,$71.42,13191530,$71.06,$72.62,$70.7502
08/02/2024,$74.01,11526630,$72.83,$74.125,$71.92
08/01/2024,$73.85,9563543,$74.70,$74.79,$73.26
07/31/2024,$74.86,14632940,$74.50,$75.43,$73.92
07/30/2024,$74.32,8515720,$73.69,$74.49,$73.455
07/29/2024,$73.55,10471840,$72.50,$73.8699,$72.20
07/26/2024,$72.56,8891986,$72.00,$72.78,$71.87
07/25/2024,$71.41,13855390,$71.53,$72.43,$70.91
07/24/2024,$71.09,18563320,$73.25,$73.39,$71.08
07/23/2024,$73.40,11041790,$74.63,$75.04,$73.24
07/22/2024,$74.86,19385490,$73.12,$75.34,$73.0703
07/19/2024,$72.70,11913320,$72.30,$72.82,$71.8516
07/18/2024,$72.38,14440130,$72.97,$73.93,$72.35
07/17/2024,$73.07,11161560,$72.53,$73.34,$72.50
07/16/2024,$72.81,20980670,$71.51,$72.96,$71.51
07/15/2024,$71.31,20775810,$73.00,$73.006,$71.24
07/12/2024,$73.42,14527520,$73.57,$74.05,$73.172
07/11/2024,$73.39,15876670,$72.70,$73.75,$72.29
07/10/2024,$72.54,21378210,$72.26,$72.64,$71.67
07/09/2024,$72.46,23502450,$73.30,$74.14,$72.38
07/08/2024,$73.05,29905040,$75.41,$75.49,$73.00
07/05/2024,$75.43,19603690,$75.36,$76.09,$74.78
07/03/2024,$75.24,15952010,$75.50,$75.92,$75.0199
07/02/2024,$76.04,26183350,$76.82,$76.94,$75.39
07/01/2024,$76.83,44369010,$75.50,$77.06,$74.29
06/28/2024,$75.37,129967000,$77.13,$79.05,$74.55
06/27/2024,$94.19,25772730,$93.77,$94.74,$93.39
06/26/2024,$94.06,10160430,$94.09,$94.48,$93.15
06/25/2024,$94.75,9036181,$97.31,$97.64,$94.50
06/24/2024,$97.17,9466888,$97.30,$98.04,$96.68
06/21/2024,$97.18,15569880,$95.96,$97.209,$95.42
06/20/2024,$95.57,9393767,$93.88,$96.09,$93.5216
06/18/2024,$94.78,6712037,$94.67,$95.26,$94.21
06/17/2024,$95.00,6365370,$92.01,$95.12,$92.01
06/14/2024,$93.39,7426757,$93.80,$94.78,$93.3002
06/13/2024,$94.18,8348214,$94.04,$94.53,$93.72
06/12/2024,$93.68,9861264,$96.35,$96.50,$93.50
06/11/2024,$95.87,7301545,$95.52,$95.995,$94.52
06/10/2024,$96.00,7035626,$95.73,$96.99,$95.5953
06/07/2024,$96.55,9397364,$95.39,$97.94,$95.30
06/06/2024,$95.72,9760077,$94.86,$96.795,$93.99
06/05/2024,$94.32,7463299,$95.315,$95.32,$93.70
06/04/2024,$94.74,7838435,$94.29,$95.11,$93.41
06/03/2024,$94.40,9668106,$94.52,$95.25,$94.05
05/31/2024,$95.05,12565600,$93.50,$95.07,$92.97
05/30/2024,$93.45,9310016,$92.23,$93.875,$91.96
05/29/2024,$91.67,7237340,$91.68,$92.72,$91.38
05/28/2024,$92.00,10834960,$91.74,$92.515,$91.35
05/24/2024,$91.75,6937118,$91.77,$92.2001,$91.49
05/23/2024,$91.40,7729024,$92.45,$92.58,$91.15
05/22/2024,$92.50,7611906,$91.95,$92.76,$91.65
05/21/2024,$92.82,7809654,$91.57,$92.85,$91.45
05/20/2024,$91.77,9701510,$92.25,$92.70,$90.83
05/17/2024,$92.18,12019570,$92.01,$92.29,$91.34
05/16/2024,$91.77,12711680,$91.69,$92.84,$91.53
05/15/2024,$91.67,15614450,$92.29,$92.62,$90.85
05/14/2024,$92.79,7810983,$92.99,$94.34,$92.60
