Date,Close/Last,Volume,Open,High,Low
09/06/2024,$825.04,1070842,$839.01,$848.42,$818.98
09/05/2024,$835.40,789138,$826.65,$840.36,$825.05
09/04/2024,$834.83,709110,$829.72,$836.40,$821.24
09/03/2024,$835.86,1261504,$856.40,$863.85,$830.8701
08/30/2024,$855.00,1920980,$836.76,$857.25,$835.84
08/29/2024,$831.27,1245610,$822.30,$849.00,$822.30
08/28/2024,$814.11,864574,$831.69,$832.68,$808.9601
08/27/2024,$831.74,481503,$823.17,$835.7053,$823.17
08/26/2024,$827.86,536300,$829.68,$836.7599,$825.49
08/23/2024,$828.27,702052,$830.00,$834.50,$815.00
08/22/2024,$820.93,706633,$840.00,$842.55,$819.52
08/21/2024,$839.18,609872,$833.53,$840.42,$830.00
08/20/2024,$838.22,784794,$835.00,$843.2575,$832.08
08/19/2024,$832.88,641512,$825.92,$833.72,$821.185
08/16/2024,$827.56,835507,$829.25,$831.035,$823.85
08/15/2024,$832.11,1165748,$825.00,$835.00,$823.68
08/14/2024,$819.02,833147,$822.00,$827.045,$815.50
08/13/2024,$818.80,765765,$812.00,$822.87,$810.60
08/12/2024,$806.62,539575,$811.08,$814.829,$800.07
08/09/2024,$811.08,799546,$796.14,$816.0148,$796.14
08/08/2024,$796.14,1449104,$792.00,$802.70,$786.77
08/07/2024,$776.28,1062412,$805.64,$816.54,$774.9344
08/06/2024,$792.95,1545801,$787.00,$814.285,$781.28
08/05/2024,$781.27,2019701,$757.04,$790.95,$746.10
08/02/2024,$790.64,1568867,$790.86,$793.13,$765.46
08/01/2024,$811.38,1338275,$818.86,$838.59,$802.12
07/31/2024,$814.39,1313705,$816.16,$821.4575,$805.00
07/30/2024,$798.80,1191058,$805.74,$805.74,$784.59
07/29/2024,$799.06,1977472,$829.00,$830.50,$798.55
07/26/2024,$827.61,2410057,$825.85,$846.86,$818.07
07/25/2024,$828.79,6549768,$789.33,$850.33,$783.04
07/24/2024,$730.87,2094706,$755.00,$757.48,$729.23
07/23/2024,$765.52,1007283,$763.47,$775.97,$760.66
07/22/2024,$756.50,1051562,$754.81,$764.44,$753.7749
07/19/2024,$751.20,1187234,$744.69,$755.88,$738.00
07/18/2024,$738.77,1518000,$738.34,$750.58,$730.095
07/17/2024,$736.07,1455662,$740.00,$746.37,$730.20
07/16/2024,$760.79,996711,$767.85,$770.04,$754.51
07/15/2024,$767.85,911088,$766.95,$776.48,$759.25
07/12/2024,$758.49,909518,$749.00,$762.60,$744.00
07/11/2024,$749.14,1281599,$746.00,$756.50,$741.33
07/10/2024,$743.15,1498780,$740.56,$743.38,$731.55
07/09/2024,$744.01,2434819,$750.96,$760.02,$737.01
07/08/2024,$766.20,2121332,$763.50,$776.65,$761.44
07/05/2024,$806.47,1193423,$788.42,$806.52,$785.92
07/03/2024,$785.92,577464,$793.67,$795.95,$785.19
07/02/2024,$794.11,875835,$784.98,$794.15,$781.62
07/01/2024,$788.96,1121477,$784.00,$790.48,$770.78
06/28/2024,$786.67,1721786,$775.43,$789.97,$770.88
06/27/2024,$774.13,1181421,$758.21,$780.00,$756.67
06/26/2024,$753.91,986067,$754.00,$761.37,$750.79
06/25/2024,$754.81,1036283,$745.00,$756.41,$742.38
06/24/2024,$739.59,1214053,$742.00,$748.18,$737.69
06/21/2024,$749.33,1764477,$739.94,$750.54,$733.62
06/20/2024,$734.31,1184178,$742.00,$742.26,$729.415
06/18/2024,$730.17,1186383,$722.86,$734.52,$720.7675
06/17/2024,$725.50,1074942,$723.42,$729.33,$719.045
06/14/2024,$728.58,958030,$715.60,$730.50,$715.60
06/13/2024,$709.76,1119314,$722.00,$727.82,$709.17
06/12/2024,$721.50,1296125,$722.26,$729.50,$720.83
06/11/2024,$712.04,1060982,$711.73,$719.00,$706.87
06/10/2024,$709.15,930760,$697.32,$710.64,$693.56
06/07/2024,$698.81,1122703,$700.51,$703.99,$688.51
06/06/2024,$703.16,1410875,$706.23,$712.36,$699.73
06/05/2024,$704.11,2797948,$683.45,$705.72,$676.19
06/04/2024,$672.00,2491160,$658.60,$674.60,$656.02
06/03/2024,$660.11,1907702,$659.80,$664.368,$645.45
05/31/2024,$656.93,4301832,$651.79,$657.54,$637.99
05/30/2024,$643.29,5098243,$690.99,$692.57,$640.1701
05/29/2024,$731.12,877651,$722.00,$737.855,$721.44
05/28/2024,$728.86,1547435,$738.88,$738.975,$718.31
05/24/2024,$738.51,1357098,$749.36,$749.7199,$736.37
05/23/2024,$758.15,861517,$781.68,$781.68,$756.03
05/22/2024,$770.83,845703,$780.00,$784.33,$769.47
05/21/2024,$777.05,784234,$775.00,$777.93,$763.91
05/20/2024,$774.18,734758,$763.53,$774.84,$762.235
05/17/2024,$765.05,887753,$765.00,$765.975,$757.54
05/16/2024,$758.01,1094294,$763.45,$769.1099,$757.42
05/15/2024,$760.57,1506092,$730.00,$761.31,$727.56
05/14/2024,$721.62,1099157,$730.00,$737.00,$717.77
05/13/2024,$730.12,869972,$732.85,$732.85,$722.95
05/10/2024,$729.79,820949,$725.00,$733.55,$725.00
05/09/2024,$722.94,1050278,$720.58,$729.00,$717.9917
05/08/2024,$721.03,1147949,$716.35,$721.95,$714.765
05/07/2024,$713.33,1552654,$730.00,$730.00,$699.55
05/06/2024,$726.56,1190895,$719.99,$726.64,$718.41
05/03/2024,$716.65,1437055,$709.98,$724.65,$705.00
05/02/2024,$695.72,1159165,$693.00,$696.07,$685.00
05/01/2024,$685.61,1333399,$693.71,$700.70,$683.885
04/30/2024,$693.33,1995467,$716.65,$717.465,$692.19
04/29/2024,$721.16,802646,$723.26,$728.30,$713.52
04/26/2024,$723.55,1445884,$723.76,$734.71,$719.845
04/25/2024,$716.25,3386529,$714.89,$717.03,$689.00
04/24/2024,$746.29,1705638,$753.97,$757.25,$739.13
04/23/2024,$740.95,1164909,$727.20,$743.67,$727.20
04/22/2024,$721.95,1464323,$723.25,$724.99,$710.62
04/19/2024,$713.91,1540609,$725.00,$726.03,$708.5339
04/18/2024,$731.36,788946,$736.90,$739.89,$727.35
04/17/2024,$736.45,721665,$746.78,$748.99,$734.95
04/16/2024,$744.78,1085831,$738.00,$749.00,$735.34
04/15/2024,$735.81,1171567,$769.00,$771.63,$735.46
04/12/2024,$768.71,960000,$762.20,$774.96,$760.9454
04/11/2024,$771.34,748312,$770.00,$775.9832,$761.40
04/10/2024,$769.19,860842,$769.00,$774.945,$764.1001
04/09/2024,$782.22,790569,$793.27,$795.44,$771.53
04/08/2024,$785.60,999171,$783.34,$789.99,$772.41
04/05/2024,$783.50,1286436,$758.43,$791.88,$758.43
04/04/2024,$757.55,1022246,$768.40,$782.25,$757.42
04/03/2024,$759.16,564242,$752.50,$764.6963,$751.50
04/02/2024,$757.00,769141,$755.09,$759.66,$748.23
04/01/2024,$768.37,716383,$763.99,$773.0899,$759.07
03/28/2024,$762.40,1083701,$759.65,$768.76,$755.75
03/27/2024,$759.00,1401511,$783.83,$786.33,$753.50
03/26/2024,$778.57,910076,$778.99,$788.80,$776.51
03/25/2024,$774.64,720836,$768.05,$775.91,$759.26
03/22/2024,$774.15,885256,$774.74,$779.89,$769.32
03/21/2024,$773.18,1262716,$780.00,$785.88,$771.58
03/20/2024,$767.56,703525,$760.62,$768.18,$755.05
03/19/2024,$756.94,1224449,$750.00,$758.32,$742.7989
03/18/2024,$755.80,944747,$750.00,$759.69,$748.12
03/15/2024,$743.91,2539129,$761.56,$762.00,$736.00
03/14/2024,$779.49,886115,$788.13,$790.00,$773.1201
03/13/2024,$776.88,1225381,$795.06,$807.7725,$775.00
03/12/2024,$789.56,1530337,$764.32,$793.00,$762.98
03/11/2024,$756.74,912058,$752.00,$759.20,$744.48
03/08/2024,$757.68,1026916,$769.10,$777.5699,$750.23
03/07/2024,$768.08,1586930,$748.47,$768.93,$735.27
03/06/2024,$741.06,1346972,$750.51,$752.39,$732.65
03/05/2024,$740.15,1957479,$766.23,$767.215,$730.15
03/04/2024,$776.09,986650,$773.00,$777.88,$764.735
03/01/2024,$773.63,912577,$772.00,$778.3023,$768.3722
02/29/2024,$771.34,1486153,$767.05,$773.32,$762.98
02/28/2024,$759.79,1266687,$763.51,$763.73,$754.00
02/27/2024,$767.14,1413997,$782.26,$783.99,$756.96
02/26/2024,$779.66,1120813,$774.69,$790.59,$774.50
02/23/2024,$770.97,1297364,$775.35,$784.97,$766.58
02/22/2024,$769.21,2146182,$775.00,$791.87,$767.63
02/21/2024,$747.94,877186,$736.99,$748.58,$730.52
02/20/2024,$752.84,1485501,$753.08,$759.28,$737.74
02/16/2024,$765.00,1141749,$774.27,$779.50,$764.67
02/15/2024,$780.00,1056562,$795.00,$798.445,$779.87
02/14/2024,$792.00,774125,$785.00,$792.28,$776.29
02/13/2024,$773.76,1785878,$765.00,$780.48,$750.23
02/12/2024,$787.35,1241204,$814.10,$815.00,$782.85
02/09/2024,$812.94,909664,$802.35,$815.32,$802.35
02/08/2024,$799.41,893043,$792.00,$800.30,$790.84
02/07/2024,$790.39,911720,$782.81,$793.47,$782.6032
02/06/2024,$777.45,1097834,$788.88,$789.10,$765.8822
02/05/2024,$784.84,1080535,$782.00,$786.45,$771.12
02/02/2024,$781.30,974791,$773.97,$787.00,$772.1001
02/01/2024,$771.00,886342,$769.09,$772.9251,$764.055
01/31/2024,$765.40,1364388,$777.89,$777.89,$757.53
01/30/2024,$785.73,1081212,$787.33,$789.915,$778.96
01/29/2024,$787.24,1330572,$769.32,$788.0457,$768.995
01/26/2024,$769.44,1799864,$767.10,$783.8299,$764.52
01/25/2024,$766.69,3127557,$780.00,$783.88,$757.29
01/24/2024,$763.42,2817061,$770.90,$775.96,$761.2738
01/23/2024,$753.42,1144622,$752.15,$754.37,$743.05
01/22/2024,$752.45,1625003,$760.19,$766.81,$752.06
01/19/2024,$749.11,1358013,$750.44,$753.16,$744.815
01/18/2024,$745.96,1298176,$742.42,$747.475,$735.47
01/17/2024,$727.54,673965,$726.00,$728.99,$714.31
01/16/2024,$727.56,935227,$730.00,$734.00,$725.01
01/12/2024,$729.18,832922,$724.80,$731.00,$718.76
01/11/2024,$726.46,1230738,$722.56,$734.30,$718.41
01/10/2024,$714.30,1011932,$707.50,$716.92,$701.25
01/09/2024,$698.67,984114,$693.86,$701.1975,$691.0031
01/08/2024,$696.26,1198165,$684.24,$697.82,$682.4601
01/05/2024,$676.16,723641,$672.13,$680.78,$672.13
01/04/2024,$671.87,914469,$674.77,$679.19,$671.22
01/03/2024,$675.30,883137,$675.76,$687.435,$674.03
01/02/2024,$687.52,1130930,$697.05,$699.36,$675.43
12/29/2023,$706.49,925672,$707.00,$711.59,$700.56
12/28/2023,$702.46,502221,$706.64,$707.5338,$701.325
12/27/2023,$703.76,389654,$701.31,$704.51,$699.10
12/26/2023,$701.23,463975,$700.17,$704.56,$698.71
12/22/2023,$697.55,492989,$703.85,$703.85,$694.42
12/21/2023,$700.76,787176,$700.75,$703.55,$690.965
12/20/2023,$693.80,941086,$704.07,$707.86,$693.60
12/19/2023,$707.71,905288,$705.70,$708.49,$700.00
12/18/2023,$703.72,1123325,$702.02,$709.30,$695.9396
12/15/2023,$698.24,2182700,$675.26,$699.81,$674.02
12/14/2023,$680.39,3023173,$710.00,$712.10,$678.00
12/13/2023,$715.64,1211651,$717.00,$720.68,$710.05
12/12/2023,$716.48,903652,$705.12,$717.87,$704.48
12/11/2023,$705.12,1058693,$699.11,$708.87,$698.20
12/08/2023,$699.08,1083831,$689.45,$701.11,$688.56
12/07/2023,$687.68,651337,$685.60,$689.25,$680.2968
12/06/2023,$686.23,800956,$690.00,$695.3945,$685.73
12/05/2023,$688.22,914962,$679.43,$689.635,$677.24
12/04/2023,$687.62,1166075,$684.00,$693.99,$680.7101
12/01/2023,$690.79,1453346,$685.45,$694.765,$683.2842
11/30/2023,$685.74,1832999,$682.00,$688.89,$678.82
11/29/2023,$678.93,1465302,$671.00,$682.29,$671.00
11/28/2023,$665.24,1520611,$667.63,$672.60,$661.39
11/27/2023,$670.55,1010001,$672.00,$677.605,$669.57
11/24/2023,$673.90,450013,$670.53,$674.47,$668.80
11/22/2023,$669.66,888291,$672.68,$678.03,$667.275
11/21/2023,$668.40,926370,$664.76,$670.64,$661.51
11/20/2023,$666.92,1079864,$654.00,$668.54,$652.585
11/17/2023,$654.36,792869,$651.95,$654.68,$648.29
11/16/2023,$652.28,1047658,$650.00,$656.795,$648.03
11/15/2023,$650.90,1233464,$654.47,$659.94,$648.965
11/14/2023,$654.17,1351211,$647.48,$656.84,$646.50
11/13/2023,$638.41,996675,$633.78,$639.755,$632.25
11/10/2023,$634.76,1023834,$619.76,$636.43,$615.54
11/09/2023,$619.76,1215209,$625.10,$632.49,$619.32
11/08/2023,$625.33,1702336,$616.08,$626.19,$616.00
11/07/2023,$613.91,1657869,$610.375,$625.87,$610.375
11/06/2023,$609.25,884923,$608.50,$610.98,$602.45
11/03/2023,$606.76,1478424,$600.58,$611.79,$592.48
11/02/2023,$599.43,1758388,$601.21,$610.87,$598.40
11/01/2023,$593.48,1769422,$581.00,$595.09,$580.44
10/31/2023,$581.85,1615484,$570.87,$584.84,$564.90
10/30/2023,$568.54,1448163,$559.60,$572.17,$558.09
10/27/2023,$554.01,1755767,$556.46,$564.00,$548.44
10/26/2023,$550.95,3547953,$560.00,$579.00,$548.86
10/25/2023,$530.17,2008904,$549.37,$552.0999,$527.24
10/24/2023,$554.39,1327124,$545.71,$556.94,$544.26
10/23/2023,$541.38,943120,$537.00,$545.34,$530.54
10/20/2023,$542.51,1418591,$556.60,$557.42,$536.17
10/19/2023,$559.98,1073089,$558.44,$568.405,$556.63
10/18/2023,$550.68,872252,$562.80,$568.00,$549.86
10/17/2023,$568.47,1397296,$549.66,$574.25,$548.80
10/16/2023,$551.63,831548,$549.66,$557.70,$546.50
10/13/2023,$549.66,777471,$558.76,$563.79,$549.06
10/12/2023,$560.15,824624,$560.76,$569.89,$554.50
10/11/2023,$558.67,878842,$560.00,$565.20,$551.64
10/10/2023,$558.30,1408259,$556.06,$564.685,$547.00
10/09/2023,$564.43,808197,$554.89,$565.65,$553.45
10/06/2023,$560.72,1181670,$542.89,$565.58,$539.02
10/05/2023,$547.17,662929,$544.83,$548.505,$536.05
10/04/2023,$548.64,705138,$544.58,$550.57,$541.64
10/03/2023,$541.24,1372150,$552.00,$556.3511,$536.91
10/02/2023,$555.23,993975,$554.75,$560.17,$549.785
09/29/2023,$558.96,1337197,$560.87,$566.1746,$558.51
09/28/2023,$553.52,1158074,$534.01,$556.15,$528.00
09/27/2023,$546.38,1016247,$549.56,$551.78,$540.40
