Date,Close/Last,Volume,Open,High,Low
09/06/2024,$76.51,3207661,$78.54,$79.60,$76.36
09/05/2024,$78.53,1526768,$79.25,$79.57,$78.06
09/04/2024,$79.13,1993893,$79.66,$81.35,$78.965
09/03/2024,$79.75,2872998,$84.80,$84.80,$79.50
08/30/2024,$85.01,2503766,$83.00,$85.17,$82.96
08/29/2024,$82.62,1883860,$80.52,$82.98,$80.04
08/28/2024,$80.27,2885489,$83.59,$84.00,$79.94
08/27/2024,$83.60,1812199,$83.20,$84.09,$82.76
08/26/2024,$83.75,3480602,$83.54,$85.38,$83.28
08/23/2024,$83.50,3005542,$82.36,$83.67,$82.005
08/22/2024,$81.85,2093251,$82.85,$83.2114,$81.68
08/21/2024,$82.75,3486061,$81.92,$83.557,$81.5285
08/20/2024,$81.92,1344773,$82.27,$82.76,$81.53
08/19/2024,$82.34,1564205,$82.78,$82.88,$80.65
08/16/2024,$82.78,2529103,$82.69,$83.85,$81.77
08/15/2024,$82.75,2973168,$82.21,$83.34,$81.60
08/14/2024,$82.38,2534504,$82.19,$82.73,$80.765
08/13/2024,$81.86,3057450,$80.61,$82.88,$80.00
08/12/2024,$79.87,3414238,$80.37,$80.63,$77.98
08/09/2024,$80.29,3767165,$77.69,$80.46,$76.32
08/08/2024,$77.97,4501735,$73.81,$78.65,$72.95
08/07/2024,$72.07,4235423,$72.57,$73.43,$71.905
08/06/2024,$71.19,3804907,$69.45,$72.50,$69.38
08/05/2024,$68.89,3751730,$66.44,$69.94,$65.111
08/02/2024,$70.00,4472316,$72.63,$73.33,$69.18
08/01/2024,$73.50,2337766,$75.00,$76.60,$73.09
07/31/2024,$75.17,4500190,$77.11,$78.47,$74.63
07/30/2024,$73.33,1632426,$74.74,$75.25,$72.96
07/29/2024,$74.33,1418278,$74.34,$74.96,$73.69
07/26/2024,$73.71,2006142,$74.45,$75.13,$73.09
07/25/2024,$73.09,2921372,$74.48,$75.00,$72.54
07/24/2024,$74.19,2496018,$76.12,$76.76,$74.04
07/23/2024,$76.61,3089288,$76.54,$77.46,$76.06
07/22/2024,$76.85,1704347,$75.36,$77.12,$75.2277
07/19/2024,$74.91,3455927,$74.01,$75.37,$73.61
07/18/2024,$73.63,2779326,$73.33,$74.40,$71.83
07/17/2024,$72.54,4824953,$75.28,$75.34,$72.33
07/16/2024,$76.43,2484134,$75.85,$77.395,$75.60
07/15/2024,$75.39,3501915,$79.64,$79.64,$74.65
07/12/2024,$79.93,1870681,$79.67,$80.505,$78.625
07/11/2024,$79.63,2276810,$79.16,$79.87,$78.75
07/10/2024,$79.16,1726316,$79.75,$79.98,$77.7739
07/09/2024,$79.26,2542089,$78.63,$80.88,$78.22
07/08/2024,$78.57,1884879,$77.66,$78.78,$77.18
07/05/2024,$77.16,2091753,$79.87,$79.99,$76.90
07/03/2024,$79.42,1289838,$77.91,$79.65,$77.44
07/02/2024,$77.89,2016344,$77.48,$78.68,$77.32
07/01/2024,$77.85,2607813,$78.83,$79.27,$77.27
06/28/2024,$77.86,6940870,$78.62,$79.37,$77.62
06/27/2024,$78.66,2733290,$79.52,$80.04,$78.33
06/26/2024,$79.52,3751322,$81.98,$82.31,$79.35
06/25/2024,$82.27,2999497,$81.93,$83.7413,$81.20
06/24/2024,$81.56,4374907,$79.77,$82.66,$79.44
06/21/2024,$80.02,9244910,$80.11,$80.61,$78.88
06/20/2024,$80.72,2806342,$80.13,$81.70,$79.37
06/18/2024,$79.92,3623423,$78.13,$80.26,$77.7746
06/17/2024,$78.55,3680366,$78.20,$78.87,$77.07
06/14/2024,$78.64,2393084,$78.83,$78.97,$78.02
06/13/2024,$79.38,2802493,$81.00,$81.03,$77.77
06/12/2024,$80.30,2910395,$81.70,$82.41,$78.93
06/11/2024,$81.05,2851776,$79.17,$81.07,$78.805
06/10/2024,$79.97,3880034,$77.70,$80.21,$77.50
06/07/2024,$77.89,2966422,$77.51,$79.25,$77.33
06/06/2024,$77.83,4747599,$81.37,$82.65,$77.185
06/05/2024,$81.55,4141544,$78.28,$81.99,$78.28
06/04/2024,$77.83,4322749,$77.99,$79.775,$75.91
06/03/2024,$78.34,4984951,$80.63,$80.80,$75.88
05/31/2024,$81.00,7793445,$84.68,$84.825,$77.67
05/30/2024,$84.64,2085247,$83.52,$84.75,$82.56
05/29/2024,$83.53,2596696,$83.47,$84.29,$82.23
05/28/2024,$83.85,3167112,$86.46,$87.58,$83.405
05/24/2024,$86.00,3639863,$81.46,$86.46,$79.44
05/23/2024,$81.09,3333817,$82.38,$82.82,$80.2201
05/22/2024,$81.07,3748029,$82.27,$82.50,$80.15
05/21/2024,$83.03,2508645,$81.29,$83.05,$81.29
05/20/2024,$81.48,3271281,$82.74,$83.30,$80.66
05/17/2024,$82.30,2913502,$82.95,$84.30,$82.01
05/16/2024,$82.93,3194103,$85.00,$85.57,$82.78
05/15/2024,$84.49,3448124,$83.01,$86.00,$83.01
05/14/2024,$82.08,4112961,$81.90,$83.24,$81.44
05/13/2024,$82.46,3775635,$84.09,$84.44,$81.44
05/10/2024,$83.65,5319880,$82.82,$84.4627,$82.60
05/09/2024,$81.76,5891289,$75.97,$82.45,$75.95
05/08/2024,$75.82,5877362,$74.08,$78.15,$73.87
05/07/2024,$73.40,8170327,$77.85,$83.025,$72.98
05/06/2024,$77.89,4249096,$77.77,$78.39,$76.36
05/03/2024,$76.65,4253129,$75.50,$77.68,$74.95
05/02/2024,$75.13,2097949,$74.30,$75.75,$73.22
05/01/2024,$73.66,2253303,$72.94,$74.71,$71.50
04/30/2024,$72.67,2963449,$73.29,$74.00,$72.54
04/29/2024,$73.95,2158609,$73.00,$74.11,$72.67
04/26/2024,$72.81,1681813,$73.00,$73.20,$71.775
04/25/2024,$72.86,1809408,$71.57,$72.99,$71.21
04/24/2024,$72.61,3193347,$71.82,$73.38,$71.355
04/23/2024,$71.49,2800264,$70.85,$72.18,$70.61
04/22/2024,$70.39,2871616,$70.51,$71.58,$70.05
04/19/2024,$69.97,3987098,$70.28,$71.45,$69.11
04/18/2024,$70.52,4119426,$73.65,$74.07,$70.45
04/17/2024,$73.42,4217048,$74.33,$74.5599,$70.35
04/16/2024,$74.52,3125774,$73.08,$74.905,$72.52
04/15/2024,$72.95,3903023,$74.60,$76.54,$72.64
04/12/2024,$73.93,4281596,$74.32,$76.11,$73.54
04/11/2024,$74.59,3657391,$73.68,$74.84,$72.72
04/10/2024,$73.18,5151153,$71.94,$74.715,$71.63
04/09/2024,$72.77,3187060,$74.19,$74.74,$71.39
04/08/2024,$73.81,3315639,$72.30,$73.84,$72.13
04/05/2024,$72.77,3256541,$71.00,$73.08,$70.74
04/04/2024,$70.70,4514676,$72.43,$73.1307,$70.48
04/03/2024,$72.01,5367368,$69.17,$73.02,$69.17
04/02/2024,$68.60,3194961,$69.50,$69.56,$67.91
04/01/2024,$70.15,3718112,$67.60,$70.195,$66.90
03/28/2024,$67.69,2571824,$66.40,$67.85,$66.39
03/27/2024,$66.62,2595578,$66.43,$66.90,$66.00
03/26/2024,$65.88,3471965,$68.05,$68.50,$65.86
03/25/2024,$68.13,3696782,$67.75,$68.57,$67.47
03/22/2024,$67.17,2197688,$67.27,$67.71,$66.98
03/21/2024,$67.04,3171410,$67.64,$67.95,$66.55
03/20/2024,$67.14,3538121,$66.59,$67.96,$66.33
03/19/2024,$66.66,5480197,$64.71,$66.95,$63.8401
03/18/2024,$65.00,6886654,$64.55,$66.15,$63.84
03/15/2024,$63.93,17146530,$63.04,$64.81,$62.559
03/14/2024,$63.39,4970154,$62.59,$64.49,$62.40
03/13/2024,$62.44,5875017,$62.49,$63.67,$62.14
03/12/2024,$62.30,2915409,$60.40,$62.33,$60.23
03/11/2024,$60.45,2574812,$60.66,$60.80,$59.50
03/08/2024,$60.73,3058657,$60.65,$60.98,$60.03
03/07/2024,$60.62,3659293,$61.87,$61.89,$60.26
03/06/2024,$61.46,4651242,$60.51,$61.50,$59.645
03/05/2024,$60.01,7916059,$57.73,$60.36,$57.65
03/04/2024,$57.69,5358909,$56.44,$58.01,$55.96
03/01/2024,$56.71,4567803,$55.78,$56.76,$55.50
02/29/2024,$55.32,4440762,$54.70,$55.40,$54.12
02/28/2024,$54.70,4725103,$53.49,$56.09,$52.96
02/27/2024,$54.04,3572290,$52.82,$54.07,$52.57
02/26/2024,$52.77,3759852,$51.60,$53.07,$51.58
02/23/2024,$51.55,3043763,$52.33,$52.33,$51.485
02/22/2024,$51.88,2815363,$52.05,$52.17,$51.71
02/21/2024,$51.87,1994117,$51.80,$52.155,$51.49
02/20/2024,$51.70,2388225,$51.55,$52.30,$51.42
02/16/2024,$51.90,1862299,$51.84,$52.68,$51.80
02/15/2024,$52.02,2125373,$52.21,$52.49,$51.79
02/14/2024,$52.06,2055475,$52.49,$52.72,$51.8908
02/13/2024,$51.92,2265266,$51.55,$52.34,$51.31
02/12/2024,$51.76,2521572,$52.42,$52.60,$51.26
02/09/2024,$52.37,1875321,$52.28,$52.565,$51.98
02/08/2024,$52.35,2834674,$52.92,$53.19,$51.935
02/07/2024,$52.99,3920284,$53.64,$53.84,$52.29
02/06/2024,$53.52,2250911,$53.68,$53.94,$53.13
02/05/2024,$53.68,3277026,$54.28,$54.48,$53.44
02/02/2024,$54.73,2890924,$53.93,$55.36,$53.70
02/01/2024,$54.25,2907595,$53.08,$54.61,$52.87
01/31/2024,$53.04,7182357,$53.78,$54.12,$52.62
01/30/2024,$54.03,2397413,$54.39,$54.639,$53.695
01/29/2024,$54.45,2840901,$54.31,$54.685,$53.45
01/26/2024,$54.25,2463202,$53.74,$54.27,$53.53
01/25/2024,$53.69,3403357,$52.75,$53.71,$52.59
01/24/2024,$52.03,4963589,$52.90,$52.91,$51.83
01/23/2024,$52.59,2159991,$52.70,$52.80,$52.285
01/22/2024,$52.69,2904102,$52.71,$53.08,$52.20
01/19/2024,$52.52,3050893,$51.09,$52.54,$50.935
01/18/2024,$50.96,2982690,$51.05,$51.19,$50.43
01/17/2024,$51.23,3126693,$50.65,$52.03,$50.51
01/16/2024,$50.94,3341749,$50.45,$51.27,$50.24
01/12/2024,$50.72,2655777,$50.88,$51.00,$50.45
01/11/2024,$50.51,2933812,$50.88,$50.88,$50.23
01/10/2024,$50.94,3257281,$51.83,$52.02,$50.91
01/09/2024,$51.72,3163337,$51.94,$52.09,$51.52
01/08/2024,$52.24,2855169,$51.89,$52.42,$51.51
01/05/2024,$51.73,2502520,$51.39,$51.85,$51.30
01/04/2024,$51.29,2048908,$51.87,$52.11,$51.275
01/03/2024,$51.67,3400818,$51.35,$51.76,$51.00
01/02/2024,$51.25,4995787,$51.50,$51.89,$50.94
12/29/2023,$51.70,2387731,$51.71,$52.16,$51.51
12/28/2023,$51.86,1753705,$51.24,$51.915,$51.12
12/27/2023,$51.22,1735367,$50.70,$51.26,$50.70
12/26/2023,$50.81,1786666,$50.00,$51.005,$50.00
12/22/2023,$50.00,2251729,$50.20,$50.23,$49.7499
12/21/2023,$50.09,3503965,$49.63,$50.13,$49.53
12/20/2023,$49.38,2517701,$49.87,$50.34,$49.35
12/19/2023,$50.04,3534573,$49.41,$50.20,$49.38
12/18/2023,$49.29,4394926,$48.64,$49.46,$48.64
12/15/2023,$48.76,6301703,$48.15,$49.11,$48.00
12/14/2023,$48.21,3478473,$48.97,$49.165,$47.88
12/13/2023,$48.75,3431569,$48.70,$49.17,$48.46
12/12/2023,$48.70,3459655,$47.71,$48.805,$47.595
12/11/2023,$47.88,2127606,$47.72,$47.97,$47.61
12/08/2023,$47.81,3289649,$47.34,$47.83,$47.34
12/07/2023,$47.47,2156754,$47.51,$47.865,$47.22
12/06/2023,$47.53,3025461,$48.39,$48.73,$47.52
12/05/2023,$48.26,3773055,$48.04,$48.68,$47.82
12/04/2023,$48.08,2762780,$47.95,$48.54,$47.59
12/01/2023,$48.37,3010212,$47.72,$48.39,$47.71
11/30/2023,$47.84,4998735,$46.90,$47.98,$46.74
11/29/2023,$46.85,2005355,$46.66,$47.29,$46.5242
11/28/2023,$46.78,4800156,$46.23,$47.24,$46.23
11/27/2023,$46.46,3304223,$45.90,$46.68,$45.46
11/24/2023,$45.89,1164212,$45.73,$45.89,$45.29
