Date,Close/Last,Volume,Open,High,Low
09/06/2024,$250.01,732941,$252.82,$254.52,$248.975
09/05/2024,$252.76,1039115,$260.25,$260.69,$251.69
09/04/2024,$259.69,1289948,$255.27,$259.95,$255.19
09/03/2024,$254.56,1300229,$254.73,$256.47,$253.37
08/30/2024,$256.16,1453504,$252.62,$256.51,$252.025
08/29/2024,$252.02,824392,$252.13,$253.83,$249.2807
08/28/2024,$250.29,1219505,$248.72,$251.53,$247.73
08/27/2024,$248.89,1570706,$242.10,$249.71,$240.91
08/26/2024,$242.37,772160,$242.00,$243.905,$240.46
08/23/2024,$240.65,637175,$238.56,$240.83,$237.915
08/22/2024,$237.10,1178711,$241.65,$241.94,$236.405
08/21/2024,$241.53,803935,$241.98,$243.24,$238.88
08/20/2024,$240.77,628882,$241.65,$242.42,$240.21
08/19/2024,$241.17,636029,$241.12,$242.1099,$240.02
08/16/2024,$240.44,853084,$240.69,$241.42,$239.15
08/15/2024,$241.15,1022149,$244.62,$245.415,$240.55
08/14/2024,$241.97,929061,$239.35,$242.795,$237.38
08/13/2024,$239.37,705928,$237.92,$239.54,$235.16
08/12/2024,$237.18,719742,$240.14,$240.90,$236.24
08/09/2024,$239.62,710920,$241.60,$241.85,$237.64
08/08/2024,$242.03,625208,$240.43,$243.335,$239.54
08/07/2024,$239.98,909904,$243.85,$247.055,$239.63
08/06/2024,$243.85,940773,$240.21,$246.77,$239.91
08/05/2024,$239.68,1630489,$241.77,$241.82,$234.43
08/02/2024,$243.41,1254989,$244.41,$244.41,$237.34
08/01/2024,$246.46,959226,$250.35,$251.3294,$244.675
07/31/2024,$249.56,918297,$249.03,$252.62,$246.94
07/30/2024,$249.71,1227920,$247.70,$251.11,$244.58
07/29/2024,$247.63,2284731,$247.48,$250.075,$245.47
07/26/2024,$247.22,2993456,$242.00,$249.93,$240.60
07/25/2024,$222.90,2155143,$223.12,$229.54,$220.525
07/24/2024,$221.34,1539860,$224.26,$224.58,$220.12
07/23/2024,$224.28,839979,$226.83,$227.49,$223.91
07/22/2024,$228.03,897853,$229.20,$230.48,$225.23
07/19/2024,$227.95,1205008,$231.94,$231.94,$226.39
07/18/2024,$230.38,991419,$233.32,$234.44,$230.19
07/17/2024,$234.45,1056948,$233.95,$236.25,$232.94
07/16/2024,$234.79,1133377,$228.26,$235.76,$228.26
07/15/2024,$227.76,1058357,$222.18,$229.05,$221.31
07/12/2024,$221.35,942825,$221.62,$223.50,$220.92
07/11/2024,$220.94,1200928,$216.15,$221.18,$215.09
07/10/2024,$214.83,1034964,$214.25,$215.60,$213.27
07/09/2024,$213.75,1288342,$212.75,$214.37,$210.89
07/08/2024,$214.25,1120420,$213.14,$215.03,$211.83
07/05/2024,$215.86,945731,$216.53,$217.15,$214.04
07/03/2024,$216.30,410016,$215.22,$217.43,$214.695
07/02/2024,$215.55,1051082,$214.08,$215.58,$213.715
07/01/2024,$214.06,749268,$214.90,$216.36,$212.16
06/28/2024,$214.69,1584755,$210.85,$215.16,$210.175
06/27/2024,$209.90,2031527,$212.85,$213.30,$208.82
06/26/2024,$212.49,1521283,$214.98,$214.98,$211.72
06/25/2024,$213.37,2971942,$213.19,$215.50,$206.71
