Date,Close/Last,Volume,Open,High,Low
09/06/2024,$114.18,1730682,$116.64,$117.57,$113.68
09/05/2024,$116.82,2455646,$117.89,$118.53,$115.95
09/04/2024,$119.08,1519471,$118.35,$119.25,$116.69
09/03/2024,$118.95,2571811,$122.70,$122.74,$118.03
08/30/2024,$120.72,3020439,$119.70,$121.11,$118.29
08/29/2024,$119.20,4074405,$125.08,$126.11,$119.15
08/28/2024,$131.91,1916310,$131.24,$133.65,$130.99
08/27/2024,$133.12,1878692,$131.55,$133.30,$130.825
08/26/2024,$132.50,980957,$132.67,$133.7545,$131.75
08/23/2024,$133.12,1223764,$133.01,$133.55,$132.24
08/22/2024,$131.63,1177626,$133.42,$134.37,$131.24
08/21/2024,$133.41,1074031,$131.91,$133.86,$131.605
08/20/2024,$131.39,1404822,$131.75,$132.10,$131.11
08/19/2024,$131.70,1459000,$129.94,$131.95,$129.59
08/16/2024,$130.50,1374949,$130.66,$131.44,$129.375
08/15/2024,$131.43,1888635,$128.83,$131.58,$128.79
08/14/2024,$127.11,1163090,$126.28,$127.739,$126.18
08/13/2024,$125.87,1492216,$123.84,$126.54,$123.73
08/12/2024,$122.93,1169561,$122.49,$124.03,$122.385
08/09/2024,$122.49,1300121,$118.81,$122.81,$118.005
08/08/2024,$119.22,1186051,$117.95,$119.38,$116.23
08/07/2024,$116.23,1859247,$118.17,$119.875,$115.92
08/06/2024,$117.08,1561394,$116.29,$118.86,$115.81
08/05/2024,$115.61,2204692,$113.82,$116.03,$113.18
08/02/2024,$119.05,2385889,$120.205,$120.58,$117.61
08/01/2024,$122.51,1801247,$126.43,$128.12,$121.37
07/31/2024,$126.98,2086315,$125.06,$127.21,$123.72
07/30/2024,$122.57,1691197,$125.80,$126.50,$121.81
07/29/2024,$124.99,1032126,$126.94,$126.94,$124.56
07/26/2024,$126.15,1194967,$126.90,$126.90,$125.21
07/25/2024,$125.56,1466333,$125.57,$127.4692,$123.52
07/24/2024,$125.70,1529980,$128.64,$129.04,$125.47
07/23/2024,$129.20,1045888,$128.27,$129.34,$127.76
07/22/2024,$128.34,1129825,$127.50,$128.89,$127.155
07/19/2024,$126.22,1220643,$126.45,$126.91,$125.8001
07/18/2024,$126.09,1776698,$128.32,$128.56,$125.09
07/17/2024,$127.42,1834314,$129.56,$129.78,$126.80
07/16/2024,$131.59,1818404,$130.74,$131.64,$128.80
07/15/2024,$130.38,1537240,$130.41,$131.40,$129.67
07/12/2024,$130.17,1557051,$131.87,$132.04,$130.04
07/11/2024,$131.46,2266264,$134.61,$134.97,$131.44
07/10/2024,$134.62,1920265,$133.07,$135.01,$132.88
07/09/2024,$132.09,2165028,$130.02,$132.935,$129.79
