Date,Close/Last,Volume,Open,High,Low
09/06/2024,$86.66,1209737,$89.02,$90.09,$86.215
09/05/2024,$89.66,797083,$90.00,$90.22,$89.04
09/04/2024,$89.45,1169881,$90.02,$90.87,$89.25
09/03/2024,$90.02,1263663,$90.42,$91.27,$89.54
08/30/2024,$91.21,1697324,$89.94,$91.36,$89.31
08/29/2024,$89.49,809455,$89.35,$89.89,$87.84
08/28/2024,$88.65,785939,$88.47,$89.49,$88.085
08/27/2024,$88.90,1041200,$89.02,$89.365,$88.41
08/26/2024,$88.85,1033654,$88.94,$89.72,$88.585
08/23/2024,$88.70,717910,$87.75,$89.24,$87.645
08/22/2024,$87.18,665595,$86.45,$87.21,$86.335
08/21/2024,$86.60,724111,$86.20,$86.675,$85.63
08/20/2024,$86.08,1089495,$86.88,$86.955,$86.05
08/19/2024,$87.18,893872,$87.56,$87.925,$87.04
08/16/2024,$87.20,909343,$85.91,$87.27,$85.91
08/15/2024,$86.23,941598,$85.65,$86.68,$85.65
08/14/2024,$84.81,965886,$83.87,$85.28,$83.46
08/13/2024,$83.62,1205180,$83.11,$83.65,$82.461
08/12/2024,$82.51,1203460,$84.36,$84.745,$82.34
08/09/2024,$84.29,975521,$83.43,$84.455,$83.43
08/08/2024,$83.50,1151382,$83.63,$84.22,$83.23
08/07/2024,$82.94,1211744,$84.40,$85.71,$82.78
08/06/2024,$83.10,1248764,$82.48,$84.60,$82.48
08/05/2024,$82.48,1417515,$82.81,$83.43,$80.805
08/02/2024,$84.89,1366006,$86.14,$86.435,$83.56
08/01/2024,$86.89,714904,$88.66,$89.12,$86.44
07/31/2024,$88.65,931858,$89.29,$89.53,$88.24
07/30/2024,$88.95,960048,$89.40,$90.055,$88.27
07/29/2024,$88.60,742982,$89.44,$89.725,$88.465
07/26/2024,$89.43,776718,$88.49,$89.65,$88.49
07/25/2024,$87.98,948374,$86.79,$89.015,$86.59
07/24/2024,$86.45,996617,$86.17,$87.97,$85.93
07/23/2024,$86.45,1307410,$86.99,$87.89,$86.32
07/22/2024,$87.14,1174280,$85.72,$87.20,$85.14
07/19/2024,$85.49,1461398,$86.47,$86.805,$85.18
07/18/2024,$86.23,2187323,$87.84,$88.67,$85.52
07/17/2024,$86.16,4875764,$92.00,$92.46,$83.03
07/16/2024,$90.76,2705273,$90.15,$91.53,$89.61
07/15/2024,$90.34,1076039,$89.80,$90.385,$89.35
07/12/2024,$89.28,1137819,$87.50,$89.73,$87.16
07/11/2024,$86.86,1486925,$86.12,$87.54,$85.78
07/10/2024,$85.40,743357,$84.22,$85.42,$84.03
07/09/2024,$83.93,727906,$82.93,$84.17,$82.59
07/08/2024,$82.90,769974,$83.14,$83.74,$82.53
07/05/2024,$83.13,1598575,$83.93,$84.17,$82.68
07/03/2024,$84.40,653783,$84.75,$85.28,$83.94
07/02/2024,$84.23,728623,$83.35,$84.83,$83.35
07/01/2024,$83.83,808661,$84.01,$84.84,$83.61
06/28/2024,$83.98,1369147,$83.16,$84.315,$82.72
06/27/2024,$82.54,736954,$82.31,$82.84,$81.24
06/26/2024,$82.58,825481,$81.60,$82.68,$81.60
06/25/2024,$82.06,1062264,$83.09,$83.28,$81.2108
06/24/2024,$83.51,803789,$83.05,$84.14,$82.75
06/21/2024,$82.76,1906256,$82.33,$82.845,$81.68
06/20/2024,$82.16,1153094,$82.29,$82.771,$81.671
06/18/2024,$82.90,1064345,$82.24,$82.90,$81.73
06/17/2024,$82.08,888303,$81.19,$82.10,$80.45
06/14/2024,$81.65,1033583,$81.92,$82.535,$81.11
06/13/2024,$82.68,1552541,$82.90,$83.22,$81.82
06/12/2024,$83.57,1965056,$81.33,$84.27,$80.825
06/11/2024,$79.84,1703738,$82.17,$82.76,$79.675
06/10/2024,$82.78,991385,$81.79,$82.82,$81.05
06/07/2024,$82.29,910974,$81.65,$82.77,$81.42
06/06/2024,$82.76,1018224,$82.00,$83.22,$81.79
06/05/2024,$82.85,1409268,$83.48,$84.30,$82.53
06/04/2024,$83.43,1605927,$83.12,$83.88,$82.36
06/03/2024,$83.61,1309085,$84.63,$84.84,$82.93
05/31/2024,$84.24,2224301,$83.26,$84.28,$83.05
05/30/2024,$82.90,2087688,$82.35,$83.30,$81.77
05/29/2024,$81.73,1255739,$81.22,$81.95,$80.42
05/28/2024,$82.08,1230503,$83.25,$83.465,$81.405
05/24/2024,$83.31,554217,$83.18,$83.61,$82.96
05/23/2024,$82.86,1023979,$83.92,$83.92,$82.49
05/22/2024,$83.90,913121,$84.40,$84.77,$83.47
05/21/2024,$84.60,752030,$84.34,$84.73,$84.01
05/20/2024,$84.46,1154960,$85.64,$85.75,$84.24
05/17/2024,$85.51,1299033,$85.91,$86.06,$84.67
05/16/2024,$85.63,1279854,$86.27,$86.76,$85.59
05/15/2024,$86.45,1040139,$87.16,$87.285,$85.9875
05/14/2024,$86.28,840185,$86.58,$86.92,$86.14
05/13/2024,$85.89,641793,$87.29,$87.29,$85.735
05/10/2024,$86.70,812108,$87.00,$87.52,$86.64
05/09/2024,$86.78,777807,$85.29,$86.83,$85.29
05/08/2024,$85.62,1047298,$84.46,$85.79,$84.17
05/07/2024,$84.66,867563,$85.42,$85.735,$84.64
05/06/2024,$85.02,859297,$85.37,$85.37,$84.42
05/03/2024,$84.62,927129,$84.67,$84.85,$84.025
05/02/2024,$83.50,814950,$83.70,$84.2099,$82.24
05/01/2024,$83.05,1062849,$82.49,$84.16,$82.00
04/30/2024,$82.39,963439,$83.525,$83.80,$82.37
04/29/2024,$83.56,984833,$83.37,$84.31,$83.16
04/26/2024,$83.38,1283507,$83.26,$84.33,$83.05
04/25/2024,$83.44,1595413,$83.95,$84.16,$82.75
04/24/2024,$84.30,1332918,$83.70,$84.59,$83.65
04/23/2024,$84.18,1549403,$83.29,$85.025,$83.29
04/22/2024,$83.54,1791344,$82.06,$84.185,$81.65
04/19/2024,$81.45,1985487,$81.74,$82.36,$81.27
04/18/2024,$81.41,1404455,$81.79,$82.08,$80.82
04/17/2024,$81.23,1507531,$81.29,$82.26,$80.50
04/16/2024,$79.56,3095764,$80.75,$84.31,$79.32
04/15/2024,$83.71,1550284,$84.80,$85.21,$83.46
04/12/2024,$83.83,1112956,$84.66,$85.32,$83.55
04/11/2024,$84.93,893286,$85.44,$85.71,$84.16
04/10/2024,$85.41,830782,$86.69,$86.9199,$85.16
04/09/2024,$88.12,762556,$88.41,$88.735,$87.165
04/08/2024,$88.01,1166366,$87.30,$88.44,$86.88
04/05/2024,$86.78,1257559,$86.48,$86.985,$85.50
04/04/2024,$86.57,1088998,$88.80,$88.96,$86.52
04/03/2024,$87.93,1638075,$87.17,$88.37,$87.17
04/02/2024,$87.57,1508423,$88.35,$88.805,$86.96
04/01/2024,$88.44,709650,$88.55,$89.18,$87.88
03/28/2024,$88.92,1092623,$88.04,$89.25,$87.745
03/27/2024,$87.75,1157802,$87.32,$88.35,$86.81
03/26/2024,$86.62,1058651,$86.20,$86.75,$85.72
03/25/2024,$85.85,854786,$85.54,$86.31,$85.53
03/22/2024,$85.54,1128782,$86.87,$87.05,$85.51
03/21/2024,$86.50,1134874,$84.70,$86.635,$84.475
03/20/2024,$84.10,1366613,$81.89,$84.13,$81.7274
03/19/2024,$82.24,1322869,$82.23,$82.865,$81.79
03/18/2024,$81.95,1416914,$81.58,$82.04,$80.67
03/15/2024,$81.46,11972800,$79.77,$82.34,$79.77
03/14/2024,$80.25,1604735,$81.44,$81.58,$79.30
03/13/2024,$81.73,1194606,$80.83,$82.35,$80.83
03/12/2024,$80.92,907820,$81.92,$82.39,$80.73
03/11/2024,$81.95,1210103,$81.81,$82.35,$80.87
03/08/2024,$81.81,1225456,$82.19,$82.71,$81.56
03/07/2024,$81.92,2128978,$81.23,$82.32,$81.01
03/06/2024,$81.28,4532510,$83.04,$83.49,$79.50
03/05/2024,$85.16,1691118,$83.67,$85.895,$83.67
03/04/2024,$84.55,2636158,$84.93,$86.16,$84.17
03/01/2024,$82.66,1398427,$81.99,$82.80,$80.99
02/29/2024,$82.13,1771294,$82.39,$82.90,$81.76
02/28/2024,$81.44,820190,$81.51,$82.55,$81.00
02/27/2024,$81.78,925230,$81.63,$81.93,$81.12
02/26/2024,$81.20,1237194,$81.09,$82.30,$81.026
02/23/2024,$81.48,1098178,$80.34,$81.675,$79.65
02/22/2024,$79.98,740077,$80.00,$80.845,$79.4518
02/21/2024,$79.89,998170,$79.56,$80.45,$78.96
02/20/2024,$79.61,1186144,$78.88,$80.26,$78.75
02/16/2024,$79.95,1072325,$80.20,$80.46,$79.51
02/15/2024,$80.80,1039294,$79.18,$81.17,$78.94
02/14/2024,$79.04,1105711,$78.66,$79.16,$78.24
02/13/2024,$77.47,1512574,$80.26,$80.65,$76.665
02/12/2024,$81.35,1502780,$79.37,$81.77,$79.37
02/09/2024,$79.64,1282849,$78.25,$79.73,$78.25
02/08/2024,$78.47,945962,$78.99,$79.40,$77.96
02/07/2024,$79.12,1670742,$78.55,$79.12,$76.86
02/06/2024,$78.20,1077067,$78.68,$79.20,$78.02
02/05/2024,$78.74,992211,$79.21,$79.465,$78.48
02/02/2024,$80.38,1340753,$78.56,$80.80,$78.40
02/01/2024,$79.30,1827564,$79.76,$80.01,$77.72
01/31/2024,$79.64,2670771,$80.60,$81.285,$79.46
01/30/2024,$80.86,1278987,$80.57,$81.145,$80.39
01/29/2024,$81.30,1101048,$81.23,$81.47,$80.595
01/26/2024,$81.60,968976,$82.25,$82.80,$81.205
01/25/2024,$81.79,1792340,$81.78,$82.27,$80.92
01/24/2024,$80.88,1150093,$82.14,$82.14,$80.619
01/23/2024,$81.25,1419889,$81.43,$82.09,$81.04
01/22/2024,$81.41,1592135,$81.35,$81.9525,$80.55
01/19/2024,$81.14,2306158,$81.32,$81.72,$80.15
01/18/2024,$80.91,2542458,$85.00,$85.00,$79.81
01/17/2024,$82.94,1549581,$81.75,$83.52,$81.715
01/16/2024,$83.27,1544629,$83.53,$83.53,$82.35
01/12/2024,$83.81,1092170,$83.87,$84.65,$82.76
01/11/2024,$83.44,1025998,$83.48,$83.80,$82.65
01/10/2024,$84.15,1353631,$84.19,$84.35,$82.97
01/09/2024,$84.33,1147451,$84.97,$86.765,$83.85
01/08/2024,$84.18,1000784,$83.66,$84.30,$82.985
01/05/2024,$83.47,1059872,$81.93,$84.38,$81.85
01/04/2024,$82.36,910028,$82.75,$83.36,$82.26
01/03/2024,$82.58,1240729,$83.48,$83.72,$82.26
01/02/2024,$84.87,968064,$84.19,$85.42,$83.9684
12/29/2023,$84.38,777571,$84.85,$85.20,$83.92
12/28/2023,$84.96,634283,$84.86,$85.04,$84.425
12/27/2023,$84.57,832153,$84.14,$84.63,$83.82
12/26/2023,$84.25,638292,$84.00,$84.51,$83.73
12/22/2023,$83.84,860141,$84.42,$84.515,$83.47
12/21/2023,$83.80,1087646,$83.78,$84.29,$83.10
12/20/2023,$83.09,1493652,$85.64,$85.89,$82.93
12/19/2023,$85.86,1302703,$85.60,$86.40,$85.19
12/18/2023,$85.59,1136337,$85.81,$85.83,$84.97
12/15/2023,$85.45,2341074,$85.43,$86.00,$84.63
12/14/2023,$85.93,2129222,$84.29,$86.92,$84.29
12/13/2023,$82.85,1193737,$80.45,$82.889,$80.01
12/12/2023,$80.46,1100572,$80.79,$80.91,$80.20
12/11/2023,$80.83,922448,$80.50,$81.18,$80.04
12/08/2023,$80.39,1280944,$80.13,$80.77,$79.72
12/07/2023,$79.86,1579314,$79.90,$80.31,$79.20
12/06/2023,$80.67,2491206,$81.09,$83.62,$80.52
12/05/2023,$80.76,1152534,$80.38,$81.09,$79.62
12/04/2023,$80.77,1288819,$79.54,$81.04,$79.52
12/01/2023,$80.28,1571407,$79.05,$80.72,$78.685
11/30/2023,$79.25,2133848,$78.74,$79.82,$78.26
11/29/2023,$78.28,1202066,$77.27,$78.74,$77.27
