Date,Close/Last,Volume,Open,High,Low
09/06/2024,$9068.54,19999,$9098.48,$9261.50,$9046.88
09/05/2024,$9044.72,17170,$9178.56,$9178.56,$9029.99
09/04/2024,$9150.40,20185,$9086.76,$9168.09,$9028.63
09/03/2024,$9053.67,21606,$9214.33,$9235.4675,$8989.62
08/30/2024,$9172.46,18456,$9110.00,$9215.00,$9005.23
08/29/2024,$9047.00,18233,$9070.00,$9099.50,$8969.94
08/28/2024,$9029.53,16571,$9056.97,$9103.065,$8930.00
08/27/2024,$9076.03,14572,$9104.84,$9121.4225,$9051.57
08/26/2024,$9153.11,16737,$9325.00,$9360.00,$9122.31
08/23/2024,$9321.27,30778,$9073.05,$9352.50,$8959.58
08/22/2024,$8983.56,19153,$8961.90,$9000.00,$8892.80
08/21/2024,$8918.01,22690,$8820.00,$9042.39,$8820.00
08/20/2024,$8784.15,14734,$8874.99,$8950.72,$8750.35
08/19/2024,$8854.82,21663,$8719.97,$8873.27,$8696.01
08/16/2024,$8668.93,13398,$8631.07,$8703.06,$8584.95
08/15/2024,$8601.04,12118,$8602.15,$8620.0099,$8520.00
08/14/2024,$8571.48,15194,$8568.00,$8599.00,$8484.00
08/13/2024,$8568.02,15766,$8556.03,$8650.00,$8464.60
08/12/2024,$8558.81,35428,$8500.00,$8672.36,$8479.00
08/09/2024,$8506.24,20723,$8453.00,$8516.94,$8366.99
08/08/2024,$8425.41,15942,$8338.00,$8446.22,$8305.00
08/07/2024,$8265.31,23888,$8360.00,$8462.00,$8262.78
08/06/2024,$8309.34,14940,$8275.84,$8495.00,$8160.0001
08/05/2024,$8275.84,18220,$8271.53,$8417.035,$8100.00
08/02/2024,$8546.26,20502,$8477.00,$8546.26,$8394.545
08/01/2024,$8554.51,23381,$8614.03,$8636.00,$8432.265
07/31/2024,$8607.48,19125,$8700.00,$8700.00,$8570.51
07/30/2024,$8661.98,15586,$8617.14,$8700.00,$8566.875
07/29/2024,$8600.84,16884,$8617.37,$8630.00,$8530.6901
07/26/2024,$8600.60,22269,$8553.03,$8683.95,$8480.27
07/25/2024,$8471.88,21305,$8420.00,$8650.00,$8352.09
07/24/2024,$8404.49,18917,$8571.98,$8695.00,$8367.415
07/23/2024,$8599.92,30576,$8512.00,$8687.055,$8358.93
07/22/2024,$8641.12,24103,$8477.99,$8641.12,$8367.04
07/19/2024,$8428.58,13871,$8495.00,$8507.74,$8350.08
07/18/2024,$8407.66,27710,$8350.00,$8662.86,$8350.00
07/17/2024,$8312.35,19769,$8457.64,$8468.865,$8301.885
07/16/2024,$8500.00,25616,$8140.00,$8539.9999,$8140.00
07/15/2024,$8068.96,17573,$8080.00,$8200.00,$8000.05
