Date,Close/Last,Volume,Open,High,Low
09/06/2024,$184.82,1429755,$186.29,$187.415,$182.86
09/05/2024,$186.06,2693744,$187.21,$187.78,$179.82
09/04/2024,$195.64,1103955,$198.14,$199.40,$194.30
09/03/2024,$194.78,1400267,$191.57,$196.3799,$189.96
08/30/2024,$192.80,1451649,$192.05,$193.095,$188.60
08/29/2024,$192.12,873495,$195.00,$195.63,$191.12
08/28/2024,$194.20,742673,$192.84,$195.43,$192.08
08/27/2024,$192.86,1035590,$198.08,$198.965,$191.54
08/26/2024,$199.12,873452,$204.16,$205.09,$198.71
08/23/2024,$203.77,589017,$201.87,$204.765,$201.03
08/22/2024,$200.90,860642,$202.98,$205.11,$199.70
08/21/2024,$202.90,913289,$200.59,$203.22,$199.35
08/20/2024,$198.75,910984,$199.75,$201.96,$198.53
08/19/2024,$200.16,755214,$200.17,$200.92,$198.298
08/16/2024,$200.17,1193986,$194.78,$200.49,$194.78
08/15/2024,$197.14,1304916,$197.62,$201.56,$196.64
08/14/2024,$193.00,820004,$195.02,$197.78,$192.09
08/13/2024,$195.02,1086872,$191.20,$195.29,$190.85
08/12/2024,$190.62,1500897,$193.37,$193.84,$189.21
08/09/2024,$193.23,2169928,$196.02,$197.47,$190.79
08/08/2024,$196.00,2529204,$195.71,$197.88,$192.70
08/07/2024,$193.15,2497048,$198.37,$199.23,$193.12
08/06/2024,$197.86,1537391,$195.00,$202.65,$194.50
08/05/2024,$194.26,1645851,$190.655,$198.365,$187.00
08/02/2024,$195.12,2107060,$199.37,$200.00,$191.10
08/01/2024,$203.20,2034289,$210.71,$216.54,$202.57
07/31/2024,$210.18,1643725,$206.19,$214.23,$205.605
07/30/2024,$205.03,1210051,$203.29,$208.00,$203.29
07/29/2024,$201.50,1270497,$203.61,$206.80,$200.49
07/26/2024,$202.93,2484038,$200.00,$206.97,$199.42
07/25/2024,$205.70,3154131,$194.65,$210.515,$194.65
07/24/2024,$194.62,3328712,$197.14,$200.56,$182.86
07/23/2024,$193.85,1826035,$193.85,$196.15,$192.66
07/22/2024,$195.31,1341257,$197.59,$199.29,$192.88
07/19/2024,$195.47,1228436,$195.73,$197.383,$193.605
07/18/2024,$195.46,1581389,$198.68,$200.04,$193.89
07/17/2024,$198.68,2325205,$202.06,$204.35,$198.67
07/16/2024,$203.84,2009754,$195.77,$204.115,$195.77
07/15/2024,$195.25,2008850,$190.36,$197.77,$190.00
07/12/2024,$190.22,1876687,$187.46,$193.57,$187.46
07/11/2024,$186.76,1570147,$183.17,$187.70,$182.64
07/10/2024,$182.12,1375570,$179.03,$182.32,$177.84
07/09/2024,$178.41,1188748,$181.32,$181.50,$177.42
07/08/2024,$181.06,1596022,$182.17,$183.10,$177.99
07/05/2024,$182.77,1195390,$182.05,$183.68,$180.87
07/03/2024,$181.87,919779,$182.86,$184.21,$181.26
07/02/2024,$182.17,2515153,$179.06,$182.69,$178.30
07/01/2024,$178.70,1862986,$176.16,$180.59,$175.65
06/28/2024,$176.60,3118740,$176.00,$178.42,$174.97
06/27/2024,$174.37,1150716,$175.92,$177.20,$173.65
06/26/2024,$176.04,1455963,$175.61,$178.62,$174.98
06/25/2024,$174.85,1251543,$173.77,$175.72,$172.45
06/24/2024,$176.07,1524399,$174.89,$178.84,$174.05
06/21/2024,$174.89,2173373,$175.88,$176.48,$173.11
06/20/2024,$174.65,1689035,$174.22,$176.811,$173.305
06/18/2024,$173.30,1516547,$173.93,$174.69,$172.02
06/17/2024,$173.92,1664581,$171.48,$174.11,$170.9321
06/14/2024,$172.74,2149024,$171.55,$173.115,$166.83
06/13/2024,$172.91,1121632,$173.615,$173.68,$169.82
06/12/2024,$174.79,1467461,$174.76,$178.35,$173.89
06/11/2024,$173.91,1809560,$170.01,$174.13,$168.775
06/10/2024,$171.12,1842149,$167.71,$171.97,$167.215
06/07/2024,$168.53,1503135,$168.16,$170.25,$165.89
06/06/2024,$169.84,2684294,$171.12,$171.29,$165.49
06/05/2024,$175.70,1572781,$172.67,$177.58,$172.67
06/04/2024,$172.14,2961990,$177.10,$182.00,$171.96
06/03/2024,$169.33,2440409,$176.53,$177.99,$168.25
05/31/2024,$175.25,2655843,$173.00,$175.41,$171.99
05/30/2024,$173.04,1654420,$170.91,$174.08,$170.565
05/29/2024,$171.30,2285315,$171.22,$173.10,$170.56
05/28/2024,$173.31,2523604,$171.95,$173.75,$170.34
05/24/2024,$173.06,1852339,$172.33,$173.96,$170.96
05/23/2024,$171.57,1995248,$172.49,$172.49,$169.76
05/22/2024,$172.49,2957450,$175.00,$175.79,$172.25
05/21/2024,$175.46,2666917,$178.85,$179.17,$174.71
05/20/2024,$178.97,1458484,$183.00,$183.00,$178.69
05/17/2024,$183.07,2175230,$182.17,$184.93,$181.19
05/16/2024,$182.17,1924921,$183.30,$184.32,$180.87
05/15/2024,$183.92,2406741,$183.87,$185.75,$182.37
05/14/2024,$181.94,2206342,$184.35,$185.96,$180.42
05/13/2024,$182.02,1522499,$185.30,$185.91,$181.868
05/10/2024,$185.04,1112396,$183.41,$186.65,$183.41
05/09/2024,$183.16,1643887,$182.00,$187.365,$181.92
05/08/2024,$181.70,1208397,$186.00,$186.785,$181.68
