Date,Close/Last,Volume,Open,High,Low
09/06/2024,$98.74,1063385,$99.85,$101.32,$98.69
09/05/2024,$99.91,1222946,$99.18,$100.12,$98.21
09/04/2024,$98.75,1663677,$99.28,$102.13,$98.35
09/03/2024,$99.33,958743,$100.03,$100.11,$98.71
08/30/2024,$100.43,1426251,$99.00,$100.61,$98.66
08/29/2024,$98.63,1240365,$99.20,$99.54,$98.23
08/28/2024,$98.75,887343,$98.92,$99.49,$98.20
08/27/2024,$99.11,772811,$98.78,$99.67,$98.765
08/26/2024,$98.86,1025917,$98.86,$99.89,$98.20
08/23/2024,$98.46,735100,$97.96,$99.079,$97.34
08/22/2024,$97.31,701802,$97.58,$97.8599,$96.96
08/21/2024,$97.29,653110,$96.68,$97.35,$96.33
08/20/2024,$96.27,1010169,$96.64,$96.66,$95.92
08/19/2024,$96.91,638444,$96.74,$97.29,$96.40
08/16/2024,$96.58,2755760,$96.06,$96.86,$95.83
08/15/2024,$96.20,1185917,$95.87,$96.24,$95.06
08/14/2024,$94.45,922878,$94.81,$95.57,$94.11
08/13/2024,$94.41,1090732,$94.37,$95.16,$93.78
08/12/2024,$94.08,1807232,$93.32,$95.0013,$93.235
08/09/2024,$93.32,755963,$93.45,$94.04,$92.37
08/08/2024,$93.57,1236743,$90.97,$93.72,$90.97
08/07/2024,$90.63,1134077,$92.15,$93.29,$90.46
08/06/2024,$91.37,1721845,$89.96,$92.84,$89.60
08/05/2024,$89.89,1582612,$91.19,$91.19,$88.08
08/02/2024,$92.00,1867755,$94.00,$94.23,$91.07
08/01/2024,$94.85,2366206,$98.14,$98.70,$93.39
07/31/2024,$98.04,1393878,$98.17,$98.71,$97.52
07/30/2024,$97.92,1239152,$95.97,$98.06,$95.745
07/29/2024,$95.48,1708997,$95.82,$96.20,$94.82
07/26/2024,$95.43,2018439,$93.92,$95.74,$93.68
07/25/2024,$93.35,2262671,$90.98,$94.73,$90.72
07/24/2024,$90.75,1422818,$92.43,$92.43,$90.29
07/23/2024,$92.27,1328394,$91.60,$92.54,$91.12
07/22/2024,$91.75,1727075,$91.02,$92.13,$89.78
07/19/2024,$91.00,1654451,$92.66,$92.66,$90.48
07/18/2024,$92.09,2322561,$91.93,$94.405,$91.42
07/17/2024,$91.52,4684488,$90.55,$92.35,$88.72
07/16/2024,$95.35,2750431,$94.12,$95.54,$93.555
07/15/2024,$93.75,1869091,$93.52,$94.17,$93.15
07/12/2024,$93.30,2047164,$93.00,$94.20,$92.45
07/11/2024,$92.27,1717454,$91.76,$93.00,$91.21
07/10/2024,$91.16,1642864,$91.24,$92.28,$90.571
07/09/2024,$90.51,1262958,$89.66,$90.76,$89.26
07/08/2024,$89.61,1138684,$89.27,$89.9099,$88.77
07/05/2024,$88.90,1748597,$88.76,$89.32,$88.13
07/03/2024,$89.23,633775,$89.79,$90.52,$89.04
07/02/2024,$89.08,981453,$87.68,$89.28,$87.28
07/01/2024,$87.69,1398482,$89.62,$90.95,$87.60
06/28/2024,$89.70,2234600,$89.17,$90.165,$88.9978
06/27/2024,$88.99,1041658,$88.70,$89.12,$88.28
06/26/2024,$88.69,1124040,$88.96,$89.27,$88.11
06/25/2024,$89.80,1481758,$90.40,$90.63,$88.38
06/24/2024,$90.73,1325983,$91.27,$92.45,$90.22
06/21/2024,$90.47,5296776,$89.79,$90.58,$88.90
06/20/2024,$89.75,2010367,$90.91,$91.21,$89.29
06/18/2024,$91.16,1535720,$89.95,$91.42,$89.32
06/17/2024,$90.08,1375084,$88.56,$90.17,$88.20
06/14/2024,$88.41,1233326,$88.58,$88.92,$87.86
06/13/2024,$89.39,1567589,$88.78,$89.44,$87.47
06/12/2024,$89.17,1287062,$90.24,$90.94,$88.24
06/11/2024,$89.65,1391351,$89.38,$89.79,$88.70
06/10/2024,$89.96,1339507,$90.14,$90.42,$89.14
06/07/2024,$91.09,1387458,$90.57,$92.01,$90.19
06/06/2024,$90.96,919831,$91.28,$91.54,$90.62
06/05/2024,$91.31,1208148,$91.31,$91.70,$90.45
06/04/2024,$91.22,1241822,$90.00,$91.605,$90.00
06/03/2024,$90.36,1511167,$92.78,$93.40,$90.12
05/31/2024,$92.96,2055929,$90.57,$93.15,$90.57
05/30/2024,$90.72,1621776,$91.51,$91.615,$90.33
05/29/2024,$91.12,1586470,$92.36,$92.62,$91.03
05/28/2024,$93.21,1601547,$95.00,$95.10,$92.75
05/24/2024,$95.11,1002530,$94.72,$95.16,$93.955
05/23/2024,$94.22,1116989,$95.12,$95.245,$94.04
05/22/2024,$95.26,1091867,$94.42,$95.36,$94.20
05/21/2024,$94.97,1287167,$96.01,$96.21,$94.58
05/20/2024,$96.21,905513,$96.34,$96.575,$95.56
05/17/2024,$96.13,1042656,$96.99,$96.99,$95.795
05/16/2024,$96.65,1369672,$97.38,$97.985,$96.42
05/15/2024,$97.66,1377515,$96.95,$98.055,$96.58
05/14/2024,$96.58,1153581,$97.02,$97.92,$96.12
05/13/2024,$96.30,822014,$95.88,$96.84,$95.82
05/10/2024,$95.82,1029220,$95.75,$96.74,$95.55
05/09/2024,$95.69,1810755,$95.07,$95.84,$94.80
05/08/2024,$95.07,1594793,$94.35,$95.3699,$94.285
05/07/2024,$94.70,1864637,$96.12,$96.54,$93.67
05/06/2024,$93.19,1396594,$93.31,$93.75,$92.40
05/03/2024,$92.75,1436571,$93.23,$93.56,$92.50
05/02/2024,$92.63,1623005,$94.28,$94.58,$92.47
05/01/2024,$93.65,1224618,$92.85,$95.015,$92.85
04/30/2024,$92.84,1483442,$95.25,$96.05,$92.78
04/29/2024,$95.89,1702651,$96.22,$96.45,$95.38
04/26/2024,$95.89,1723247,$96.70,$96.70,$95.64
