Date,Close/Last,Volume,Open,High,Low
09/06/2024,$91.43,1861594,$92.28,$93.305,$91.175
09/05/2024,$92.43,1153017,$94.16,$94.36,$91.87
09/04/2024,$94.26,1443222,$94.95,$95.68,$93.73
09/03/2024,$95.03,2363231,$93.98,$95.27,$93.31
08/30/2024,$94.69,1765430,$94.05,$94.695,$93.37
08/29/2024,$93.83,1194890,$94.00,$94.78,$93.25
08/28/2024,$93.41,978497,$93.22,$93.86,$92.92
08/27/2024,$93.13,1301410,$93.42,$93.74,$93.01
08/26/2024,$93.65,1085692,$94.53,$94.72,$93.30
08/23/2024,$94.20,1063314,$94.17,$94.78,$93.74
08/22/2024,$93.72,974686,$94.10,$94.27,$93.4135
08/21/2024,$93.96,1360896,$93.14,$93.99,$92.885
08/20/2024,$92.75,1521778,$92.66,$93.07,$91.9045
08/19/2024,$92.66,2293949,$92.20,$92.67,$91.89
08/16/2024,$92.12,1674959,$92.43,$93.25,$91.92
08/15/2024,$93.21,2539588,$93.01,$93.52,$92.14
08/14/2024,$92.11,1830212,$92.35,$93.09,$91.96
08/13/2024,$92.42,1722565,$92.65,$93.37,$91.55
08/12/2024,$92.29,1499037,$93.44,$93.475,$92.15
08/09/2024,$93.40,1554265,$92.53,$93.525,$91.91
08/08/2024,$92.63,2477791,$93.18,$93.35,$92.215
08/07/2024,$92.47,2143560,$94.21,$95.19,$92.34
08/06/2024,$93.39,3123196,$93.76,$95.125,$93.21
08/05/2024,$93.42,3733302,$92.84,$95.04,$92.54
08/02/2024,$94.29,3107146,$93.61,$94.67,$92.60
08/01/2024,$94.30,2687938,$94.50,$94.93,$93.345
07/31/2024,$94.50,2060769,$94.61,$95.395,$94.185
07/30/2024,$93.82,2026260,$93.49,$94.39,$92.96
07/29/2024,$93.03,1466478,$93.41,$93.99,$92.71
07/26/2024,$93.48,2466089,$93.90,$94.01,$91.79
07/25/2024,$93.03,4281249,$91.50,$94.99,$90.81
07/24/2024,$91.43,5838228,$90.205,$93.60,$90.205
07/23/2024,$98.38,2340728,$99.27,$99.725,$98.24
07/22/2024,$99.47,1739578,$98.77,$99.51,$97.32
