Date,Close/Last,Volume,Open,High,Low
09/06/2024,$154.91,982147,$156.23,$158.07,$153.08
09/05/2024,$156.22,3017943,$159.41,$161.04,$155.775
09/04/2024,$160.00,555961,$160.77,$162.32,$158.73
09/03/2024,$161.29,651005,$161.71,$163.56,$160.465
08/30/2024,$162.78,648520,$164.00,$164.47,$161.50
08/29/2024,$163.55,349849,$164.38,$165.15,$162.7101
08/28/2024,$163.04,528735,$163.25,$165.11,$161.87
08/27/2024,$163.10,494174,$164.08,$164.48,$161.59
08/26/2024,$164.61,447388,$163.95,$165.75,$163.12
08/23/2024,$163.23,582722,$161.00,$163.6499,$159.81
08/22/2024,$160.14,440767,$160.80,$161.29,$158.94
08/21/2024,$160.80,438030,$159.35,$161.44,$157.30
08/20/2024,$158.55,467114,$158.39,$158.87,$157.28
08/19/2024,$158.90,482840,$160.00,$160.99,$158.27
08/16/2024,$160.00,1418882,$158.70,$160.84,$157.12
08/15/2024,$159.69,742894,$157.52,$161.00,$157.52
08/14/2024,$155.17,575553,$156.24,$156.625,$153.39
08/13/2024,$156.65,707163,$153.98,$157.3879,$152.455
08/12/2024,$153.71,514351,$158.41,$158.77,$153.43
08/09/2024,$158.04,470466,$158.56,$159.44,$157.08
08/08/2024,$159.29,710350,$153.91,$160.70,$152.845
08/07/2024,$152.74,774951,$159.96,$162.58,$152.535
08/06/2024,$158.40,668224,$158.71,$162.18,$158.00
08/05/2024,$158.07,3179816,$157.22,$163.40,$156.30
08/02/2024,$164.31,845636,$164.93,$166.84,$158.66
08/01/2024,$167.38,1693220,$174.02,$178.90,$165.43
07/31/2024,$166.79,1338887,$167.63,$170.53,$166.09
07/30/2024,$165.47,644147,$164.24,$167.21,$162.10
07/29/2024,$164.23,560868,$164.79,$167.87,$163.28
07/26/2024,$164.03,585889,$164.04,$165.03,$161.595
07/25/2024,$162.89,651979,$159.25,$167.355,$158.472
07/24/2024,$158.58,700105,$165.16,$167.47,$158.20
07/23/2024,$165.42,997170,$160.37,$167.98,$159.42
07/22/2024,$159.99,610777,$159.43,$160.57,$154.915
07/19/2024,$158.10,747768,$154.96,$158.4499,$152.45
07/18/2024,$154.79,735534,$160.68,$162.25,$153.81
07/17/2024,$160.68,752906,$160.00,$161.76,$156.59
07/16/2024,$161.03,987334,$156.39,$162.50,$156.315
07/15/2024,$156.11,1091013,$149.41,$156.85,$148.22
07/12/2024,$148.43,908242,$146.00,$150.43,$144.60
07/11/2024,$144.48,764144,$142.00,$144.84,$140.69
07/10/2024,$140.28,581730,$140.45,$140.64,$139.53
07/09/2024,$140.16,741760,$139.90,$140.90,$139.50
07/08/2024,$140.35,666262,$142.65,$142.7629,$139.77
07/05/2024,$141.96,427715,$142.86,$142.98,$140.66
07/03/2024,$143.11,458017,$142.50,$144.45,$142.11
07/02/2024,$142.17,712872,$142.79,$144.06,$140.35
07/01/2024,$142.30,699888,$142.96,$143.36,$140.835
06/28/2024,$143.04,995247,$142.15,$143.05,$140.55
06/27/2024,$141.78,584795,$141.00,$143.25,$140.00
06/26/2024,$141.00,1023893,$141.04,$142.63,$139.69
06/25/2024,$141.54,721691,$144.68,$144.68,$141.16
06/24/2024,$145.00,657664,$144.88,$146.70,$144.0045
06/21/2024,$147.40,2648674,$145.78,$147.479,$143.985
06/20/2024,$145.68,802757,$141.24,$145.96,$140.90
06/18/2024,$141.46,1085363,$142.48,$144.27,$141.43
06/17/2024,$142.89,1009683,$143.11,$145.42,$141.22
06/14/2024,$142.78,795572,$140.98,$144.00,$140.12
06/13/2024,$140.99,725368,$143.71,$144.4523,$140.67
06/12/2024,$144.16,694468,$146.25,$147.80,$143.59
06/11/2024,$143.39,883456,$144.03,$145.15,$142.30
06/10/2024,$146.30,878161,$143.76,$146.60,$142.41
