Date,Close/Last,Volume,Open,High,Low
09/06/2024,$10.09,8040165,$10.39,$10.42,$10.08
09/05/2024,$10.38,10023350,$10.50,$10.575,$10.35
09/04/2024,$10.46,7891138,$10.46,$10.56,$10.42
09/03/2024,$10.42,7184333,$10.42,$10.525,$10.32
08/30/2024,$10.47,18652610,$10.56,$10.60,$10.27
08/29/2024,$10.46,11261760,$10.725,$10.82,$10.44
08/28/2024,$10.70,9517679,$10.50,$10.79,$10.49
08/27/2024,$10.52,17312750,$10.885,$10.95,$10.51
08/26/2024,$11.33,9390314,$11.38,$11.46,$11.28
08/23/2024,$11.36,7642319,$11.11,$11.40,$11.03
08/22/2024,$11.18,7863254,$11.21,$11.30,$11.05
08/21/2024,$11.09,7175984,$11.05,$11.20,$10.98
08/20/2024,$10.94,12681770,$10.72,$11.09,$10.69
08/19/2024,$11.07,11324010,$10.94,$11.16,$10.86
08/16/2024,$11.00,9840314,$10.99,$11.05,$10.81
08/15/2024,$10.96,22511220,$10.33,$11.155,$10.32
08/14/2024,$10.23,7187051,$10.30,$10.33,$10.18
08/13/2024,$10.29,10119270,$10.32,$10.38,$10.175
08/12/2024,$10.32,6385063,$10.29,$10.41,$10.18
08/09/2024,$10.30,14193210,$10.61,$10.79,$10.20
08/08/2024,$10.21,14892290,$10.40,$10.45,$10.11
08/07/2024,$10.46,7896242,$10.52,$10.63,$10.40
08/06/2024,$10.45,10465860,$10.54,$10.815,$10.45
08/05/2024,$10.53,10478580,$10.60,$10.99,$10.48
08/02/2024,$11.00,8914978,$11.00,$11.13,$10.75
08/01/2024,$11.11,7553408,$11.36,$11.46,$11.01
07/31/2024,$11.42,15478640,$11.35,$11.70,$11.255
07/30/2024,$11.24,9522452,$11.02,$11.32,$10.96
07/29/2024,$11.06,8021028,$11.20,$11.28,$11.03
07/26/2024,$11.19,9816133,$11.59,$11.71,$11.15
07/25/2024,$11.46,9255822,$11.60,$11.725,$11.45
07/24/2024,$11.65,6750608,$11.68,$11.80,$11.62
07/23/2024,$11.74,6932117,$11.45,$11.79,$11.42
07/22/2024,$11.54,7978204,$11.42,$11.56,$11.24
07/19/2024,$11.52,6278050,$11.65,$11.65,$11.44
07/18/2024,$11.63,10673940,$11.86,$11.89,$11.61
07/17/2024,$11.87,7943279,$11.82,$11.97,$11.80
07/16/2024,$11.95,9595670,$11.55,$11.96,$11.45
07/15/2024,$11.58,6543714,$11.63,$11.64,$11.42
07/12/2024,$11.56,9730363,$11.72,$11.785,$11.35
07/11/2024,$11.73,9208859,$11.79,$11.88,$11.64
07/10/2024,$11.70,16335370,$11.57,$11.82,$11.49
07/09/2024,$11.53,22317600,$11.06,$11.56,$11.05
07/08/2024,$11.18,42675360,$11.96,$11.96,$11.11
07/05/2024,$11.81,20846470,$11.45,$11.86,$11.35
07/03/2024,$11.46,35905160,$12.12,$12.13,$11.39
07/02/2024,$10.72,20170470,$10.50,$10.75,$10.31
07/01/2024,$10.14,11285400,$10.39,$10.48,$10.055
06/28/2024,$10.39,14708820,$10.27,$10.48,$10.215
06/27/2024,$10.26,12023570,$9.95,$10.29,$9.93
06/26/2024,$9.97,9643973,$10.05,$10.0977,$9.865
06/25/2024,$10.11,12973400,$10.06,$10.25,$9.83
06/24/2024,$10.29,9452432,$10.13,$10.38,$10.00
06/21/2024,$10.15,22345690,$10.01,$10.27,$10.01
06/20/2024,$10.06,22311010,$9.61,$10.085,$9.59
06/18/2024,$9.61,14859940,$9.81,$9.91,$9.54
06/17/2024,$9.83,15370560,$10.11,$10.16,$9.81
06/14/2024,$10.17,15167110,$10.33,$10.66,$10.15
06/13/2024,$10.35,30459830,$10.98,$10.98,$10.23
06/12/2024,$11.12,31180720,$10.68,$11.16,$10.68
06/11/2024,$11.04,36348660,$11.88,$12.40,$10.645
06/10/2024,$11.98,8955304,$11.90,$12.01,$11.765
06/07/2024,$12.01,10860810,$11.90,$12.20,$11.89
06/06/2024,$11.97,9480416,$11.99,$12.185,$11.90
06/05/2024,$12.08,10877700,$12.29,$12.3699,$11.99
06/04/2024,$12.24,18380100,$12.65,$12.67,$12.0901
06/03/2024,$12.80,34518490,$12.85,$13.045,$12.68
05/31/2024,$11.91,19774870,$11.89,$12.13,$11.75
05/30/2024,$11.82,25579860,$11.67,$12.12,$11.365
05/29/2024,$11.70,7820008,$11.84,$11.92,$11.63
